Open_t-6,High_t-6,Low_t-6,Close_t-6,Volume_t-6,Open_t-5,High_t-5,Low_t-5,Close_t-5,Volume_t-5,Open_t-4,High_t-4,Low_t-4,Close_t-4,Volume_t-4,Open_t-3,High_t-3,Low_t-3,Close_t-3,Volume_t-3,Open_t-2,High_t-2,Low_t-2,Close_t-2,Volume_t-2,Open_t-1,High_t-1,Low_t-1,Close_t-1,Volume_t-1,Close_t,Date_t
6.27,6.27,6.21,6.27,4562969.00,6.21,6.21,6.14,6.21,398437.00,6.21,6.21,6.14,6.21,2697656.00,6.21,6.21,6.14,6.21,626562.00,5.82,5.95,5.82,5.82,3375937.00,5.70,5.82,5.57,5.70,3720312.00,5.18,1995-06-13
6.21,6.21,6.14,6.21,398437.00,6.21,6.21,6.14,6.21,2697656.00,6.21,6.21,6.14,6.21,626562.00,5.82,5.95,5.82,5.82,3375937.00,5.70,5.82,5.57,5.70,3720312.00,5.18,5.44,5.12,5.18,3452344.00,5.18,1995-06-14
6.21,6.21,6.14,6.21,2697656.00,6.21,6.21,6.14,6.21,626562.00,5.82,5.95,5.82,5.82,3375937.00,5.70,5.82,5.57,5.70,3720312.00,5.18,5.44,5.12,5.18,3452344.00,5.18,5.38,5.18,5.18,4167656.00,5.57,1995-06-20
6.21,6.21,6.14,6.21,626562.00,5.82,5.95,5.82,5.82,3375937.00,5.70,5.82,5.57,5.70,3720312.00,5.18,5.44,5.12,5.18,3452344.00,5.18,5.38,5.18,5.18,4167656.00,5.57,5.63,5.50,5.57,2277344.00,5.50,1995-06-23
5.82,5.95,5.82,5.82,3375937.00,5.70,5.82,5.57,5.70,3720312.00,5.18,5.44,5.12,5.18,3452344.00,5.18,5.38,5.18,5.18,4167656.00,5.57,5.63,5.50,5.57,2277344.00,5.50,5.50,5.38,5.50,1520312.00,5.34,1995-06-26
5.70,5.82,5.57,5.70,3720312.00,5.18,5.44,5.12,5.18,3452344.00,5.18,5.38,5.18,5.18,4167656.00,5.57,5.63,5.50,5.57,2277344.00,5.50,5.50,5.38,5.50,1520312.00,5.34,5.44,5.38,5.34,1164062.00,5.31,1995-06-27
5.18,5.44,5.12,5.18,3452344.00,5.18,5.38,5.18,5.18,4167656.00,5.57,5.63,5.50,5.57,2277344.00,5.50,5.50,5.38,5.50,1520312.00,5.34,5.44,5.38,5.34,1164062.00,5.31,5.38,5.31,5.31,656250.00,5.31,1995-06-29
5.18,5.38,5.18,5.18,4167656.00,5.57,5.63,5.50,5.57,2277344.00,5.50,5.50,5.38,5.50,1520312.00,5.34,5.44,5.38,5.34,1164062.00,5.31,5.38,5.31,5.31,656250.00,5.31,5.44,5.31,5.31,795312.00,5.31,1995-06-30
5.57,5.63,5.50,5.57,2277344.00,5.50,5.50,5.38,5.50,1520312.00,5.34,5.44,5.38,5.34,1164062.00,5.31,5.38,5.31,5.31,656250.00,5.31,5.44,5.31,5.31,795312.00,5.31,5.38,5.25,5.31,2407812.00,5.38,1995-07-03
5.50,5.50,5.38,5.50,1520312.00,5.34,5.44,5.38,5.34,1164062.00,5.31,5.38,5.31,5.31,656250.00,5.31,5.44,5.31,5.31,795312.00,5.31,5.38,5.25,5.31,2407812.00,5.38,5.38,5.38,5.38,1329687.00,5.38,1995-07-04
5.34,5.44,5.38,5.34,1164062.00,5.31,5.38,5.31,5.31,656250.00,5.31,5.44,5.31,5.31,795312.00,5.31,5.38,5.25,5.31,2407812.00,5.38,5.38,5.38,5.38,1329687.00,5.38,5.38,5.38,5.38,1304687.00,5.44,1995-07-05
5.31,5.38,5.31,5.31,656250.00,5.31,5.44,5.31,5.31,795312.00,5.31,5.38,5.25,5.31,2407812.00,5.38,5.38,5.38,5.38,1329687.00,5.38,5.38,5.38,5.38,1304687.00,5.44,5.44,5.38,5.44,835937.00,5.38,1995-07-06
5.31,5.44,5.31,5.31,795312.00,5.31,5.38,5.25,5.31,2407812.00,5.38,5.38,5.38,5.38,1329687.00,5.38,5.38,5.38,5.38,1304687.00,5.44,5.44,5.38,5.44,835937.00,5.38,5.50,5.38,5.38,1581.00,5.50,1995-07-07
5.31,5.38,5.25,5.31,2407812.00,5.38,5.38,5.38,5.38,1329687.00,5.38,5.38,5.38,5.38,1304687.00,5.44,5.44,5.38,5.44,835937.00,5.38,5.50,5.38,5.38,1581.00,5.50,5.50,5.44,5.50,1321875.00,5.50,1995-09-12
