Open_t-6,High_t-6,Low_t-6,Close_t-6,Volume_t-6,Open_t-5,High_t-5,Low_t-5,Close_t-5,Volume_t-5,Open_t-4,High_t-4,Low_t-4,Close_t-4,Volume_t-4,Open_t-3,High_t-3,Low_t-3,Close_t-3,Volume_t-3,Open_t-2,High_t-2,Low_t-2,Close_t-2,Volume_t-2,Open_t-1,High_t-1,Low_t-1,Close_t-1,Volume_t-1,Close_t,Date_t
0.44,0.44,0.39,0.44,1052687.00,0.39,0.39,0.39,0.39,442129.00,0.39,0.39,0.39,0.39,126322.00,0.39,0.39,0.39,0.39,821096.00,0.39,0.39,0.39,0.39,842150.00,0.39,0.39,0.39,0.39,105269.00,0.39,1995-01-16
0.39,0.39,0.39,0.39,442129.00,0.39,0.39,0.39,0.39,126322.00,0.39,0.39,0.39,0.39,821096.00,0.39,0.39,0.39,0.39,842150.00,0.39,0.39,0.39,0.39,105269.00,0.39,0.39,0.39,0.39,442129.00,0.39,1995-01-17
0.39,0.39,0.39,0.39,126322.00,0.39,0.39,0.39,0.39,821096.00,0.39,0.39,0.39,0.39,842150.00,0.39,0.39,0.39,0.39,105269.00,0.39,0.39,0.39,0.39,442129.00,0.39,0.39,0.39,0.39,63161.00,0.39,1995-01-24
0.39,0.39,0.39,0.39,821096.00,0.39,0.39,0.39,0.39,842150.00,0.39,0.39,0.39,0.39,105269.00,0.39,0.39,0.39,0.39,442129.00,0.39,0.39,0.39,0.39,63161.00,0.39,0.39,0.39,0.39,1031634.00,0.39,1995-01-25
0.39,0.39,0.39,0.39,842150.00,0.39,0.39,0.39,0.39,105269.00,0.39,0.39,0.39,0.39,442129.00,0.39,0.39,0.39,0.39,63161.00,0.39,0.39,0.39,0.39,1031634.00,0.39,0.39,0.39,0.39,694774.00,0.39,1995-01-26
0.39,0.39,0.39,0.39,105269.00,0.39,0.39,0.39,0.39,442129.00,0.39,0.39,0.39,0.39,63161.00,0.39,0.39,0.39,0.39,1031634.00,0.39,0.39,0.39,0.39,694774.00,0.39,0.39,0.39,0.39,357914.00,0.35,1995-01-30
0.39,0.39,0.39,0.39,442129.00,0.39,0.39,0.39,0.39,63161.00,0.39,0.39,0.39,0.39,1031634.00,0.39,0.39,0.39,0.39,694774.00,0.39,0.39,0.39,0.39,357914.00,0.35,0.39,0.35,0.35,3789674.00,0.44,1995-02-02
0.39,0.39,0.39,0.39,63161.00,0.39,0.39,0.39,0.39,1031634.00,0.39,0.39,0.39,0.39,694774.00,0.39,0.39,0.39,0.39,357914.00,0.35,0.39,0.35,0.35,3789674.00,0.44,0.44,0.44,0.44,568451.00,0.39,1995-02-03
0.39,0.39,0.39,0.39,1031634.00,0.39,0.39,0.39,0.39,694774.00,0.39,0.39,0.39,0.39,357914.00,0.35,0.39,0.35,0.35,3789674.00,0.44,0.44,0.44,0.44,568451.00,0.39,0.39,0.39,0.39,673720.00,0.39,1995-02-06
0.39,0.39,0.39,0.39,694774.00,0.39,0.39,0.39,0.39,357914.00,0.35,0.39,0.35,0.35,3789674.00,0.44,0.44,0.44,0.44,568451.00,0.39,0.39,0.39,0.39,673720.00,0.39,0.39,0.39,0.39,884257.00,0.39,1995-02-07
0.39,0.39,0.39,0.39,357914.00,0.35,0.39,0.35,0.35,3789674.00,0.44,0.44,0.44,0.44,568451.00,0.39,0.39,0.39,0.39,673720.00,0.39,0.39,0.39,0.39,884257.00,0.39,0.39,0.39,0.39,926365.00,0.39,1995-02-08
0.35,0.39,0.35,0.35,3789674.00,0.44,0.44,0.44,0.44,568451.00,0.39,0.39,0.39,0.39,673720.00,0.39,0.39,0.39,0.39,884257.00,0.39,0.39,0.39,0.39,926365.00,0.39,0.39,0.39,0.39,463182.00,0.39,1995-02-09
0.44,0.44,0.44,0.44,568451.00,0.39,0.39,0.39,0.39,673720.00,0.39,0.39,0.39,0.39,884257.00,0.39,0.39,0.39,0.39,926365.00,0.39,0.39,0.39,0.39,463182.00,0.39,0.39,0.39,0.39,168430.00,0.44,1995-02-10
0.39,0.39,0.39,0.39,673720.00,0.39,0.39,0.39,0.39,884257.00,0.39,0.39,0.39,0.39,926365.00,0.39,0.39,0.39,0.39,463182.00,0.39,0.39,0.39,0.39,168430.00,0.44,0.44,0.44,0.44,2021160.00,0.44,1995-02-14
0.39,0.39,0.39,0.39,884257.00,0.39,0.39,0.39,0.39,926365.00,0.39,0.39,0.39,0.39,463182.00,0.39,0.39,0.39,0.39,168430.00,0.44,0.44,0.44,0.44,2021160.00,0.44,0.44,0.44,0.44,1536924.00,0.44,1995-02-15
0.39,0.39,0.39,0.39,926365.00,0.39,0.39,0.39,0.39,463182.00,0.39,0.39,0.39,0.39,168430.00,0.44,0.44,0.44,0.44,2021160.00,0.44,0.44,0.44,0.44,1536924.00,0.44,0.44,0.44,0.44,1052687.00,0.39,1995-02-16
0.39,0.39,0.39,0.39,463182.00,0.39,0.39,0.39,0.39,168430.00,0.44,0.44,0.44,0.44,2021160.00,0.44,0.44,0.44,0.44,1536924.00,0.44,0.44,0.44,0.44,1052687.00,0.39,0.44,0.39,0.39,1010580.00,0.44,1995-02-17
0.39,0.39,0.39,0.39,168430.00,0.44,0.44,0.44,0.44,2021160.00,0.44,0.44,0.44,0.44,1536924.00,0.44,0.44,0.44,0.44,1052687.00,0.39,0.44,0.39,0.39,1010580.00,0.44,0.44,0.44,0.44,1031634.00,0.44,1995-02-20
0.44,0.44,0.44,0.44,2021160.00,0.44,0.44,0.44,0.44,1536924.00,0.44,0.44,0.44,0.44,1052687.00,0.39,0.44,0.39,0.39,1010580.00,0.44,0.44,0.44,0.44,1031634.00,0.44,0.44,0.44,0.44,7010898.00,0.44,1995-02-21
0.44,0.44,0.44,0.44,1536924.00,0.44,0.44,0.44,0.44,1052687.00,0.39,0.44,0.39,0.39,1010580.00,0.44,0.44,0.44,0.44,1031634.00,0.44,0.44,0.44,0.44,7010898.00,0.44,0.44,0.44,0.44,421075.00,0.39,1995-02-22
0.44,0.44,0.44,0.44,1052687.00,0.39,0.44,0.39,0.39,1010580.00,0.44,0.44,0.44,0.44,1031634.00,0.44,0.44,0.44,0.44,7010898.00,0.44,0.44,0.44,0.44,421075.00,0.39,0.44,0.39,0.39,1326386.00,0.42,1995-02-23
0.39,0.44,0.39,0.39,1010580.00,0.44,0.44,0.44,0.44,1031634.00,0.44,0.44,0.44,0.44,7010898.00,0.44,0.44,0.44,0.44,421075.00,0.39,0.44,0.39,0.39,1326386.00,0.42,0.44,0.44,0.42,1389547.00,0.39,1995-02-24
0.44,0.44,0.44,0.44,1031634.00,0.44,0.44,0.44,0.44,7010898.00,0.44,0.44,0.44,0.44,421075.00,0.39,0.44,0.39,0.39,1326386.00,0.42,0.44,0.44,0.42,1389547.00,0.39,0.44,0.39,0.39,63161.00,0.39,1995-02-27
0.44,0.44,0.44,0.44,7010898.00,0.44,0.44,0.44,0.44,421075.00,0.39,0.44,0.39,0.39,1326386.00,0.42,0.44,0.44,0.42,1389547.00,0.39,0.44,0.39,0.39,63161.00,0.39,0.39,0.39,0.39,1726407.00,0.39,1995-02-28
0.44,0.44,0.44,0.44,421075.00,0.39,0.44,0.39,0.39,1326386.00,0.42,0.44,0.44,0.42,1389547.00,0.39,0.44,0.39,0.39,63161.00,0.39,0.39,0.39,0.39,1726407.00,0.39,0.39,0.39,0.39,210537.00,0.39,1995-03-01
0.39,0.44,0.39,0.39,1326386.00,0.42,0.44,0.44,0.42,1389547.00,0.39,0.44,0.39,0.39,63161.00,0.39,0.39,0.39,0.39,1726407.00,0.39,0.39,0.39,0.39,210537.00,0.39,0.39,0.39,0.39,1157956.00,0.39,1995-03-02
0.42,0.44,0.44,0.42,1389547.00,0.39,0.44,0.39,0.39,63161.00,0.39,0.39,0.39,0.39,1726407.00,0.39,0.39,0.39,0.39,210537.00,0.39,0.39,0.39,0.39,1157956.00,0.39,0.39,0.39,0.39,147376.00,0.39,1995-03-06
0.39,0.44,0.39,0.39,63161.00,0.39,0.39,0.39,0.39,1726407.00,0.39,0.39,0.39,0.39,210537.00,0.39,0.39,0.39,0.39,1157956.00,0.39,0.39,0.39,0.39,147376.00,0.39,0.39,0.39,0.39,821096.00,0.39,1995-03-07
0.39,0.39,0.39,0.39,1726407.00,0.39,0.39,0.39,0.39,210537.00,0.39,0.39,0.39,0.39,1157956.00,0.39,0.39,0.39,0.39,147376.00,0.39,0.39,0.39,0.39,821096.00,0.39,0.39,0.39,0.39,315806.00,0.39,1995-03-08
0.39,0.39,0.39,0.39,210537.00,0.39,0.39,0.39,0.39,1157956.00,0.39,0.39,0.39,0.39,147376.00,0.39,0.39,0.39,0.39,821096.00,0.39,0.39,0.39,0.39,315806.00,0.39,0.39,0.39,0.39,84215.00,0.39,1995-03-09
0.39,0.39,0.39,0.39,1157956.00,0.39,0.39,0.39,0.39,147376.00,0.39,0.39,0.39,0.39,821096.00,0.39,0.39,0.39,0.39,315806.00,0.39,0.39,0.39,0.39,84215.00,0.39,0.39,0.39,0.39,147376.00,0.39,1995-03-10
0.39,0.39,0.39,0.39,147376.00,0.39,0.39,0.39,0.39,821096.00,0.39,0.39,0.39,0.39,315806.00,0.39,0.39,0.39,0.39,84215.00,0.39,0.39,0.39,0.39,147376.00,0.39,0.39,0.39,0.39,378967.00,0.39,1995-03-14
0.39,0.39,0.39,0.39,821096.00,0.39,0.39,0.39,0.39,315806.00,0.39,0.39,0.39,0.39,84215.00,0.39,0.39,0.39,0.39,147376.00,0.39,0.39,0.39,0.39,378967.00,0.39,0.39,0.39,0.39,736881.00,0.39,1995-03-15
0.39,0.39,0.39,0.39,315806.00,0.39,0.39,0.39,0.39,84215.00,0.39,0.39,0.39,0.39,147376.00,0.39,0.39,0.39,0.39,378967.00,0.39,0.39,0.39,0.39,736881.00,0.39,0.39,0.39,0.39,126322.00,0.39,1995-03-16
0.39,0.39,0.39,0.39,84215.00,0.39,0.39,0.39,0.39,147376.00,0.39,0.39,0.39,0.39,378967.00,0.39,0.39,0.39,0.39,736881.00,0.39,0.39,0.39,0.39,126322.00,0.39,0.39,0.39,0.39,21054.00,0.39,1995-03-20
0.39,0.39,0.39,0.39,147376.00,0.39,0.39,0.39,0.39,378967.00,0.39,0.39,0.39,0.39,736881.00,0.39,0.39,0.39,0.39,126322.00,0.39,0.39,0.39,0.39,21054.00,0.39,0.39,0.39,0.39,42107.00,0.39,1995-03-22
0.39,0.39,0.39,0.39,378967.00,0.39,0.39,0.39,0.39,736881.00,0.39,0.39,0.39,0.39,126322.00,0.39,0.39,0.39,0.39,21054.00,0.39,0.39,0.39,0.39,42107.00,0.39,0.39,0.39,0.39,273699.00,0.39,1995-03-23
0.39,0.39,0.39,0.39,736881.00,0.39,0.39,0.39,0.39,126322.00,0.39,0.39,0.39,0.39,21054.00,0.39,0.39,0.39,0.39,42107.00,0.39,0.39,0.39,0.39,273699.00,0.39,0.39,0.39,0.39,21054.00,0.39,1995-03-28
0.39,0.39,0.39,0.39,126322.00,0.39,0.39,0.39,0.39,21054.00,0.39,0.39,0.39,0.39,42107.00,0.39,0.39,0.39,0.39,273699.00,0.39,0.39,0.39,0.39,21054.00,0.39,0.39,0.39,0.39,84215.00,0.39,1995-03-30
