Open_t-6,High_t-6,Low_t-6,Close_t-6,Volume_t-6,Open_t-5,High_t-5,Low_t-5,Close_t-5,Volume_t-5,Open_t-4,High_t-4,Low_t-4,Close_t-4,Volume_t-4,Open_t-3,High_t-3,Low_t-3,Close_t-3,Volume_t-3,Open_t-2,High_t-2,Low_t-2,Close_t-2,Volume_t-2,Open_t-1,High_t-1,Low_t-1,Close_t-1,Volume_t-1,Close_t,Date_t
205.97,208.55,205.97,205.97,23477.00,200.82,203.40,200.82,200.82,11287.00,198.25,200.82,195.67,198.25,27616.00,195.67,200.82,187.95,195.67,224574.00,198.25,198.25,198.25,198.25,16818.00,195.67,195.67,195.67,195.67,188.00,190.53,1995-01-11
200.82,203.40,200.82,200.82,11287.00,198.25,200.82,195.67,198.25,27616.00,195.67,200.82,187.95,195.67,224574.00,198.25,198.25,198.25,198.25,16818.00,195.67,195.67,195.67,195.67,188.00,190.53,190.53,187.95,190.53,55306.00,172.50,1995-01-13
198.25,200.82,195.67,198.25,27616.00,195.67,200.82,187.95,195.67,224574.00,198.25,198.25,198.25,198.25,16818.00,195.67,195.67,195.67,195.67,188.00,190.53,190.53,187.95,190.53,55306.00,172.50,182.80,172.50,172.50,60799.00,172.50,1995-01-16
195.67,200.82,187.95,195.67,224574.00,198.25,198.25,198.25,198.25,16818.00,195.67,195.67,195.67,195.67,188.00,190.53,190.53,187.95,190.53,55306.00,172.50,182.80,172.50,172.50,60799.00,172.50,175.08,164.78,172.50,208697.00,182.80,1995-01-17
198.25,198.25,198.25,198.25,16818.00,195.67,195.67,195.67,195.67,188.00,190.53,190.53,187.95,190.53,55306.00,172.50,182.80,172.50,172.50,60799.00,172.50,175.08,164.78,172.50,208697.00,182.80,182.80,172.50,182.80,65126.00,185.38,1995-01-18
195.67,195.67,195.67,195.67,188.00,190.53,190.53,187.95,190.53,55306.00,172.50,182.80,172.50,172.50,60799.00,172.50,175.08,164.78,172.50,208697.00,182.80,182.80,172.50,182.80,65126.00,185.38,185.38,177.65,185.38,83016.00,187.95,1995-01-19
190.53,190.53,187.95,190.53,55306.00,172.50,182.80,172.50,172.50,60799.00,172.50,175.08,164.78,172.50,208697.00,182.80,182.80,172.50,182.80,65126.00,185.38,185.38,177.65,185.38,83016.00,187.95,187.95,182.80,187.95,221639.00,177.65,1995-01-23
172.50,182.80,172.50,172.50,60799.00,172.50,175.08,164.78,172.50,208697.00,182.80,182.80,172.50,182.80,65126.00,185.38,185.38,177.65,185.38,83016.00,187.95,187.95,182.80,187.95,221639.00,177.65,177.65,175.08,177.65,89920.00,172.50,1995-01-24
172.50,175.08,164.78,172.50,208697.00,182.80,182.80,172.50,182.80,65126.00,185.38,185.38,177.65,185.38,83016.00,187.95,187.95,182.80,187.95,221639.00,177.65,177.65,175.08,177.65,89920.00,172.50,175.08,172.50,172.50,226493.00,175.08,1995-01-25
182.80,182.80,172.50,182.80,65126.00,185.38,185.38,177.65,185.38,83016.00,187.95,187.95,182.80,187.95,221639.00,177.65,177.65,175.08,177.65,89920.00,172.50,175.08,172.50,172.50,226493.00,175.08,175.08,172.50,175.08,116181.00,175.08,1995-01-26
185.38,185.38,177.65,185.38,83016.00,187.95,187.95,182.80,187.95,221639.00,177.65,177.65,175.08,177.65,89920.00,172.50,175.08,172.50,172.50,226493.00,175.08,175.08,172.50,175.08,116181.00,175.08,175.08,175.08,175.08,145001.00,172.50,1995-01-27
187.95,187.95,182.80,187.95,221639.00,177.65,177.65,175.08,177.65,89920.00,172.50,175.08,172.50,172.50,226493.00,175.08,175.08,172.50,175.08,116181.00,175.08,175.08,175.08,175.08,145001.00,172.50,175.08,172.50,172.50,6377.00,172.50,1995-01-30
177.65,177.65,175.08,177.65,89920.00,172.50,175.08,172.50,172.50,226493.00,175.08,175.08,172.50,175.08,116181.00,175.08,175.08,175.08,175.08,145001.00,172.50,175.08,172.50,172.50,6377.00,172.50,175.08,172.50,172.50,33880.00,172.50,1995-02-01
172.50,175.08,172.50,172.50,226493.00,175.08,175.08,172.50,175.08,116181.00,175.08,175.08,175.08,175.08,145001.00,172.50,175.08,172.50,172.50,6377.00,172.50,175.08,172.50,172.50,33880.00,172.50,175.08,172.50,172.50,9782.00,175.08,1995-02-02
175.08,175.08,172.50,175.08,116181.00,175.08,175.08,175.08,175.08,145001.00,172.50,175.08,172.50,172.50,6377.00,172.50,175.08,172.50,172.50,33880.00,172.50,175.08,172.50,172.50,9782.00,175.08,175.08,172.50,175.08,83712.00,175.08,1995-02-03
175.08,175.08,175.08,175.08,145001.00,172.50,175.08,172.50,172.50,6377.00,172.50,175.08,172.50,172.50,33880.00,172.50,175.08,172.50,172.50,9782.00,175.08,175.08,172.50,175.08,83712.00,175.08,175.08,175.08,175.08,90503.00,175.08,1995-02-06
172.50,175.08,172.50,172.50,6377.00,172.50,175.08,172.50,172.50,33880.00,172.50,175.08,172.50,172.50,9782.00,175.08,175.08,172.50,175.08,83712.00,175.08,175.08,175.08,175.08,90503.00,175.08,180.23,175.08,175.08,46841.00,175.08,1995-02-07
172.50,175.08,172.50,172.50,33880.00,172.50,175.08,172.50,172.50,9782.00,175.08,175.08,172.50,175.08,83712.00,175.08,175.08,175.08,175.08,90503.00,175.08,180.23,175.08,175.08,46841.00,175.08,177.65,175.08,175.08,36852.00,177.65,1995-02-08
172.50,175.08,172.50,172.50,9782.00,175.08,175.08,172.50,175.08,83712.00,175.08,175.08,175.08,175.08,90503.00,175.08,180.23,175.08,175.08,46841.00,175.08,177.65,175.08,175.08,36852.00,177.65,177.65,175.08,177.65,126415.00,175.08,1995-02-09
175.08,175.08,172.50,175.08,83712.00,175.08,175.08,175.08,175.08,90503.00,175.08,180.23,175.08,175.08,46841.00,175.08,177.65,175.08,175.08,36852.00,177.65,177.65,175.08,177.65,126415.00,175.08,177.65,175.08,175.08,258303.00,180.23,1995-02-10
175.08,175.08,175.08,175.08,90503.00,175.08,180.23,175.08,175.08,46841.00,175.08,177.65,175.08,175.08,36852.00,177.65,177.65,175.08,177.65,126415.00,175.08,177.65,175.08,175.08,258303.00,180.23,180.23,177.65,180.23,93118.00,182.80,1995-02-14
175.08,180.23,175.08,175.08,46841.00,175.08,177.65,175.08,175.08,36852.00,177.65,177.65,175.08,177.65,126415.00,175.08,177.65,175.08,175.08,258303.00,180.23,180.23,177.65,180.23,93118.00,182.80,182.80,182.80,182.80,564.00,182.80,1995-02-15
175.08,177.65,175.08,175.08,36852.00,177.65,177.65,175.08,177.65,126415.00,175.08,177.65,175.08,175.08,258303.00,180.23,180.23,177.65,180.23,93118.00,182.80,182.80,182.80,182.80,564.00,182.80,182.80,182.80,182.80,16893.00,182.80,1995-02-16
177.65,177.65,175.08,177.65,126415.00,175.08,177.65,175.08,175.08,258303.00,180.23,180.23,177.65,180.23,93118.00,182.80,182.80,182.80,182.80,564.00,182.80,182.80,182.80,182.80,16893.00,182.80,195.67,180.23,182.80,100342.00,185.38,1995-02-17
175.08,177.65,175.08,175.08,258303.00,180.23,180.23,177.65,180.23,93118.00,182.80,182.80,182.80,182.80,564.00,182.80,182.80,182.80,182.80,16893.00,182.80,195.67,180.23,182.80,100342.00,185.38,185.38,182.80,185.38,18642.00,182.80,1995-02-21
180.23,180.23,177.65,180.23,93118.00,182.80,182.80,182.80,182.80,564.00,182.80,182.80,182.80,182.80,16893.00,182.80,195.67,180.23,182.80,100342.00,185.38,185.38,182.80,185.38,18642.00,182.80,185.38,180.23,182.80,155573.00,185.38,1995-02-22
182.80,182.80,182.80,182.80,564.00,182.80,182.80,182.80,182.80,16893.00,182.80,195.67,180.23,182.80,100342.00,185.38,185.38,182.80,185.38,18642.00,182.80,185.38,180.23,182.80,155573.00,185.38,187.95,180.23,185.38,11005.00,187.95,1995-02-23
182.80,182.80,182.80,182.80,16893.00,182.80,195.67,180.23,182.80,100342.00,185.38,185.38,182.80,185.38,18642.00,182.80,185.38,180.23,182.80,155573.00,185.38,187.95,180.23,185.38,11005.00,187.95,187.95,185.38,187.95,61684.00,195.67,1995-02-24
182.80,195.67,180.23,182.80,100342.00,185.38,185.38,182.80,185.38,18642.00,182.80,185.38,180.23,182.80,155573.00,185.38,187.95,180.23,185.38,11005.00,187.95,187.95,185.38,187.95,61684.00,195.67,195.67,190.53,195.67,18774.00,182.80,1995-02-27
185.38,185.38,182.80,185.38,18642.00,182.80,185.38,180.23,182.80,155573.00,185.38,187.95,180.23,185.38,11005.00,187.95,187.95,185.38,187.95,61684.00,195.67,195.67,190.53,195.67,18774.00,182.80,190.53,180.23,182.80,84483.00,177.65,1995-02-28
182.80,185.38,180.23,182.80,155573.00,185.38,187.95,180.23,185.38,11005.00,187.95,187.95,185.38,187.95,61684.00,195.67,195.67,190.53,195.67,18774.00,182.80,190.53,180.23,182.80,84483.00,177.65,185.38,175.08,177.65,42195.00,177.65,1995-03-01
185.38,187.95,180.23,185.38,11005.00,187.95,187.95,185.38,187.95,61684.00,195.67,195.67,190.53,195.67,18774.00,182.80,190.53,180.23,182.80,84483.00,177.65,185.38,175.08,177.65,42195.00,177.65,177.65,175.08,177.65,41611.00,182.80,1995-03-02
187.95,187.95,185.38,187.95,61684.00,195.67,195.67,190.53,195.67,18774.00,182.80,190.53,180.23,182.80,84483.00,177.65,185.38,175.08,177.65,42195.00,177.65,177.65,175.08,177.65,41611.00,182.80,182.80,180.23,182.80,2314.00,180.23,1995-03-06
195.67,195.67,190.53,195.67,18774.00,182.80,190.53,180.23,182.80,84483.00,177.65,185.38,175.08,177.65,42195.00,177.65,177.65,175.08,177.65,41611.00,182.80,182.80,180.23,182.80,2314.00,180.23,185.38,180.23,180.23,21276.00,172.50,1995-03-08
182.80,190.53,180.23,182.80,84483.00,177.65,185.38,175.08,177.65,42195.00,177.65,177.65,175.08,177.65,41611.00,182.80,182.80,180.23,182.80,2314.00,180.23,185.38,180.23,180.23,21276.00,172.50,172.50,172.50,172.50,18812.00,172.50,1995-03-09
177.65,185.38,175.08,177.65,42195.00,177.65,177.65,175.08,177.65,41611.00,182.80,182.80,180.23,182.80,2314.00,180.23,185.38,180.23,180.23,21276.00,172.50,172.50,172.50,172.50,18812.00,172.50,172.50,169.93,172.50,3142.00,167.35,1995-03-14
