Open_t-6,High_t-6,Low_t-6,Close_t-6,Volume_t-6,Open_t-5,High_t-5,Low_t-5,Close_t-5,Volume_t-5,Open_t-4,High_t-4,Low_t-4,Close_t-4,Volume_t-4,Open_t-3,High_t-3,Low_t-3,Close_t-3,Volume_t-3,Open_t-2,High_t-2,Low_t-2,Close_t-2,Volume_t-2,Open_t-1,High_t-1,Low_t-1,Close_t-1,Volume_t-1,Close_t,Date_t
9.38,9.63,9.38,9.38,2528820.00,9.14,9.38,9.01,9.14,6406695.00,8.89,9.14,8.77,8.89,6325695.00,8.89,8.89,8.52,8.89,6040980.00,8.64,8.89,8.40,8.64,5152410.00,8.27,8.52,8.15,8.27,4237110.00,7.53,1995-01-13
9.14,9.38,9.01,9.14,6406695.00,8.89,9.14,8.77,8.89,6325695.00,8.89,8.89,8.52,8.89,6040980.00,8.64,8.89,8.40,8.64,5152410.00,8.27,8.52,8.15,8.27,4237110.00,7.53,8.27,7.28,7.53,15491250.00,7.78,1995-01-16
8.89,9.14,8.77,8.89,6325695.00,8.89,8.89,8.52,8.89,6040980.00,8.64,8.89,8.40,8.64,5152410.00,8.27,8.52,8.15,8.27,4237110.00,7.53,8.27,7.28,7.53,15491250.00,7.78,7.90,7.41,7.78,8962245.00,8.02,1995-01-17
8.89,8.89,8.52,8.89,6040980.00,8.64,8.89,8.40,8.64,5152410.00,8.27,8.52,8.15,8.27,4237110.00,7.53,8.27,7.28,7.53,15491250.00,7.78,7.90,7.41,7.78,8962245.00,8.02,8.02,7.78,8.02,4396680.00,8.02,1995-01-18
8.64,8.89,8.40,8.64,5152410.00,8.27,8.52,8.15,8.27,4237110.00,7.53,8.27,7.28,7.53,15491250.00,7.78,7.90,7.41,7.78,8962245.00,8.02,8.02,7.78,8.02,4396680.00,8.02,8.15,7.90,8.02,7702290.00,7.78,1995-01-23
8.27,8.52,8.15,8.27,4237110.00,7.53,8.27,7.28,7.53,15491250.00,7.78,7.90,7.41,7.78,8962245.00,8.02,8.02,7.78,8.02,4396680.00,8.02,8.15,7.90,8.02,7702290.00,7.78,7.78,7.41,7.78,4919940.00,7.65,1995-01-24
7.53,8.27,7.28,7.53,15491250.00,7.78,7.90,7.41,7.78,8962245.00,8.02,8.02,7.78,8.02,4396680.00,8.02,8.15,7.90,8.02,7702290.00,7.78,7.78,7.41,7.78,4919940.00,7.65,7.65,7.65,7.65,349920.00,7.78,1995-01-25
7.78,7.90,7.41,7.78,8962245.00,8.02,8.02,7.78,8.02,4396680.00,8.02,8.15,7.90,8.02,7702290.00,7.78,7.78,7.41,7.78,4919940.00,7.65,7.65,7.65,7.65,349920.00,7.78,7.90,7.65,7.78,4951530.00,7.78,1995-01-26
8.02,8.02,7.78,8.02,4396680.00,8.02,8.15,7.90,8.02,7702290.00,7.78,7.78,7.41,7.78,4919940.00,7.65,7.65,7.65,7.65,349920.00,7.78,7.90,7.65,7.78,4951530.00,7.78,8.02,7.78,7.78,11013165.00,7.78,1995-01-27
8.02,8.15,7.90,8.02,7702290.00,7.78,7.78,7.41,7.78,4919940.00,7.65,7.65,7.65,7.65,349920.00,7.78,7.90,7.65,7.78,4951530.00,7.78,8.02,7.78,7.78,11013165.00,7.78,7.90,7.78,7.78,7835940.00,7.78,1995-01-30
7.78,7.78,7.41,7.78,4919940.00,7.65,7.65,7.65,7.65,349920.00,7.78,7.90,7.65,7.78,4951530.00,7.78,8.02,7.78,7.78,11013165.00,7.78,7.90,7.78,7.78,7835940.00,7.78,7.78,7.65,7.78,983340.00,7.78,1995-02-01
7.65,7.65,7.65,7.65,349920.00,7.78,7.90,7.65,7.78,4951530.00,7.78,8.02,7.78,7.78,11013165.00,7.78,7.90,7.78,7.78,7835940.00,7.78,7.78,7.65,7.78,983340.00,7.78,7.78,7.65,7.78,927450.00,7.65,1995-02-02
7.78,7.90,7.65,7.78,4951530.00,7.78,8.02,7.78,7.78,11013165.00,7.78,7.90,7.78,7.78,7835940.00,7.78,7.78,7.65,7.78,983340.00,7.78,7.78,7.65,7.78,927450.00,7.65,7.78,7.65,7.65,2006370.00,7.65,1995-02-03
7.78,8.02,7.78,7.78,11013165.00,7.78,7.90,7.78,7.78,7835940.00,7.78,7.78,7.65,7.78,983340.00,7.78,7.78,7.65,7.78,927450.00,7.65,7.78,7.65,7.65,2006370.00,7.65,7.78,7.53,7.65,1245375.00,7.90,1995-02-07
7.78,7.90,7.78,7.78,7835940.00,7.78,7.78,7.65,7.78,983340.00,7.78,7.78,7.65,7.78,927450.00,7.65,7.78,7.65,7.65,2006370.00,7.65,7.78,7.53,7.65,1245375.00,7.90,7.90,7.78,7.90,27499500.00,8.02,1995-02-08
7.78,7.78,7.65,7.78,983340.00,7.78,7.78,7.65,7.78,927450.00,7.65,7.78,7.65,7.65,2006370.00,7.65,7.78,7.53,7.65,1245375.00,7.90,7.90,7.78,7.90,27499500.00,8.02,8.02,7.78,8.02,3262680.00,8.40,1995-02-10
7.78,7.78,7.65,7.78,927450.00,7.65,7.78,7.65,7.65,2006370.00,7.65,7.78,7.53,7.65,1245375.00,7.90,7.90,7.78,7.90,27499500.00,8.02,8.02,7.78,8.02,3262680.00,8.40,8.52,7.90,8.40,6116715.00,8.40,1995-02-14
7.65,7.78,7.65,7.65,2006370.00,7.65,7.78,7.53,7.65,1245375.00,7.90,7.90,7.78,7.90,27499500.00,8.02,8.02,7.78,8.02,3262680.00,8.40,8.52,7.90,8.40,6116715.00,8.40,8.40,8.15,8.40,5001750.00,8.15,1995-02-15
7.65,7.78,7.53,7.65,1245375.00,7.90,7.90,7.78,7.90,27499500.00,8.02,8.02,7.78,8.02,3262680.00,8.40,8.52,7.90,8.40,6116715.00,8.40,8.40,8.15,8.40,5001750.00,8.15,8.40,8.15,8.15,4267890.00,8.27,1995-02-16
7.90,7.90,7.78,7.90,27499500.00,8.02,8.02,7.78,8.02,3262680.00,8.40,8.52,7.90,8.40,6116715.00,8.40,8.40,8.15,8.40,5001750.00,8.15,8.40,8.15,8.15,4267890.00,8.27,8.27,8.15,8.27,3964140.00,8.27,1995-02-17
8.02,8.02,7.78,8.02,3262680.00,8.40,8.52,7.90,8.40,6116715.00,8.40,8.40,8.15,8.40,5001750.00,8.15,8.40,8.15,8.15,4267890.00,8.27,8.27,8.15,8.27,3964140.00,8.27,8.27,8.02,8.27,5211135.00,8.02,1995-02-20
8.40,8.52,7.90,8.40,6116715.00,8.40,8.40,8.15,8.40,5001750.00,8.15,8.40,8.15,8.15,4267890.00,8.27,8.27,8.15,8.27,3964140.00,8.27,8.27,8.02,8.27,5211135.00,8.02,8.15,8.02,8.02,3844260.00,8.15,1995-02-21
8.40,8.40,8.15,8.40,5001750.00,8.15,8.40,8.15,8.15,4267890.00,8.27,8.27,8.15,8.27,3964140.00,8.27,8.27,8.02,8.27,5211135.00,8.02,8.15,8.02,8.02,3844260.00,8.15,8.15,8.02,8.15,4747815.00,8.15,1995-02-24
8.15,8.40,8.15,8.15,4267890.00,8.27,8.27,8.15,8.27,3964140.00,8.27,8.27,8.02,8.27,5211135.00,8.02,8.15,8.02,8.02,3844260.00,8.15,8.15,8.02,8.15,4747815.00,8.15,8.27,8.02,8.15,2879955.00,7.90,1995-02-27
8.27,8.27,8.15,8.27,3964140.00,8.27,8.27,8.02,8.27,5211135.00,8.02,8.15,8.02,8.02,3844260.00,8.15,8.15,8.02,8.15,4747815.00,8.15,8.27,8.02,8.15,2879955.00,7.90,8.02,7.78,7.90,6688575.00,7.78,1995-02-28
8.27,8.27,8.02,8.27,5211135.00,8.02,8.15,8.02,8.02,3844260.00,8.15,8.15,8.02,8.15,4747815.00,8.15,8.27,8.02,8.15,2879955.00,7.90,8.02,7.78,7.90,6688575.00,7.78,7.90,7.65,7.78,11259000.00,7.78,1995-03-01
8.02,8.15,8.02,8.02,3844260.00,8.15,8.15,8.02,8.15,4747815.00,8.15,8.27,8.02,8.15,2879955.00,7.90,8.02,7.78,7.90,6688575.00,7.78,7.90,7.65,7.78,11259000.00,7.78,7.78,7.65,7.78,3386610.00,7.65,1995-03-02
8.15,8.15,8.02,8.15,4747815.00,8.15,8.27,8.02,8.15,2879955.00,7.90,8.02,7.78,7.90,6688575.00,7.78,7.90,7.65,7.78,11259000.00,7.78,7.78,7.65,7.78,3386610.00,7.65,7.78,7.65,7.65,2945160.00,7.90,1995-03-06
8.15,8.27,8.02,8.15,2879955.00,7.90,8.02,7.78,7.90,6688575.00,7.78,7.90,7.65,7.78,11259000.00,7.78,7.78,7.65,7.78,3386610.00,7.65,7.78,7.65,7.65,2945160.00,7.90,7.90,7.78,7.90,1041255.00,7.78,1995-03-07
7.90,8.02,7.78,7.90,6688575.00,7.78,7.90,7.65,7.78,11259000.00,7.78,7.78,7.65,7.78,3386610.00,7.65,7.78,7.65,7.65,2945160.00,7.90,7.90,7.78,7.90,1041255.00,7.78,7.78,7.65,7.78,3454245.00,7.65,1995-03-08
7.78,7.90,7.65,7.78,11259000.00,7.78,7.78,7.65,7.78,3386610.00,7.65,7.78,7.65,7.65,2945160.00,7.90,7.90,7.78,7.90,1041255.00,7.78,7.78,7.65,7.78,3454245.00,7.65,7.65,7.53,7.65,4158540.00,7.53,1995-03-09
7.78,7.78,7.65,7.78,3386610.00,7.65,7.78,7.65,7.65,2945160.00,7.90,7.90,7.78,7.90,1041255.00,7.78,7.78,7.65,7.78,3454245.00,7.65,7.65,7.53,7.65,4158540.00,7.53,7.78,7.41,7.53,6467850.00,7.28,1995-03-10
7.65,7.78,7.65,7.65,2945160.00,7.90,7.90,7.78,7.90,1041255.00,7.78,7.78,7.65,7.78,3454245.00,7.65,7.65,7.53,7.65,4158540.00,7.53,7.78,7.41,7.53,6467850.00,7.28,7.53,7.28,7.28,3669705.00,7.28,1995-03-14
7.90,7.90,7.78,7.90,1041255.00,7.78,7.78,7.65,7.78,3454245.00,7.65,7.65,7.53,7.65,4158540.00,7.53,7.78,7.41,7.53,6467850.00,7.28,7.53,7.28,7.28,3669705.00,7.28,7.41,7.16,7.28,1813995.00,7.28,1995-03-15
7.78,7.78,7.65,7.78,3454245.00,7.65,7.65,7.53,7.65,4158540.00,7.53,7.78,7.41,7.53,6467850.00,7.28,7.53,7.28,7.28,3669705.00,7.28,7.41,7.16,7.28,1813995.00,7.28,7.28,7.28,7.28,1934280.00,7.28,1995-03-20
7.65,7.65,7.53,7.65,4158540.00,7.53,7.78,7.41,7.53,6467850.00,7.28,7.53,7.28,7.28,3669705.00,7.28,7.41,7.16,7.28,1813995.00,7.28,7.28,7.28,7.28,1934280.00,7.28,7.65,7.28,7.28,477499.00,7.28,1995-03-22
7.53,7.78,7.41,7.53,6467850.00,7.28,7.53,7.28,7.28,3669705.00,7.28,7.41,7.16,7.28,1813995.00,7.28,7.28,7.28,7.28,1934280.00,7.28,7.65,7.28,7.28,477499.00,7.28,7.41,7.28,7.28,263655.00,7.16,1995-03-23
7.28,7.53,7.28,7.28,3669705.00,7.28,7.41,7.16,7.28,1813995.00,7.28,7.28,7.28,7.28,1934280.00,7.28,7.65,7.28,7.28,477499.00,7.28,7.41,7.28,7.28,263655.00,7.16,7.28,7.04,7.16,5538375.00,6.91,1995-03-24
7.28,7.41,7.16,7.28,1813995.00,7.28,7.28,7.28,7.28,1934280.00,7.28,7.65,7.28,7.28,477499.00,7.28,7.41,7.28,7.28,263655.00,7.16,7.28,7.04,7.16,5538375.00,6.91,7.16,6.91,6.91,673515.00,7.04,1995-03-28
7.28,7.28,7.28,7.28,1934280.00,7.28,7.65,7.28,7.28,477499.00,7.28,7.41,7.28,7.28,263655.00,7.16,7.28,7.04,7.16,5538375.00,6.91,7.16,6.91,6.91,673515.00,7.04,7.04,6.79,7.04,1402515.00,7.53,1995-03-29
7.28,7.65,7.28,7.28,477499.00,7.28,7.41,7.28,7.28,263655.00,7.16,7.28,7.04,7.16,5538375.00,6.91,7.16,6.91,6.91,673515.00,7.04,7.04,6.79,7.04,1402515.00,7.53,7.53,7.04,7.53,2957715.00,7.41,1995-03-30
