Open_t-6,High_t-6,Low_t-6,Close_t-6,Volume_t-6,Open_t-5,High_t-5,Low_t-5,Close_t-5,Volume_t-5,Open_t-4,High_t-4,Low_t-4,Close_t-4,Volume_t-4,Open_t-3,High_t-3,Low_t-3,Close_t-3,Volume_t-3,Open_t-2,High_t-2,Low_t-2,Close_t-2,Volume_t-2,Open_t-1,High_t-1,Low_t-1,Close_t-1,Volume_t-1,Close_t,Date_t
67.67,70.07,67.67,69.33,29983952.00,70.33,70.33,67.87,68.00,6067245.00,68.13,68.87,68.00,68.53,2924115.00,68.53,68.67,67.67,67.93,1884180.00,67.87,67.87,64.80,64.80,7276980.00,65.03,66.00,65.03,65.80,751290.00,65.00,2013-05-27
70.33,70.33,67.87,68.00,6067245.00,68.13,68.87,68.00,68.53,2924115.00,68.53,68.67,67.67,67.93,1884180.00,67.87,67.87,64.80,64.80,7276980.00,65.03,66.00,65.03,65.80,751290.00,65.73,65.87,64.67,65.00,912630.00,65.17,2013-05-28
68.13,68.87,68.00,68.53,2924115.00,68.53,68.67,67.67,67.93,1884180.00,67.87,67.87,64.80,64.80,7276980.00,65.03,66.00,65.03,65.80,751290.00,65.73,65.87,64.67,65.00,912630.00,65.00,65.20,64.67,65.17,430275.00,65.03,2013-05-29
68.53,68.67,67.67,67.93,1884180.00,67.87,67.87,64.80,64.80,7276980.00,65.03,66.00,65.03,65.80,751290.00,65.73,65.87,64.67,65.00,912630.00,65.00,65.20,64.67,65.17,430275.00,65.33,65.93,64.73,65.03,1028325.00,62.87,2013-05-30
67.87,67.87,64.80,64.80,7276980.00,65.03,66.00,65.03,65.80,751290.00,65.73,65.87,64.67,65.00,912630.00,65.00,65.20,64.67,65.17,430275.00,65.33,65.93,64.73,65.03,1028325.00,65.07,65.07,62.67,62.87,2632695.00,61.90,2013-05-31
65.03,66.00,65.03,65.80,751290.00,65.73,65.87,64.67,65.00,912630.00,65.00,65.20,64.67,65.17,430275.00,65.33,65.93,64.73,65.03,1028325.00,65.07,65.07,62.67,62.87,2632695.00,63.00,63.00,61.87,61.90,1580295.00,61.03,2013-06-03
65.73,65.87,64.67,65.00,912630.00,65.00,65.20,64.67,65.17,430275.00,65.33,65.93,64.73,65.03,1028325.00,65.07,65.07,62.67,62.87,2632695.00,63.00,63.00,61.87,61.90,1580295.00,61.90,62.00,61.00,61.03,1858080.00,60.77,2013-06-04
65.00,65.20,64.67,65.17,430275.00,65.33,65.93,64.73,65.03,1028325.00,65.07,65.07,62.67,62.87,2632695.00,63.00,63.00,61.87,61.90,1580295.00,61.90,62.00,61.00,61.03,1858080.00,61.03,61.80,60.77,60.77,908535.00,60.17,2013-06-05
65.33,65.93,64.73,65.03,1028325.00,65.07,65.07,62.67,62.87,2632695.00,63.00,63.00,61.87,61.90,1580295.00,61.90,62.00,61.00,61.03,1858080.00,61.03,61.80,60.77,60.77,908535.00,60.77,61.00,60.17,60.17,1444185.00,60.03,2013-06-06
65.07,65.07,62.67,62.87,2632695.00,63.00,63.00,61.87,61.90,1580295.00,61.90,62.00,61.00,61.03,1858080.00,61.03,61.80,60.77,60.77,908535.00,60.77,61.00,60.17,60.17,1444185.00,60.13,62.67,60.00,60.03,1546995.00,60.53,2013-06-07
63.00,63.00,61.87,61.90,1580295.00,61.90,62.00,61.00,61.03,1858080.00,61.03,61.80,60.77,60.77,908535.00,60.77,61.00,60.17,60.17,1444185.00,60.13,62.67,60.00,60.03,1546995.00,60.17,60.67,60.17,60.53,520710.00,60.80,2013-06-10
61.90,62.00,61.00,61.03,1858080.00,61.03,61.80,60.77,60.77,908535.00,60.77,61.00,60.17,60.17,1444185.00,60.13,62.67,60.00,60.03,1546995.00,60.17,60.67,60.17,60.53,520710.00,60.60,61.33,60.53,60.80,1737930.00,59.67,2013-06-11
61.03,61.80,60.77,60.77,908535.00,60.77,61.00,60.17,60.17,1444185.00,60.13,62.67,60.00,60.03,1546995.00,60.17,60.67,60.17,60.53,520710.00,60.60,61.33,60.53,60.80,1737930.00,60.73,60.80,58.80,59.67,1009965.00,57.67,2013-06-13
60.77,61.00,60.17,60.17,1444185.00,60.13,62.67,60.00,60.03,1546995.00,60.17,60.67,60.17,60.53,520710.00,60.60,61.33,60.53,60.80,1737930.00,60.73,60.80,58.80,59.67,1009965.00,59.00,59.00,57.60,57.67,2650530.00,59.13,2013-06-14
60.13,62.67,60.00,60.03,1546995.00,60.17,60.67,60.17,60.53,520710.00,60.60,61.33,60.53,60.80,1737930.00,60.73,60.80,58.80,59.67,1009965.00,59.00,59.00,57.60,57.67,2650530.00,58.33,59.20,58.33,59.13,1079700.00,59.67,2013-06-17
60.17,60.67,60.17,60.53,520710.00,60.60,61.33,60.53,60.80,1737930.00,60.73,60.80,58.80,59.67,1009965.00,59.00,59.00,57.60,57.67,2650530.00,58.33,59.20,58.33,59.13,1079700.00,59.33,59.67,59.00,59.67,323400.00,59.93,2013-06-18
60.60,61.33,60.53,60.80,1737930.00,60.73,60.80,58.80,59.67,1009965.00,59.00,59.00,57.60,57.67,2650530.00,58.33,59.20,58.33,59.13,1079700.00,59.33,59.67,59.00,59.67,323400.00,59.67,60.67,59.67,59.93,249105.00,59.33,2013-06-19
60.73,60.80,58.80,59.67,1009965.00,59.00,59.00,57.60,57.67,2650530.00,58.33,59.20,58.33,59.13,1079700.00,59.33,59.67,59.00,59.67,323400.00,59.67,60.67,59.67,59.93,249105.00,60.33,60.33,58.67,59.33,360390.00,58.00,2013-06-20
59.00,59.00,57.60,57.67,2650530.00,58.33,59.20,58.33,59.13,1079700.00,59.33,59.67,59.00,59.67,323400.00,59.67,60.67,59.67,59.93,249105.00,60.33,60.33,58.67,59.33,360390.00,58.00,58.67,57.33,58.00,337680.00,54.20,2013-06-21
58.33,59.20,58.33,59.13,1079700.00,59.33,59.67,59.00,59.67,323400.00,59.67,60.67,59.67,59.93,249105.00,60.33,60.33,58.67,59.33,360390.00,58.00,58.67,57.33,58.00,337680.00,56.67,56.67,53.67,54.20,750135.00,52.67,2013-06-24
59.33,59.67,59.00,59.67,323400.00,59.67,60.67,59.67,59.93,249105.00,60.33,60.33,58.67,59.33,360390.00,58.00,58.67,57.33,58.00,337680.00,56.67,56.67,53.67,54.20,750135.00,53.73,55.00,52.67,52.67,646980.00,50.00,2013-06-25
59.67,60.67,59.67,59.93,249105.00,60.33,60.33,58.67,59.33,360390.00,58.00,58.67,57.33,58.00,337680.00,56.67,56.67,53.67,54.20,750135.00,53.73,55.00,52.67,52.67,646980.00,52.00,52.33,45.33,50.00,695175.00,53.07,2013-06-26
60.33,60.33,58.67,59.33,360390.00,58.00,58.67,57.33,58.00,337680.00,56.67,56.67,53.67,54.20,750135.00,53.73,55.00,52.67,52.67,646980.00,52.00,52.33,45.33,50.00,695175.00,50.00,54.33,50.00,53.07,483210.00,53.67,2013-06-27
58.00,58.67,57.33,58.00,337680.00,56.67,56.67,53.67,54.20,750135.00,53.73,55.00,52.67,52.67,646980.00,52.00,52.33,45.33,50.00,695175.00,50.00,54.33,50.00,53.07,483210.00,54.00,55.33,53.33,53.67,252645.00,53.33,2013-06-28
56.67,56.67,53.67,54.20,750135.00,53.73,55.00,52.67,52.67,646980.00,52.00,52.33,45.33,50.00,695175.00,50.00,54.33,50.00,53.07,483210.00,54.00,55.33,53.33,53.67,252645.00,54.67,54.67,53.00,53.33,288690.00,53.30,2013-07-01
53.73,55.00,52.67,52.67,646980.00,52.00,52.33,45.33,50.00,695175.00,50.00,54.33,50.00,53.07,483210.00,54.00,55.33,53.33,53.67,252645.00,54.67,54.67,53.00,53.33,288690.00,53.33,54.00,52.67,53.30,181710.00,53.30,2013-07-02
52.00,52.33,45.33,50.00,695175.00,50.00,54.33,50.00,53.07,483210.00,54.00,55.33,53.33,53.67,252645.00,54.67,54.67,53.00,53.33,288690.00,53.33,54.00,52.67,53.30,181710.00,53.30,56.00,53.30,53.30,1285770.00,53.30,2013-07-03
50.00,54.33,50.00,53.07,483210.00,54.00,55.33,53.33,53.67,252645.00,54.67,54.67,53.00,53.33,288690.00,53.33,54.00,52.67,53.30,181710.00,53.30,56.00,53.30,53.30,1285770.00,53.30,53.40,53.23,53.30,282840.00,53.10,2013-07-04
54.00,55.33,53.33,53.67,252645.00,54.67,54.67,53.00,53.33,288690.00,53.33,54.00,52.67,53.30,181710.00,53.30,56.00,53.30,53.30,1285770.00,53.30,53.40,53.23,53.30,282840.00,53.27,53.27,53.10,53.10,142530.00,52.67,2013-07-05
54.67,54.67,53.00,53.33,288690.00,53.33,54.00,52.67,53.30,181710.00,53.30,56.00,53.30,53.30,1285770.00,53.30,53.40,53.23,53.30,282840.00,53.27,53.27,53.10,53.10,142530.00,52.67,53.17,52.67,52.67,133065.00,51.33,2013-07-08
53.33,54.00,52.67,53.30,181710.00,53.30,56.00,53.30,53.30,1285770.00,53.30,53.40,53.23,53.30,282840.00,53.27,53.27,53.10,53.10,142530.00,52.67,53.17,52.67,52.67,133065.00,52.73,52.73,50.67,51.33,264165.00,51.33,2013-07-09
53.30,56.00,53.30,53.30,1285770.00,53.30,53.40,53.23,53.30,282840.00,53.27,53.27,53.10,53.10,142530.00,52.67,53.17,52.67,52.67,133065.00,52.73,52.73,50.67,51.33,264165.00,51.67,51.67,50.97,51.33,100680.00,51.33,2013-07-10
53.30,53.40,53.23,53.30,282840.00,53.27,53.27,53.10,53.10,142530.00,52.67,53.17,52.67,52.67,133065.00,52.73,52.73,50.67,51.33,264165.00,51.67,51.67,50.97,51.33,100680.00,51.33,52.67,51.00,51.33,543660.00,51.47,2013-07-11
53.27,53.27,53.10,53.10,142530.00,52.67,53.17,52.67,52.67,133065.00,52.73,52.73,50.67,51.33,264165.00,51.67,51.67,50.97,51.33,100680.00,51.33,52.67,51.00,51.33,543660.00,52.67,52.67,51.03,51.47,95445.00,53.33,2013-07-12
52.67,53.17,52.67,52.67,133065.00,52.73,52.73,50.67,51.33,264165.00,51.67,51.67,50.97,51.33,100680.00,51.33,52.67,51.00,51.33,543660.00,52.67,52.67,51.03,51.47,95445.00,51.53,53.33,51.47,53.33,229275.00,54.00,2013-07-15
52.73,52.73,50.67,51.33,264165.00,51.67,51.67,50.97,51.33,100680.00,51.33,52.67,51.00,51.33,543660.00,52.67,52.67,51.03,51.47,95445.00,51.53,53.33,51.47,53.33,229275.00,53.33,54.00,53.33,54.00,230310.00,53.33,2013-07-16
51.67,51.67,50.97,51.33,100680.00,51.33,52.67,51.00,51.33,543660.00,52.67,52.67,51.03,51.47,95445.00,51.53,53.33,51.47,53.33,229275.00,53.33,54.00,53.33,54.00,230310.00,53.97,53.97,53.00,53.33,165165.00,53.20,2013-07-17
51.33,52.67,51.00,51.33,543660.00,52.67,52.67,51.03,51.47,95445.00,51.53,53.33,51.47,53.33,229275.00,53.33,54.00,53.33,54.00,230310.00,53.97,53.97,53.00,53.33,165165.00,53.33,53.33,52.07,53.20,55230.00,52.00,2013-07-18
52.67,52.67,51.03,51.47,95445.00,51.53,53.33,51.47,53.33,229275.00,53.33,54.00,53.33,54.00,230310.00,53.97,53.97,53.00,53.33,165165.00,53.33,53.33,52.07,53.20,55230.00,52.00,52.27,52.00,52.00,371670.00,52.13,2013-07-19
51.53,53.33,51.47,53.33,229275.00,53.33,54.00,53.33,54.00,230310.00,53.97,53.97,53.00,53.33,165165.00,53.33,53.33,52.07,53.20,55230.00,52.00,52.27,52.00,52.00,371670.00,52.00,52.13,51.67,52.13,810915.00,51.83,2013-07-22
53.33,54.00,53.33,54.00,230310.00,53.97,53.97,53.00,53.33,165165.00,53.33,53.33,52.07,53.20,55230.00,52.00,52.27,52.00,52.00,371670.00,52.00,52.13,51.67,52.13,810915.00,52.00,52.00,51.67,51.83,257235.00,52.00,2013-07-23
53.97,53.97,53.00,53.33,165165.00,53.33,53.33,52.07,53.20,55230.00,52.00,52.27,52.00,52.00,371670.00,52.00,52.13,51.67,52.13,810915.00,52.00,52.00,51.67,51.83,257235.00,52.00,52.60,51.97,52.00,684255.00,52.80,2013-07-24
53.33,53.33,52.07,53.20,55230.00,52.00,52.27,52.00,52.00,371670.00,52.00,52.13,51.67,52.13,810915.00,52.00,52.00,51.67,51.83,257235.00,52.00,52.60,51.97,52.00,684255.00,52.00,52.80,52.00,52.80,818925.00,53.00,2013-07-25
52.00,52.27,52.00,52.00,371670.00,52.00,52.13,51.67,52.13,810915.00,52.00,52.00,51.67,51.83,257235.00,52.00,52.60,51.97,52.00,684255.00,52.00,52.80,52.00,52.80,818925.00,52.83,53.50,52.83,53.00,601110.00,53.00,2013-07-26
52.00,52.13,51.67,52.13,810915.00,52.00,52.00,51.67,51.83,257235.00,52.00,52.60,51.97,52.00,684255.00,52.00,52.80,52.00,52.80,818925.00,52.83,53.50,52.83,53.00,601110.00,53.00,53.47,52.67,53.00,550755.00,52.93,2013-07-29
52.00,52.00,51.67,51.83,257235.00,52.00,52.60,51.97,52.00,684255.00,52.00,52.80,52.00,52.80,818925.00,52.83,53.50,52.83,53.00,601110.00,53.00,53.47,52.67,53.00,550755.00,53.00,53.00,52.53,52.93,448320.00,52.67,2013-07-30
