Open_t-6,High_t-6,Low_t-6,Close_t-6,Volume_t-6,Open_t-5,High_t-5,Low_t-5,Close_t-5,Volume_t-5,Open_t-4,High_t-4,Low_t-4,Close_t-4,Volume_t-4,Open_t-3,High_t-3,Low_t-3,Close_t-3,Volume_t-3,Open_t-2,High_t-2,Low_t-2,Close_t-2,Volume_t-2,Open_t-1,High_t-1,Low_t-1,Close_t-1,Volume_t-1,Close_t,Date_t
14.73,14.91,14.55,14.91,4627174.00,14.73,14.91,14.73,14.91,821613.00,14.91,14.91,14.73,14.91,899291.00,14.73,14.73,14.73,14.73,2061131.00,14.73,14.91,14.73,14.91,1775056.00,14.73,14.91,14.73,14.91,1061052.00,14.91,2002-05-30
14.73,14.91,14.73,14.91,821613.00,14.91,14.91,14.73,14.91,899291.00,14.73,14.73,14.73,14.73,2061131.00,14.73,14.91,14.73,14.91,1775056.00,14.73,14.91,14.73,14.91,1061052.00,14.73,14.91,14.73,14.91,1617332.00,14.91,2002-05-31
14.91,14.91,14.73,14.91,899291.00,14.73,14.73,14.73,14.73,2061131.00,14.73,14.91,14.73,14.91,1775056.00,14.73,14.91,14.73,14.91,1061052.00,14.73,14.91,14.73,14.91,1617332.00,14.73,14.91,14.73,14.91,2440198.00,14.91,2002-06-03
14.73,14.73,14.73,14.73,2061131.00,14.73,14.91,14.73,14.91,1775056.00,14.73,14.91,14.73,14.91,1061052.00,14.73,14.91,14.73,14.91,1617332.00,14.73,14.91,14.73,14.91,2440198.00,14.73,14.91,14.73,14.91,552243.00,14.73,2002-06-04
14.73,14.91,14.73,14.91,1775056.00,14.73,14.91,14.73,14.91,1061052.00,14.73,14.91,14.73,14.91,1617332.00,14.73,14.91,14.73,14.91,2440198.00,14.73,14.91,14.73,14.91,552243.00,14.73,14.91,14.73,14.73,2682422.00,14.73,2002-06-05
14.73,14.91,14.73,14.91,1061052.00,14.73,14.91,14.73,14.91,1617332.00,14.73,14.91,14.73,14.91,2440198.00,14.73,14.91,14.73,14.91,552243.00,14.73,14.91,14.73,14.73,2682422.00,14.73,14.91,14.73,14.73,2839450.00,14.73,2002-06-06
14.73,14.91,14.73,14.91,1617332.00,14.73,14.91,14.73,14.91,2440198.00,14.73,14.91,14.73,14.91,552243.00,14.73,14.91,14.73,14.73,2682422.00,14.73,14.91,14.73,14.73,2839450.00,14.73,14.73,14.73,14.73,2625485.00,14.55,2002-06-07
14.73,14.91,14.73,14.91,2440198.00,14.73,14.91,14.73,14.91,552243.00,14.73,14.91,14.73,14.73,2682422.00,14.73,14.91,14.73,14.73,2839450.00,14.73,14.73,14.73,14.73,2625485.00,14.73,14.73,14.55,14.55,1314274.00,14.55,2002-06-10
14.73,14.91,14.73,14.91,552243.00,14.73,14.91,14.73,14.73,2682422.00,14.73,14.91,14.73,14.73,2839450.00,14.73,14.73,14.73,14.73,2625485.00,14.73,14.73,14.55,14.55,1314274.00,14.55,14.55,14.19,14.55,1624154.00,14.37,2002-06-11
14.73,14.91,14.73,14.73,2682422.00,14.73,14.91,14.73,14.73,2839450.00,14.73,14.73,14.73,14.73,2625485.00,14.73,14.73,14.55,14.55,1314274.00,14.55,14.55,14.19,14.55,1624154.00,14.37,14.37,14.37,14.37,2288042.00,14.37,2002-06-13
14.73,14.91,14.73,14.73,2839450.00,14.73,14.73,14.73,14.73,2625485.00,14.73,14.73,14.55,14.55,1314274.00,14.55,14.55,14.19,14.55,1624154.00,14.37,14.37,14.37,14.37,2288042.00,14.37,14.37,14.37,14.37,2603629.00,14.37,2002-06-14
14.73,14.73,14.73,14.73,2625485.00,14.73,14.73,14.55,14.55,1314274.00,14.55,14.55,14.19,14.55,1624154.00,14.37,14.37,14.37,14.37,2288042.00,14.37,14.37,14.37,14.37,2603629.00,14.37,14.37,14.37,14.37,1106713.00,14.37,2002-06-17
14.73,14.73,14.55,14.55,1314274.00,14.55,14.55,14.19,14.55,1624154.00,14.37,14.37,14.37,14.37,2288042.00,14.37,14.37,14.37,14.37,2603629.00,14.37,14.37,14.37,14.37,1106713.00,14.37,14.37,14.37,14.37,1396268.00,14.37,2002-06-18
14.55,14.55,14.19,14.55,1624154.00,14.37,14.37,14.37,14.37,2288042.00,14.37,14.37,14.37,14.37,2603629.00,14.37,14.37,14.37,14.37,1106713.00,14.37,14.37,14.37,14.37,1396268.00,14.37,14.37,14.37,14.37,551408.00,14.37,2002-06-19
14.37,14.37,14.37,14.37,2288042.00,14.37,14.37,14.37,14.37,2603629.00,14.37,14.37,14.37,14.37,1106713.00,14.37,14.37,14.37,14.37,1396268.00,14.37,14.37,14.37,14.37,551408.00,14.37,14.37,14.37,14.37,1476313.00,14.37,2002-06-20
14.37,14.37,14.37,14.37,2603629.00,14.37,14.37,14.37,14.37,1106713.00,14.37,14.37,14.37,14.37,1396268.00,14.37,14.37,14.37,14.37,551408.00,14.37,14.37,14.37,14.37,1476313.00,14.37,14.37,14.19,14.37,801845.00,14.19,2002-06-21
14.37,14.37,14.37,14.37,1106713.00,14.37,14.37,14.37,14.37,1396268.00,14.37,14.37,14.37,14.37,551408.00,14.37,14.37,14.37,14.37,1476313.00,14.37,14.37,14.19,14.37,801845.00,14.19,14.19,14.01,14.19,763562.00,13.83,2002-06-24
14.37,14.37,14.37,14.37,1396268.00,14.37,14.37,14.37,14.37,551408.00,14.37,14.37,14.37,14.37,1476313.00,14.37,14.37,14.19,14.37,801845.00,14.19,14.19,14.01,14.19,763562.00,14.19,14.19,13.47,13.83,722496.00,13.29,2002-06-25
14.37,14.37,14.37,14.37,551408.00,14.37,14.37,14.37,14.37,1476313.00,14.37,14.37,14.19,14.37,801845.00,14.19,14.19,14.01,14.19,763562.00,14.19,14.19,13.47,13.83,722496.00,13.65,13.65,13.29,13.29,378649.00,12.57,2002-06-26
14.37,14.37,14.37,14.37,1476313.00,14.37,14.37,14.19,14.37,801845.00,14.19,14.19,14.01,14.19,763562.00,14.19,14.19,13.47,13.83,722496.00,13.65,13.65,13.29,13.29,378649.00,13.29,13.29,12.57,12.57,685466.00,12.93,2002-06-27
