Open_t-6,High_t-6,Low_t-6,Close_t-6,Volume_t-6,Open_t-5,High_t-5,Low_t-5,Close_t-5,Volume_t-5,Open_t-4,High_t-4,Low_t-4,Close_t-4,Volume_t-4,Open_t-3,High_t-3,Low_t-3,Close_t-3,Volume_t-3,Open_t-2,High_t-2,Low_t-2,Close_t-2,Volume_t-2,Open_t-1,High_t-1,Low_t-1,Close_t-1,Volume_t-1,Close_t,Date_t
19.77,19.97,19.77,19.77,47917.00,19.64,19.97,19.64,19.64,32671.00,19.63,19.97,19.63,19.63,5082.00,19.70,19.97,19.70,19.70,1460012.00,19.83,19.83,19.70,19.83,1452.00,19.70,19.97,19.70,19.70,2904.00,19.63,1995-01-24
19.64,19.97,19.64,19.64,32671.00,19.63,19.97,19.63,19.63,5082.00,19.70,19.97,19.70,19.70,1460012.00,19.83,19.83,19.70,19.83,1452.00,19.70,19.97,19.70,19.70,2904.00,19.63,20.25,19.63,19.63,46465.00,19.97,1995-01-25
19.63,19.97,19.63,19.63,5082.00,19.70,19.97,19.70,19.70,1460012.00,19.83,19.83,19.70,19.83,1452.00,19.70,19.97,19.70,19.70,2904.00,19.63,20.25,19.63,19.63,46465.00,19.97,20.45,19.70,19.97,20328.00,20.66,1995-01-30
19.70,19.97,19.70,19.70,1460012.00,19.83,19.83,19.70,19.83,1452.00,19.70,19.97,19.70,19.70,2904.00,19.63,20.25,19.63,19.63,46465.00,19.97,20.45,19.70,19.97,20328.00,20.66,20.66,19.70,20.66,127052.00,20.66,1995-02-01
19.83,19.83,19.70,19.83,1452.00,19.70,19.97,19.70,19.70,2904.00,19.63,20.25,19.63,19.63,46465.00,19.97,20.45,19.70,19.97,20328.00,20.66,20.66,19.70,20.66,127052.00,20.66,20.66,19.83,20.66,13068.00,20.94,1995-02-02
19.70,19.97,19.70,19.70,2904.00,19.63,20.25,19.63,19.63,46465.00,19.97,20.45,19.70,19.97,20328.00,20.66,20.66,19.70,20.66,127052.00,20.66,20.66,19.83,20.66,13068.00,20.94,20.94,20.80,20.94,7260.00,20.94,1995-02-03
19.63,20.25,19.63,19.63,46465.00,19.97,20.45,19.70,19.97,20328.00,20.66,20.66,19.70,20.66,127052.00,20.66,20.66,19.83,20.66,13068.00,20.94,20.94,20.80,20.94,7260.00,20.94,21.07,20.66,20.94,2178.00,20.94,1995-02-06
19.97,20.45,19.70,19.97,20328.00,20.66,20.66,19.70,20.66,127052.00,20.66,20.66,19.83,20.66,13068.00,20.94,20.94,20.80,20.94,7260.00,20.94,21.07,20.66,20.94,2178.00,20.94,21.07,20.52,20.94,89300.00,20.11,1995-02-07
20.66,20.66,19.70,20.66,127052.00,20.66,20.66,19.83,20.66,13068.00,20.94,20.94,20.80,20.94,7260.00,20.94,21.07,20.66,20.94,2178.00,20.94,21.07,20.52,20.94,89300.00,20.11,21.01,20.11,20.11,79135.00,20.94,1995-02-09
20.66,20.66,19.83,20.66,13068.00,20.94,20.94,20.80,20.94,7260.00,20.94,21.07,20.66,20.94,2178.00,20.94,21.07,20.52,20.94,89300.00,20.11,21.01,20.11,20.11,79135.00,20.94,21.01,20.94,20.94,3630.00,20.94,1995-02-14
