Open_t-6,High_t-6,Low_t-6,Close_t-6,Volume_t-6,Open_t-5,High_t-5,Low_t-5,Close_t-5,Volume_t-5,Open_t-4,High_t-4,Low_t-4,Close_t-4,Volume_t-4,Open_t-3,High_t-3,Low_t-3,Close_t-3,Volume_t-3,Open_t-2,High_t-2,Low_t-2,Close_t-2,Volume_t-2,Open_t-1,High_t-1,Low_t-1,Close_t-1,Volume_t-1,Close_t,Date_t
120.79,122.16,117.13,121.70,28321612.00,120.79,121.06,118.50,119.87,7579721.00,119.87,119.87,114.38,114.47,4718012.00,114.75,114.75,113.56,113.92,5253593.00,113.92,113.92,113.01,113.47,4053520.00,113.56,113.56,106.15,109.62,7648974.00,112.00,2010-11-04
120.79,121.06,118.50,119.87,7579721.00,119.87,119.87,114.38,114.47,4718012.00,114.75,114.75,113.56,113.92,5253593.00,113.92,113.92,113.01,113.47,4053520.00,113.56,113.56,106.15,109.62,7648974.00,109.62,112.55,109.62,112.00,2244525.00,111.45,2010-11-05
119.87,119.87,114.38,114.47,4718012.00,114.75,114.75,113.56,113.92,5253593.00,113.92,113.92,113.01,113.47,4053520.00,113.56,113.56,106.15,109.62,7648974.00,109.62,112.55,109.62,112.00,2244525.00,112.55,112.55,111.36,111.45,2661314.00,107.06,2010-11-08
114.75,114.75,113.56,113.92,5253593.00,113.92,113.92,113.01,113.47,4053520.00,113.56,113.56,106.15,109.62,7648974.00,109.62,112.55,109.62,112.00,2244525.00,112.55,112.55,111.36,111.45,2661314.00,111.45,111.45,106.97,107.06,3481034.00,113.92,2010-11-09
113.92,113.92,113.01,113.47,4053520.00,113.56,113.56,106.15,109.62,7648974.00,109.62,112.55,109.62,112.00,2244525.00,112.55,112.55,111.36,111.45,2661314.00,111.45,111.45,106.97,107.06,3481034.00,107.06,113.92,107.06,113.92,2801482.00,114.47,2010-11-10
113.56,113.56,106.15,109.62,7648974.00,109.62,112.55,109.62,112.00,2244525.00,112.55,112.55,111.36,111.45,2661314.00,111.45,111.45,106.97,107.06,3481034.00,107.06,113.92,107.06,113.92,2801482.00,112.00,114.84,112.00,114.47,3473679.00,115.30,2010-11-11
109.62,112.55,109.62,112.00,2244525.00,112.55,112.55,111.36,111.45,2661314.00,111.45,111.45,106.97,107.06,3481034.00,107.06,113.92,107.06,113.92,2801482.00,112.00,114.84,112.00,114.47,3473679.00,113.92,116.39,113.92,115.30,2509463.00,114.93,2010-11-12
112.55,112.55,111.36,111.45,2661314.00,111.45,111.45,106.97,107.06,3481034.00,107.06,113.92,107.06,113.92,2801482.00,112.00,114.84,112.00,114.47,3473679.00,113.92,116.39,113.92,115.30,2509463.00,115.30,115.75,113.83,114.93,1517140.00,113.47,2010-11-15
111.45,111.45,106.97,107.06,3481034.00,107.06,113.92,107.06,113.92,2801482.00,112.00,114.84,112.00,114.47,3473679.00,113.92,116.39,113.92,115.30,2509463.00,115.30,115.75,113.83,114.93,1517140.00,114.66,114.93,113.01,113.47,3561391.00,109.90,2010-11-17
107.06,113.92,107.06,113.92,2801482.00,112.00,114.84,112.00,114.47,3473679.00,113.92,116.39,113.92,115.30,2509463.00,115.30,115.75,113.83,114.93,1517140.00,114.66,114.93,113.01,113.47,3561391.00,113.28,113.28,108.89,109.90,2261137.00,114.84,2010-11-18
