Open_t-6,High_t-6,Low_t-6,Close_t-6,Volume_t-6,Open_t-5,High_t-5,Low_t-5,Close_t-5,Volume_t-5,Open_t-4,High_t-4,Low_t-4,Close_t-4,Volume_t-4,Open_t-3,High_t-3,Low_t-3,Close_t-3,Volume_t-3,Open_t-2,High_t-2,Low_t-2,Close_t-2,Volume_t-2,Open_t-1,High_t-1,Low_t-1,Close_t-1,Volume_t-1,Close_t,Date_t
0.93,0.93,0.92,0.93,21770000.00,0.93,0.93,0.92,0.93,22350000.00,0.93,0.93,0.92,0.93,69760000.00,0.93,0.93,0.92,0.93,37600000.00,0.93,0.93,0.92,0.93,10090000.00,0.93,0.93,0.92,0.93,15260000.00,0.92,1996-01-10
0.93,0.93,0.92,0.93,22350000.00,0.93,0.93,0.92,0.93,69760000.00,0.93,0.93,0.92,0.93,37600000.00,0.93,0.93,0.92,0.93,10090000.00,0.93,0.93,0.92,0.93,15260000.00,0.92,0.92,0.91,0.92,6380000.00,0.92,1996-01-11
0.93,0.93,0.92,0.93,69760000.00,0.93,0.93,0.92,0.93,37600000.00,0.93,0.93,0.92,0.93,10090000.00,0.93,0.93,0.92,0.93,15260000.00,0.92,0.92,0.91,0.92,6380000.00,0.92,0.92,0.90,0.92,8300000.00,0.92,1996-01-12
0.93,0.93,0.92,0.93,37600000.00,0.93,0.93,0.92,0.93,10090000.00,0.93,0.93,0.92,0.93,15260000.00,0.92,0.92,0.91,0.92,6380000.00,0.92,0.92,0.90,0.92,8300000.00,0.92,0.92,0.91,0.92,11370000.00,0.92,1996-01-15
0.93,0.93,0.92,0.93,10090000.00,0.93,0.93,0.92,0.93,15260000.00,0.92,0.92,0.91,0.92,6380000.00,0.92,0.92,0.90,0.92,8300000.00,0.92,0.92,0.91,0.92,11370000.00,0.92,0.92,0.91,0.92,40340000.00,0.93,1996-01-16
0.93,0.93,0.92,0.93,15260000.00,0.92,0.92,0.91,0.92,6380000.00,0.92,0.92,0.90,0.92,8300000.00,0.92,0.92,0.91,0.92,11370000.00,0.92,0.92,0.91,0.92,40340000.00,0.93,0.93,0.91,0.93,120920000.00,0.96,1996-01-17
0.92,0.92,0.91,0.92,6380000.00,0.92,0.92,0.90,0.92,8300000.00,0.92,0.92,0.91,0.92,11370000.00,0.92,0.92,0.91,0.92,40340000.00,0.93,0.93,0.91,0.93,120920000.00,0.96,0.96,0.93,0.96,292209984.00,0.99,1996-01-18
0.92,0.92,0.90,0.92,8300000.00,0.92,0.92,0.91,0.92,11370000.00,0.92,0.92,0.91,0.92,40340000.00,0.93,0.93,0.91,0.93,120920000.00,0.96,0.96,0.93,0.96,292209984.00,0.99,0.99,0.95,0.99,440229984.00,1.03,1996-01-19
0.92,0.92,0.91,0.92,11370000.00,0.92,0.92,0.91,0.92,40340000.00,0.93,0.93,0.91,0.93,120920000.00,0.96,0.96,0.93,0.96,292209984.00,0.99,0.99,0.95,0.99,440229984.00,1.03,1.03,1.00,1.03,123470000.00,1.13,1996-01-22
0.92,0.92,0.91,0.92,40340000.00,0.93,0.93,0.91,0.93,120920000.00,0.96,0.96,0.93,0.96,292209984.00,0.99,0.99,0.95,0.99,440229984.00,1.03,1.03,1.00,1.03,123470000.00,1.13,1.15,1.08,1.13,440798016.00,1.20,1996-01-23
0.93,0.93,0.91,0.93,120920000.00,0.96,0.96,0.93,0.96,292209984.00,0.99,0.99,0.95,0.99,440229984.00,1.03,1.03,1.00,1.03,123470000.00,1.13,1.15,1.08,1.13,440798016.00,1.20,1.20,1.15,1.20,238160992.00,1.20,1996-01-24
0.96,0.96,0.93,0.96,292209984.00,0.99,0.99,0.95,0.99,440229984.00,1.03,1.03,1.00,1.03,123470000.00,1.13,1.15,1.08,1.13,440798016.00,1.20,1.20,1.15,1.20,238160992.00,1.20,1.23,1.18,1.20,108066000.00,1.23,1996-01-25
0.99,0.99,0.95,0.99,440229984.00,1.03,1.03,1.00,1.03,123470000.00,1.13,1.15,1.08,1.13,440798016.00,1.20,1.20,1.15,1.20,238160992.00,1.20,1.23,1.18,1.20,108066000.00,1.23,1.28,1.23,1.23,125021000.00,1.25,1996-01-26
1.03,1.03,1.00,1.03,123470000.00,1.13,1.15,1.08,1.13,440798016.00,1.20,1.20,1.15,1.20,238160992.00,1.20,1.23,1.18,1.20,108066000.00,1.23,1.28,1.23,1.23,125021000.00,1.25,1.30,1.23,1.25,130899000.00,1.25,1996-01-29
1.13,1.15,1.08,1.13,440798016.00,1.20,1.20,1.15,1.20,238160992.00,1.20,1.23,1.18,1.20,108066000.00,1.23,1.28,1.23,1.23,125021000.00,1.25,1.30,1.23,1.25,130899000.00,1.25,1.28,1.25,1.25,68702000.00,1.18,1996-01-30
1.20,1.20,1.15,1.20,238160992.00,1.20,1.23,1.18,1.20,108066000.00,1.23,1.28,1.23,1.23,125021000.00,1.25,1.30,1.23,1.25,130899000.00,1.25,1.28,1.25,1.25,68702000.00,1.18,1.28,1.15,1.18,94681000.00,1.23,1996-01-31
1.20,1.23,1.18,1.20,108066000.00,1.23,1.28,1.23,1.23,125021000.00,1.25,1.30,1.23,1.25,130899000.00,1.25,1.28,1.25,1.25,68702000.00,1.18,1.28,1.15,1.18,94681000.00,1.23,1.23,1.20,1.23,40873000.00,1.28,1996-02-01
1.23,1.28,1.23,1.23,125021000.00,1.25,1.30,1.23,1.25,130899000.00,1.25,1.28,1.25,1.25,68702000.00,1.18,1.28,1.15,1.18,94681000.00,1.23,1.23,1.20,1.23,40873000.00,1.28,1.30,1.28,1.28,59255000.00,1.30,1996-02-02
1.25,1.30,1.23,1.25,130899000.00,1.25,1.28,1.25,1.25,68702000.00,1.18,1.28,1.15,1.18,94681000.00,1.23,1.23,1.20,1.23,40873000.00,1.28,1.30,1.28,1.28,59255000.00,1.30,1.35,1.28,1.30,64647000.00,1.30,1996-02-05
1.25,1.28,1.25,1.25,68702000.00,1.18,1.28,1.15,1.18,94681000.00,1.23,1.23,1.20,1.23,40873000.00,1.28,1.30,1.28,1.28,59255000.00,1.30,1.35,1.28,1.30,64647000.00,1.30,1.35,1.28,1.30,930000.00,1.35,1996-02-06
1.18,1.28,1.15,1.18,94681000.00,1.23,1.23,1.20,1.23,40873000.00,1.28,1.30,1.28,1.28,59255000.00,1.30,1.35,1.28,1.30,64647000.00,1.30,1.35,1.28,1.30,930000.00,1.35,1.38,1.30,1.35,79846000.00,1.40,1996-02-07
1.23,1.23,1.20,1.23,40873000.00,1.28,1.30,1.28,1.28,59255000.00,1.30,1.35,1.28,1.30,64647000.00,1.30,1.35,1.28,1.30,930000.00,1.35,1.38,1.30,1.35,79846000.00,1.40,1.43,1.38,1.40,171620000.00,1.38,1996-02-08
1.28,1.30,1.28,1.28,59255000.00,1.30,1.35,1.28,1.30,64647000.00,1.30,1.35,1.28,1.30,930000.00,1.35,1.38,1.30,1.35,79846000.00,1.40,1.43,1.38,1.40,171620000.00,1.38,1.40,1.33,1.38,49831000.00,1.45,1996-02-09
1.30,1.35,1.28,1.30,64647000.00,1.30,1.35,1.28,1.30,930000.00,1.35,1.38,1.30,1.35,79846000.00,1.40,1.43,1.38,1.40,171620000.00,1.38,1.40,1.33,1.38,49831000.00,1.45,1.45,1.38,1.45,92550000.00,1.48,1996-02-12
1.30,1.35,1.28,1.30,930000.00,1.35,1.38,1.30,1.35,79846000.00,1.40,1.43,1.38,1.40,171620000.00,1.38,1.40,1.33,1.38,49831000.00,1.45,1.45,1.38,1.45,92550000.00,1.48,1.50,1.45,1.48,90321000.00,1.48,1996-02-13
1.35,1.38,1.30,1.35,79846000.00,1.40,1.43,1.38,1.40,171620000.00,1.38,1.40,1.33,1.38,49831000.00,1.45,1.45,1.38,1.45,92550000.00,1.48,1.50,1.45,1.48,90321000.00,1.48,1.48,1.45,1.48,42709000.00,1.48,1996-02-14
