Open_t-6,High_t-6,Low_t-6,Close_t-6,Volume_t-6,Open_t-5,High_t-5,Low_t-5,Close_t-5,Volume_t-5,Open_t-4,High_t-4,Low_t-4,Close_t-4,Volume_t-4,Open_t-3,High_t-3,Low_t-3,Close_t-3,Volume_t-3,Open_t-2,High_t-2,Low_t-2,Close_t-2,Volume_t-2,Open_t-1,High_t-1,Low_t-1,Close_t-1,Volume_t-1,Close_t,Date_t
5.93,5.93,5.93,5.93,5900.00,5.76,5.93,5.08,5.76,2360.00,4.75,5.93,4.75,4.75,66080.00,5.93,5.93,5.93,5.93,23600.00,5.93,5.93,5.93,5.93,1180.00,5.93,5.93,5.93,5.93,1180.00,5.93,1998-01-05
5.76,5.93,5.08,5.76,2360.00,4.75,5.93,4.75,4.75,66080.00,5.93,5.93,5.93,5.93,23600.00,5.93,5.93,5.93,5.93,1180.00,5.93,5.93,5.93,5.93,1180.00,5.93,5.93,5.93,5.93,1180.00,5.51,1998-01-19
4.75,5.93,4.75,4.75,66080.00,5.93,5.93,5.93,5.93,23600.00,5.93,5.93,5.93,5.93,1180.00,5.93,5.93,5.93,5.93,1180.00,5.93,5.93,5.93,5.93,1180.00,5.51,5.51,5.51,5.51,3257980.00,5.44,1998-05-08
5.93,5.93,5.93,5.93,23600.00,5.93,5.93,5.93,5.93,1180.00,5.93,5.93,5.93,5.93,1180.00,5.93,5.93,5.93,5.93,1180.00,5.51,5.51,5.51,5.51,3257980.00,5.44,5.93,3.31,5.44,3257980.00,5.51,1998-05-12
5.93,5.93,5.93,5.93,1180.00,5.93,5.93,5.93,5.93,1180.00,5.93,5.93,5.93,5.93,1180.00,5.51,5.51,5.51,5.51,3257980.00,5.44,5.93,3.31,5.44,3257980.00,5.51,5.51,5.51,5.51,3257980.00,5.93,1998-12-29
5.93,5.93,5.93,5.93,1180.00,5.93,5.93,5.93,5.93,1180.00,5.51,5.51,5.51,5.51,3257980.00,5.44,5.93,3.31,5.44,3257980.00,5.51,5.51,5.51,5.51,3257980.00,5.93,5.93,5.93,5.93,1180.00,5.08,1999-02-02
5.93,5.93,5.93,5.93,1180.00,5.51,5.51,5.51,5.51,3257980.00,5.44,5.93,3.31,5.44,3257980.00,5.51,5.51,5.51,5.51,3257980.00,5.93,5.93,5.93,5.93,1180.00,5.08,5.08,5.08,5.08,1180.00,5.08,1999-02-11
5.51,5.51,5.51,5.51,3257980.00,5.44,5.93,3.31,5.44,3257980.00,5.51,5.51,5.51,5.51,3257980.00,5.93,5.93,5.93,5.93,1180.00,5.08,5.08,5.08,5.08,1180.00,5.08,5.08,5.08,5.08,1180.00,5.25,1999-03-05
5.44,5.93,3.31,5.44,3257980.00,5.51,5.51,5.51,5.51,3257980.00,5.93,5.93,5.93,5.93,1180.00,5.08,5.08,5.08,5.08,1180.00,5.08,5.08,5.08,5.08,1180.00,5.25,5.25,5.08,5.25,274940.00,5.30,1999-04-29
5.51,5.51,5.51,5.51,3257980.00,5.93,5.93,5.93,5.93,1180.00,5.08,5.08,5.08,5.08,1180.00,5.08,5.08,5.08,5.08,1180.00,5.25,5.25,5.08,5.25,274940.00,5.30,5.30,5.25,5.30,23600.00,5.21,1999-04-30
