Open_t-6,High_t-6,Low_t-6,Close_t-6,Volume_t-6,Open_t-5,High_t-5,Low_t-5,Close_t-5,Volume_t-5,Open_t-4,High_t-4,Low_t-4,Close_t-4,Volume_t-4,Open_t-3,High_t-3,Low_t-3,Close_t-3,Volume_t-3,Open_t-2,High_t-2,Low_t-2,Close_t-2,Volume_t-2,Open_t-1,High_t-1,Low_t-1,Close_t-1,Volume_t-1,Close_t,Date_t
20.03,20.24,19.60,19.60,9799081.00,19.81,20.03,19.81,19.81,5050348.00,19.81,19.81,19.38,19.81,7827563.00,19.60,19.81,19.60,19.81,4093960.00,19.81,19.81,19.60,19.60,1513874.00,19.38,19.38,19.38,19.38,1302581.00,19.38,2006-02-20
19.81,20.03,19.81,19.81,5050348.00,19.81,19.81,19.38,19.81,7827563.00,19.60,19.81,19.60,19.81,4093960.00,19.81,19.81,19.60,19.60,1513874.00,19.38,19.38,19.38,19.38,1302581.00,19.38,19.60,19.38,19.38,1370149.00,19.38,2006-02-21
19.81,19.81,19.38,19.81,7827563.00,19.60,19.81,19.60,19.81,4093960.00,19.81,19.81,19.60,19.60,1513874.00,19.38,19.38,19.38,19.38,1302581.00,19.38,19.60,19.38,19.38,1370149.00,19.38,19.60,19.38,19.38,2329322.00,19.60,2006-02-22
19.60,19.81,19.60,19.81,4093960.00,19.81,19.81,19.60,19.60,1513874.00,19.38,19.38,19.38,19.38,1302581.00,19.38,19.60,19.38,19.38,1370149.00,19.38,19.60,19.38,19.38,2329322.00,19.38,19.60,19.38,19.60,816842.00,19.38,2006-02-23
19.81,19.81,19.60,19.60,1513874.00,19.38,19.38,19.38,19.38,1302581.00,19.38,19.60,19.38,19.38,1370149.00,19.38,19.60,19.38,19.38,2329322.00,19.38,19.60,19.38,19.60,816842.00,19.60,19.60,19.38,19.38,235208.00,19.17,2006-02-24
19.38,19.38,19.38,19.38,1302581.00,19.38,19.60,19.38,19.38,1370149.00,19.38,19.60,19.38,19.38,2329322.00,19.38,19.60,19.38,19.60,816842.00,19.60,19.60,19.38,19.38,235208.00,19.38,19.38,19.17,19.17,5490114.00,19.17,2006-02-27
19.38,19.60,19.38,19.38,1370149.00,19.38,19.60,19.38,19.38,2329322.00,19.38,19.60,19.38,19.60,816842.00,19.60,19.60,19.38,19.38,235208.00,19.38,19.38,19.17,19.17,5490114.00,19.17,19.38,19.17,19.17,2407570.00,19.38,2006-02-28
19.38,19.60,19.38,19.38,2329322.00,19.38,19.60,19.38,19.60,816842.00,19.60,19.60,19.38,19.38,235208.00,19.38,19.38,19.17,19.17,5490114.00,19.17,19.38,19.17,19.17,2407570.00,19.38,19.38,19.17,19.38,9657910.00,19.17,2006-03-01
19.38,19.60,19.38,19.60,816842.00,19.60,19.60,19.38,19.38,235208.00,19.38,19.38,19.17,19.17,5490114.00,19.17,19.38,19.17,19.17,2407570.00,19.38,19.38,19.17,19.38,9657910.00,19.38,19.38,19.17,19.17,192020.00,19.38,2006-03-02
19.60,19.60,19.38,19.38,235208.00,19.38,19.38,19.17,19.17,5490114.00,19.17,19.38,19.17,19.17,2407570.00,19.38,19.38,19.17,19.38,9657910.00,19.38,19.38,19.17,19.17,192020.00,19.38,19.38,19.17,19.38,630858.00,19.17,2006-03-03
19.38,19.38,19.17,19.17,5490114.00,19.17,19.38,19.17,19.17,2407570.00,19.38,19.38,19.17,19.38,9657910.00,19.38,19.38,19.17,19.17,192020.00,19.38,19.38,19.17,19.38,630858.00,19.38,19.38,19.17,19.17,730467.00,19.38,2006-03-06
19.17,19.38,19.17,19.17,2407570.00,19.38,19.38,19.17,19.38,9657910.00,19.38,19.38,19.17,19.17,192020.00,19.38,19.38,19.17,19.38,630858.00,19.38,19.38,19.17,19.17,730467.00,19.38,19.38,19.17,19.38,65013.00,19.38,2006-03-07
19.38,19.38,19.17,19.38,9657910.00,19.38,19.38,19.17,19.17,192020.00,19.38,19.38,19.17,19.38,630858.00,19.38,19.38,19.17,19.17,730467.00,19.38,19.38,19.17,19.38,65013.00,19.38,19.38,19.17,19.38,1577494.00,19.38,2006-03-08
19.38,19.38,19.17,19.17,192020.00,19.38,19.38,19.17,19.38,630858.00,19.38,19.38,19.17,19.17,730467.00,19.38,19.38,19.17,19.38,65013.00,19.38,19.38,19.17,19.38,1577494.00,19.17,19.38,19.17,19.38,2168183.00,19.38,2006-03-09
19.38,19.38,19.17,19.38,630858.00,19.38,19.38,19.17,19.17,730467.00,19.38,19.38,19.17,19.38,65013.00,19.38,19.38,19.17,19.38,1577494.00,19.17,19.38,19.17,19.38,2168183.00,19.38,19.38,19.17,19.38,41097.00,19.17,2006-03-10
19.38,19.38,19.17,19.17,730467.00,19.38,19.38,19.17,19.38,65013.00,19.38,19.38,19.17,19.38,1577494.00,19.17,19.38,19.17,19.38,2168183.00,19.38,19.38,19.17,19.38,41097.00,19.38,19.38,19.17,19.17,5220774.00,18.52,2006-03-13
19.38,19.38,19.17,19.38,65013.00,19.38,19.38,19.17,19.38,1577494.00,19.17,19.38,19.17,19.38,2168183.00,19.38,19.38,19.17,19.38,41097.00,19.38,19.38,19.17,19.17,5220774.00,18.95,18.95,18.52,18.52,14396.00,19.17,2006-03-14
