Open_t-6,High_t-6,Low_t-6,Close_t-6,Volume_t-6,Open_t-5,High_t-5,Low_t-5,Close_t-5,Volume_t-5,Open_t-4,High_t-4,Low_t-4,Close_t-4,Volume_t-4,Open_t-3,High_t-3,Low_t-3,Close_t-3,Volume_t-3,Open_t-2,High_t-2,Low_t-2,Close_t-2,Volume_t-2,Open_t-1,High_t-1,Low_t-1,Close_t-1,Volume_t-1,Close_t,Date_t
737.85,747.43,737.85,737.85,4534.00,747.43,747.43,737.85,747.43,2742.00,728.26,728.26,718.68,728.26,1740.00,728.26,737.85,728.26,728.26,697.00,709.10,709.10,699.52,709.10,532.00,689.93,689.93,680.35,689.93,1655.00,680.35,1995-01-11
747.43,747.43,737.85,747.43,2742.00,728.26,728.26,718.68,728.26,1740.00,728.26,737.85,728.26,728.26,697.00,709.10,709.10,699.52,709.10,532.00,689.93,689.93,680.35,689.93,1655.00,680.35,680.35,674.60,680.35,428.00,632.44,1995-01-13
728.26,728.26,718.68,728.26,1740.00,728.26,737.85,728.26,728.26,697.00,709.10,709.10,699.52,709.10,532.00,689.93,689.93,680.35,689.93,1655.00,680.35,680.35,674.60,680.35,428.00,632.44,642.02,632.44,632.44,5883.00,584.53,1995-01-16
728.26,737.85,728.26,728.26,697.00,709.10,709.10,699.52,709.10,532.00,689.93,689.93,680.35,689.93,1655.00,680.35,680.35,674.60,680.35,428.00,632.44,642.02,632.44,632.44,5883.00,584.53,594.11,584.53,584.53,6786.00,603.69,1995-01-17
709.10,709.10,699.52,709.10,532.00,689.93,689.93,680.35,689.93,1655.00,680.35,680.35,674.60,680.35,428.00,632.44,642.02,632.44,632.44,5883.00,584.53,594.11,584.53,584.53,6786.00,603.69,613.28,603.69,603.69,5922.00,603.69,1995-01-18
689.93,689.93,680.35,689.93,1655.00,680.35,680.35,674.60,680.35,428.00,632.44,642.02,632.44,632.44,5883.00,584.53,594.11,584.53,584.53,6786.00,603.69,613.28,603.69,603.69,5922.00,603.69,603.69,594.11,603.69,4250.00,613.28,1995-01-19
680.35,680.35,674.60,680.35,428.00,632.44,642.02,632.44,632.44,5883.00,584.53,594.11,584.53,584.53,6786.00,603.69,613.28,603.69,603.69,5922.00,603.69,603.69,594.11,603.69,4250.00,613.28,613.28,603.69,613.28,1615.00,584.53,1995-01-20
632.44,642.02,632.44,632.44,5883.00,584.53,594.11,584.53,584.53,6786.00,603.69,613.28,603.69,603.69,5922.00,603.69,603.69,594.11,603.69,4250.00,613.28,613.28,603.69,613.28,1615.00,584.53,584.53,574.95,584.53,2888.00,565.36,1995-01-23
584.53,594.11,584.53,584.53,6786.00,603.69,613.28,603.69,603.69,5922.00,603.69,603.69,594.11,603.69,4250.00,613.28,613.28,603.69,613.28,1615.00,584.53,584.53,574.95,584.53,2888.00,565.36,565.36,555.78,565.36,2374.00,555.78,1995-01-24
603.69,613.28,603.69,603.69,5922.00,603.69,603.69,594.11,603.69,4250.00,613.28,613.28,603.69,613.28,1615.00,584.53,584.53,574.95,584.53,2888.00,565.36,565.36,555.78,565.36,2374.00,555.78,565.36,555.78,555.78,1902.00,555.78,1995-01-25
