Open_t-6,High_t-6,Low_t-6,Close_t-6,Volume_t-6,Open_t-5,High_t-5,Low_t-5,Close_t-5,Volume_t-5,Open_t-4,High_t-4,Low_t-4,Close_t-4,Volume_t-4,Open_t-3,High_t-3,Low_t-3,Close_t-3,Volume_t-3,Open_t-2,High_t-2,Low_t-2,Close_t-2,Volume_t-2,Open_t-1,High_t-1,Low_t-1,Close_t-1,Volume_t-1,Close_t,Date_t
8.70,10.50,8.70,10.50,57372000.00,11.50,11.50,10.25,10.75,19690200.00,10.50,11.75,10.25,11.00,12664900.00,11.50,11.50,10.25,10.50,5575600.00,10.75,10.75,9.70,10.25,2945000.00,10.00,10.25,9.70,10.25,3838500.00,10.25,2007-08-07
11.50,11.50,10.25,10.75,19690200.00,10.50,11.75,10.25,11.00,12664900.00,11.50,11.50,10.25,10.50,5575600.00,10.75,10.75,9.70,10.25,2945000.00,10.00,10.25,9.70,10.25,3838500.00,10.50,10.50,10.25,10.25,1993500.00,10.25,2007-08-08
10.50,11.75,10.25,11.00,12664900.00,11.50,11.50,10.25,10.50,5575600.00,10.75,10.75,9.70,10.25,2945000.00,10.00,10.25,9.70,10.25,3838500.00,10.50,10.50,10.25,10.25,1993500.00,10.25,10.50,10.00,10.25,487600.00,10.00,2007-08-09
11.50,11.50,10.25,10.50,5575600.00,10.75,10.75,9.70,10.25,2945000.00,10.00,10.25,9.70,10.25,3838500.00,10.50,10.50,10.25,10.25,1993500.00,10.25,10.50,10.00,10.25,487600.00,10.25,10.25,10.00,10.00,924200.00,9.90,2007-08-10
10.75,10.75,9.70,10.25,2945000.00,10.00,10.25,9.70,10.25,3838500.00,10.50,10.50,10.25,10.25,1993500.00,10.25,10.50,10.00,10.25,487600.00,10.25,10.25,10.00,10.00,924200.00,9.90,10.00,9.70,9.90,1046000.00,9.80,2007-08-13
10.00,10.25,9.70,10.25,3838500.00,10.50,10.50,10.25,10.25,1993500.00,10.25,10.50,10.00,10.25,487600.00,10.25,10.25,10.00,10.00,924200.00,9.90,10.00,9.70,9.90,1046000.00,9.90,10.00,9.80,9.80,734000.00,9.80,2007-08-14
10.50,10.50,10.25,10.25,1993500.00,10.25,10.50,10.00,10.25,487600.00,10.25,10.25,10.00,10.00,924200.00,9.90,10.00,9.70,9.90,1046000.00,9.90,10.00,9.80,9.80,734000.00,9.80,10.00,9.50,9.80,1698000.00,9.50,2007-08-15
10.25,10.50,10.00,10.25,487600.00,10.25,10.25,10.00,10.00,924200.00,9.90,10.00,9.70,9.90,1046000.00,9.90,10.00,9.80,9.80,734000.00,9.80,10.00,9.50,9.80,1698000.00,9.50,9.60,9.40,9.50,1079000.00,9.20,2007-08-16
10.25,10.25,10.00,10.00,924200.00,9.90,10.00,9.70,9.90,1046000.00,9.90,10.00,9.80,9.80,734000.00,9.80,10.00,9.50,9.80,1698000.00,9.50,9.60,9.40,9.50,1079000.00,9.50,9.50,9.00,9.20,929000.00,8.80,2007-08-17
9.90,10.00,9.70,9.90,1046000.00,9.90,10.00,9.80,9.80,734000.00,9.80,10.00,9.50,9.80,1698000.00,9.50,9.60,9.40,9.50,1079000.00,9.50,9.50,9.00,9.20,929000.00,9.00,9.20,8.80,8.80,1343000.00,9.40,2007-08-21
9.90,10.00,9.80,9.80,734000.00,9.80,10.00,9.50,9.80,1698000.00,9.50,9.60,9.40,9.50,1079000.00,9.50,9.50,9.00,9.20,929000.00,9.00,9.20,8.80,8.80,1343000.00,9.30,9.60,9.30,9.40,2117000.00,9.40,2007-08-22
9.80,10.00,9.50,9.80,1698000.00,9.50,9.60,9.40,9.50,1079000.00,9.50,9.50,9.00,9.20,929000.00,9.00,9.20,8.80,8.80,1343000.00,9.30,9.60,9.30,9.40,2117000.00,9.40,9.40,9.30,9.40,519000.00,9.70,2007-08-23
9.50,9.60,9.40,9.50,1079000.00,9.50,9.50,9.00,9.20,929000.00,9.00,9.20,8.80,8.80,1343000.00,9.30,9.60,9.30,9.40,2117000.00,9.40,9.40,9.30,9.40,519000.00,9.50,9.80,9.50,9.70,823000.00,9.60,2007-08-24
9.50,9.50,9.00,9.20,929000.00,9.00,9.20,8.80,8.80,1343000.00,9.30,9.60,9.30,9.40,2117000.00,9.40,9.40,9.30,9.40,519000.00,9.50,9.80,9.50,9.70,823000.00,9.70,9.70,9.50,9.60,596000.00,9.70,2007-08-28
9.00,9.20,8.80,8.80,1343000.00,9.30,9.60,9.30,9.40,2117000.00,9.40,9.40,9.30,9.40,519000.00,9.50,9.80,9.50,9.70,823000.00,9.70,9.70,9.50,9.60,596000.00,9.60,9.70,9.60,9.70,247000.00,9.50,2007-08-29
9.30,9.60,9.30,9.40,2117000.00,9.40,9.40,9.30,9.40,519000.00,9.50,9.80,9.50,9.70,823000.00,9.70,9.70,9.50,9.60,596000.00,9.60,9.70,9.60,9.70,247000.00,9.70,9.70,9.40,9.50,712000.00,10.00,2007-08-30
9.40,9.40,9.30,9.40,519000.00,9.50,9.80,9.50,9.70,823000.00,9.70,9.70,9.50,9.60,596000.00,9.60,9.70,9.60,9.70,247000.00,9.70,9.70,9.40,9.50,712000.00,9.50,10.00,9.50,10.00,1925000.00,10.00,2007-08-31
9.50,9.80,9.50,9.70,823000.00,9.70,9.70,9.50,9.60,596000.00,9.60,9.70,9.60,9.70,247000.00,9.70,9.70,9.40,9.50,712000.00,9.50,10.00,9.50,10.00,1925000.00,10.00,10.25,9.90,10.00,1253000.00,10.00,2007-09-03
9.70,9.70,9.50,9.60,596000.00,9.60,9.70,9.60,9.70,247000.00,9.70,9.70,9.40,9.50,712000.00,9.50,10.00,9.50,10.00,1925000.00,10.00,10.25,9.90,10.00,1253000.00,10.00,10.00,10.00,10.00,446000.00,9.90,2007-09-04
9.60,9.70,9.60,9.70,247000.00,9.70,9.70,9.40,9.50,712000.00,9.50,10.00,9.50,10.00,1925000.00,10.00,10.25,9.90,10.00,1253000.00,10.00,10.00,10.00,10.00,446000.00,10.00,10.00,9.60,9.90,472000.00,10.00,2007-09-05
9.70,9.70,9.40,9.50,712000.00,9.50,10.00,9.50,10.00,1925000.00,10.00,10.25,9.90,10.00,1253000.00,10.00,10.00,10.00,10.00,446000.00,10.00,10.00,9.60,9.90,472000.00,9.90,10.00,9.70,10.00,563000.00,9.80,2007-09-06
9.50,10.00,9.50,10.00,1925000.00,10.00,10.25,9.90,10.00,1253000.00,10.00,10.00,10.00,10.00,446000.00,10.00,10.00,9.60,9.90,472000.00,9.90,10.00,9.70,10.00,563000.00,9.60,9.80,9.60,9.80,555000.00,9.60,2007-09-07
10.00,10.25,9.90,10.00,1253000.00,10.00,10.00,10.00,10.00,446000.00,10.00,10.00,9.60,9.90,472000.00,9.90,10.00,9.70,10.00,563000.00,9.60,9.80,9.60,9.80,555000.00,9.60,9.60,9.50,9.60,755000.00,9.30,2007-09-10
10.00,10.00,10.00,10.00,446000.00,10.00,10.00,9.60,9.90,472000.00,9.90,10.00,9.70,10.00,563000.00,9.60,9.80,9.60,9.80,555000.00,9.60,9.60,9.50,9.60,755000.00,9.40,9.40,9.10,9.30,531000.00,9.30,2007-09-11
10.00,10.00,9.60,9.90,472000.00,9.90,10.00,9.70,10.00,563000.00,9.60,9.80,9.60,9.80,555000.00,9.60,9.60,9.50,9.60,755000.00,9.40,9.40,9.10,9.30,531000.00,9.20,9.40,9.20,9.30,337000.00,9.40,2007-09-12
9.90,10.00,9.70,10.00,563000.00,9.60,9.80,9.60,9.80,555000.00,9.60,9.60,9.50,9.60,755000.00,9.40,9.40,9.10,9.30,531000.00,9.20,9.40,9.20,9.30,337000.00,9.40,9.50,9.40,9.40,249000.00,9.30,2007-09-13
9.60,9.80,9.60,9.80,555000.00,9.60,9.60,9.50,9.60,755000.00,9.40,9.40,9.10,9.30,531000.00,9.20,9.40,9.20,9.30,337000.00,9.40,9.50,9.40,9.40,249000.00,9.50,9.50,9.30,9.30,186000.00,9.50,2007-09-14
9.60,9.60,9.50,9.60,755000.00,9.40,9.40,9.10,9.30,531000.00,9.20,9.40,9.20,9.30,337000.00,9.40,9.50,9.40,9.40,249000.00,9.50,9.50,9.30,9.30,186000.00,9.40,9.50,9.40,9.50,208000.00,9.50,2007-09-17
9.40,9.40,9.10,9.30,531000.00,9.20,9.40,9.20,9.30,337000.00,9.40,9.50,9.40,9.40,249000.00,9.50,9.50,9.30,9.30,186000.00,9.40,9.50,9.40,9.50,208000.00,9.30,9.50,9.30,9.50,197000.00,9.10,2007-09-18
9.20,9.40,9.20,9.30,337000.00,9.40,9.50,9.40,9.40,249000.00,9.50,9.50,9.30,9.30,186000.00,9.40,9.50,9.40,9.50,208000.00,9.30,9.50,9.30,9.50,197000.00,9.50,9.50,9.10,9.10,1616000.00,9.50,2007-09-19
9.40,9.50,9.40,9.40,249000.00,9.50,9.50,9.30,9.30,186000.00,9.40,9.50,9.40,9.50,208000.00,9.30,9.50,9.30,9.50,197000.00,9.50,9.50,9.10,9.10,1616000.00,9.40,9.50,9.40,9.50,290000.00,9.50,2007-09-20
9.50,9.50,9.30,9.30,186000.00,9.40,9.50,9.40,9.50,208000.00,9.30,9.50,9.30,9.50,197000.00,9.50,9.50,9.10,9.10,1616000.00,9.40,9.50,9.40,9.50,290000.00,9.50,9.50,9.20,9.50,630000.00,9.50,2007-09-21
9.40,9.50,9.40,9.50,208000.00,9.30,9.50,9.30,9.50,197000.00,9.50,9.50,9.10,9.10,1616000.00,9.40,9.50,9.40,9.50,290000.00,9.50,9.50,9.20,9.50,630000.00,9.50,9.50,9.30,9.50,201000.00,9.40,2007-09-24
9.30,9.50,9.30,9.50,197000.00,9.50,9.50,9.10,9.10,1616000.00,9.40,9.50,9.40,9.50,290000.00,9.50,9.50,9.20,9.50,630000.00,9.50,9.50,9.30,9.50,201000.00,9.40,9.40,9.20,9.40,482000.00,9.50,2007-09-25
9.50,9.50,9.10,9.10,1616000.00,9.40,9.50,9.40,9.50,290000.00,9.50,9.50,9.20,9.50,630000.00,9.50,9.50,9.30,9.50,201000.00,9.40,9.40,9.20,9.40,482000.00,9.20,9.50,9.20,9.50,326000.00,9.10,2007-09-26
9.40,9.50,9.40,9.50,290000.00,9.50,9.50,9.20,9.50,630000.00,9.50,9.50,9.30,9.50,201000.00,9.40,9.40,9.20,9.40,482000.00,9.20,9.50,9.20,9.50,326000.00,9.40,9.40,9.00,9.10,1250000.00,9.20,2007-09-27
9.50,9.50,9.20,9.50,630000.00,9.50,9.50,9.30,9.50,201000.00,9.40,9.40,9.20,9.40,482000.00,9.20,9.50,9.20,9.50,326000.00,9.40,9.40,9.00,9.10,1250000.00,9.10,9.20,9.00,9.20,620000.00,9.50,2007-09-28
9.50,9.50,9.30,9.50,201000.00,9.40,9.40,9.20,9.40,482000.00,9.20,9.50,9.20,9.50,326000.00,9.40,9.40,9.00,9.10,1250000.00,9.10,9.20,9.00,9.20,620000.00,9.20,9.50,9.20,9.50,849000.00,9.30,2007-10-01
9.40,9.40,9.20,9.40,482000.00,9.20,9.50,9.20,9.50,326000.00,9.40,9.40,9.00,9.10,1250000.00,9.10,9.20,9.00,9.20,620000.00,9.20,9.50,9.20,9.50,849000.00,9.30,9.40,9.30,9.30,631000.00,9.50,2007-10-02
9.20,9.50,9.20,9.50,326000.00,9.40,9.40,9.00,9.10,1250000.00,9.10,9.20,9.00,9.20,620000.00,9.20,9.50,9.20,9.50,849000.00,9.30,9.40,9.30,9.30,631000.00,9.40,9.60,9.40,9.50,1567000.00,9.30,2007-10-03
9.40,9.40,9.00,9.10,1250000.00,9.10,9.20,9.00,9.20,620000.00,9.20,9.50,9.20,9.50,849000.00,9.30,9.40,9.30,9.30,631000.00,9.40,9.60,9.40,9.50,1567000.00,9.50,9.50,9.30,9.30,621000.00,9.50,2007-10-04
9.10,9.20,9.00,9.20,620000.00,9.20,9.50,9.20,9.50,849000.00,9.30,9.40,9.30,9.30,631000.00,9.40,9.60,9.40,9.50,1567000.00,9.50,9.50,9.30,9.30,621000.00,9.20,9.50,9.20,9.50,537000.00,9.10,2007-10-05
9.20,9.50,9.20,9.50,849000.00,9.30,9.40,9.30,9.30,631000.00,9.40,9.60,9.40,9.50,1567000.00,9.50,9.50,9.30,9.30,621000.00,9.20,9.50,9.20,9.50,537000.00,9.50,9.50,9.10,9.10,921000.00,9.10,2007-10-08
9.30,9.40,9.30,9.30,631000.00,9.40,9.60,9.40,9.50,1567000.00,9.50,9.50,9.30,9.30,621000.00,9.20,9.50,9.20,9.50,537000.00,9.50,9.50,9.10,9.10,921000.00,9.10,9.30,9.10,9.10,2305000.00,9.00,2007-10-09
9.40,9.60,9.40,9.50,1567000.00,9.50,9.50,9.30,9.30,621000.00,9.20,9.50,9.20,9.50,537000.00,9.50,9.50,9.10,9.10,921000.00,9.10,9.30,9.10,9.10,2305000.00,9.10,9.20,8.90,9.00,1602000.00,8.90,2007-10-10
9.50,9.50,9.30,9.30,621000.00,9.20,9.50,9.20,9.50,537000.00,9.50,9.50,9.10,9.10,921000.00,9.10,9.30,9.10,9.10,2305000.00,9.10,9.20,8.90,9.00,1602000.00,9.00,9.20,8.90,8.90,2467000.00,8.90,2007-10-11
9.20,9.50,9.20,9.50,537000.00,9.50,9.50,9.10,9.10,921000.00,9.10,9.30,9.10,9.10,2305000.00,9.10,9.20,8.90,9.00,1602000.00,9.00,9.20,8.90,8.90,2467000.00,8.90,9.00,8.90,8.90,283000.00,8.80,2007-10-15
9.50,9.50,9.10,9.10,921000.00,9.10,9.30,9.10,9.10,2305000.00,9.10,9.20,8.90,9.00,1602000.00,9.00,9.20,8.90,8.90,2467000.00,8.90,9.00,8.90,8.90,283000.00,8.90,9.00,8.80,8.80,1137000.00,8.70,2007-10-16
9.10,9.30,9.10,9.10,2305000.00,9.10,9.20,8.90,9.00,1602000.00,9.00,9.20,8.90,8.90,2467000.00,8.90,9.00,8.90,8.90,283000.00,8.90,9.00,8.80,8.80,1137000.00,8.80,8.80,8.70,8.70,580000.00,8.60,2007-10-17
9.10,9.20,8.90,9.00,1602000.00,9.00,9.20,8.90,8.90,2467000.00,8.90,9.00,8.90,8.90,283000.00,8.90,9.00,8.80,8.80,1137000.00,8.80,8.80,8.70,8.70,580000.00,8.70,8.70,8.50,8.60,1777000.00,8.50,2007-10-18
9.00,9.20,8.90,8.90,2467000.00,8.90,9.00,8.90,8.90,283000.00,8.90,9.00,8.80,8.80,1137000.00,8.80,8.80,8.70,8.70,580000.00,8.70,8.70,8.50,8.60,1777000.00,8.60,8.60,8.40,8.50,1115000.00,8.60,2007-10-19
