Open_t-6,High_t-6,Low_t-6,Close_t-6,Volume_t-6,Open_t-5,High_t-5,Low_t-5,Close_t-5,Volume_t-5,Open_t-4,High_t-4,Low_t-4,Close_t-4,Volume_t-4,Open_t-3,High_t-3,Low_t-3,Close_t-3,Volume_t-3,Open_t-2,High_t-2,Low_t-2,Close_t-2,Volume_t-2,Open_t-1,High_t-1,Low_t-1,Close_t-1,Volume_t-1,Close_t,Date_t
4.92,4.92,4.86,4.92,1530562.00,4.92,4.92,4.86,4.92,2152406.00,4.68,4.74,4.68,4.68,422719.00,4.68,4.74,4.68,4.68,356906.00,4.68,4.68,4.62,4.68,2798297.00,4.62,4.74,4.56,4.62,8852624.00,4.56,1995-01-11
4.92,4.92,4.86,4.92,2152406.00,4.68,4.74,4.68,4.68,422719.00,4.68,4.74,4.68,4.68,356906.00,4.68,4.68,4.62,4.68,2798297.00,4.62,4.74,4.56,4.62,8852624.00,4.56,4.56,4.50,4.56,3271218.00,4.40,1995-01-13
4.68,4.74,4.68,4.68,422719.00,4.68,4.74,4.68,4.68,356906.00,4.68,4.68,4.62,4.68,2798297.00,4.62,4.74,4.56,4.62,8852624.00,4.56,4.56,4.50,4.56,3271218.00,4.40,4.44,4.39,4.40,256922.00,4.17,1995-01-16
4.68,4.74,4.68,4.68,356906.00,4.68,4.68,4.62,4.68,2798297.00,4.62,4.74,4.56,4.62,8852624.00,4.56,4.56,4.50,4.56,3271218.00,4.40,4.44,4.39,4.40,256922.00,4.17,4.21,4.15,4.17,983391.00,4.44,1995-01-17
4.68,4.68,4.62,4.68,2798297.00,4.62,4.74,4.56,4.62,8852624.00,4.56,4.56,4.50,4.56,3271218.00,4.40,4.44,4.39,4.40,256922.00,4.17,4.21,4.15,4.17,983391.00,4.44,4.50,4.44,4.44,4298906.00,4.56,1995-01-18
4.62,4.74,4.56,4.62,8852624.00,4.56,4.56,4.50,4.56,3271218.00,4.40,4.44,4.39,4.40,256922.00,4.17,4.21,4.15,4.17,983391.00,4.44,4.50,4.44,4.44,4298906.00,4.56,4.56,4.50,4.56,1221750.00,4.56,1995-01-19
4.56,4.56,4.50,4.56,3271218.00,4.40,4.44,4.39,4.40,256922.00,4.17,4.21,4.15,4.17,983391.00,4.44,4.50,4.44,4.44,4298906.00,4.56,4.56,4.50,4.56,1221750.00,4.56,4.62,4.56,4.56,4079109.00,4.39,1995-01-20
4.40,4.44,4.39,4.40,256922.00,4.17,4.21,4.15,4.17,983391.00,4.44,4.50,4.44,4.44,4298906.00,4.56,4.56,4.50,4.56,1221750.00,4.56,4.62,4.56,4.56,4079109.00,4.39,4.44,4.33,4.39,2720672.00,4.39,1995-01-23
4.17,4.21,4.15,4.17,983391.00,4.44,4.50,4.44,4.44,4298906.00,4.56,4.56,4.50,4.56,1221750.00,4.56,4.62,4.56,4.56,4079109.00,4.39,4.44,4.33,4.39,2720672.00,4.39,4.44,4.39,4.39,255656.00,4.33,1995-01-24
4.44,4.50,4.44,4.44,4298906.00,4.56,4.56,4.50,4.56,1221750.00,4.56,4.62,4.56,4.56,4079109.00,4.39,4.44,4.33,4.39,2720672.00,4.39,4.44,4.39,4.39,255656.00,4.33,4.39,4.33,4.33,3091500.00,4.27,1995-01-25
4.56,4.56,4.50,4.56,1221750.00,4.56,4.62,4.56,4.56,4079109.00,4.39,4.44,4.33,4.39,2720672.00,4.39,4.44,4.39,4.39,255656.00,4.33,4.39,4.33,4.33,3091500.00,4.27,4.33,4.27,4.27,679641.00,4.21,1995-01-26
4.56,4.62,4.56,4.56,4079109.00,4.39,4.44,4.33,4.39,2720672.00,4.39,4.44,4.39,4.39,255656.00,4.33,4.39,4.33,4.33,3091500.00,4.27,4.33,4.27,4.27,679641.00,4.21,4.27,4.21,4.21,1862578.00,4.27,1995-01-27
4.39,4.44,4.33,4.39,2720672.00,4.39,4.44,4.39,4.39,255656.00,4.33,4.39,4.33,4.33,3091500.00,4.27,4.33,4.27,4.27,679641.00,4.21,4.27,4.21,4.21,1862578.00,4.27,4.27,4.21,4.27,831094.00,4.27,1995-01-30
4.39,4.44,4.39,4.39,255656.00,4.33,4.39,4.33,4.33,3091500.00,4.27,4.33,4.27,4.27,679641.00,4.21,4.27,4.21,4.21,1862578.00,4.27,4.27,4.21,4.27,831094.00,4.27,4.27,4.21,4.27,155672.00,4.27,1995-02-01
