Open_t-6,High_t-6,Low_t-6,Close_t-6,Volume_t-6,Open_t-5,High_t-5,Low_t-5,Close_t-5,Volume_t-5,Open_t-4,High_t-4,Low_t-4,Close_t-4,Volume_t-4,Open_t-3,High_t-3,Low_t-3,Close_t-3,Volume_t-3,Open_t-2,High_t-2,Low_t-2,Close_t-2,Volume_t-2,Open_t-1,High_t-1,Low_t-1,Close_t-1,Volume_t-1,Close_t,Date_t
8.64,8.83,8.48,8.64,355469.00,8.48,8.48,8.32,8.48,112344.00,8.48,8.64,8.48,8.48,19844.00,8.48,8.48,8.32,8.48,122656.00,8.48,8.48,8.32,8.48,193594.00,8.16,8.32,8.16,8.16,1270312.00,8.00,1995-01-13
8.48,8.48,8.32,8.48,112344.00,8.48,8.64,8.48,8.48,19844.00,8.48,8.48,8.32,8.48,122656.00,8.48,8.48,8.32,8.48,193594.00,8.16,8.32,8.16,8.16,1270312.00,8.00,8.00,7.68,8.00,461094.00,7.68,1995-01-16
8.48,8.64,8.48,8.48,19844.00,8.48,8.48,8.32,8.48,122656.00,8.48,8.48,8.32,8.48,193594.00,8.16,8.32,8.16,8.16,1270312.00,8.00,8.00,7.68,8.00,461094.00,7.68,7.84,7.68,7.68,433281.00,7.84,1995-01-17
8.48,8.48,8.32,8.48,122656.00,8.48,8.48,8.32,8.48,193594.00,8.16,8.32,8.16,8.16,1270312.00,8.00,8.00,7.68,8.00,461094.00,7.68,7.84,7.68,7.68,433281.00,7.84,7.84,7.68,7.84,669344.00,7.84,1995-01-18
8.48,8.48,8.32,8.48,193594.00,8.16,8.32,8.16,8.16,1270312.00,8.00,8.00,7.68,8.00,461094.00,7.68,7.84,7.68,7.68,433281.00,7.84,7.84,7.68,7.84,669344.00,7.84,7.84,7.68,7.84,368906.00,7.84,1995-01-19
8.16,8.32,8.16,8.16,1270312.00,8.00,8.00,7.68,8.00,461094.00,7.68,7.84,7.68,7.68,433281.00,7.84,7.84,7.68,7.84,669344.00,7.84,7.84,7.68,7.84,368906.00,7.84,8.00,7.84,7.84,193594.00,7.20,1995-01-23
8.00,8.00,7.68,8.00,461094.00,7.68,7.84,7.68,7.68,433281.00,7.84,7.84,7.68,7.84,669344.00,7.84,7.84,7.68,7.84,368906.00,7.84,8.00,7.84,7.84,193594.00,7.20,7.36,7.20,7.20,262500.00,7.20,1995-01-24
7.68,7.84,7.68,7.68,433281.00,7.84,7.84,7.68,7.84,669344.00,7.84,7.84,7.68,7.84,368906.00,7.84,8.00,7.84,7.84,193594.00,7.20,7.36,7.20,7.20,262500.00,7.20,7.20,7.04,7.20,245625.00,7.20,1995-01-25
7.84,7.84,7.68,7.84,669344.00,7.84,7.84,7.68,7.84,368906.00,7.84,8.00,7.84,7.84,193594.00,7.20,7.36,7.20,7.20,262500.00,7.20,7.20,7.04,7.20,245625.00,7.20,7.36,7.20,7.20,246406.00,7.52,1995-01-26
7.84,7.84,7.68,7.84,368906.00,7.84,8.00,7.84,7.84,193594.00,7.20,7.36,7.20,7.20,262500.00,7.20,7.20,7.04,7.20,245625.00,7.20,7.36,7.20,7.20,246406.00,7.52,7.52,7.36,7.52,160469.00,7.36,1995-01-27
7.84,8.00,7.84,7.84,193594.00,7.20,7.36,7.20,7.20,262500.00,7.20,7.20,7.04,7.20,245625.00,7.20,7.36,7.20,7.20,246406.00,7.52,7.52,7.36,7.52,160469.00,7.36,7.68,7.36,7.36,151562.00,7.20,1995-01-30
7.20,7.36,7.20,7.20,262500.00,7.20,7.20,7.04,7.20,245625.00,7.20,7.36,7.20,7.20,246406.00,7.52,7.52,7.36,7.52,160469.00,7.36,7.68,7.36,7.36,151562.00,7.20,7.36,7.20,7.20,102187.00,7.68,1995-02-01
7.20,7.20,7.04,7.20,245625.00,7.20,7.36,7.20,7.20,246406.00,7.52,7.52,7.36,7.52,160469.00,7.36,7.68,7.36,7.36,151562.00,7.20,7.36,7.20,7.20,102187.00,7.68,7.68,7.52,7.68,3079687.00,7.36,1995-02-02
7.20,7.36,7.20,7.20,246406.00,7.52,7.52,7.36,7.52,160469.00,7.36,7.68,7.36,7.36,151562.00,7.20,7.36,7.20,7.20,102187.00,7.68,7.68,7.52,7.68,3079687.00,7.36,7.52,7.36,7.36,996719.00,7.68,1995-02-03
7.52,7.52,7.36,7.52,160469.00,7.36,7.68,7.36,7.36,151562.00,7.20,7.36,7.20,7.20,102187.00,7.68,7.68,7.52,7.68,3079687.00,7.36,7.52,7.36,7.36,996719.00,7.68,7.84,7.68,7.68,267031.00,8.00,1995-02-06
7.36,7.68,7.36,7.36,151562.00,7.20,7.36,7.20,7.20,102187.00,7.68,7.68,7.52,7.68,3079687.00,7.36,7.52,7.36,7.36,996719.00,7.68,7.84,7.68,7.68,267031.00,8.00,8.00,7.84,8.00,1947031.00,7.84,1995-02-07
7.20,7.36,7.20,7.20,102187.00,7.68,7.68,7.52,7.68,3079687.00,7.36,7.52,7.36,7.36,996719.00,7.68,7.84,7.68,7.68,267031.00,8.00,8.00,7.84,8.00,1947031.00,7.84,7.84,7.68,7.84,132812.00,7.68,1995-02-08
