Open_t-6,High_t-6,Low_t-6,Close_t-6,Volume_t-6,Open_t-5,High_t-5,Low_t-5,Close_t-5,Volume_t-5,Open_t-4,High_t-4,Low_t-4,Close_t-4,Volume_t-4,Open_t-3,High_t-3,Low_t-3,Close_t-3,Volume_t-3,Open_t-2,High_t-2,Low_t-2,Close_t-2,Volume_t-2,Open_t-1,High_t-1,Low_t-1,Close_t-1,Volume_t-1,Close_t,Date_t
7.33,7.33,7.25,7.33,3550983.00,6.79,6.79,6.72,6.79,5347957.00,6.64,6.64,6.57,6.64,44176904.00,5.80,5.80,5.73,5.80,6636282.00,5.95,6.03,5.57,5.95,7127771.00,5.88,6.03,5.88,5.88,2050055.00,5.42,1995-01-13
6.79,6.79,6.72,6.79,5347957.00,6.64,6.64,6.57,6.64,44176904.00,5.80,5.80,5.73,5.80,6636282.00,5.95,6.03,5.57,5.95,7127771.00,5.88,6.03,5.88,5.88,2050055.00,5.42,5.88,5.34,5.42,3015480.00,5.50,1995-01-16
6.64,6.64,6.57,6.64,44176904.00,5.80,5.80,5.73,5.80,6636282.00,5.95,6.03,5.57,5.95,7127771.00,5.88,6.03,5.88,5.88,2050055.00,5.42,5.88,5.34,5.42,3015480.00,5.50,5.65,5.42,5.50,2835101.00,5.73,1995-01-17
5.80,5.80,5.73,5.80,6636282.00,5.95,6.03,5.57,5.95,7127771.00,5.88,6.03,5.88,5.88,2050055.00,5.42,5.88,5.34,5.42,3015480.00,5.50,5.65,5.42,5.50,2835101.00,5.73,5.73,5.65,5.73,3009585.00,5.73,1995-01-18
5.95,6.03,5.57,5.95,7127771.00,5.88,6.03,5.88,5.88,2050055.00,5.42,5.88,5.34,5.42,3015480.00,5.50,5.65,5.42,5.50,2835101.00,5.73,5.73,5.65,5.73,3009585.00,5.73,5.73,5.65,5.73,1410149.00,5.80,1995-01-19
5.88,6.03,5.88,5.88,2050055.00,5.42,5.88,5.34,5.42,3015480.00,5.50,5.65,5.42,5.50,2835101.00,5.73,5.73,5.65,5.73,3009585.00,5.73,5.73,5.65,5.73,1410149.00,5.80,5.88,5.73,5.80,2222704.00,5.34,1995-01-23
5.42,5.88,5.34,5.42,3015480.00,5.50,5.65,5.42,5.50,2835101.00,5.73,5.73,5.65,5.73,3009585.00,5.73,5.73,5.65,5.73,1410149.00,5.80,5.88,5.73,5.80,2222704.00,5.34,5.57,4.58,5.34,2486133.00,5.42,1995-01-24
5.50,5.65,5.42,5.50,2835101.00,5.73,5.73,5.65,5.73,3009585.00,5.73,5.73,5.65,5.73,1410149.00,5.80,5.88,5.73,5.80,2222704.00,5.34,5.57,4.58,5.34,2486133.00,5.42,5.57,5.34,5.42,3759656.00,5.50,1995-01-25
5.73,5.73,5.65,5.73,3009585.00,5.73,5.73,5.65,5.73,1410149.00,5.80,5.88,5.73,5.80,2222704.00,5.34,5.57,4.58,5.34,2486133.00,5.42,5.57,5.34,5.42,3759656.00,5.50,5.57,5.42,5.50,1136765.00,5.50,1995-01-26
5.73,5.73,5.65,5.73,1410149.00,5.80,5.88,5.73,5.80,2222704.00,5.34,5.57,4.58,5.34,2486133.00,5.42,5.57,5.34,5.42,3759656.00,5.50,5.57,5.42,5.50,1136765.00,5.50,5.65,5.50,5.50,2933739.00,5.50,1995-01-27
5.80,5.88,5.73,5.80,2222704.00,5.34,5.57,4.58,5.34,2486133.00,5.42,5.57,5.34,5.42,3759656.00,5.50,5.57,5.42,5.50,1136765.00,5.50,5.65,5.50,5.50,2933739.00,5.50,5.50,5.42,5.50,1053715.00,5.65,1995-01-30
5.34,5.57,4.58,5.34,2486133.00,5.42,5.57,5.34,5.42,3759656.00,5.50,5.57,5.42,5.50,1136765.00,5.50,5.65,5.50,5.50,2933739.00,5.50,5.50,5.42,5.50,1053715.00,5.65,5.65,5.34,5.65,820808.00,5.57,1995-02-01
5.42,5.57,5.34,5.42,3759656.00,5.50,5.57,5.42,5.50,1136765.00,5.50,5.65,5.50,5.50,2933739.00,5.50,5.50,5.42,5.50,1053715.00,5.65,5.65,5.34,5.65,820808.00,5.57,5.57,5.50,5.57,1048868.00,5.57,1995-02-02
5.50,5.57,5.42,5.50,1136765.00,5.50,5.65,5.50,5.50,2933739.00,5.50,5.50,5.42,5.50,1053715.00,5.65,5.65,5.34,5.65,820808.00,5.57,5.57,5.50,5.57,1048868.00,5.57,5.73,5.57,5.57,1000269.00,5.73,1995-02-03
5.50,5.65,5.50,5.50,2933739.00,5.50,5.50,5.42,5.50,1053715.00,5.65,5.65,5.34,5.65,820808.00,5.57,5.57,5.50,5.57,1048868.00,5.57,5.73,5.57,5.57,1000269.00,5.73,5.73,5.57,5.73,1070613.00,5.88,1995-02-06
5.50,5.50,5.42,5.50,1053715.00,5.65,5.65,5.34,5.65,820808.00,5.57,5.57,5.50,5.57,1048868.00,5.57,5.73,5.57,5.57,1000269.00,5.73,5.73,5.57,5.73,1070613.00,5.88,5.95,5.65,5.88,5549688.00,5.95,1995-02-07
5.65,5.65,5.34,5.65,820808.00,5.57,5.57,5.50,5.57,1048868.00,5.57,5.73,5.57,5.57,1000269.00,5.73,5.73,5.57,5.73,1070613.00,5.88,5.95,5.65,5.88,5549688.00,5.95,6.03,5.88,5.95,6534238.00,5.88,1995-02-08
5.57,5.57,5.50,5.57,1048868.00,5.57,5.73,5.57,5.57,1000269.00,5.73,5.73,5.57,5.73,1070613.00,5.88,5.95,5.65,5.88,5549688.00,5.95,6.03,5.88,5.95,6534238.00,5.88,5.95,5.73,5.88,4185910.00,5.80,1995-02-09
5.57,5.73,5.57,5.57,1000269.00,5.73,5.73,5.57,5.73,1070613.00,5.88,5.95,5.65,5.88,5549688.00,5.95,6.03,5.88,5.95,6534238.00,5.88,5.95,5.73,5.88,4185910.00,5.80,5.88,5.80,5.80,4792412.00,5.73,1995-02-10
5.73,5.73,5.57,5.73,1070613.00,5.88,5.95,5.65,5.88,5549688.00,5.95,6.03,5.88,5.95,6534238.00,5.88,5.95,5.73,5.88,4185910.00,5.80,5.88,5.80,5.80,4792412.00,5.73,5.80,5.65,5.73,2666250.00,5.73,1995-02-14
5.88,5.95,5.65,5.88,5549688.00,5.95,6.03,5.88,5.95,6534238.00,5.88,5.95,5.73,5.88,4185910.00,5.80,5.88,5.80,5.80,4792412.00,5.73,5.80,5.65,5.73,2666250.00,5.73,5.73,5.73,5.73,1938055.00,6.03,1995-02-16
5.95,6.03,5.88,5.95,6534238.00,5.88,5.95,5.73,5.88,4185910.00,5.80,5.88,5.80,5.80,4792412.00,5.73,5.80,5.65,5.73,2666250.00,5.73,5.73,5.73,5.73,1938055.00,6.03,6.11,5.80,6.03,9893969.00,5.88,1995-02-17
5.88,5.95,5.73,5.88,4185910.00,5.80,5.88,5.80,5.80,4792412.00,5.73,5.80,5.65,5.73,2666250.00,5.73,5.73,5.73,5.73,1938055.00,6.03,6.11,5.80,6.03,9893969.00,5.88,5.95,5.80,5.88,2753492.00,5.80,1995-02-20
5.80,5.88,5.80,5.80,4792412.00,5.73,5.80,5.65,5.73,2666250.00,5.73,5.73,5.73,5.73,1938055.00,6.03,6.11,5.80,6.03,9893969.00,5.88,5.95,5.80,5.88,2753492.00,5.80,5.80,5.73,5.80,341239.00,5.80,1995-02-21
5.73,5.80,5.65,5.73,2666250.00,5.73,5.73,5.73,5.73,1938055.00,6.03,6.11,5.80,6.03,9893969.00,5.88,5.95,5.80,5.88,2753492.00,5.80,5.80,5.73,5.80,341239.00,5.80,5.95,5.80,5.80,1940020.00,5.88,1995-02-22
5.73,5.73,5.73,5.73,1938055.00,6.03,6.11,5.80,6.03,9893969.00,5.88,5.95,5.80,5.88,2753492.00,5.80,5.80,5.73,5.80,341239.00,5.80,5.95,5.80,5.80,1940020.00,5.88,5.88,5.80,5.88,1105589.00,5.88,1995-02-23
6.03,6.11,5.80,6.03,9893969.00,5.88,5.95,5.80,5.88,2753492.00,5.80,5.80,5.73,5.80,341239.00,5.80,5.95,5.80,5.80,1940020.00,5.88,5.88,5.80,5.88,1105589.00,5.88,5.88,5.80,5.88,2094068.00,5.65,1995-02-24
5.88,5.95,5.80,5.88,2753492.00,5.80,5.80,5.73,5.80,341239.00,5.80,5.95,5.80,5.80,1940020.00,5.88,5.88,5.80,5.88,1105589.00,5.88,5.88,5.80,5.88,2094068.00,5.65,5.80,5.65,5.65,1963075.00,5.50,1995-02-27
5.80,5.80,5.73,5.80,341239.00,5.80,5.95,5.80,5.80,1940020.00,5.88,5.88,5.80,5.88,1105589.00,5.88,5.88,5.80,5.88,2094068.00,5.65,5.80,5.65,5.65,1963075.00,5.50,5.50,5.19,5.50,1757021.00,5.50,1995-02-28
5.80,5.95,5.80,5.80,1940020.00,5.88,5.88,5.80,5.88,1105589.00,5.88,5.88,5.80,5.88,2094068.00,5.65,5.80,5.65,5.65,1963075.00,5.50,5.50,5.19,5.50,1757021.00,5.50,5.57,5.42,5.50,1634804.00,5.34,1995-03-01
5.88,5.88,5.80,5.88,1105589.00,5.88,5.88,5.80,5.88,2094068.00,5.65,5.80,5.65,5.65,1963075.00,5.50,5.50,5.19,5.50,1757021.00,5.50,5.57,5.42,5.50,1634804.00,5.34,5.50,5.27,5.34,1184185.00,5.50,1995-03-02
5.88,5.88,5.80,5.88,2094068.00,5.65,5.80,5.65,5.65,1963075.00,5.50,5.50,5.19,5.50,1757021.00,5.50,5.57,5.42,5.50,1634804.00,5.34,5.50,5.27,5.34,1184185.00,5.50,5.50,5.42,5.50,1021490.00,5.42,1995-03-06
5.65,5.80,5.65,5.65,1963075.00,5.50,5.50,5.19,5.50,1757021.00,5.50,5.57,5.42,5.50,1634804.00,5.34,5.50,5.27,5.34,1184185.00,5.50,5.50,5.42,5.50,1021490.00,5.42,5.57,5.42,5.42,306002.00,5.34,1995-03-07
5.50,5.50,5.19,5.50,1757021.00,5.50,5.57,5.42,5.50,1634804.00,5.34,5.50,5.27,5.34,1184185.00,5.50,5.50,5.42,5.50,1021490.00,5.42,5.57,5.42,5.42,306002.00,5.34,5.42,5.27,5.34,469744.00,5.34,1995-03-08
5.50,5.57,5.42,5.50,1634804.00,5.34,5.50,5.27,5.34,1184185.00,5.50,5.50,5.42,5.50,1021490.00,5.42,5.57,5.42,5.42,306002.00,5.34,5.42,5.27,5.34,469744.00,5.34,5.34,5.11,5.34,1518612.00,5.27,1995-03-09
5.34,5.50,5.27,5.34,1184185.00,5.50,5.50,5.42,5.50,1021490.00,5.42,5.57,5.42,5.42,306002.00,5.34,5.42,5.27,5.34,469744.00,5.34,5.34,5.11,5.34,1518612.00,5.27,5.34,5.19,5.27,2118171.00,4.73,1995-03-10
5.50,5.50,5.42,5.50,1021490.00,5.42,5.57,5.42,5.42,306002.00,5.34,5.42,5.27,5.34,469744.00,5.34,5.34,5.11,5.34,1518612.00,5.27,5.34,5.19,5.27,2118171.00,4.73,5.11,4.73,4.73,1270510.00,4.66,1995-03-14
