Open_t-6,High_t-6,Low_t-6,Close_t-6,Volume_t-6,Open_t-5,High_t-5,Low_t-5,Close_t-5,Volume_t-5,Open_t-4,High_t-4,Low_t-4,Close_t-4,Volume_t-4,Open_t-3,High_t-3,Low_t-3,Close_t-3,Volume_t-3,Open_t-2,High_t-2,Low_t-2,Close_t-2,Volume_t-2,Open_t-1,High_t-1,Low_t-1,Close_t-1,Volume_t-1,Close_t,Date_t
0.75,0.86,0.75,0.84,330000.00,0.85,0.85,0.85,0.85,160000.00,0.84,0.84,0.80,0.80,20000.00,0.85,0.85,0.77,0.77,68000.00,0.79,0.79,0.78,0.78,52000.00,0.84,0.84,0.84,0.84,4000.00,0.78,2001-01-02
0.85,0.85,0.85,0.85,160000.00,0.84,0.84,0.80,0.80,20000.00,0.85,0.85,0.77,0.77,68000.00,0.79,0.79,0.78,0.78,52000.00,0.84,0.84,0.84,0.84,4000.00,0.79,0.79,0.78,0.78,92000.00,0.78,2001-01-03
0.84,0.84,0.80,0.80,20000.00,0.85,0.85,0.77,0.77,68000.00,0.79,0.79,0.78,0.78,52000.00,0.84,0.84,0.84,0.84,4000.00,0.79,0.79,0.78,0.78,92000.00,0.79,0.79,0.78,0.78,128000.00,0.80,2001-01-05
0.85,0.85,0.77,0.77,68000.00,0.79,0.79,0.78,0.78,52000.00,0.84,0.84,0.84,0.84,4000.00,0.79,0.79,0.78,0.78,92000.00,0.79,0.79,0.78,0.78,128000.00,0.80,0.80,0.80,0.80,100000.00,0.82,2001-01-09
0.79,0.79,0.78,0.78,52000.00,0.84,0.84,0.84,0.84,4000.00,0.79,0.79,0.78,0.78,92000.00,0.79,0.79,0.78,0.78,128000.00,0.80,0.80,0.80,0.80,100000.00,0.82,0.82,0.82,0.82,2000.00,0.81,2001-01-10
0.84,0.84,0.84,0.84,4000.00,0.79,0.79,0.78,0.78,92000.00,0.79,0.79,0.78,0.78,128000.00,0.80,0.80,0.80,0.80,100000.00,0.82,0.82,0.82,0.82,2000.00,0.78,0.81,0.78,0.81,102000.00,0.81,2001-01-12
0.79,0.79,0.78,0.78,92000.00,0.79,0.79,0.78,0.78,128000.00,0.80,0.80,0.80,0.80,100000.00,0.82,0.82,0.82,0.82,2000.00,0.78,0.81,0.78,0.81,102000.00,0.78,0.81,0.78,0.81,22000.00,0.81,2001-01-15
0.79,0.79,0.78,0.78,128000.00,0.80,0.80,0.80,0.80,100000.00,0.82,0.82,0.82,0.82,2000.00,0.78,0.81,0.78,0.81,102000.00,0.78,0.81,0.78,0.81,22000.00,0.81,0.81,0.81,0.81,4000.00,0.82,2001-01-16
0.80,0.80,0.80,0.80,100000.00,0.82,0.82,0.82,0.82,2000.00,0.78,0.81,0.78,0.81,102000.00,0.78,0.81,0.78,0.81,22000.00,0.81,0.81,0.81,0.81,4000.00,0.82,0.82,0.82,0.82,4000.00,0.78,2001-01-18
0.82,0.82,0.82,0.82,2000.00,0.78,0.81,0.78,0.81,102000.00,0.78,0.81,0.78,0.81,22000.00,0.81,0.81,0.81,0.81,4000.00,0.82,0.82,0.82,0.82,4000.00,0.78,0.78,0.78,0.78,42000.00,0.80,2001-01-22
0.78,0.81,0.78,0.81,102000.00,0.78,0.81,0.78,0.81,22000.00,0.81,0.81,0.81,0.81,4000.00,0.82,0.82,0.82,0.82,4000.00,0.78,0.78,0.78,0.78,42000.00,0.80,0.80,0.79,0.80,332000.00,0.79,2001-01-23
0.78,0.81,0.78,0.81,22000.00,0.81,0.81,0.81,0.81,4000.00,0.82,0.82,0.82,0.82,4000.00,0.78,0.78,0.78,0.78,42000.00,0.80,0.80,0.79,0.80,332000.00,0.79,0.79,0.79,0.79,100000.00,0.80,2001-01-25
0.81,0.81,0.81,0.81,4000.00,0.82,0.82,0.82,0.82,4000.00,0.78,0.78,0.78,0.78,42000.00,0.80,0.80,0.79,0.80,332000.00,0.79,0.79,0.79,0.79,100000.00,0.80,0.80,0.80,0.80,4000.00,0.80,2001-01-26
0.82,0.82,0.82,0.82,4000.00,0.78,0.78,0.78,0.78,42000.00,0.80,0.80,0.79,0.80,332000.00,0.79,0.79,0.79,0.79,100000.00,0.80,0.80,0.80,0.80,4000.00,0.79,0.80,0.79,0.80,104000.00,0.80,2001-01-29
0.78,0.78,0.78,0.78,42000.00,0.80,0.80,0.79,0.80,332000.00,0.79,0.79,0.79,0.79,100000.00,0.80,0.80,0.80,0.80,4000.00,0.79,0.80,0.79,0.80,104000.00,0.80,0.80,0.80,0.80,22000.00,0.79,2001-01-30
0.80,0.80,0.79,0.80,332000.00,0.79,0.79,0.79,0.79,100000.00,0.80,0.80,0.80,0.80,4000.00,0.79,0.80,0.79,0.80,104000.00,0.80,0.80,0.80,0.80,22000.00,0.79,0.81,0.79,0.79,230000.00,0.81,2001-01-31
0.79,0.79,0.79,0.79,100000.00,0.80,0.80,0.80,0.80,4000.00,0.79,0.80,0.79,0.80,104000.00,0.80,0.80,0.80,0.80,22000.00,0.79,0.81,0.79,0.79,230000.00,0.79,0.81,0.78,0.81,200000.00,0.79,2001-02-01
0.80,0.80,0.80,0.80,4000.00,0.79,0.80,0.79,0.80,104000.00,0.80,0.80,0.80,0.80,22000.00,0.79,0.81,0.79,0.79,230000.00,0.79,0.81,0.78,0.81,200000.00,0.80,0.80,0.79,0.79,124000.00,0.85,2001-02-06
0.79,0.80,0.79,0.80,104000.00,0.80,0.80,0.80,0.80,22000.00,0.79,0.81,0.79,0.79,230000.00,0.79,0.81,0.78,0.81,200000.00,0.80,0.80,0.79,0.79,124000.00,0.79,0.85,0.79,0.85,40000.00,0.85,2001-02-07
0.80,0.80,0.80,0.80,22000.00,0.79,0.81,0.79,0.79,230000.00,0.79,0.81,0.78,0.81,200000.00,0.80,0.80,0.79,0.79,124000.00,0.79,0.85,0.79,0.85,40000.00,0.85,0.85,0.85,0.85,4000.00,0.85,2001-02-08
0.79,0.81,0.79,0.79,230000.00,0.79,0.81,0.78,0.81,200000.00,0.80,0.80,0.79,0.79,124000.00,0.79,0.85,0.79,0.85,40000.00,0.85,0.85,0.85,0.85,4000.00,0.84,0.85,0.84,0.85,8000.00,0.85,2001-02-09
