Open_t-6,High_t-6,Low_t-6,Close_t-6,Volume_t-6,Open_t-5,High_t-5,Low_t-5,Close_t-5,Volume_t-5,Open_t-4,High_t-4,Low_t-4,Close_t-4,Volume_t-4,Open_t-3,High_t-3,Low_t-3,Close_t-3,Volume_t-3,Open_t-2,High_t-2,Low_t-2,Close_t-2,Volume_t-2,Open_t-1,High_t-1,Low_t-1,Close_t-1,Volume_t-1,Close_t,Date_t
0.06,0.06,0.06,0.06,21794640.00,0.09,0.09,0.09,0.09,400000.00,0.14,0.14,0.14,0.14,3300000.00,0.20,0.20,0.20,0.20,12880000.00,0.30,0.30,0.30,0.30,18080000.00,0.45,0.45,0.45,0.45,130000.00,0.60,1998-09-16
0.09,0.09,0.09,0.09,400000.00,0.14,0.14,0.14,0.14,3300000.00,0.20,0.20,0.20,0.20,12880000.00,0.30,0.30,0.30,0.30,18080000.00,0.45,0.45,0.45,0.45,130000.00,0.60,0.60,0.60,0.60,30000.00,0.80,1998-12-23
0.14,0.14,0.14,0.14,3300000.00,0.20,0.20,0.20,0.20,12880000.00,0.30,0.30,0.30,0.30,18080000.00,0.45,0.45,0.45,0.45,130000.00,0.60,0.60,0.60,0.60,30000.00,0.80,0.80,0.80,0.80,12600000.00,1.00,1998-12-29
0.20,0.20,0.20,0.20,12880000.00,0.30,0.30,0.30,0.30,18080000.00,0.45,0.45,0.45,0.45,130000.00,0.60,0.60,0.60,0.60,30000.00,0.80,0.80,0.80,0.80,12600000.00,1.00,1.00,1.00,1.00,40000.00,1.00,1999-01-06
0.30,0.30,0.30,0.30,18080000.00,0.45,0.45,0.45,0.45,130000.00,0.60,0.60,0.60,0.60,30000.00,0.80,0.80,0.80,0.80,12600000.00,1.00,1.00,1.00,1.00,40000.00,1.00,1.00,1.00,1.00,20000.00,1.00,1999-02-16
0.45,0.45,0.45,0.45,130000.00,0.60,0.60,0.60,0.60,30000.00,0.80,0.80,0.80,0.80,12600000.00,1.00,1.00,1.00,1.00,40000.00,1.00,1.00,1.00,1.00,20000.00,1.00,1.00,1.00,1.00,1680000.00,1.00,1999-05-27
0.60,0.60,0.60,0.60,30000.00,0.80,0.80,0.80,0.80,12600000.00,1.00,1.00,1.00,1.00,40000.00,1.00,1.00,1.00,1.00,20000.00,1.00,1.00,1.00,1.00,1680000.00,1.00,1.00,1.00,1.00,10000.00,1.00,1999-07-07
0.80,0.80,0.80,0.80,12600000.00,1.00,1.00,1.00,1.00,40000.00,1.00,1.00,1.00,1.00,20000.00,1.00,1.00,1.00,1.00,1680000.00,1.00,1.00,1.00,1.00,10000.00,1.00,1.00,1.00,1.00,10000.00,1.00,1999-07-29
1.00,1.00,1.00,1.00,40000.00,1.00,1.00,1.00,1.00,20000.00,1.00,1.00,1.00,1.00,1680000.00,1.00,1.00,1.00,1.00,10000.00,1.00,1.00,1.00,1.00,10000.00,1.00,1.00,1.00,1.00,60000.00,1.00,2004-07-29
1.00,1.00,1.00,1.00,20000.00,1.00,1.00,1.00,1.00,1680000.00,1.00,1.00,1.00,1.00,10000.00,1.00,1.00,1.00,1.00,10000.00,1.00,1.00,1.00,1.00,60000.00,1.00,1.00,1.00,1.00,30000.00,1.20,2004-11-22
1.00,1.00,1.00,1.00,1680000.00,1.00,1.00,1.00,1.00,10000.00,1.00,1.00,1.00,1.00,10000.00,1.00,1.00,1.00,1.00,60000.00,1.00,1.00,1.00,1.00,30000.00,1.20,1.20,1.20,1.20,10000.00,1.30,2004-12-23
1.00,1.00,1.00,1.00,10000.00,1.00,1.00,1.00,1.00,10000.00,1.00,1.00,1.00,1.00,60000.00,1.00,1.00,1.00,1.00,30000.00,1.20,1.20,1.20,1.20,10000.00,1.30,1.30,1.30,1.30,10000.00,1.30,2005-01-17
1.00,1.00,1.00,1.00,10000.00,1.00,1.00,1.00,1.00,60000.00,1.00,1.00,1.00,1.00,30000.00,1.20,1.20,1.20,1.20,10000.00,1.30,1.30,1.30,1.30,10000.00,1.30,1.30,1.30,1.30,184000.00,1.00,2007-05-24
1.00,1.00,1.00,1.00,60000.00,1.00,1.00,1.00,1.00,30000.00,1.20,1.20,1.20,1.20,10000.00,1.30,1.30,1.30,1.30,10000.00,1.30,1.30,1.30,1.30,184000.00,1.00,1.00,1.00,1.00,527000.00,1.00,2008-09-11
1.00,1.00,1.00,1.00,30000.00,1.20,1.20,1.20,1.20,10000.00,1.30,1.30,1.30,1.30,10000.00,1.30,1.30,1.30,1.30,184000.00,1.00,1.00,1.00,1.00,527000.00,1.00,1.00,1.00,1.00,550000.00,1.00,2010-01-26
1.20,1.20,1.20,1.20,10000.00,1.30,1.30,1.30,1.30,10000.00,1.30,1.30,1.30,1.30,184000.00,1.00,1.00,1.00,1.00,527000.00,1.00,1.00,1.00,1.00,550000.00,1.00,1.00,1.00,1.00,570000.00,1.50,2011-09-26
1.30,1.30,1.30,1.30,10000.00,1.30,1.30,1.30,1.30,184000.00,1.00,1.00,1.00,1.00,527000.00,1.00,1.00,1.00,1.00,550000.00,1.00,1.00,1.00,1.00,570000.00,1.05,1.50,1.05,1.50,43000.00,1.11,2011-09-28
1.30,1.30,1.30,1.30,184000.00,1.00,1.00,1.00,1.00,527000.00,1.00,1.00,1.00,1.00,550000.00,1.00,1.00,1.00,1.00,570000.00,1.05,1.50,1.05,1.50,43000.00,1.11,1.11,1.11,1.11,1000.00,1.27,2011-11-29
1.00,1.00,1.00,1.00,527000.00,1.00,1.00,1.00,1.00,550000.00,1.00,1.00,1.00,1.00,570000.00,1.05,1.50,1.05,1.50,43000.00,1.11,1.11,1.11,1.11,1000.00,1.24,1.27,1.24,1.27,12010000.00,1.90,2011-12-01
1.00,1.00,1.00,1.00,550000.00,1.00,1.00,1.00,1.00,570000.00,1.05,1.50,1.05,1.50,43000.00,1.11,1.11,1.11,1.11,1000.00,1.24,1.27,1.24,1.27,12010000.00,1.52,1.90,1.52,1.90,7000.00,2.85,2011-12-02
1.00,1.00,1.00,1.00,570000.00,1.05,1.50,1.05,1.50,43000.00,1.11,1.11,1.11,1.11,1000.00,1.24,1.27,1.24,1.27,12010000.00,1.52,1.90,1.52,1.90,7000.00,2.85,2.85,2.85,2.85,25000.00,4.27,2011-12-05
1.05,1.50,1.05,1.50,43000.00,1.11,1.11,1.11,1.11,1000.00,1.24,1.27,1.24,1.27,12010000.00,1.52,1.90,1.52,1.90,7000.00,2.85,2.85,2.85,2.85,25000.00,4.27,4.27,4.27,4.27,8000.00,3.48,2011-12-06
1.11,1.11,1.11,1.11,1000.00,1.24,1.27,1.24,1.27,12010000.00,1.52,1.90,1.52,1.90,7000.00,2.85,2.85,2.85,2.85,25000.00,4.27,4.27,4.27,4.27,8000.00,5.90,5.90,3.03,3.48,39000.00,3.50,2011-12-07
