Open_t-6,High_t-6,Low_t-6,Close_t-6,Volume_t-6,Open_t-5,High_t-5,Low_t-5,Close_t-5,Volume_t-5,Open_t-4,High_t-4,Low_t-4,Close_t-4,Volume_t-4,Open_t-3,High_t-3,Low_t-3,Close_t-3,Volume_t-3,Open_t-2,High_t-2,Low_t-2,Close_t-2,Volume_t-2,Open_t-1,High_t-1,Low_t-1,Close_t-1,Volume_t-1,Close_t,Date_t
29.25,29.46,29.25,29.25,917213.00,29.88,30.09,29.88,29.88,1818633.00,30.30,30.51,30.30,30.30,800677.00,29.46,29.67,29.46,29.46,363248.00,29.46,30.09,29.46,29.46,558990.00,29.67,29.88,29.67,29.67,422114.00,29.04,1995-01-13
29.88,30.09,29.88,29.88,1818633.00,30.30,30.51,30.30,30.30,800677.00,29.46,29.67,29.46,29.46,363248.00,29.46,30.09,29.46,29.46,558990.00,29.67,29.88,29.67,29.67,422114.00,29.04,29.04,28.63,29.04,3774142.00,29.04,1995-01-16
30.30,30.51,30.30,30.30,800677.00,29.46,29.67,29.46,29.46,363248.00,29.46,30.09,29.46,29.46,558990.00,29.67,29.88,29.67,29.67,422114.00,29.04,29.04,28.63,29.04,3774142.00,29.04,29.04,28.83,29.04,1306544.00,29.04,1995-01-17
29.46,29.67,29.46,29.46,363248.00,29.46,30.09,29.46,29.46,558990.00,29.67,29.88,29.67,29.67,422114.00,29.04,29.04,28.63,29.04,3774142.00,29.04,29.04,28.83,29.04,1306544.00,29.04,29.04,28.83,29.04,1061507.00,28.63,1995-01-18
29.46,30.09,29.46,29.46,558990.00,29.67,29.88,29.67,29.67,422114.00,29.04,29.04,28.63,29.04,3774142.00,29.04,29.04,28.83,29.04,1306544.00,29.04,29.04,28.83,29.04,1061507.00,28.63,28.83,28.63,28.63,650640.00,28.21,1995-01-19
29.67,29.88,29.67,29.67,422114.00,29.04,29.04,28.63,29.04,3774142.00,29.04,29.04,28.83,29.04,1306544.00,29.04,29.04,28.83,29.04,1061507.00,28.63,28.83,28.63,28.63,650640.00,28.21,28.42,28.21,28.21,1639163.00,27.16,1995-01-20
29.04,29.04,28.63,29.04,3774142.00,29.04,29.04,28.83,29.04,1306544.00,29.04,29.04,28.83,29.04,1061507.00,28.63,28.83,28.63,28.63,650640.00,28.21,28.42,28.21,28.21,1639163.00,27.16,27.16,26.95,27.16,2904309.00,26.33,1995-01-23
29.04,29.04,28.83,29.04,1306544.00,29.04,29.04,28.83,29.04,1061507.00,28.63,28.83,28.63,28.63,650640.00,28.21,28.42,28.21,28.21,1639163.00,27.16,27.16,26.95,27.16,2904309.00,26.33,26.33,26.12,26.33,1199819.00,25.70,1995-01-24
29.04,29.04,28.83,29.04,1061507.00,28.63,28.83,28.63,28.63,650640.00,28.21,28.42,28.21,28.21,1639163.00,27.16,27.16,26.95,27.16,2904309.00,26.33,26.33,26.12,26.33,1199819.00,25.70,25.91,25.70,25.70,630300.00,27.16,1995-01-25
28.63,28.83,28.63,28.63,650640.00,28.21,28.42,28.21,28.21,1639163.00,27.16,27.16,26.95,27.16,2904309.00,26.33,26.33,26.12,26.33,1199819.00,25.70,25.91,25.70,25.70,630300.00,27.16,27.16,26.75,27.16,1220398.00,27.16,1995-01-26
28.21,28.42,28.21,28.21,1639163.00,27.16,27.16,26.95,27.16,2904309.00,26.33,26.33,26.12,26.33,1199819.00,25.70,25.91,25.70,25.70,630300.00,27.16,27.16,26.75,27.16,1220398.00,27.16,27.16,26.75,27.16,2543933.00,25.91,1995-01-27
27.16,27.16,26.95,27.16,2904309.00,26.33,26.33,26.12,26.33,1199819.00,25.70,25.91,25.70,25.70,630300.00,27.16,27.16,26.75,27.16,1220398.00,27.16,27.16,26.75,27.16,2543933.00,25.91,25.91,25.49,25.91,2251516.00,26.33,1995-01-30
26.33,26.33,26.12,26.33,1199819.00,25.70,25.91,25.70,25.70,630300.00,27.16,27.16,26.75,27.16,1220398.00,27.16,27.16,26.75,27.16,2543933.00,25.91,25.91,25.49,25.91,2251516.00,26.33,26.33,26.12,26.33,948321.00,26.95,1995-02-01
