Open_t-6,High_t-6,Low_t-6,Close_t-6,Volume_t-6,Open_t-5,High_t-5,Low_t-5,Close_t-5,Volume_t-5,Open_t-4,High_t-4,Low_t-4,Close_t-4,Volume_t-4,Open_t-3,High_t-3,Low_t-3,Close_t-3,Volume_t-3,Open_t-2,High_t-2,Low_t-2,Close_t-2,Volume_t-2,Open_t-1,High_t-1,Low_t-1,Close_t-1,Volume_t-1,Close_t,Date_t
0.76,0.76,0.76,0.76,109069.00,0.76,0.76,0.76,0.76,327207.00,0.77,0.77,0.77,0.77,63624.00,0.77,0.77,0.77,0.77,36356.00,0.77,0.77,0.77,0.77,127247.00,0.78,0.78,0.78,0.78,127247.00,0.78,1995-01-18
0.76,0.76,0.76,0.76,327207.00,0.77,0.77,0.77,0.77,63624.00,0.77,0.77,0.77,0.77,36356.00,0.77,0.77,0.77,0.77,127247.00,0.78,0.78,0.78,0.78,127247.00,0.78,0.78,0.78,0.78,427187.00,0.80,1995-01-19
0.77,0.77,0.77,0.77,63624.00,0.77,0.77,0.77,0.77,36356.00,0.77,0.77,0.77,0.77,127247.00,0.78,0.78,0.78,0.78,127247.00,0.78,0.78,0.78,0.78,427187.00,0.80,0.80,0.80,0.80,181782.00,0.78,1995-01-20
0.77,0.77,0.77,0.77,36356.00,0.77,0.77,0.77,0.77,127247.00,0.78,0.78,0.78,0.78,127247.00,0.78,0.78,0.78,0.78,427187.00,0.80,0.80,0.80,0.80,181782.00,0.78,0.78,0.78,0.78,336296.00,0.78,1995-01-23
0.77,0.77,0.77,0.77,127247.00,0.78,0.78,0.78,0.78,127247.00,0.78,0.78,0.78,0.78,427187.00,0.80,0.80,0.80,0.80,181782.00,0.78,0.78,0.78,0.78,336296.00,0.78,0.78,0.78,0.78,27267.00,0.73,1995-01-26
0.78,0.78,0.78,0.78,127247.00,0.78,0.78,0.78,0.78,427187.00,0.80,0.80,0.80,0.80,181782.00,0.78,0.78,0.78,0.78,336296.00,0.78,0.78,0.78,0.78,27267.00,0.73,0.73,0.73,0.73,18178.00,0.74,1995-01-27
0.78,0.78,0.78,0.78,427187.00,0.80,0.80,0.80,0.80,181782.00,0.78,0.78,0.78,0.78,336296.00,0.78,0.78,0.78,0.78,27267.00,0.73,0.73,0.73,0.73,18178.00,0.74,0.74,0.41,0.74,18178.00,0.77,1995-02-02
0.80,0.80,0.80,0.80,181782.00,0.78,0.78,0.78,0.78,336296.00,0.78,0.78,0.78,0.78,27267.00,0.73,0.73,0.73,0.73,18178.00,0.74,0.74,0.41,0.74,18178.00,0.77,0.77,0.77,0.77,18178.00,0.79,1995-02-03
0.78,0.78,0.78,0.78,336296.00,0.78,0.78,0.78,0.78,27267.00,0.73,0.73,0.73,0.73,18178.00,0.74,0.74,0.41,0.74,18178.00,0.77,0.77,0.77,0.77,18178.00,0.79,0.79,0.77,0.79,154514.00,0.77,1995-02-06
0.78,0.78,0.78,0.78,27267.00,0.73,0.73,0.73,0.73,18178.00,0.74,0.74,0.41,0.74,18178.00,0.77,0.77,0.77,0.77,18178.00,0.79,0.79,0.77,0.79,154514.00,0.77,0.77,0.77,0.77,54534.00,0.77,1995-02-07
0.73,0.73,0.73,0.73,18178.00,0.74,0.74,0.41,0.74,18178.00,0.77,0.77,0.77,0.77,18178.00,0.79,0.79,0.77,0.79,154514.00,0.77,0.77,0.77,0.77,54534.00,0.77,0.77,0.77,0.77,618057.00,0.78,1995-02-08
0.74,0.74,0.41,0.74,18178.00,0.77,0.77,0.77,0.77,18178.00,0.79,0.79,0.77,0.79,154514.00,0.77,0.77,0.77,0.77,54534.00,0.77,0.77,0.77,0.77,618057.00,0.78,0.78,0.77,0.78,81802.00,0.79,1995-02-09
0.77,0.77,0.77,0.77,18178.00,0.79,0.79,0.77,0.79,154514.00,0.77,0.77,0.77,0.77,54534.00,0.77,0.77,0.77,0.77,618057.00,0.78,0.78,0.77,0.78,81802.00,0.79,0.79,0.79,0.79,272672.00,0.82,1995-02-10
0.79,0.79,0.77,0.79,154514.00,0.77,0.77,0.77,0.77,54534.00,0.77,0.77,0.77,0.77,618057.00,0.78,0.78,0.77,0.78,81802.00,0.79,0.79,0.79,0.79,272672.00,0.82,0.82,0.79,0.82,345385.00,0.82,1995-02-14
0.77,0.77,0.77,0.77,54534.00,0.77,0.77,0.77,0.77,618057.00,0.78,0.78,0.77,0.78,81802.00,0.79,0.79,0.79,0.79,272672.00,0.82,0.82,0.79,0.82,345385.00,0.82,0.82,0.82,0.82,272672.00,0.80,1995-02-15
0.77,0.77,0.77,0.77,618057.00,0.78,0.78,0.77,0.78,81802.00,0.79,0.79,0.79,0.79,272672.00,0.82,0.82,0.79,0.82,345385.00,0.82,0.82,0.82,0.82,272672.00,0.80,0.80,0.80,0.80,399919.00,0.79,1995-02-17
0.78,0.78,0.77,0.78,81802.00,0.79,0.79,0.79,0.79,272672.00,0.82,0.82,0.79,0.82,345385.00,0.82,0.82,0.82,0.82,272672.00,0.80,0.80,0.80,0.80,399919.00,0.79,0.79,0.79,0.79,990710.00,0.77,1995-02-21
0.79,0.79,0.79,0.79,272672.00,0.82,0.82,0.79,0.82,345385.00,0.82,0.82,0.82,0.82,272672.00,0.80,0.80,0.80,0.80,399919.00,0.79,0.79,0.79,0.79,990710.00,0.77,0.77,0.77,0.77,181782.00,0.82,1995-02-24
0.82,0.82,0.79,0.82,345385.00,0.82,0.82,0.82,0.82,272672.00,0.80,0.80,0.80,0.80,399919.00,0.79,0.79,0.79,0.79,990710.00,0.77,0.77,0.77,0.77,181782.00,0.82,0.82,0.82,0.82,90891.00,0.81,1995-02-28
0.82,0.82,0.82,0.82,272672.00,0.80,0.80,0.80,0.80,399919.00,0.79,0.79,0.79,0.79,990710.00,0.77,0.77,0.77,0.77,181782.00,0.82,0.82,0.82,0.82,90891.00,0.81,0.81,0.81,0.81,163603.00,0.77,1995-03-02
0.80,0.80,0.80,0.80,399919.00,0.79,0.79,0.79,0.79,990710.00,0.77,0.77,0.77,0.77,181782.00,0.82,0.82,0.82,0.82,90891.00,0.81,0.81,0.81,0.81,163603.00,0.77,0.77,0.77,0.77,18178.00,0.77,1995-03-08
0.79,0.79,0.79,0.79,990710.00,0.77,0.77,0.77,0.77,181782.00,0.82,0.82,0.82,0.82,90891.00,0.81,0.81,0.81,0.81,163603.00,0.77,0.77,0.77,0.77,18178.00,0.77,0.77,0.77,0.77,536256.00,0.77,1995-03-10
0.77,0.77,0.77,0.77,181782.00,0.82,0.82,0.82,0.82,90891.00,0.81,0.81,0.81,0.81,163603.00,0.77,0.77,0.77,0.77,18178.00,0.77,0.77,0.77,0.77,536256.00,0.77,0.77,0.77,0.77,272672.00,0.75,1995-03-15
0.82,0.82,0.82,0.82,90891.00,0.81,0.81,0.81,0.81,163603.00,0.77,0.77,0.77,0.77,18178.00,0.77,0.77,0.77,0.77,536256.00,0.77,0.77,0.77,0.77,272672.00,0.75,0.75,0.75,0.75,18178.00,0.75,1995-03-16
0.81,0.81,0.81,0.81,163603.00,0.77,0.77,0.77,0.77,18178.00,0.77,0.77,0.77,0.77,536256.00,0.77,0.77,0.77,0.77,272672.00,0.75,0.75,0.75,0.75,18178.00,0.75,0.75,0.75,0.75,372652.00,0.74,1995-03-28
0.77,0.77,0.77,0.77,18178.00,0.77,0.77,0.77,0.77,536256.00,0.77,0.77,0.77,0.77,272672.00,0.75,0.75,0.75,0.75,18178.00,0.75,0.75,0.75,0.75,372652.00,0.74,0.75,0.74,0.74,454454.00,0.77,1995-03-29
0.77,0.77,0.77,0.77,536256.00,0.77,0.77,0.77,0.77,272672.00,0.75,0.75,0.75,0.75,18178.00,0.75,0.75,0.75,0.75,372652.00,0.74,0.75,0.74,0.74,454454.00,0.77,0.77,0.75,0.77,181782.00,0.74,1995-03-31
0.77,0.77,0.77,0.77,272672.00,0.75,0.75,0.75,0.75,18178.00,0.75,0.75,0.75,0.75,372652.00,0.74,0.75,0.74,0.74,454454.00,0.77,0.77,0.75,0.77,181782.00,0.74,0.74,0.74,0.74,18178.00,0.71,1995-04-05
0.75,0.75,0.75,0.75,18178.00,0.75,0.75,0.75,0.75,372652.00,0.74,0.75,0.74,0.74,454454.00,0.77,0.77,0.75,0.77,181782.00,0.74,0.74,0.74,0.74,18178.00,0.71,0.73,0.71,0.71,90891.00,0.73,1995-04-18
0.75,0.75,0.75,0.75,372652.00,0.74,0.75,0.74,0.74,454454.00,0.77,0.77,0.75,0.77,181782.00,0.74,0.74,0.74,0.74,18178.00,0.71,0.73,0.71,0.71,90891.00,0.73,0.73,0.73,0.73,45445.00,0.71,1995-04-19
0.74,0.75,0.74,0.74,454454.00,0.77,0.77,0.75,0.77,181782.00,0.74,0.74,0.74,0.74,18178.00,0.71,0.73,0.71,0.71,90891.00,0.73,0.73,0.73,0.73,45445.00,0.71,0.71,0.71,0.71,54534.00,0.71,1995-04-28
0.77,0.77,0.75,0.77,181782.00,0.74,0.74,0.74,0.74,18178.00,0.71,0.73,0.71,0.71,90891.00,0.73,0.73,0.73,0.73,45445.00,0.71,0.71,0.71,0.71,54534.00,0.71,0.71,0.71,0.71,54534.00,0.73,1995-05-04
0.74,0.74,0.74,0.74,18178.00,0.71,0.73,0.71,0.71,90891.00,0.73,0.73,0.73,0.73,45445.00,0.71,0.71,0.71,0.71,54534.00,0.71,0.71,0.71,0.71,54534.00,0.73,0.73,0.73,0.73,9089.00,0.76,1995-05-15
0.71,0.73,0.71,0.71,90891.00,0.73,0.73,0.73,0.73,45445.00,0.71,0.71,0.71,0.71,54534.00,0.71,0.71,0.71,0.71,54534.00,0.73,0.73,0.73,0.73,9089.00,0.76,0.76,0.76,0.76,9089.00,0.76,1995-05-17
0.73,0.73,0.73,0.73,45445.00,0.71,0.71,0.71,0.71,54534.00,0.71,0.71,0.71,0.71,54534.00,0.73,0.73,0.73,0.73,9089.00,0.76,0.76,0.76,0.76,9089.00,0.76,0.77,0.76,0.76,218138.00,0.77,1995-05-22
0.71,0.71,0.71,0.71,54534.00,0.71,0.71,0.71,0.71,54534.00,0.73,0.73,0.73,0.73,9089.00,0.76,0.76,0.76,0.76,9089.00,0.76,0.77,0.76,0.76,218138.00,0.77,0.77,0.77,0.77,1272471.00,0.77,1995-05-29
0.71,0.71,0.71,0.71,54534.00,0.73,0.73,0.73,0.73,9089.00,0.76,0.76,0.76,0.76,9089.00,0.76,0.77,0.76,0.76,218138.00,0.77,0.77,0.77,0.77,1272471.00,0.77,0.77,0.77,0.77,18178.00,0.73,1995-05-30
0.73,0.73,0.73,0.73,9089.00,0.76,0.76,0.76,0.76,9089.00,0.76,0.77,0.76,0.76,218138.00,0.77,0.77,0.77,0.77,1272471.00,0.77,0.77,0.77,0.77,18178.00,0.73,0.73,0.66,0.73,9089.00,0.75,1995-06-05
0.76,0.76,0.76,0.76,9089.00,0.76,0.77,0.76,0.76,218138.00,0.77,0.77,0.77,0.77,1272471.00,0.77,0.77,0.77,0.77,18178.00,0.73,0.73,0.66,0.73,9089.00,0.75,0.76,0.75,0.75,90891.00,0.75,1995-06-13
0.76,0.77,0.76,0.76,218138.00,0.77,0.77,0.77,0.77,1272471.00,0.77,0.77,0.77,0.77,18178.00,0.73,0.73,0.66,0.73,9089.00,0.75,0.76,0.75,0.75,90891.00,0.75,0.75,0.75,0.75,27267.00,0.75,1995-06-14
0.77,0.77,0.77,0.77,1272471.00,0.77,0.77,0.77,0.77,18178.00,0.73,0.73,0.66,0.73,9089.00,0.75,0.76,0.75,0.75,90891.00,0.75,0.75,0.75,0.75,27267.00,0.75,0.75,0.75,0.75,36356.00,0.75,1995-06-23
0.77,0.77,0.77,0.77,18178.00,0.73,0.73,0.66,0.73,9089.00,0.75,0.76,0.75,0.75,90891.00,0.75,0.75,0.75,0.75,27267.00,0.75,0.75,0.75,0.75,36356.00,0.75,0.78,0.75,0.75,1881439.00,0.75,1995-06-30
0.73,0.73,0.66,0.73,9089.00,0.75,0.76,0.75,0.75,90891.00,0.75,0.75,0.75,0.75,27267.00,0.75,0.75,0.75,0.75,36356.00,0.75,0.78,0.75,0.75,1881439.00,0.75,0.75,0.75,0.75,9089.00,0.79,1995-07-04
0.75,0.76,0.75,0.75,90891.00,0.75,0.75,0.75,0.75,27267.00,0.75,0.75,0.75,0.75,36356.00,0.75,0.78,0.75,0.75,1881439.00,0.75,0.75,0.75,0.75,9089.00,0.79,0.79,0.79,0.79,18178.00,0.77,1995-07-06
0.75,0.75,0.75,0.75,27267.00,0.75,0.75,0.75,0.75,36356.00,0.75,0.78,0.75,0.75,1881439.00,0.75,0.75,0.75,0.75,9089.00,0.79,0.79,0.79,0.79,18178.00,0.77,0.77,0.77,0.77,18178.00,0.98,1995-09-12
0.75,0.75,0.75,0.75,36356.00,0.75,0.78,0.75,0.75,1881439.00,0.75,0.75,0.75,0.75,9089.00,0.79,0.79,0.79,0.79,18178.00,0.77,0.77,0.77,0.77,18178.00,0.98,0.99,0.98,0.98,399919.00,0.98,1995-09-13
0.75,0.78,0.75,0.75,1881439.00,0.75,0.75,0.75,0.75,9089.00,0.79,0.79,0.79,0.79,18178.00,0.77,0.77,0.77,0.77,18178.00,0.98,0.99,0.98,0.98,399919.00,0.98,0.99,0.98,0.98,145425.00,0.99,1995-09-14
0.75,0.75,0.75,0.75,9089.00,0.79,0.79,0.79,0.79,18178.00,0.77,0.77,0.77,0.77,18178.00,0.98,0.99,0.98,0.98,399919.00,0.98,0.99,0.98,0.98,145425.00,0.99,1.01,0.98,0.99,418098.00,0.99,1995-09-15
0.79,0.79,0.79,0.79,18178.00,0.77,0.77,0.77,0.77,18178.00,0.98,0.99,0.98,0.98,399919.00,0.98,0.99,0.98,0.98,145425.00,0.99,1.01,0.98,0.99,418098.00,0.99,0.99,0.94,0.99,209049.00,0.99,1995-09-18
0.77,0.77,0.77,0.77,18178.00,0.98,0.99,0.98,0.98,399919.00,0.98,0.99,0.98,0.98,145425.00,0.99,1.01,0.98,0.99,418098.00,0.99,0.99,0.94,0.99,209049.00,0.99,1.00,0.99,0.99,227227.00,1.01,1995-09-19
0.98,0.99,0.98,0.98,399919.00,0.98,0.99,0.98,0.98,145425.00,0.99,1.01,0.98,0.99,418098.00,0.99,0.99,0.94,0.99,209049.00,0.99,1.00,0.99,0.99,227227.00,1.01,1.01,1.00,1.01,1208847.00,0.99,1995-09-22
0.98,0.99,0.98,0.98,145425.00,0.99,1.01,0.98,0.99,418098.00,0.99,0.99,0.94,0.99,209049.00,0.99,1.00,0.99,0.99,227227.00,1.01,1.01,1.00,1.01,1208847.00,0.99,0.99,0.99,0.99,90891.00,1.00,1995-09-25
