Open_t-6,High_t-6,Low_t-6,Close_t-6,Volume_t-6,Open_t-5,High_t-5,Low_t-5,Close_t-5,Volume_t-5,Open_t-4,High_t-4,Low_t-4,Close_t-4,Volume_t-4,Open_t-3,High_t-3,Low_t-3,Close_t-3,Volume_t-3,Open_t-2,High_t-2,Low_t-2,Close_t-2,Volume_t-2,Open_t-1,High_t-1,Low_t-1,Close_t-1,Volume_t-1,Close_t,Date_t
13.48,13.56,13.46,13.48,238439904.00,13.48,13.50,13.46,13.48,68682496.00,13.50,13.50,12.68,13.10,148213200.00,13.10,13.42,13.10,13.40,22601300.00,13.40,13.48,13.38,13.46,8020600.00,13.46,13.48,13.38,13.46,9874000.00,13.70,2021-06-09
13.48,13.50,13.46,13.48,68682496.00,13.50,13.50,12.68,13.10,148213200.00,13.10,13.42,13.10,13.40,22601300.00,13.40,13.48,13.38,13.46,8020600.00,13.46,13.48,13.38,13.46,9874000.00,13.46,13.76,13.42,13.70,29222800.00,13.92,2021-06-10
13.50,13.50,12.68,13.10,148213200.00,13.10,13.42,13.10,13.40,22601300.00,13.40,13.48,13.38,13.46,8020600.00,13.46,13.48,13.38,13.46,9874000.00,13.46,13.76,13.42,13.70,29222800.00,13.78,14.16,13.74,13.92,23897500.00,14.04,2021-06-11
13.10,13.42,13.10,13.40,22601300.00,13.40,13.48,13.38,13.46,8020600.00,13.46,13.48,13.38,13.46,9874000.00,13.46,13.76,13.42,13.70,29222800.00,13.78,14.16,13.74,13.92,23897500.00,13.92,14.10,13.80,14.04,6237200.00,14.68,2021-06-14
13.40,13.48,13.38,13.46,8020600.00,13.46,13.48,13.38,13.46,9874000.00,13.46,13.76,13.42,13.70,29222800.00,13.78,14.16,13.74,13.92,23897500.00,13.92,14.10,13.80,14.04,6237200.00,14.10,14.70,14.06,14.68,11431800.00,14.66,2021-06-15
13.46,13.48,13.38,13.46,9874000.00,13.46,13.76,13.42,13.70,29222800.00,13.78,14.16,13.74,13.92,23897500.00,13.92,14.10,13.80,14.04,6237200.00,14.10,14.70,14.06,14.68,11431800.00,14.66,14.76,14.42,14.66,13586500.00,14.74,2021-06-16
13.46,13.76,13.42,13.70,29222800.00,13.78,14.16,13.74,13.92,23897500.00,13.92,14.10,13.80,14.04,6237200.00,14.10,14.70,14.06,14.68,11431800.00,14.66,14.76,14.42,14.66,13586500.00,14.70,14.76,14.50,14.74,9832500.00,14.60,2021-06-17
13.78,14.16,13.74,13.92,23897500.00,13.92,14.10,13.80,14.04,6237200.00,14.10,14.70,14.06,14.68,11431800.00,14.66,14.76,14.42,14.66,13586500.00,14.70,14.76,14.50,14.74,9832500.00,14.76,14.78,14.42,14.60,8647800.00,14.30,2021-06-18
13.92,14.10,13.80,14.04,6237200.00,14.10,14.70,14.06,14.68,11431800.00,14.66,14.76,14.42,14.66,13586500.00,14.70,14.76,14.50,14.74,9832500.00,14.76,14.78,14.42,14.60,8647800.00,14.60,14.66,14.30,14.30,3183800.00,14.50,2021-06-21
14.10,14.70,14.06,14.68,11431800.00,14.66,14.76,14.42,14.66,13586500.00,14.70,14.76,14.50,14.74,9832500.00,14.76,14.78,14.42,14.60,8647800.00,14.60,14.66,14.30,14.30,3183800.00,14.30,14.54,14.30,14.50,3689000.00,14.58,2021-06-22
