Open_t-6,High_t-6,Low_t-6,Close_t-6,Volume_t-6,Open_t-5,High_t-5,Low_t-5,Close_t-5,Volume_t-5,Open_t-4,High_t-4,Low_t-4,Close_t-4,Volume_t-4,Open_t-3,High_t-3,Low_t-3,Close_t-3,Volume_t-3,Open_t-2,High_t-2,Low_t-2,Close_t-2,Volume_t-2,Open_t-1,High_t-1,Low_t-1,Close_t-1,Volume_t-1,Close_t,Date_t
1.50,1.50,1.50,1.50,10000.00,2.24,2.24,2.24,2.24,17000.00,3.35,3.35,3.35,3.35,26000.00,4.90,5.00,4.85,5.00,876000.00,5.10,6.40,5.10,5.40,2683000.00,5.30,5.40,5.00,5.00,414000.00,4.90,2006-12-28
2.24,2.24,2.24,2.24,17000.00,3.35,3.35,3.35,3.35,26000.00,4.90,5.00,4.85,5.00,876000.00,5.10,6.40,5.10,5.40,2683000.00,5.30,5.40,5.00,5.00,414000.00,5.00,5.00,4.90,4.90,310000.00,5.00,2006-12-29
3.35,3.35,3.35,3.35,26000.00,4.90,5.00,4.85,5.00,876000.00,5.10,6.40,5.10,5.40,2683000.00,5.30,5.40,5.00,5.00,414000.00,5.00,5.00,4.90,4.90,310000.00,4.80,5.00,4.70,5.00,373000.00,5.00,2007-01-02
4.90,5.00,4.85,5.00,876000.00,5.10,6.40,5.10,5.40,2683000.00,5.30,5.40,5.00,5.00,414000.00,5.00,5.00,4.90,4.90,310000.00,4.80,5.00,4.70,5.00,373000.00,5.00,5.00,4.90,5.00,241000.00,5.10,2007-01-03
5.10,6.40,5.10,5.40,2683000.00,5.30,5.40,5.00,5.00,414000.00,5.00,5.00,4.90,4.90,310000.00,4.80,5.00,4.70,5.00,373000.00,5.00,5.00,4.90,5.00,241000.00,4.80,5.10,4.80,5.10,183000.00,5.40,2007-01-04
5.30,5.40,5.00,5.00,414000.00,5.00,5.00,4.90,4.90,310000.00,4.80,5.00,4.70,5.00,373000.00,5.00,5.00,4.90,5.00,241000.00,4.80,5.10,4.80,5.10,183000.00,5.00,5.40,4.95,5.40,1165000.00,5.60,2007-01-05
5.00,5.00,4.90,4.90,310000.00,4.80,5.00,4.70,5.00,373000.00,5.00,5.00,4.90,5.00,241000.00,4.80,5.10,4.80,5.10,183000.00,5.00,5.40,4.95,5.40,1165000.00,5.50,5.80,5.50,5.60,1586000.00,5.40,2007-01-08
4.80,5.00,4.70,5.00,373000.00,5.00,5.00,4.90,5.00,241000.00,4.80,5.10,4.80,5.10,183000.00,5.00,5.40,4.95,5.40,1165000.00,5.50,5.80,5.50,5.60,1586000.00,5.60,5.60,5.40,5.40,284000.00,5.30,2007-01-09
5.00,5.00,4.90,5.00,241000.00,4.80,5.10,4.80,5.10,183000.00,5.00,5.40,4.95,5.40,1165000.00,5.50,5.80,5.50,5.60,1586000.00,5.60,5.60,5.40,5.40,284000.00,5.60,5.60,5.30,5.30,115000.00,5.30,2007-01-10
4.80,5.10,4.80,5.10,183000.00,5.00,5.40,4.95,5.40,1165000.00,5.50,5.80,5.50,5.60,1586000.00,5.60,5.60,5.40,5.40,284000.00,5.60,5.60,5.30,5.30,115000.00,5.40,5.40,5.30,5.30,126000.00,5.50,2007-01-11
5.00,5.40,4.95,5.40,1165000.00,5.50,5.80,5.50,5.60,1586000.00,5.60,5.60,5.40,5.40,284000.00,5.60,5.60,5.30,5.30,115000.00,5.40,5.40,5.30,5.30,126000.00,5.30,5.50,5.30,5.50,402000.00,5.30,2007-01-12
5.50,5.80,5.50,5.60,1586000.00,5.60,5.60,5.40,5.40,284000.00,5.60,5.60,5.30,5.30,115000.00,5.40,5.40,5.30,5.30,126000.00,5.30,5.50,5.30,5.50,402000.00,5.40,5.40,5.30,5.30,258000.00,5.30,2007-01-15
5.60,5.60,5.40,5.40,284000.00,5.60,5.60,5.30,5.30,115000.00,5.40,5.40,5.30,5.30,126000.00,5.30,5.50,5.30,5.50,402000.00,5.40,5.40,5.30,5.30,258000.00,5.30,5.50,5.30,5.30,161000.00,5.30,2007-01-16
5.60,5.60,5.30,5.30,115000.00,5.40,5.40,5.30,5.30,126000.00,5.30,5.50,5.30,5.50,402000.00,5.40,5.40,5.30,5.30,258000.00,5.30,5.50,5.30,5.30,161000.00,5.30,5.30,5.30,5.30,104000.00,5.30,2007-01-17
5.40,5.40,5.30,5.30,126000.00,5.30,5.50,5.30,5.50,402000.00,5.40,5.40,5.30,5.30,258000.00,5.30,5.50,5.30,5.30,161000.00,5.30,5.30,5.30,5.30,104000.00,5.40,5.40,5.30,5.30,79000.00,5.20,2007-01-18
5.30,5.50,5.30,5.50,402000.00,5.40,5.40,5.30,5.30,258000.00,5.30,5.50,5.30,5.30,161000.00,5.30,5.30,5.30,5.30,104000.00,5.40,5.40,5.30,5.30,79000.00,5.20,5.20,5.20,5.20,60000.00,5.10,2007-01-19
5.40,5.40,5.30,5.30,258000.00,5.30,5.50,5.30,5.30,161000.00,5.30,5.30,5.30,5.30,104000.00,5.40,5.40,5.30,5.30,79000.00,5.20,5.20,5.20,5.20,60000.00,5.10,5.10,5.10,5.10,153000.00,5.20,2007-01-22
5.30,5.50,5.30,5.30,161000.00,5.30,5.30,5.30,5.30,104000.00,5.40,5.40,5.30,5.30,79000.00,5.20,5.20,5.20,5.20,60000.00,5.10,5.10,5.10,5.10,153000.00,5.20,5.20,5.20,5.20,25000.00,5.10,2007-01-23
5.30,5.30,5.30,5.30,104000.00,5.40,5.40,5.30,5.30,79000.00,5.20,5.20,5.20,5.20,60000.00,5.10,5.10,5.10,5.10,153000.00,5.20,5.20,5.20,5.20,25000.00,5.20,5.20,5.10,5.10,399000.00,5.00,2007-01-24
5.40,5.40,5.30,5.30,79000.00,5.20,5.20,5.20,5.20,60000.00,5.10,5.10,5.10,5.10,153000.00,5.20,5.20,5.20,5.20,25000.00,5.20,5.20,5.10,5.10,399000.00,5.10,5.10,4.95,5.00,220000.00,4.95,2007-01-25
5.20,5.20,5.20,5.20,60000.00,5.10,5.10,5.10,5.10,153000.00,5.20,5.20,5.20,5.20,25000.00,5.20,5.20,5.10,5.10,399000.00,5.10,5.10,4.95,5.00,220000.00,4.95,5.00,4.95,4.95,176000.00,4.80,2007-01-26
5.10,5.10,5.10,5.10,153000.00,5.20,5.20,5.20,5.20,25000.00,5.20,5.20,5.10,5.10,399000.00,5.10,5.10,4.95,5.00,220000.00,4.95,5.00,4.95,4.95,176000.00,4.80,4.85,4.80,4.80,145000.00,4.80,2007-01-29
5.20,5.20,5.20,5.20,25000.00,5.20,5.20,5.10,5.10,399000.00,5.10,5.10,4.95,5.00,220000.00,4.95,5.00,4.95,4.95,176000.00,4.80,4.85,4.80,4.80,145000.00,4.80,4.80,4.80,4.80,127000.00,4.60,2007-01-30
5.20,5.20,5.10,5.10,399000.00,5.10,5.10,4.95,5.00,220000.00,4.95,5.00,4.95,4.95,176000.00,4.80,4.85,4.80,4.80,145000.00,4.80,4.80,4.80,4.80,127000.00,4.80,4.80,4.60,4.60,392000.00,4.70,2007-01-31
5.10,5.10,4.95,5.00,220000.00,4.95,5.00,4.95,4.95,176000.00,4.80,4.85,4.80,4.80,145000.00,4.80,4.80,4.80,4.80,127000.00,4.80,4.80,4.60,4.60,392000.00,4.70,4.70,4.65,4.70,183000.00,4.75,2007-02-01
