Open_t-6,High_t-6,Low_t-6,Close_t-6,Volume_t-6,Open_t-5,High_t-5,Low_t-5,Close_t-5,Volume_t-5,Open_t-4,High_t-4,Low_t-4,Close_t-4,Volume_t-4,Open_t-3,High_t-3,Low_t-3,Close_t-3,Volume_t-3,Open_t-2,High_t-2,Low_t-2,Close_t-2,Volume_t-2,Open_t-1,High_t-1,Low_t-1,Close_t-1,Volume_t-1,Close_t,Date_t
2.89,2.89,2.89,2.89,900.00,2.67,2.67,2.67,2.67,15750.00,2.89,2.89,2.89,2.89,7200.00,2.89,2.89,2.89,2.89,9000.00,3.11,3.11,2.89,3.11,67950.00,3.33,3.33,3.33,3.33,9000.00,3.33,1995-12-19
2.67,2.67,2.67,2.67,15750.00,2.89,2.89,2.89,2.89,7200.00,2.89,2.89,2.89,2.89,9000.00,3.11,3.11,2.89,3.11,67950.00,3.33,3.33,3.33,3.33,9000.00,3.33,3.33,3.33,3.33,23400.00,3.56,1995-12-20
2.89,2.89,2.89,2.89,7200.00,2.89,2.89,2.89,2.89,9000.00,3.11,3.11,2.89,3.11,67950.00,3.33,3.33,3.33,3.33,9000.00,3.33,3.33,3.33,3.33,23400.00,3.56,3.56,3.33,3.56,35550.00,5.33,1995-12-21
2.89,2.89,2.89,2.89,9000.00,3.11,3.11,2.89,3.11,67950.00,3.33,3.33,3.33,3.33,9000.00,3.33,3.33,3.33,3.33,23400.00,3.56,3.56,3.33,3.56,35550.00,5.33,5.33,3.56,5.33,305550.00,4.00,1995-12-22
3.11,3.11,2.89,3.11,67950.00,3.33,3.33,3.33,3.33,9000.00,3.33,3.33,3.33,3.33,23400.00,3.56,3.56,3.33,3.56,35550.00,5.33,5.33,3.56,5.33,305550.00,4.00,4.67,3.78,4.00,427950.00,4.00,1995-12-26
3.33,3.33,3.33,3.33,9000.00,3.33,3.33,3.33,3.33,23400.00,3.56,3.56,3.33,3.56,35550.00,5.33,5.33,3.56,5.33,305550.00,4.00,4.67,3.78,4.00,427950.00,4.00,4.00,3.78,4.00,15750.00,4.00,1995-12-27
3.33,3.33,3.33,3.33,23400.00,3.56,3.56,3.33,3.56,35550.00,5.33,5.33,3.56,5.33,305550.00,4.00,4.67,3.78,4.00,427950.00,4.00,4.00,3.78,4.00,15750.00,4.00,4.00,4.00,4.00,13500.00,3.78,1995-12-28
3.56,3.56,3.33,3.56,35550.00,5.33,5.33,3.56,5.33,305550.00,4.00,4.67,3.78,4.00,427950.00,4.00,4.00,3.78,4.00,15750.00,4.00,4.00,4.00,4.00,13500.00,3.78,3.78,3.78,3.78,2250.00,4.00,1995-12-29
5.33,5.33,3.56,5.33,305550.00,4.00,4.67,3.78,4.00,427950.00,4.00,4.00,3.78,4.00,15750.00,4.00,4.00,4.00,4.00,13500.00,3.78,3.78,3.78,3.78,2250.00,4.00,4.00,4.00,4.00,9000.00,4.00,1996-01-02
4.00,4.67,3.78,4.00,427950.00,4.00,4.00,3.78,4.00,15750.00,4.00,4.00,4.00,4.00,13500.00,3.78,3.78,3.78,3.78,2250.00,4.00,4.00,4.00,4.00,9000.00,4.00,4.00,3.78,4.00,99450.00,4.44,1996-01-03
