Open_t-6,High_t-6,Low_t-6,Close_t-6,Volume_t-6,Open_t-5,High_t-5,Low_t-5,Close_t-5,Volume_t-5,Open_t-4,High_t-4,Low_t-4,Close_t-4,Volume_t-4,Open_t-3,High_t-3,Low_t-3,Close_t-3,Volume_t-3,Open_t-2,High_t-2,Low_t-2,Close_t-2,Volume_t-2,Open_t-1,High_t-1,Low_t-1,Close_t-1,Volume_t-1,Close_t,Date_t
11.20,11.20,10.68,10.68,28051300.00,10.74,10.98,10.74,10.96,6454800.00,11.02,11.60,11.02,11.60,17731900.00,11.80,11.82,11.34,11.36,12181500.00,11.36,11.68,11.30,11.60,1351800.00,11.52,12.36,11.52,12.36,4896100.00,12.10,2011-10-14
10.74,10.98,10.74,10.96,6454800.00,11.02,11.60,11.02,11.60,17731900.00,11.80,11.82,11.34,11.36,12181500.00,11.36,11.68,11.30,11.60,1351800.00,11.52,12.36,11.52,12.36,4896100.00,12.30,12.40,12.00,12.10,7294000.00,12.38,2011-10-17
11.02,11.60,11.02,11.60,17731900.00,11.80,11.82,11.34,11.36,12181500.00,11.36,11.68,11.30,11.60,1351800.00,11.52,12.36,11.52,12.36,4896100.00,12.30,12.40,12.00,12.10,7294000.00,12.20,12.46,12.10,12.38,6994900.00,12.26,2011-10-18
11.80,11.82,11.34,11.36,12181500.00,11.36,11.68,11.30,11.60,1351800.00,11.52,12.36,11.52,12.36,4896100.00,12.30,12.40,12.00,12.10,7294000.00,12.20,12.46,12.10,12.38,6994900.00,12.38,12.38,12.12,12.26,7236600.00,12.20,2011-10-19
11.36,11.68,11.30,11.60,1351800.00,11.52,12.36,11.52,12.36,4896100.00,12.30,12.40,12.00,12.10,7294000.00,12.20,12.46,12.10,12.38,6994900.00,12.38,12.38,12.12,12.26,7236600.00,12.24,12.26,12.20,12.20,8274100.00,12.20,2011-10-20
11.52,12.36,11.52,12.36,4896100.00,12.30,12.40,12.00,12.10,7294000.00,12.20,12.46,12.10,12.38,6994900.00,12.38,12.38,12.12,12.26,7236600.00,12.24,12.26,12.20,12.20,8274100.00,12.22,12.30,12.20,12.20,4007000.00,12.30,2011-10-21
12.30,12.40,12.00,12.10,7294000.00,12.20,12.46,12.10,12.38,6994900.00,12.38,12.38,12.12,12.26,7236600.00,12.24,12.26,12.20,12.20,8274100.00,12.22,12.30,12.20,12.20,4007000.00,12.24,12.34,12.20,12.30,4269500.00,12.20,2011-10-24
12.20,12.46,12.10,12.38,6994900.00,12.38,12.38,12.12,12.26,7236600.00,12.24,12.26,12.20,12.20,8274100.00,12.22,12.30,12.20,12.20,4007000.00,12.24,12.34,12.20,12.30,4269500.00,12.34,12.34,12.20,12.20,14370500.00,12.32,2011-10-25
12.38,12.38,12.12,12.26,7236600.00,12.24,12.26,12.20,12.20,8274100.00,12.22,12.30,12.20,12.20,4007000.00,12.24,12.34,12.20,12.30,4269500.00,12.34,12.34,12.20,12.20,14370500.00,12.16,12.32,12.16,12.32,3730900.00,12.16,2011-10-26
12.24,12.26,12.20,12.20,8274100.00,12.22,12.30,12.20,12.20,4007000.00,12.24,12.34,12.20,12.30,4269500.00,12.34,12.34,12.20,12.20,14370500.00,12.16,12.32,12.16,12.32,3730900.00,12.18,12.24,12.16,12.16,1404600.00,12.22,2011-10-27
