Open_t-6,High_t-6,Low_t-6,Close_t-6,Volume_t-6,Open_t-5,High_t-5,Low_t-5,Close_t-5,Volume_t-5,Open_t-4,High_t-4,Low_t-4,Close_t-4,Volume_t-4,Open_t-3,High_t-3,Low_t-3,Close_t-3,Volume_t-3,Open_t-2,High_t-2,Low_t-2,Close_t-2,Volume_t-2,Open_t-1,High_t-1,Low_t-1,Close_t-1,Volume_t-1,Close_t,Date_t
12.00,12.36,11.66,12.10,49585200.00,12.16,12.26,11.78,12.24,21287500.00,12.24,12.24,11.88,11.98,7482500.00,11.98,11.98,11.50,11.58,13615300.00,11.62,11.82,11.62,11.70,6161600.00,11.70,11.70,11.24,11.24,8418900.00,11.20,2016-12-23
12.16,12.26,11.78,12.24,21287500.00,12.24,12.24,11.88,11.98,7482500.00,11.98,11.98,11.50,11.58,13615300.00,11.62,11.82,11.62,11.70,6161600.00,11.70,11.70,11.24,11.24,8418900.00,11.24,11.26,10.90,11.20,4136300.00,11.30,2016-12-27
12.24,12.24,11.88,11.98,7482500.00,11.98,11.98,11.50,11.58,13615300.00,11.62,11.82,11.62,11.70,6161600.00,11.70,11.70,11.24,11.24,8418900.00,11.24,11.26,10.90,11.20,4136300.00,11.22,11.34,11.22,11.30,1212100.00,11.30,2016-12-28
11.98,11.98,11.50,11.58,13615300.00,11.62,11.82,11.62,11.70,6161600.00,11.70,11.70,11.24,11.24,8418900.00,11.24,11.26,10.90,11.20,4136300.00,11.22,11.34,11.22,11.30,1212100.00,11.32,11.40,11.28,11.30,2431200.00,11.50,2016-12-29
11.62,11.82,11.62,11.70,6161600.00,11.70,11.70,11.24,11.24,8418900.00,11.24,11.26,10.90,11.20,4136300.00,11.22,11.34,11.22,11.30,1212100.00,11.32,11.40,11.28,11.30,2431200.00,11.30,11.68,11.20,11.50,10836500.00,11.48,2017-01-03
11.70,11.70,11.24,11.24,8418900.00,11.24,11.26,10.90,11.20,4136300.00,11.22,11.34,11.22,11.30,1212100.00,11.32,11.40,11.28,11.30,2431200.00,11.30,11.68,11.20,11.50,10836500.00,11.58,11.58,11.38,11.48,727600.00,11.68,2017-01-04
11.24,11.26,10.90,11.20,4136300.00,11.22,11.34,11.22,11.30,1212100.00,11.32,11.40,11.28,11.30,2431200.00,11.30,11.68,11.20,11.50,10836500.00,11.58,11.58,11.38,11.48,727600.00,11.48,11.90,11.48,11.68,3234700.00,11.68,2017-01-05
11.22,11.34,11.22,11.30,1212100.00,11.32,11.40,11.28,11.30,2431200.00,11.30,11.68,11.20,11.50,10836500.00,11.58,11.58,11.38,11.48,727600.00,11.48,11.90,11.48,11.68,3234700.00,11.76,11.76,11.60,11.68,2812300.00,11.66,2017-01-06
11.32,11.40,11.28,11.30,2431200.00,11.30,11.68,11.20,11.50,10836500.00,11.58,11.58,11.38,11.48,727600.00,11.48,11.90,11.48,11.68,3234700.00,11.76,11.76,11.60,11.68,2812300.00,11.76,11.76,11.56,11.66,4044200.00,11.66,2017-01-09
11.30,11.68,11.20,11.50,10836500.00,11.58,11.58,11.38,11.48,727600.00,11.48,11.90,11.48,11.68,3234700.00,11.76,11.76,11.60,11.68,2812300.00,11.76,11.76,11.56,11.66,4044200.00,11.60,11.68,11.54,11.66,1845800.00,11.50,2017-01-10
