Open_t-6,High_t-6,Low_t-6,Close_t-6,Volume_t-6,Open_t-5,High_t-5,Low_t-5,Close_t-5,Volume_t-5,Open_t-4,High_t-4,Low_t-4,Close_t-4,Volume_t-4,Open_t-3,High_t-3,Low_t-3,Close_t-3,Volume_t-3,Open_t-2,High_t-2,Low_t-2,Close_t-2,Volume_t-2,Open_t-1,High_t-1,Low_t-1,Close_t-1,Volume_t-1,Close_t,Date_t
0.93,0.94,0.93,0.93,685820.00,0.90,0.93,0.90,0.90,1176406.00,0.89,0.90,0.88,0.89,755903.00,0.87,0.88,0.87,0.87,760909.00,0.86,0.88,0.86,0.86,2535530.00,0.83,0.85,0.83,0.83,2387854.00,0.83,1995-01-11
0.90,0.93,0.90,0.90,1176406.00,0.89,0.90,0.88,0.89,755903.00,0.87,0.88,0.87,0.87,760909.00,0.86,0.88,0.86,0.86,2535530.00,0.83,0.85,0.83,0.83,2387854.00,0.83,0.83,0.82,0.83,936119.00,0.82,1995-01-13
0.89,0.90,0.88,0.89,755903.00,0.87,0.88,0.87,0.87,760909.00,0.86,0.88,0.86,0.86,2535530.00,0.83,0.85,0.83,0.83,2387854.00,0.83,0.83,0.82,0.83,936119.00,0.82,0.85,0.82,0.82,1556861.00,0.82,1995-01-16
0.87,0.88,0.87,0.87,760909.00,0.86,0.88,0.86,0.86,2535530.00,0.83,0.85,0.83,0.83,2387854.00,0.83,0.83,0.82,0.83,936119.00,0.82,0.85,0.82,0.82,1556861.00,0.82,0.82,0.82,0.82,1979866.00,0.82,1995-01-17
0.86,0.88,0.86,0.86,2535530.00,0.83,0.85,0.83,0.83,2387854.00,0.83,0.83,0.82,0.83,936119.00,0.82,0.85,0.82,0.82,1556861.00,0.82,0.82,0.82,0.82,1979866.00,0.82,0.82,0.82,0.82,433018.00,0.84,1995-01-18
0.83,0.85,0.83,0.83,2387854.00,0.83,0.83,0.82,0.83,936119.00,0.82,0.85,0.82,0.82,1556861.00,0.82,0.82,0.82,0.82,1979866.00,0.82,0.82,0.82,0.82,433018.00,0.84,0.85,0.82,0.84,4104906.00,0.82,1995-01-23
0.83,0.83,0.82,0.83,936119.00,0.82,0.85,0.82,0.82,1556861.00,0.82,0.82,0.82,0.82,1979866.00,0.82,0.82,0.82,0.82,433018.00,0.84,0.85,0.82,0.84,4104906.00,0.82,0.84,0.75,0.82,2155076.00,0.79,1995-01-24
0.82,0.85,0.82,0.82,1556861.00,0.82,0.82,0.82,0.82,1979866.00,0.82,0.82,0.82,0.82,433018.00,0.84,0.85,0.82,0.84,4104906.00,0.82,0.84,0.75,0.82,2155076.00,0.79,0.80,0.79,0.79,2783326.00,0.78,1995-01-25
0.82,0.82,0.82,0.82,1979866.00,0.82,0.82,0.82,0.82,433018.00,0.84,0.85,0.82,0.84,4104906.00,0.82,0.84,0.75,0.82,2155076.00,0.79,0.80,0.79,0.79,2783326.00,0.78,0.80,0.78,0.78,4718139.00,0.78,1995-01-26
0.82,0.82,0.82,0.82,433018.00,0.84,0.85,0.82,0.84,4104906.00,0.82,0.84,0.75,0.82,2155076.00,0.79,0.80,0.79,0.79,2783326.00,0.78,0.80,0.78,0.78,4718139.00,0.78,0.79,0.78,0.78,12337245.00,0.76,1995-01-27
