Open_t-6,High_t-6,Low_t-6,Close_t-6,Volume_t-6,Open_t-5,High_t-5,Low_t-5,Close_t-5,Volume_t-5,Open_t-4,High_t-4,Low_t-4,Close_t-4,Volume_t-4,Open_t-3,High_t-3,Low_t-3,Close_t-3,Volume_t-3,Open_t-2,High_t-2,Low_t-2,Close_t-2,Volume_t-2,Open_t-1,High_t-1,Low_t-1,Close_t-1,Volume_t-1,Close_t,Date_t
56.00,57.30,53.60,56.50,32673052.00,57.05,59.00,57.05,59.00,20931780.00,59.00,60.50,59.00,59.90,17332280.00,60.00,60.20,59.00,59.60,3594170.00,59.60,60.00,58.70,58.70,4308570.00,59.00,59.95,58.20,58.95,3386230.00,59.50,2013-11-19
57.05,59.00,57.05,59.00,20931780.00,59.00,60.50,59.00,59.90,17332280.00,60.00,60.20,59.00,59.60,3594170.00,59.60,60.00,58.70,58.70,4308570.00,59.00,59.95,58.20,58.95,3386230.00,58.95,59.70,58.60,59.50,7624650.00,58.10,2013-11-20
59.00,60.50,59.00,59.90,17332280.00,60.00,60.20,59.00,59.60,3594170.00,59.60,60.00,58.70,58.70,4308570.00,59.00,59.95,58.20,58.95,3386230.00,58.95,59.70,58.60,59.50,7624650.00,59.00,59.00,58.00,58.10,7972690.00,57.95,2013-11-21
60.00,60.20,59.00,59.60,3594170.00,59.60,60.00,58.70,58.70,4308570.00,59.00,59.95,58.20,58.95,3386230.00,58.95,59.70,58.60,59.50,7624650.00,59.00,59.00,58.00,58.10,7972690.00,58.20,58.50,57.80,57.95,8987600.00,57.85,2013-11-22
59.60,60.00,58.70,58.70,4308570.00,59.00,59.95,58.20,58.95,3386230.00,58.95,59.70,58.60,59.50,7624650.00,59.00,59.00,58.00,58.10,7972690.00,58.20,58.50,57.80,57.95,8987600.00,57.80,57.95,57.80,57.85,5292020.00,57.65,2013-11-25
59.00,59.95,58.20,58.95,3386230.00,58.95,59.70,58.60,59.50,7624650.00,59.00,59.00,58.00,58.10,7972690.00,58.20,58.50,57.80,57.95,8987600.00,57.80,57.95,57.80,57.85,5292020.00,57.85,57.90,57.65,57.65,2440350.00,58.00,2013-11-26
58.95,59.70,58.60,59.50,7624650.00,59.00,59.00,58.00,58.10,7972690.00,58.20,58.50,57.80,57.95,8987600.00,57.80,57.95,57.80,57.85,5292020.00,57.85,57.90,57.65,57.65,2440350.00,57.70,58.05,57.65,58.00,7528060.00,57.20,2013-11-27
59.00,59.00,58.00,58.10,7972690.00,58.20,58.50,57.80,57.95,8987600.00,57.80,57.95,57.80,57.85,5292020.00,57.85,57.90,57.65,57.65,2440350.00,57.70,58.05,57.65,58.00,7528060.00,58.00,58.05,57.20,57.20,5299040.00,57.10,2013-11-28
58.20,58.50,57.80,57.95,8987600.00,57.80,57.95,57.80,57.85,5292020.00,57.85,57.90,57.65,57.65,2440350.00,57.70,58.05,57.65,58.00,7528060.00,58.00,58.05,57.20,57.20,5299040.00,57.20,57.20,57.00,57.10,1029300.00,56.15,2013-11-29
57.80,57.95,57.80,57.85,5292020.00,57.85,57.90,57.65,57.65,2440350.00,57.70,58.05,57.65,58.00,7528060.00,58.00,58.05,57.20,57.20,5299040.00,57.20,57.20,57.00,57.10,1029300.00,57.10,57.10,55.50,56.15,2760400.00,56.00,2013-12-02
57.85,57.90,57.65,57.65,2440350.00,57.70,58.05,57.65,58.00,7528060.00,58.00,58.05,57.20,57.20,5299040.00,57.20,57.20,57.00,57.10,1029300.00,57.10,57.10,55.50,56.15,2760400.00,56.10,56.15,55.75,56.00,1582960.00,56.50,2013-12-03
57.70,58.05,57.65,58.00,7528060.00,58.00,58.05,57.20,57.20,5299040.00,57.20,57.20,57.00,57.10,1029300.00,57.10,57.10,55.50,56.15,2760400.00,56.10,56.15,55.75,56.00,1582960.00,56.00,56.50,55.95,56.50,2442880.00,55.80,2013-12-04
58.00,58.05,57.20,57.20,5299040.00,57.20,57.20,57.00,57.10,1029300.00,57.10,57.10,55.50,56.15,2760400.00,56.10,56.15,55.75,56.00,1582960.00,56.00,56.50,55.95,56.50,2442880.00,56.20,56.55,55.80,55.80,1463560.00,55.20,2013-12-05
57.20,57.20,57.00,57.10,1029300.00,57.10,57.10,55.50,56.15,2760400.00,56.10,56.15,55.75,56.00,1582960.00,56.00,56.50,55.95,56.50,2442880.00,56.20,56.55,55.80,55.80,1463560.00,55.80,55.80,54.00,55.20,3687920.00,55.00,2013-12-06
57.10,57.10,55.50,56.15,2760400.00,56.10,56.15,55.75,56.00,1582960.00,56.00,56.50,55.95,56.50,2442880.00,56.20,56.55,55.80,55.80,1463560.00,55.80,55.80,54.00,55.20,3687920.00,55.00,55.15,54.85,55.00,1413860.00,54.95,2013-12-09
56.10,56.15,55.75,56.00,1582960.00,56.00,56.50,55.95,56.50,2442880.00,56.20,56.55,55.80,55.80,1463560.00,55.80,55.80,54.00,55.20,3687920.00,55.00,55.15,54.85,55.00,1413860.00,54.90,55.00,54.90,54.95,637400.00,54.95,2013-12-10
56.00,56.50,55.95,56.50,2442880.00,56.20,56.55,55.80,55.80,1463560.00,55.80,55.80,54.00,55.20,3687920.00,55.00,55.15,54.85,55.00,1413860.00,54.90,55.00,54.90,54.95,637400.00,55.00,55.00,54.90,54.95,3946410.00,54.00,2013-12-11
56.20,56.55,55.80,55.80,1463560.00,55.80,55.80,54.00,55.20,3687920.00,55.00,55.15,54.85,55.00,1413860.00,54.90,55.00,54.90,54.95,637400.00,55.00,55.00,54.90,54.95,3946410.00,55.00,55.00,54.00,54.00,1888310.00,50.00,2013-12-12
55.80,55.80,54.00,55.20,3687920.00,55.00,55.15,54.85,55.00,1413860.00,54.90,55.00,54.90,54.95,637400.00,55.00,55.00,54.90,54.95,3946410.00,55.00,55.00,54.00,54.00,1888310.00,53.90,53.90,50.00,50.00,1756300.00,50.10,2013-12-13
55.00,55.15,54.85,55.00,1413860.00,54.90,55.00,54.90,54.95,637400.00,55.00,55.00,54.90,54.95,3946410.00,55.00,55.00,54.00,54.00,1888310.00,53.90,53.90,50.00,50.00,1756300.00,50.00,50.90,48.00,50.10,8279530.00,51.00,2013-12-16
54.90,55.00,54.90,54.95,637400.00,55.00,55.00,54.90,54.95,3946410.00,55.00,55.00,54.00,54.00,1888310.00,53.90,53.90,50.00,50.00,1756300.00,50.00,50.90,48.00,50.10,8279530.00,50.00,52.80,49.80,51.00,5708260.00,52.50,2013-12-17
55.00,55.00,54.90,54.95,3946410.00,55.00,55.00,54.00,54.00,1888310.00,53.90,53.90,50.00,50.00,1756300.00,50.00,50.90,48.00,50.10,8279530.00,50.00,52.80,49.80,51.00,5708260.00,51.30,52.80,51.30,52.50,5616030.00,53.70,2013-12-18
55.00,55.00,54.00,54.00,1888310.00,53.90,53.90,50.00,50.00,1756300.00,50.00,50.90,48.00,50.10,8279530.00,50.00,52.80,49.80,51.00,5708260.00,51.30,52.80,51.30,52.50,5616030.00,52.55,54.95,52.40,53.70,783040.00,57.30,2013-12-19
53.90,53.90,50.00,50.00,1756300.00,50.00,50.90,48.00,50.10,8279530.00,50.00,52.80,49.80,51.00,5708260.00,51.30,52.80,51.30,52.50,5616030.00,52.55,54.95,52.40,53.70,783040.00,55.00,58.00,54.25,57.30,1070250.00,56.95,2013-12-20
50.00,50.90,48.00,50.10,8279530.00,50.00,52.80,49.80,51.00,5708260.00,51.30,52.80,51.30,52.50,5616030.00,52.55,54.95,52.40,53.70,783040.00,55.00,58.00,54.25,57.30,1070250.00,57.00,57.00,55.00,56.95,1788070.00,56.95,2013-12-23
50.00,52.80,49.80,51.00,5708260.00,51.30,52.80,51.30,52.50,5616030.00,52.55,54.95,52.40,53.70,783040.00,55.00,58.00,54.25,57.30,1070250.00,57.00,57.00,55.00,56.95,1788070.00,56.95,56.95,56.95,56.95,50100.00,56.90,2013-12-26
51.30,52.80,51.30,52.50,5616030.00,52.55,54.95,52.40,53.70,783040.00,55.00,58.00,54.25,57.30,1070250.00,57.00,57.00,55.00,56.95,1788070.00,56.95,56.95,56.95,56.95,50100.00,56.95,56.95,55.05,56.90,201910.00,55.20,2013-12-27
52.55,54.95,52.40,53.70,783040.00,55.00,58.00,54.25,57.30,1070250.00,57.00,57.00,55.00,56.95,1788070.00,56.95,56.95,56.95,56.95,50100.00,56.95,56.95,55.05,56.90,201910.00,56.90,57.00,55.10,55.20,190980.00,58.00,2014-01-02
55.00,58.00,54.25,57.30,1070250.00,57.00,57.00,55.00,56.95,1788070.00,56.95,56.95,56.95,56.95,50100.00,56.95,56.95,55.05,56.90,201910.00,56.90,57.00,55.10,55.20,190980.00,57.20,58.45,57.20,58.00,836140.00,58.10,2014-01-03
57.00,57.00,55.00,56.95,1788070.00,56.95,56.95,56.95,56.95,50100.00,56.95,56.95,55.05,56.90,201910.00,56.90,57.00,55.10,55.20,190980.00,57.20,58.45,57.20,58.00,836140.00,58.00,58.50,58.00,58.10,992050.00,58.10,2014-01-06
56.95,56.95,56.95,56.95,50100.00,56.95,56.95,55.05,56.90,201910.00,56.90,57.00,55.10,55.20,190980.00,57.20,58.45,57.20,58.00,836140.00,58.00,58.50,58.00,58.10,992050.00,58.10,59.00,58.00,58.10,3895140.00,58.00,2014-01-07
56.95,56.95,55.05,56.90,201910.00,56.90,57.00,55.10,55.20,190980.00,57.20,58.45,57.20,58.00,836140.00,58.00,58.50,58.00,58.10,992050.00,58.10,59.00,58.00,58.10,3895140.00,58.10,58.35,57.95,58.00,709780.00,58.10,2014-01-08
56.90,57.00,55.10,55.20,190980.00,57.20,58.45,57.20,58.00,836140.00,58.00,58.50,58.00,58.10,992050.00,58.10,59.00,58.00,58.10,3895140.00,58.10,58.35,57.95,58.00,709780.00,58.00,58.20,58.00,58.10,455450.00,58.00,2014-01-09
57.20,58.45,57.20,58.00,836140.00,58.00,58.50,58.00,58.10,992050.00,58.10,59.00,58.00,58.10,3895140.00,58.10,58.35,57.95,58.00,709780.00,58.00,58.20,58.00,58.10,455450.00,58.10,58.10,57.95,58.00,982770.00,58.00,2014-01-10
58.00,58.50,58.00,58.10,992050.00,58.10,59.00,58.00,58.10,3895140.00,58.10,58.35,57.95,58.00,709780.00,58.00,58.20,58.00,58.10,455450.00,58.10,58.10,57.95,58.00,982770.00,58.00,58.00,57.70,58.00,365500.00,58.00,2014-01-13
58.10,59.00,58.00,58.10,3895140.00,58.10,58.35,57.95,58.00,709780.00,58.00,58.20,58.00,58.10,455450.00,58.10,58.10,57.95,58.00,982770.00,58.00,58.00,57.70,58.00,365500.00,57.75,58.00,57.50,58.00,378260.00,58.00,2014-01-14
58.10,58.35,57.95,58.00,709780.00,58.00,58.20,58.00,58.10,455450.00,58.10,58.10,57.95,58.00,982770.00,58.00,58.00,57.70,58.00,365500.00,57.75,58.00,57.50,58.00,378260.00,58.25,58.25,57.00,58.00,303240.00,58.20,2014-01-15
58.00,58.20,58.00,58.10,455450.00,58.10,58.10,57.95,58.00,982770.00,58.00,58.00,57.70,58.00,365500.00,57.75,58.00,57.50,58.00,378260.00,58.25,58.25,57.00,58.00,303240.00,58.00,60.20,58.00,58.20,1288030.00,58.00,2014-01-16
58.10,58.10,57.95,58.00,982770.00,58.00,58.00,57.70,58.00,365500.00,57.75,58.00,57.50,58.00,378260.00,58.25,58.25,57.00,58.00,303240.00,58.00,60.20,58.00,58.20,1288030.00,57.50,58.00,57.50,58.00,48830.00,58.25,2014-01-17
58.00,58.00,57.70,58.00,365500.00,57.75,58.00,57.50,58.00,378260.00,58.25,58.25,57.00,58.00,303240.00,58.00,60.20,58.00,58.20,1288030.00,57.50,58.00,57.50,58.00,48830.00,58.00,58.25,58.00,58.25,28070.00,57.10,2014-01-20
57.75,58.00,57.50,58.00,378260.00,58.25,58.25,57.00,58.00,303240.00,58.00,60.20,58.00,58.20,1288030.00,57.50,58.00,57.50,58.00,48830.00,58.00,58.25,58.00,58.25,28070.00,58.00,58.00,57.10,57.10,388630.00,57.05,2014-01-21
58.25,58.25,57.00,58.00,303240.00,58.00,60.20,58.00,58.20,1288030.00,57.50,58.00,57.50,58.00,48830.00,58.00,58.25,58.00,58.25,28070.00,58.00,58.00,57.10,57.10,388630.00,56.60,57.10,56.45,57.05,1182990.00,58.00,2014-01-22
58.00,60.20,58.00,58.20,1288030.00,57.50,58.00,57.50,58.00,48830.00,58.00,58.25,58.00,58.25,28070.00,58.00,58.00,57.10,57.10,388630.00,56.60,57.10,56.45,57.05,1182990.00,57.10,58.50,57.10,58.00,2418250.00,58.30,2014-01-23
57.50,58.00,57.50,58.00,48830.00,58.00,58.25,58.00,58.25,28070.00,58.00,58.00,57.10,57.10,388630.00,56.60,57.10,56.45,57.05,1182990.00,57.10,58.50,57.10,58.00,2418250.00,58.15,59.00,58.15,58.30,1204500.00,58.30,2014-01-24
58.00,58.25,58.00,58.25,28070.00,58.00,58.00,57.10,57.10,388630.00,56.60,57.10,56.45,57.05,1182990.00,57.10,58.50,57.10,58.00,2418250.00,58.15,59.00,58.15,58.30,1204500.00,57.70,58.70,57.65,58.30,235190.00,58.85,2014-01-27
