Open_t-6,High_t-6,Low_t-6,Close_t-6,Volume_t-6,Open_t-5,High_t-5,Low_t-5,Close_t-5,Volume_t-5,Open_t-4,High_t-4,Low_t-4,Close_t-4,Volume_t-4,Open_t-3,High_t-3,Low_t-3,Close_t-3,Volume_t-3,Open_t-2,High_t-2,Low_t-2,Close_t-2,Volume_t-2,Open_t-1,High_t-1,Low_t-1,Close_t-1,Volume_t-1,Close_t,Date_t
15.02,15.02,15.02,15.02,782208.00,15.02,15.02,15.02,15.02,1100590.00,14.86,14.86,14.86,14.86,176772.00,15.33,15.33,15.33,15.33,541504.00,15.64,15.64,15.64,15.64,759193.00,16.58,16.58,16.58,16.58,6238806.00,16.89,1995-09-22
15.02,15.02,15.02,15.02,1100590.00,14.86,14.86,14.86,14.86,176772.00,15.33,15.33,15.33,15.33,541504.00,15.64,15.64,15.64,15.64,759193.00,16.58,16.58,16.58,16.58,6238806.00,16.89,16.89,16.67,16.89,2920734.00,16.74,1995-09-25
14.86,14.86,14.86,14.86,176772.00,15.33,15.33,15.33,15.33,541504.00,15.64,15.64,15.64,15.64,759193.00,16.58,16.58,16.58,16.58,6238806.00,16.89,16.89,16.67,16.89,2920734.00,16.74,16.89,16.67,16.74,465745.00,16.11,1995-09-26
15.33,15.33,15.33,15.33,541504.00,15.64,15.64,15.64,15.64,759193.00,16.58,16.58,16.58,16.58,6238806.00,16.89,16.89,16.67,16.89,2920734.00,16.74,16.89,16.67,16.74,465745.00,16.11,16.89,16.11,16.11,304956.00,15.80,1995-09-27
15.64,15.64,15.64,15.64,759193.00,16.58,16.58,16.58,16.58,6238806.00,16.89,16.89,16.67,16.89,2920734.00,16.74,16.89,16.67,16.74,465745.00,16.11,16.89,16.11,16.11,304956.00,15.80,16.89,15.80,15.80,333086.00,15.95,1995-09-28
16.58,16.58,16.58,16.58,6238806.00,16.89,16.89,16.67,16.89,2920734.00,16.74,16.89,16.67,16.74,465745.00,16.11,16.89,16.11,16.11,304956.00,15.80,16.89,15.80,15.80,333086.00,15.95,16.89,15.95,15.95,79915.00,15.64,1995-09-29
16.89,16.89,16.67,16.89,2920734.00,16.74,16.89,16.67,16.74,465745.00,16.11,16.89,16.11,16.11,304956.00,15.80,16.89,15.80,15.80,333086.00,15.95,16.89,15.95,15.95,79915.00,15.64,16.89,15.64,15.64,291850.00,15.80,1995-10-02
16.74,16.89,16.67,16.74,465745.00,16.11,16.89,16.11,16.11,304956.00,15.80,16.89,15.80,15.80,333086.00,15.95,16.89,15.95,15.95,79915.00,15.64,16.89,15.64,15.64,291850.00,15.80,16.89,15.80,15.80,141290.00,15.80,1995-10-03
16.11,16.89,16.11,16.11,304956.00,15.80,16.89,15.80,15.80,333086.00,15.95,16.89,15.95,15.95,79915.00,15.64,16.89,15.64,15.64,291850.00,15.80,16.89,15.80,15.80,141290.00,15.80,16.89,15.80,15.80,327652.00,15.80,1995-10-04
15.80,16.89,15.80,15.80,333086.00,15.95,16.89,15.95,15.95,79915.00,15.64,16.89,15.64,15.64,291850.00,15.80,16.89,15.80,15.80,141290.00,15.80,16.89,15.80,15.80,327652.00,15.80,16.89,15.80,15.80,141929.00,15.64,1995-10-06
