Open_t-6,High_t-6,Low_t-6,Close_t-6,Volume_t-6,Open_t-5,High_t-5,Low_t-5,Close_t-5,Volume_t-5,Open_t-4,High_t-4,Low_t-4,Close_t-4,Volume_t-4,Open_t-3,High_t-3,Low_t-3,Close_t-3,Volume_t-3,Open_t-2,High_t-2,Low_t-2,Close_t-2,Volume_t-2,Open_t-1,High_t-1,Low_t-1,Close_t-1,Volume_t-1,Close_t,Date_t
43.99,44.22,43.99,43.99,190313.00,44.22,44.22,43.99,44.22,272203.00,43.99,44.22,43.99,43.99,468625.00,44.22,44.46,43.99,44.22,810884.00,43.99,44.27,43.75,43.99,605299.00,43.75,43.99,43.51,43.75,1414656.00,42.80,1995-01-16
44.22,44.22,43.99,44.22,272203.00,43.99,44.22,43.99,43.99,468625.00,44.22,44.46,43.99,44.22,810884.00,43.99,44.27,43.75,43.99,605299.00,43.75,43.99,43.51,43.75,1414656.00,42.80,43.75,42.57,42.80,1403012.00,43.51,1995-01-17
43.99,44.22,43.99,43.99,468625.00,44.22,44.46,43.99,44.22,810884.00,43.99,44.27,43.75,43.99,605299.00,43.75,43.99,43.51,43.75,1414656.00,42.80,43.75,42.57,42.80,1403012.00,43.51,43.75,42.80,43.51,2172855.00,43.51,1995-01-18
44.22,44.46,43.99,44.22,810884.00,43.99,44.27,43.75,43.99,605299.00,43.75,43.99,43.51,43.75,1414656.00,42.80,43.75,42.57,42.80,1403012.00,43.51,43.75,42.80,43.51,2172855.00,43.51,43.75,43.51,43.51,1099885.00,43.75,1995-01-19
43.99,44.27,43.75,43.99,605299.00,43.75,43.99,43.51,43.75,1414656.00,42.80,43.75,42.57,42.80,1403012.00,43.51,43.75,42.80,43.51,2172855.00,43.51,43.75,43.51,43.51,1099885.00,43.75,43.99,43.75,43.75,1131763.00,43.04,1995-01-23
43.75,43.99,43.51,43.75,1414656.00,42.80,43.75,42.57,42.80,1403012.00,43.51,43.75,42.80,43.51,2172855.00,43.51,43.75,43.51,43.51,1099885.00,43.75,43.99,43.75,43.75,1131763.00,43.04,43.51,42.09,43.04,365738.00,43.04,1995-01-24
42.80,43.75,42.57,42.80,1403012.00,43.51,43.75,42.80,43.51,2172855.00,43.51,43.75,43.51,43.51,1099885.00,43.75,43.99,43.75,43.75,1131763.00,43.04,43.51,42.09,43.04,365738.00,43.04,43.04,42.57,43.04,1162496.00,43.28,1995-01-25
43.51,43.75,42.80,43.51,2172855.00,43.51,43.75,43.51,43.51,1099885.00,43.75,43.99,43.75,43.75,1131763.00,43.04,43.51,42.09,43.04,365738.00,43.04,43.04,42.57,43.04,1162496.00,43.28,43.51,43.04,43.28,824818.00,43.75,1995-01-26
43.51,43.75,43.51,43.51,1099885.00,43.75,43.99,43.75,43.75,1131763.00,43.04,43.51,42.09,43.04,365738.00,43.04,43.04,42.57,43.04,1162496.00,43.28,43.51,43.04,43.28,824818.00,43.75,43.75,43.51,43.75,1036511.00,43.51,1995-01-27
43.75,43.99,43.75,43.75,1131763.00,43.04,43.51,42.09,43.04,365738.00,43.04,43.04,42.57,43.04,1162496.00,43.28,43.51,43.04,43.28,824818.00,43.75,43.75,43.51,43.75,1036511.00,43.51,43.51,43.28,43.51,1010550.00,43.75,1995-01-30
43.04,43.51,42.09,43.04,365738.00,43.04,43.04,42.57,43.04,1162496.00,43.28,43.51,43.04,43.28,824818.00,43.75,43.75,43.51,43.75,1036511.00,43.51,43.51,43.28,43.51,1010550.00,43.75,43.75,43.28,43.75,734911.00,43.75,1995-02-01
43.04,43.04,42.57,43.04,1162496.00,43.28,43.51,43.04,43.28,824818.00,43.75,43.75,43.51,43.75,1036511.00,43.51,43.51,43.28,43.51,1010550.00,43.75,43.75,43.28,43.75,734911.00,43.75,43.99,43.51,43.75,52112.00,43.04,1995-02-02
43.28,43.51,43.04,43.28,824818.00,43.75,43.75,43.51,43.75,1036511.00,43.51,43.51,43.28,43.51,1010550.00,43.75,43.75,43.28,43.75,734911.00,43.75,43.99,43.51,43.75,52112.00,43.04,43.51,43.04,43.04,416131.00,43.28,1995-02-03
43.75,43.75,43.51,43.75,1036511.00,43.51,43.51,43.28,43.51,1010550.00,43.75,43.75,43.28,43.75,734911.00,43.75,43.99,43.51,43.75,52112.00,43.04,43.51,43.04,43.04,416131.00,43.28,43.28,43.04,43.28,694443.00,43.51,1995-02-06
43.51,43.51,43.28,43.51,1010550.00,43.75,43.75,43.28,43.75,734911.00,43.75,43.99,43.51,43.75,52112.00,43.04,43.51,43.04,43.04,416131.00,43.28,43.28,43.04,43.28,694443.00,43.51,43.75,43.04,43.51,619234.00,43.51,1995-02-07
43.75,43.75,43.28,43.75,734911.00,43.75,43.99,43.51,43.75,52112.00,43.04,43.51,43.04,43.04,416131.00,43.28,43.28,43.04,43.28,694443.00,43.51,43.75,43.04,43.51,619234.00,43.51,43.75,43.28,43.51,267622.00,43.04,1995-02-08
