Open_t-6,High_t-6,Low_t-6,Close_t-6,Volume_t-6,Open_t-5,High_t-5,Low_t-5,Close_t-5,Volume_t-5,Open_t-4,High_t-4,Low_t-4,Close_t-4,Volume_t-4,Open_t-3,High_t-3,Low_t-3,Close_t-3,Volume_t-3,Open_t-2,High_t-2,Low_t-2,Close_t-2,Volume_t-2,Open_t-1,High_t-1,Low_t-1,Close_t-1,Volume_t-1,Close_t,Date_t
126.85,126.85,119.69,123.27,11934483.00,124.80,124.80,116.62,120.20,7456373.00,119.18,119.18,116.62,117.64,7626307.00,116.62,116.62,110.48,110.99,5015067.00,110.99,116.62,110.99,116.62,10227459.00,117.64,118.67,115.60,117.64,1787103.00,121.74,2005-04-04
124.80,124.80,116.62,120.20,7456373.00,119.18,119.18,116.62,117.64,7626307.00,116.62,116.62,110.48,110.99,5015067.00,110.99,116.62,110.99,116.62,10227459.00,117.64,118.67,115.60,117.64,1787103.00,118.15,122.76,118.15,121.74,3648440.00,121.22,2005-04-05
119.18,119.18,116.62,117.64,7626307.00,116.62,116.62,110.48,110.99,5015067.00,110.99,116.62,110.99,116.62,10227459.00,117.64,118.67,115.60,117.64,1787103.00,118.15,122.76,118.15,121.74,3648440.00,122.25,122.76,120.20,121.22,1462133.00,126.34,2005-04-06
116.62,116.62,110.48,110.99,5015067.00,110.99,116.62,110.99,116.62,10227459.00,117.64,118.67,115.60,117.64,1787103.00,118.15,122.76,118.15,121.74,3648440.00,122.25,122.76,120.20,121.22,1462133.00,120.20,127.36,120.20,126.34,4640086.00,126.34,2005-04-07
110.99,116.62,110.99,116.62,10227459.00,117.64,118.67,115.60,117.64,1787103.00,118.15,122.76,118.15,121.74,3648440.00,122.25,122.76,120.20,121.22,1462133.00,120.20,127.36,120.20,126.34,4640086.00,126.34,126.34,122.76,126.34,6143686.00,125.32,2005-04-08
117.64,118.67,115.60,117.64,1787103.00,118.15,122.76,118.15,121.74,3648440.00,122.25,122.76,120.20,121.22,1462133.00,120.20,127.36,120.20,126.34,4640086.00,126.34,126.34,122.76,126.34,6143686.00,125.83,125.83,123.27,125.32,1843546.00,124.80,2005-04-11
118.15,122.76,118.15,121.74,3648440.00,122.25,122.76,120.20,121.22,1462133.00,120.20,127.36,120.20,126.34,4640086.00,126.34,126.34,122.76,126.34,6143686.00,125.83,125.83,123.27,125.32,1843546.00,126.34,126.34,122.25,124.80,3415514.00,127.36,2005-04-12
122.25,122.76,120.20,121.22,1462133.00,120.20,127.36,120.20,126.34,4640086.00,126.34,126.34,122.76,126.34,6143686.00,125.83,125.83,123.27,125.32,1843546.00,126.34,126.34,122.25,124.80,3415514.00,124.80,127.87,123.78,127.36,3021901.00,127.87,2005-04-13
120.20,127.36,120.20,126.34,4640086.00,126.34,126.34,122.76,126.34,6143686.00,125.83,125.83,123.27,125.32,1843546.00,126.34,126.34,122.25,124.80,3415514.00,124.80,127.87,123.78,127.36,3021901.00,127.36,127.87,126.85,127.87,2247149.00,127.87,2005-04-14
126.34,126.34,122.76,126.34,6143686.00,125.83,125.83,123.27,125.32,1843546.00,126.34,126.34,122.25,124.80,3415514.00,124.80,127.87,123.78,127.36,3021901.00,127.36,127.87,126.85,127.87,2247149.00,126.85,127.87,125.83,127.87,2473956.00,126.85,2005-04-15
125.83,125.83,123.27,125.32,1843546.00,126.34,126.34,122.25,124.80,3415514.00,124.80,127.87,123.78,127.36,3021901.00,127.36,127.87,126.85,127.87,2247149.00,126.85,127.87,125.83,127.87,2473956.00,126.34,127.36,125.83,126.85,2117763.00,124.80,2005-04-18
126.34,126.34,122.25,124.80,3415514.00,124.80,127.87,123.78,127.36,3021901.00,127.36,127.87,126.85,127.87,2247149.00,126.85,127.87,125.83,127.87,2473956.00,126.34,127.36,125.83,126.85,2117763.00,126.85,126.85,124.29,124.80,3743984.00,125.83,2005-04-19
124.80,127.87,123.78,127.36,3021901.00,127.36,127.87,126.85,127.87,2247149.00,126.85,127.87,125.83,127.87,2473956.00,126.34,127.36,125.83,126.85,2117763.00,126.85,126.85,124.29,124.80,3743984.00,124.80,125.83,123.78,125.83,5665575.00,126.85,2005-04-20
127.36,127.87,126.85,127.87,2247149.00,126.85,127.87,125.83,127.87,2473956.00,126.34,127.36,125.83,126.85,2117763.00,126.85,126.85,124.29,124.80,3743984.00,124.80,125.83,123.78,125.83,5665575.00,125.83,126.85,125.32,126.85,1689213.00,126.34,2005-04-21
126.85,127.87,125.83,127.87,2473956.00,126.34,127.36,125.83,126.85,2117763.00,126.85,126.85,124.29,124.80,3743984.00,124.80,125.83,123.78,125.83,5665575.00,125.83,126.85,125.32,126.85,1689213.00,125.83,126.34,124.80,126.34,1783994.00,126.34,2005-04-22
126.34,127.36,125.83,126.85,2117763.00,126.85,126.85,124.29,124.80,3743984.00,124.80,125.83,123.78,125.83,5665575.00,125.83,126.85,125.32,126.85,1689213.00,125.83,126.34,124.80,126.34,1783994.00,125.83,126.34,124.29,126.34,2415049.00,126.34,2005-04-25
126.85,126.85,124.29,124.80,3743984.00,124.80,125.83,123.78,125.83,5665575.00,125.83,126.85,125.32,126.85,1689213.00,125.83,126.34,124.80,126.34,1783994.00,125.83,126.34,124.29,126.34,2415049.00,125.32,126.34,125.32,126.34,391.00,126.34,2005-04-26
124.80,125.83,123.78,125.83,5665575.00,125.83,126.85,125.32,126.85,1689213.00,125.83,126.34,124.80,126.34,1783994.00,125.83,126.34,124.29,126.34,2415049.00,125.32,126.34,125.32,126.34,391.00,125.83,126.34,125.83,126.34,701027.00,125.83,2005-04-27
125.83,126.85,125.32,126.85,1689213.00,125.83,126.34,124.80,126.34,1783994.00,125.83,126.34,124.29,126.34,2415049.00,125.32,126.34,125.32,126.34,391.00,125.83,126.34,125.83,126.34,701027.00,125.32,126.34,125.32,125.83,563742.00,127.87,2005-04-28
125.83,126.34,124.80,126.34,1783994.00,125.83,126.34,124.29,126.34,2415049.00,125.32,126.34,125.32,126.34,391.00,125.83,126.34,125.83,126.34,701027.00,125.32,126.34,125.32,125.83,563742.00,125.83,127.87,125.83,127.87,2460407.00,127.87,2005-04-29
125.83,126.34,124.29,126.34,2415049.00,125.32,126.34,125.32,126.34,391.00,125.83,126.34,125.83,126.34,701027.00,125.32,126.34,125.32,125.83,563742.00,125.83,127.87,125.83,127.87,2460407.00,127.87,127.87,127.36,127.87,2385860.00,126.85,2005-05-03
125.32,126.34,125.32,126.34,391.00,125.83,126.34,125.83,126.34,701027.00,125.32,126.34,125.32,125.83,563742.00,125.83,127.87,125.83,127.87,2460407.00,127.87,127.87,127.36,127.87,2385860.00,127.36,127.36,126.34,126.85,1682879.00,127.87,2005-05-04
125.83,126.34,125.83,126.34,701027.00,125.32,126.34,125.32,125.83,563742.00,125.83,127.87,125.83,127.87,2460407.00,127.87,127.87,127.36,127.87,2385860.00,127.36,127.36,126.34,126.85,1682879.00,126.85,127.87,126.85,127.87,1292707.00,127.87,2005-05-05
125.32,126.34,125.32,125.83,563742.00,125.83,127.87,125.83,127.87,2460407.00,127.87,127.87,127.36,127.87,2385860.00,127.36,127.36,126.34,126.85,1682879.00,126.85,127.87,126.85,127.87,1292707.00,127.87,127.87,127.36,127.87,932995.00,127.87,2005-05-06
125.83,127.87,125.83,127.87,2460407.00,127.87,127.87,127.36,127.87,2385860.00,127.36,127.36,126.34,126.85,1682879.00,126.85,127.87,126.85,127.87,1292707.00,127.87,127.87,127.36,127.87,932995.00,127.87,127.87,127.36,127.87,332693.00,127.87,2005-05-09
127.87,127.87,127.36,127.87,2385860.00,127.36,127.36,126.34,126.85,1682879.00,126.85,127.87,126.85,127.87,1292707.00,127.87,127.87,127.36,127.87,932995.00,127.87,127.87,127.36,127.87,332693.00,127.87,127.87,127.36,127.87,1272159.00,127.87,2005-05-10
127.36,127.36,126.34,126.85,1682879.00,126.85,127.87,126.85,127.87,1292707.00,127.87,127.87,127.36,127.87,932995.00,127.87,127.87,127.36,127.87,332693.00,127.87,127.87,127.36,127.87,1272159.00,127.87,127.87,127.36,127.87,536606.00,127.87,2005-05-11
126.85,127.87,126.85,127.87,1292707.00,127.87,127.87,127.36,127.87,932995.00,127.87,127.87,127.36,127.87,332693.00,127.87,127.87,127.36,127.87,1272159.00,127.87,127.87,127.36,127.87,536606.00,127.36,127.87,126.85,127.87,2159621.00,126.85,2005-05-12
127.87,127.87,127.36,127.87,932995.00,127.87,127.87,127.36,127.87,332693.00,127.87,127.87,127.36,127.87,1272159.00,127.87,127.87,127.36,127.87,536606.00,127.36,127.87,126.85,127.87,2159621.00,127.36,127.36,126.85,126.85,556587.00,126.85,2005-05-13
127.87,127.87,127.36,127.87,332693.00,127.87,127.87,127.36,127.87,1272159.00,127.87,127.87,127.36,127.87,536606.00,127.36,127.87,126.85,127.87,2159621.00,127.36,127.36,126.85,126.85,556587.00,126.34,126.85,126.34,126.85,2485745.00,126.85,2005-05-16
127.87,127.87,127.36,127.87,1272159.00,127.87,127.87,127.36,127.87,536606.00,127.36,127.87,126.85,127.87,2159621.00,127.36,127.36,126.85,126.85,556587.00,126.34,126.85,126.34,126.85,2485745.00,126.85,126.85,126.34,126.85,1342991.00,126.85,2005-05-17
127.87,127.87,127.36,127.87,536606.00,127.36,127.87,126.85,127.87,2159621.00,127.36,127.36,126.85,126.85,556587.00,126.34,126.85,126.34,126.85,2485745.00,126.85,126.85,126.34,126.85,1342991.00,126.34,126.85,125.83,126.85,1682742.00,126.85,2005-05-18
127.36,127.87,126.85,127.87,2159621.00,127.36,127.36,126.85,126.85,556587.00,126.34,126.85,126.34,126.85,2485745.00,126.85,126.85,126.34,126.85,1342991.00,126.34,126.85,125.83,126.85,1682742.00,126.34,126.85,125.83,126.85,1372825.00,126.85,2005-05-19
127.36,127.36,126.85,126.85,556587.00,126.34,126.85,126.34,126.85,2485745.00,126.85,126.85,126.34,126.85,1342991.00,126.34,126.85,125.83,126.85,1682742.00,126.34,126.85,125.83,126.85,1372825.00,126.85,126.85,126.34,126.85,1100954.00,126.85,2005-05-20
