Open_t-6,High_t-6,Low_t-6,Close_t-6,Volume_t-6,Open_t-5,High_t-5,Low_t-5,Close_t-5,Volume_t-5,Open_t-4,High_t-4,Low_t-4,Close_t-4,Volume_t-4,Open_t-3,High_t-3,Low_t-3,Close_t-3,Volume_t-3,Open_t-2,High_t-2,Low_t-2,Close_t-2,Volume_t-2,Open_t-1,High_t-1,Low_t-1,Close_t-1,Volume_t-1,Close_t,Date_t
700.00,700.00,687.50,700.00,30760.00,690.00,695.00,687.50,690.00,73800.00,677.50,685.00,677.50,677.50,63300.00,680.00,680.00,670.00,680.00,46000.00,675.00,680.00,675.00,675.00,43740.00,637.50,650.00,630.00,637.50,49120.00,637.50,1995-01-11
690.00,695.00,687.50,690.00,73800.00,677.50,685.00,677.50,677.50,63300.00,680.00,680.00,670.00,680.00,46000.00,675.00,680.00,675.00,675.00,43740.00,637.50,650.00,630.00,637.50,49120.00,637.50,640.00,635.00,637.50,99340.00,602.50,1995-01-13
677.50,685.00,677.50,677.50,63300.00,680.00,680.00,670.00,680.00,46000.00,675.00,680.00,675.00,675.00,43740.00,637.50,650.00,630.00,637.50,49120.00,637.50,640.00,635.00,637.50,99340.00,602.50,637.50,600.00,602.50,308760.00,617.50,1995-01-16
680.00,680.00,670.00,680.00,46000.00,675.00,680.00,675.00,675.00,43740.00,637.50,650.00,630.00,637.50,49120.00,637.50,640.00,635.00,637.50,99340.00,602.50,637.50,600.00,602.50,308760.00,617.50,617.50,600.00,617.50,249420.00,630.00,1995-01-17
675.00,680.00,675.00,675.00,43740.00,637.50,650.00,630.00,637.50,49120.00,637.50,640.00,635.00,637.50,99340.00,602.50,637.50,600.00,602.50,308760.00,617.50,617.50,600.00,617.50,249420.00,630.00,635.00,627.50,630.00,167460.00,630.00,1995-01-18
637.50,650.00,630.00,637.50,49120.00,637.50,640.00,635.00,637.50,99340.00,602.50,637.50,600.00,602.50,308760.00,617.50,617.50,600.00,617.50,249420.00,630.00,635.00,627.50,630.00,167460.00,630.00,630.00,625.00,630.00,39800.00,637.50,1995-01-19
637.50,640.00,635.00,637.50,99340.00,602.50,637.50,600.00,602.50,308760.00,617.50,617.50,600.00,617.50,249420.00,630.00,635.00,627.50,630.00,167460.00,630.00,630.00,625.00,630.00,39800.00,637.50,642.50,630.00,637.50,56740.00,627.50,1995-01-20
602.50,637.50,600.00,602.50,308760.00,617.50,617.50,600.00,617.50,249420.00,630.00,635.00,627.50,630.00,167460.00,630.00,630.00,625.00,630.00,39800.00,637.50,642.50,630.00,637.50,56740.00,627.50,630.00,622.50,627.50,137060.00,627.50,1995-01-23
617.50,617.50,600.00,617.50,249420.00,630.00,635.00,627.50,630.00,167460.00,630.00,630.00,625.00,630.00,39800.00,637.50,642.50,630.00,637.50,56740.00,627.50,630.00,622.50,627.50,137060.00,627.50,630.00,622.50,627.50,115120.00,622.50,1995-01-24
630.00,635.00,627.50,630.00,167460.00,630.00,630.00,625.00,630.00,39800.00,637.50,642.50,630.00,637.50,56740.00,627.50,630.00,622.50,627.50,137060.00,627.50,630.00,622.50,627.50,115120.00,622.50,622.50,615.00,622.50,45140.00,622.50,1995-01-25
630.00,630.00,625.00,630.00,39800.00,637.50,642.50,630.00,637.50,56740.00,627.50,630.00,622.50,627.50,137060.00,627.50,630.00,622.50,627.50,115120.00,622.50,622.50,615.00,622.50,45140.00,622.50,622.50,620.00,622.50,104460.00,635.00,1995-01-26
637.50,642.50,630.00,637.50,56740.00,627.50,630.00,622.50,627.50,137060.00,627.50,630.00,622.50,627.50,115120.00,622.50,622.50,615.00,622.50,45140.00,622.50,622.50,620.00,622.50,104460.00,635.00,635.00,627.50,635.00,76400.00,632.50,1995-01-27
627.50,630.00,622.50,627.50,137060.00,627.50,630.00,622.50,627.50,115120.00,622.50,622.50,615.00,622.50,45140.00,622.50,622.50,620.00,622.50,104460.00,635.00,635.00,627.50,635.00,76400.00,632.50,637.50,632.50,632.50,67840.00,637.50,1995-01-30
627.50,630.00,622.50,627.50,115120.00,622.50,622.50,615.00,622.50,45140.00,622.50,622.50,620.00,622.50,104460.00,635.00,635.00,627.50,635.00,76400.00,632.50,637.50,632.50,632.50,67840.00,637.50,640.00,632.50,637.50,73920.00,662.50,1995-02-01
622.50,622.50,615.00,622.50,45140.00,622.50,622.50,620.00,622.50,104460.00,635.00,635.00,627.50,635.00,76400.00,632.50,637.50,632.50,632.50,67840.00,637.50,640.00,632.50,637.50,73920.00,662.50,670.00,642.50,662.50,92480.00,665.00,1995-02-02
622.50,622.50,620.00,622.50,104460.00,635.00,635.00,627.50,635.00,76400.00,632.50,637.50,632.50,632.50,67840.00,637.50,640.00,632.50,637.50,73920.00,662.50,670.00,642.50,662.50,92480.00,665.00,677.50,665.00,665.00,58860.00,680.00,1995-02-03
635.00,635.00,627.50,635.00,76400.00,632.50,637.50,632.50,632.50,67840.00,637.50,640.00,632.50,637.50,73920.00,662.50,670.00,642.50,662.50,92480.00,665.00,677.50,665.00,665.00,58860.00,680.00,680.00,667.50,680.00,53600.00,692.50,1995-02-06
632.50,637.50,632.50,632.50,67840.00,637.50,640.00,632.50,637.50,73920.00,662.50,670.00,642.50,662.50,92480.00,665.00,677.50,665.00,665.00,58860.00,680.00,680.00,667.50,680.00,53600.00,692.50,700.00,690.00,692.50,59520.00,722.50,1995-02-07
637.50,640.00,632.50,637.50,73920.00,662.50,670.00,642.50,662.50,92480.00,665.00,677.50,665.00,665.00,58860.00,680.00,680.00,667.50,680.00,53600.00,692.50,700.00,690.00,692.50,59520.00,722.50,725.00,700.00,722.50,249700.00,705.00,1995-02-08
662.50,670.00,642.50,662.50,92480.00,665.00,677.50,665.00,665.00,58860.00,680.00,680.00,667.50,680.00,53600.00,692.50,700.00,690.00,692.50,59520.00,722.50,725.00,700.00,722.50,249700.00,705.00,727.50,703.00,705.00,50140.00,715.00,1995-02-09
665.00,677.50,665.00,665.00,58860.00,680.00,680.00,667.50,680.00,53600.00,692.50,700.00,690.00,692.50,59520.00,722.50,725.00,700.00,722.50,249700.00,705.00,727.50,703.00,705.00,50140.00,715.00,717.50,705.00,715.00,80800.00,737.50,1995-02-10
680.00,680.00,667.50,680.00,53600.00,692.50,700.00,690.00,692.50,59520.00,722.50,725.00,700.00,722.50,249700.00,705.00,727.50,703.00,705.00,50140.00,715.00,717.50,705.00,715.00,80800.00,737.50,740.00,725.00,737.50,273020.00,775.00,1995-02-14
692.50,700.00,690.00,692.50,59520.00,722.50,725.00,700.00,722.50,249700.00,705.00,727.50,703.00,705.00,50140.00,715.00,717.50,705.00,715.00,80800.00,737.50,740.00,725.00,737.50,273020.00,775.00,777.50,762.50,775.00,228320.00,775.00,1995-02-15
722.50,725.00,700.00,722.50,249700.00,705.00,727.50,703.00,705.00,50140.00,715.00,717.50,705.00,715.00,80800.00,737.50,740.00,725.00,737.50,273020.00,775.00,777.50,762.50,775.00,228320.00,775.00,780.00,765.00,775.00,93760.00,772.50,1995-02-16
705.00,727.50,703.00,705.00,50140.00,715.00,717.50,705.00,715.00,80800.00,737.50,740.00,725.00,737.50,273020.00,775.00,777.50,762.50,775.00,228320.00,775.00,780.00,765.00,775.00,93760.00,772.50,780.00,770.00,772.50,67560.00,760.00,1995-02-17
715.00,717.50,705.00,715.00,80800.00,737.50,740.00,725.00,737.50,273020.00,775.00,777.50,762.50,775.00,228320.00,775.00,780.00,765.00,775.00,93760.00,772.50,780.00,770.00,772.50,67560.00,760.00,762.50,755.00,760.00,112940.00,750.00,1995-02-20
737.50,740.00,725.00,737.50,273020.00,775.00,777.50,762.50,775.00,228320.00,775.00,780.00,765.00,775.00,93760.00,772.50,780.00,770.00,772.50,67560.00,760.00,762.50,755.00,760.00,112940.00,750.00,755.00,745.00,750.00,103080.00,750.00,1995-02-21
775.00,777.50,762.50,775.00,228320.00,775.00,780.00,765.00,775.00,93760.00,772.50,780.00,770.00,772.50,67560.00,760.00,762.50,755.00,760.00,112940.00,750.00,755.00,745.00,750.00,103080.00,750.00,752.50,745.00,750.00,89620.00,755.00,1995-02-22
775.00,780.00,765.00,775.00,93760.00,772.50,780.00,770.00,772.50,67560.00,760.00,762.50,755.00,760.00,112940.00,750.00,755.00,745.00,750.00,103080.00,750.00,752.50,745.00,750.00,89620.00,755.00,757.50,747.50,755.00,51700.00,767.50,1995-02-23
772.50,780.00,770.00,772.50,67560.00,760.00,762.50,755.00,760.00,112940.00,750.00,755.00,745.00,750.00,103080.00,750.00,752.50,745.00,750.00,89620.00,755.00,757.50,747.50,755.00,51700.00,767.50,767.50,755.00,767.50,31840.00,777.50,1995-02-24
760.00,762.50,755.00,760.00,112940.00,750.00,755.00,745.00,750.00,103080.00,750.00,752.50,745.00,750.00,89620.00,755.00,757.50,747.50,755.00,51700.00,767.50,767.50,755.00,767.50,31840.00,777.50,785.00,770.00,777.50,103520.00,740.00,1995-02-27
750.00,755.00,745.00,750.00,103080.00,750.00,752.50,745.00,750.00,89620.00,755.00,757.50,747.50,755.00,51700.00,767.50,767.50,755.00,767.50,31840.00,777.50,785.00,770.00,777.50,103520.00,740.00,750.00,732.50,740.00,124580.00,762.50,1995-02-28
750.00,752.50,745.00,750.00,89620.00,755.00,757.50,747.50,755.00,51700.00,767.50,767.50,755.00,767.50,31840.00,777.50,785.00,770.00,777.50,103520.00,740.00,750.00,732.50,740.00,124580.00,762.50,765.00,742.50,762.50,122180.00,757.50,1995-03-01
755.00,757.50,747.50,755.00,51700.00,767.50,767.50,755.00,767.50,31840.00,777.50,785.00,770.00,777.50,103520.00,740.00,750.00,732.50,740.00,124580.00,762.50,765.00,742.50,762.50,122180.00,757.50,767.50,750.00,757.50,39816.00,772.50,1995-03-02
767.50,767.50,755.00,767.50,31840.00,777.50,785.00,770.00,777.50,103520.00,740.00,750.00,732.50,740.00,124580.00,762.50,765.00,742.50,762.50,122180.00,757.50,767.50,750.00,757.50,39816.00,772.50,777.50,757.50,772.50,171640.00,755.00,1995-03-06
777.50,785.00,770.00,777.50,103520.00,740.00,750.00,732.50,740.00,124580.00,762.50,765.00,742.50,762.50,122180.00,757.50,767.50,750.00,757.50,39816.00,772.50,777.50,757.50,772.50,171640.00,755.00,757.50,755.00,755.00,37860.00,752.50,1995-03-07
740.00,750.00,732.50,740.00,124580.00,762.50,765.00,742.50,762.50,122180.00,757.50,767.50,750.00,757.50,39816.00,772.50,777.50,757.50,772.50,171640.00,755.00,757.50,755.00,755.00,37860.00,752.50,757.50,752.50,752.50,84180.00,752.50,1995-03-08
762.50,765.00,742.50,762.50,122180.00,757.50,767.50,750.00,757.50,39816.00,772.50,777.50,757.50,772.50,171640.00,755.00,757.50,755.00,755.00,37860.00,752.50,757.50,752.50,752.50,84180.00,752.50,755.00,737.50,752.50,72640.00,740.00,1995-03-09
757.50,767.50,750.00,757.50,39816.00,772.50,777.50,757.50,772.50,171640.00,755.00,757.50,755.00,755.00,37860.00,752.50,757.50,752.50,752.50,84180.00,752.50,755.00,737.50,752.50,72640.00,740.00,747.50,735.00,740.00,60720.00,722.50,1995-03-10
772.50,777.50,757.50,772.50,171640.00,755.00,757.50,755.00,755.00,37860.00,752.50,757.50,752.50,752.50,84180.00,752.50,755.00,737.50,752.50,72640.00,740.00,747.50,735.00,740.00,60720.00,722.50,740.00,717.50,722.50,126520.00,732.50,1995-03-14
755.00,757.50,755.00,755.00,37860.00,752.50,757.50,752.50,752.50,84180.00,752.50,755.00,737.50,752.50,72640.00,740.00,747.50,735.00,740.00,60720.00,722.50,740.00,717.50,722.50,126520.00,732.50,745.00,730.00,732.50,101620.00,727.50,1995-03-15
752.50,757.50,752.50,752.50,84180.00,752.50,755.00,737.50,752.50,72640.00,740.00,747.50,735.00,740.00,60720.00,722.50,740.00,717.50,722.50,126520.00,732.50,745.00,730.00,732.50,101620.00,727.50,735.00,725.00,727.50,136760.00,730.00,1995-03-16
752.50,755.00,737.50,752.50,72640.00,740.00,747.50,735.00,740.00,60720.00,722.50,740.00,717.50,722.50,126520.00,732.50,745.00,730.00,732.50,101620.00,727.50,735.00,725.00,727.50,136760.00,730.00,730.00,720.00,730.00,213820.00,737.50,1995-03-20
740.00,747.50,735.00,740.00,60720.00,722.50,740.00,717.50,722.50,126520.00,732.50,745.00,730.00,732.50,101620.00,727.50,735.00,725.00,727.50,136760.00,730.00,730.00,720.00,730.00,213820.00,737.50,762.50,737.50,737.50,69280.00,737.50,1995-03-22
722.50,740.00,717.50,722.50,126520.00,732.50,745.00,730.00,732.50,101620.00,727.50,735.00,725.00,727.50,136760.00,730.00,730.00,720.00,730.00,213820.00,737.50,762.50,737.50,737.50,69280.00,737.50,740.00,732.50,737.50,19840.00,727.50,1995-03-23
732.50,745.00,730.00,732.50,101620.00,727.50,735.00,725.00,727.50,136760.00,730.00,730.00,720.00,730.00,213820.00,737.50,762.50,737.50,737.50,69280.00,737.50,740.00,732.50,737.50,19840.00,727.50,740.00,727.50,727.50,30720.00,725.00,1995-03-24
727.50,735.00,725.00,727.50,136760.00,730.00,730.00,720.00,730.00,213820.00,737.50,762.50,737.50,737.50,69280.00,737.50,740.00,732.50,737.50,19840.00,727.50,740.00,727.50,727.50,30720.00,725.00,727.50,722.50,725.00,66000.00,742.50,1995-03-28
730.00,730.00,720.00,730.00,213820.00,737.50,762.50,737.50,737.50,69280.00,737.50,740.00,732.50,737.50,19840.00,727.50,740.00,727.50,727.50,30720.00,725.00,727.50,722.50,725.00,66000.00,742.50,742.50,735.00,742.50,130760.00,755.00,1995-03-29
737.50,762.50,737.50,737.50,69280.00,737.50,740.00,732.50,737.50,19840.00,727.50,740.00,727.50,727.50,30720.00,725.00,727.50,722.50,725.00,66000.00,742.50,742.50,735.00,742.50,130760.00,755.00,760.00,747.50,755.00,250500.00,752.50,1995-03-30
737.50,740.00,732.50,737.50,19840.00,727.50,740.00,727.50,727.50,30720.00,725.00,727.50,722.50,725.00,66000.00,742.50,742.50,735.00,742.50,130760.00,755.00,760.00,747.50,755.00,250500.00,752.50,757.50,752.50,752.50,123760.00,770.00,1995-03-31
727.50,740.00,727.50,727.50,30720.00,725.00,727.50,722.50,725.00,66000.00,742.50,742.50,735.00,742.50,130760.00,755.00,760.00,747.50,755.00,250500.00,752.50,757.50,752.50,752.50,123760.00,770.00,770.00,752.50,770.00,3010.00,770.00,1995-04-03
725.00,727.50,722.50,725.00,66000.00,742.50,742.50,735.00,742.50,130760.00,755.00,760.00,747.50,755.00,250500.00,752.50,757.50,752.50,752.50,123760.00,770.00,770.00,752.50,770.00,3010.00,770.00,780.00,767.50,770.00,141440.00,795.00,1995-04-04
742.50,742.50,735.00,742.50,130760.00,755.00,760.00,747.50,755.00,250500.00,752.50,757.50,752.50,752.50,123760.00,770.00,770.00,752.50,770.00,3010.00,770.00,780.00,767.50,770.00,141440.00,795.00,797.50,765.00,795.00,297180.00,790.00,1995-04-05
755.00,760.00,747.50,755.00,250500.00,752.50,757.50,752.50,752.50,123760.00,770.00,770.00,752.50,770.00,3010.00,770.00,780.00,767.50,770.00,141440.00,795.00,797.50,765.00,795.00,297180.00,790.00,797.50,785.00,790.00,44800.00,822.50,1995-04-07
752.50,757.50,752.50,752.50,123760.00,770.00,770.00,752.50,770.00,3010.00,770.00,780.00,767.50,770.00,141440.00,795.00,797.50,765.00,795.00,297180.00,790.00,797.50,785.00,790.00,44800.00,822.50,822.50,812.50,822.50,330380.00,815.00,1995-04-10
770.00,770.00,752.50,770.00,3010.00,770.00,780.00,767.50,770.00,141440.00,795.00,797.50,765.00,795.00,297180.00,790.00,797.50,785.00,790.00,44800.00,822.50,822.50,812.50,822.50,330380.00,815.00,820.00,810.00,815.00,92320.00,812.50,1995-04-11
770.00,780.00,767.50,770.00,141440.00,795.00,797.50,765.00,795.00,297180.00,790.00,797.50,785.00,790.00,44800.00,822.50,822.50,812.50,822.50,330380.00,815.00,820.00,810.00,815.00,92320.00,812.50,815.00,810.00,812.50,47380.00,815.00,1995-04-12
795.00,797.50,765.00,795.00,297180.00,790.00,797.50,785.00,790.00,44800.00,822.50,822.50,812.50,822.50,330380.00,815.00,820.00,810.00,815.00,92320.00,812.50,815.00,810.00,812.50,47380.00,815.00,815.00,807.50,815.00,84000.00,800.00,1995-04-18
790.00,797.50,785.00,790.00,44800.00,822.50,822.50,812.50,822.50,330380.00,815.00,820.00,810.00,815.00,92320.00,812.50,815.00,810.00,812.50,47380.00,815.00,815.00,807.50,815.00,84000.00,800.00,802.50,797.50,800.00,79740.00,807.50,1995-04-19
822.50,822.50,812.50,822.50,330380.00,815.00,820.00,810.00,815.00,92320.00,812.50,815.00,810.00,812.50,47380.00,815.00,815.00,807.50,815.00,84000.00,800.00,802.50,797.50,800.00,79740.00,807.50,807.50,797.50,807.50,82300.00,840.00,1995-04-21
815.00,820.00,810.00,815.00,92320.00,812.50,815.00,810.00,812.50,47380.00,815.00,815.00,807.50,815.00,84000.00,800.00,802.50,797.50,800.00,79740.00,807.50,807.50,797.50,807.50,82300.00,840.00,847.50,832.50,840.00,283820.00,840.00,1995-04-24
812.50,815.00,810.00,812.50,47380.00,815.00,815.00,807.50,815.00,84000.00,800.00,802.50,797.50,800.00,79740.00,807.50,807.50,797.50,807.50,82300.00,840.00,847.50,832.50,840.00,283820.00,840.00,850.00,840.00,840.00,133860.00,822.50,1995-04-25
815.00,815.00,807.50,815.00,84000.00,800.00,802.50,797.50,800.00,79740.00,807.50,807.50,797.50,807.50,82300.00,840.00,847.50,832.50,840.00,283820.00,840.00,850.00,840.00,840.00,133860.00,822.50,840.00,822.50,822.50,168620.00,822.50,1995-04-26
800.00,802.50,797.50,800.00,79740.00,807.50,807.50,797.50,807.50,82300.00,840.00,847.50,832.50,840.00,283820.00,840.00,850.00,840.00,840.00,133860.00,822.50,840.00,822.50,822.50,168620.00,822.50,825.00,820.00,822.50,208740.00,815.00,1995-04-28
807.50,807.50,797.50,807.50,82300.00,840.00,847.50,832.50,840.00,283820.00,840.00,850.00,840.00,840.00,133860.00,822.50,840.00,822.50,822.50,168620.00,822.50,825.00,820.00,822.50,208740.00,815.00,820.00,812.50,815.00,134900.00,822.50,1995-05-02
840.00,847.50,832.50,840.00,283820.00,840.00,850.00,840.00,840.00,133860.00,822.50,840.00,822.50,822.50,168620.00,822.50,825.00,820.00,822.50,208740.00,815.00,820.00,812.50,815.00,134900.00,822.50,825.00,815.00,822.50,192380.00,822.50,1995-05-03
840.00,850.00,840.00,840.00,133860.00,822.50,840.00,822.50,822.50,168620.00,822.50,825.00,820.00,822.50,208740.00,815.00,820.00,812.50,815.00,134900.00,822.50,825.00,815.00,822.50,192380.00,822.50,825.00,820.00,822.50,106980.00,850.00,1995-05-04
822.50,840.00,822.50,822.50,168620.00,822.50,825.00,820.00,822.50,208740.00,815.00,820.00,812.50,815.00,134900.00,822.50,825.00,815.00,822.50,192380.00,822.50,825.00,820.00,822.50,106980.00,850.00,850.00,830.00,850.00,362900.00,880.00,1995-05-05
822.50,825.00,820.00,822.50,208740.00,815.00,820.00,812.50,815.00,134900.00,822.50,825.00,815.00,822.50,192380.00,822.50,825.00,820.00,822.50,106980.00,850.00,850.00,830.00,850.00,362900.00,880.00,880.00,862.50,880.00,430420.00,907.50,1995-05-15
815.00,820.00,812.50,815.00,134900.00,822.50,825.00,815.00,822.50,192380.00,822.50,825.00,820.00,822.50,106980.00,850.00,850.00,830.00,850.00,362900.00,880.00,880.00,862.50,880.00,430420.00,907.50,910.00,895.00,907.50,133000.00,912.50,1995-05-16
822.50,825.00,815.00,822.50,192380.00,822.50,825.00,820.00,822.50,106980.00,850.00,850.00,830.00,850.00,362900.00,880.00,880.00,862.50,880.00,430420.00,907.50,910.00,895.00,907.50,133000.00,912.50,915.00,900.00,912.50,309000.00,910.00,1995-05-17
822.50,825.00,820.00,822.50,106980.00,850.00,850.00,830.00,850.00,362900.00,880.00,880.00,862.50,880.00,430420.00,907.50,910.00,895.00,907.50,133000.00,912.50,915.00,900.00,912.50,309000.00,910.00,915.00,910.00,910.00,242780.00,905.00,1995-05-18
850.00,850.00,830.00,850.00,362900.00,880.00,880.00,862.50,880.00,430420.00,907.50,910.00,895.00,907.50,133000.00,912.50,915.00,900.00,912.50,309000.00,910.00,915.00,910.00,910.00,242780.00,905.00,907.50,900.00,905.00,177020.00,900.00,1995-05-19
880.00,880.00,862.50,880.00,430420.00,907.50,910.00,895.00,907.50,133000.00,912.50,915.00,900.00,912.50,309000.00,910.00,915.00,910.00,910.00,242780.00,905.00,907.50,900.00,905.00,177020.00,900.00,900.00,890.00,900.00,131960.00,890.00,1995-05-22
907.50,910.00,895.00,907.50,133000.00,912.50,915.00,900.00,912.50,309000.00,910.00,915.00,910.00,910.00,242780.00,905.00,907.50,900.00,905.00,177020.00,900.00,900.00,890.00,900.00,131960.00,890.00,897.50,887.50,890.00,70640.00,937.50,1995-05-26
912.50,915.00,900.00,912.50,309000.00,910.00,915.00,910.00,910.00,242780.00,905.00,907.50,900.00,905.00,177020.00,900.00,900.00,890.00,900.00,131960.00,890.00,897.50,887.50,890.00,70640.00,937.50,940.00,925.00,937.50,235640.00,925.00,1995-05-29
