Date,Open,High,Low,Close,Volume
01/04/1995,"24.17","24.17","24.00","24.17","239,700"
01/05/1995,"23.83","24.00","23.83","23.83","111,000"
01/06/1995,"23.83","24.00","23.83","23.83","134,100"
01/09/1995,"23.50","23.67","23.50","23.50","314,400"
01/10/1995,"23.00","23.17","23.00","23.00","303,000"
01/11/1995,"23.17","23.33","23.17","23.17","427,800"
01/13/1995,"22.50","22.67","22.50","22.50","822,600"
01/16/1995,"22.17","22.53","22.17","22.17","338,700"
01/17/1995,"22.67","22.83","22.67","22.67","339,600"
01/18/1995,"22.67","22.67","22.50","22.67","269,400"
01/19/1995,"22.50","22.50","22.33","22.50","159,900"
01/20/1995,"21.17","21.33","21.17","21.17","440,400"
01/23/1995,"20.83","21.00","20.83","20.83","402,300"
01/24/1995,"20.50","20.50","20.33","20.50","505,200"
01/25/1995,"20.33","20.50","20.33","20.33","293,700"
01/26/1995,"20.67","20.83","20.50","20.67","411,300"
01/27/1995,"20.50","20.67","20.50","20.50","206,400"
01/30/1995,"20.67","20.83","20.67","20.67","160,800"
02/02/1995,"22.33","22.33","22.17","22.33","349,200"
02/03/1995,"23.17","23.33","23.17","23.17","651,900"
02/06/1995,"23.33","23.33","23.17","23.33","853,500"
02/07/1995,"23.17","23.33","23.17","23.17","214,200"
02/08/1995,"22.83","23.00","22.67","22.83","202,200"
02/09/1995,"23.00","23.17","23.00","23.00","85,500"
02/10/1995,"23.83","24.00","23.83","23.83","261,600"
02/14/1995,"24.00","24.17","24.00","24.00","741,900"
02/15/1995,"23.83","24.00","23.83","23.83","334,200"
02/16/1995,"24.00","24.00","23.83","24.00","48,000"
02/17/1995,"23.67","23.83","23.67","23.67","582,300"
02/20/1995,"23.67","23.83","23.67","23.67","611,100"
02/21/1995,"23.67","23.67","23.33","23.67","3,389,700"
02/22/1995,"23.67","23.67","23.50","23.67","231,600"
02/23/1995,"23.50","23.67","23.50","23.50","244,500"
02/24/1995,"23.67","23.67","23.50","23.67","806,100"
02/27/1995,"22.83","23.00","22.83","22.83","623,700"
02/28/1995,"23.33","23.67","23.33","23.33","1,318,200"
03/01/1995,"22.83","23.00","22.83","22.83","282,900"
03/02/1995,"23.50","23.50","23.33","23.50","569,100"
03/06/1995,"22.50","22.50","22.33","22.50","363,300"
03/07/1995,"22.17","22.33","22.17","22.17","243,300"
03/08/1995,"22.00","22.17","22.00","22.00","300,900"
03/09/1995,"21.67","22.17","21.67","21.67","300,300"
03/10/1995,"21.50","21.50","21.33","21.50","449,700"
03/14/1995,"21.33","21.33","21.17","21.33","364,200"
03/15/1995,"21.33","21.33","21.17","21.33","259,200"
03/16/1995,"21.67","21.83","21.67","21.67","251,700"
03/20/1995,"22.67","22.67","22.50","22.67","147,300"
03/22/1995,"22.00","22.17","22.00","22.00","120,000"
03/23/1995,"21.83","21.83","21.67","21.83","221,400"
03/24/1995,"21.67","22.00","21.50","21.67","66,300"
03/28/1995,"21.33","21.50","21.33","21.33","218,400"
03/29/1995,"21.83","22.00","21.83","21.83","273,900"
03/30/1995,"24.00","24.00","23.83","24.00","3,722,700"
03/31/1995,"24.00","24.00","23.83","24.00","1,858,800"
04/03/1995,"23.83","23.83","23.67","23.83","1,867,500"
04/04/1995,"24.17","24.17","24.00","24.17","1,381,800"
04/05/1995,"24.00","24.00","23.83","24.00","597,300"
04/07/1995,"24.00","24.00","23.83","24.00","676,500"
04/10/1995,"23.83","24.00","23.83","23.83","156,600"
04/11/1995,"24.50","24.67","24.50","24.50","2,460,300"
04/12/1995,"24.50","24.67","24.50","24.50","1,051,500"
04/18/1995,"24.83","24.83","24.67","24.83","768,000"
04/19/1995,"24.67","24.67","24.50","24.67","401,100"
04/21/1995,"25.00","25.17","25.00","25.00","964,500"
04/24/1995,"25.00","25.33","24.83","25.00","1,025,100"
04/25/1995,"24.50","24.67","24.33","24.50","631,800"
04/26/1995,"24.50","24.67","24.50","24.50","513,000"
04/28/1995,"24.53","24.53","24.33","24.53","1,060,500"
05/02/1995,"24.33","24.33","24.17","24.33","360,000"
05/03/1995,"24.33","24.33","24.17","24.33","566,100"
05/04/1995,"26.33","26.33","24.33","26.33","519,300"
05/05/1995,"24.33","24.50","24.33","24.33","770,100"
05/15/1995,"24.83","25.00","24.83","24.83","415,500"
05/16/1995,"25.00","25.50","25.00","25.00","534,600"
05/17/1995,"25.83","26.00","25.83","25.83","844,200"
05/18/1995,"25.67","25.83","25.67","25.67","729,300"
05/19/1995,"25.50","25.67","25.50","25.50","569,400"
05/22/1995,"25.50","25.67","25.33","25.50","788,100"
05/26/1995,"25.83","26.00","25.83","25.83","396,300"
05/29/1995,"25.83","25.83","25.67","25.83","485,100"
05/30/1995,"26.33","26.33","26.17","26.33","312,000"
05/31/1995,"27.17","27.17","27.00","27.17","1,455,000"
06/05/1995,"29.17","29.17","29.00","29.17","1,574,700"
06/06/1995,"30.17","30.33","30.17","30.17","2,662,800"
