Date,Open,High,Low,Close,Volume
01/03/1995,"0.44","0.44","0.39","0.44","1,052,687"
01/04/1995,"0.39","0.39","0.39","0.39","442,129"
01/05/1995,"0.39","0.39","0.39","0.39","126,322"
01/06/1995,"0.39","0.39","0.39","0.39","821,096"
01/10/1995,"0.39","0.39","0.39","0.39","842,150"
01/13/1995,"0.39","0.39","0.39","0.39","105,269"
01/16/1995,"0.39","0.39","0.39","0.39","442,129"
01/17/1995,"0.39","0.39","0.39","0.39","63,161"
01/24/1995,"0.39","0.39","0.39","0.39","1,031,634"
01/25/1995,"0.39","0.39","0.39","0.39","694,774"
01/26/1995,"0.39","0.39","0.39","0.39","357,914"
01/30/1995,"0.35","0.39","0.35","0.35","3,789,674"
02/02/1995,"0.44","0.44","0.44","0.44","568,451"
02/03/1995,"0.39","0.39","0.39","0.39","673,720"
02/06/1995,"0.39","0.39","0.39","0.39","884,257"
02/07/1995,"0.39","0.39","0.39","0.39","926,365"
02/08/1995,"0.39","0.39","0.39","0.39","463,182"
02/09/1995,"0.39","0.39","0.39","0.39","168,430"
02/10/1995,"0.44","0.44","0.44","0.44","2,021,160"
02/14/1995,"0.44","0.44","0.44","0.44","1,536,924"
02/15/1995,"0.44","0.44","0.44","0.44","1,052,687"
02/16/1995,"0.39","0.44","0.39","0.39","1,010,580"
02/17/1995,"0.44","0.44","0.44","0.44","1,031,634"
02/20/1995,"0.44","0.44","0.44","0.44","7,010,898"
02/21/1995,"0.44","0.44","0.44","0.44","421,075"
02/22/1995,"0.39","0.44","0.39","0.39","1,326,386"
02/23/1995,"0.42","0.44","0.44","0.42","1,389,547"
02/24/1995,"0.39","0.44","0.39","0.39","63,161"
02/27/1995,"0.39","0.39","0.39","0.39","1,726,407"
02/28/1995,"0.39","0.39","0.39","0.39","210,537"
03/01/1995,"0.39","0.39","0.39","0.39","1,157,956"
03/02/1995,"0.39","0.39","0.39","0.39","147,376"
03/06/1995,"0.39","0.39","0.39","0.39","821,096"
03/07/1995,"0.39","0.39","0.39","0.39","315,806"
03/08/1995,"0.39","0.39","0.39","0.39","84,215"
03/09/1995,"0.39","0.39","0.39","0.39","147,376"
03/10/1995,"0.39","0.39","0.39","0.39","378,967"
03/14/1995,"0.39","0.39","0.39","0.39","736,881"
03/15/1995,"0.39","0.39","0.39","0.39","126,322"
03/16/1995,"0.39","0.39","0.39","0.39","21,054"
03/20/1995,"0.39","0.39","0.39","0.39","42,107"
03/22/1995,"0.39","0.39","0.39","0.39","273,699"
03/23/1995,"0.39","0.39","0.39","0.39","21,054"
03/28/1995,"0.39","0.39","0.39","0.39","84,215"
03/30/1995,"0.39","0.39","0.39","0.39","105,269"
03/31/1995,"0.39","0.39","0.39","0.39","42,107"
04/03/1995,"0.39","0.39","0.39","0.39","336,860"
04/05/1995,"0.39","0.39","0.39","0.39","126,322"
04/07/1995,"0.39","0.39","0.39","0.39","63,161"
04/10/1995,"0.39","0.39","0.39","0.39","84,215"
04/11/1995,"0.39","0.39","0.35","0.39","989,526"
04/12/1995,"0.39","0.39","0.39","0.39","631,612"
04/18/1995,"0.39","0.39","0.39","0.39","715,827"
04/19/1995,"0.39","0.44","0.39","0.39","1,094,795"
04/21/1995,"0.39","0.39","0.39","0.39","168,430"
04/24/1995,"0.39","0.39","0.39","0.39","315,806"
04/25/1995,"0.39","0.39","0.39","0.39","252,645"
04/26/1995,"0.39","0.39","0.39","0.39","126,322"
04/27/1995,"0.39","0.39","0.39","0.39","1,157,956"
04/28/1995,"0.39","0.39","0.39","0.39","652,666"
05/02/1995,"0.39","0.39","0.39","0.39","21,054"
05/15/1995,"0.39","0.39","0.39","0.39","1,052,687"
05/17/1995,"0.39","0.39","0.35","0.39","210,537"
05/18/1995,"0.39","0.44","0.39","0.39","357,914"
05/22/1995,"0.37","0.39","0.39","0.37","526,344"
06/05/1995,"0.39","0.39","0.35","0.39","1,073,741"
06/13/1995,"0.37","0.39","0.35","0.37","589,505"
06/14/1995,"0.39","0.39","0.39","0.39","589,505"
06/20/1995,"0.37","0.37","0.37","0.37","442,129"
06/23/1995,"0.35","0.35","0.35","0.35","336,860"
06/26/1995,"0.35","0.35","0.35","0.35","484,236"
06/27/1995,"0.35","0.35","0.35","0.35","2,905,417"
06/28/1995,"0.35","0.35","0.35","0.35","1,326,386"
06/29/1995,"0.35","0.35","0.35","0.35","568,451"
07/04/1995,"0.35","0.35","0.35","0.35","1,157,956"
07/05/1995,"0.35","0.35","0.35","0.35","126,322"
07/06/1995,"0.35","0.35","0.35","0.35","526"
09/12/1995,"0.39","0.39","0.37","0.39","568,451"
09/13/1995,"0.39","0.39","0.39","0.39","694,774"
09/14/1995,"0.39","0.39","0.39","0.39","1,094,795"
09/15/1995,"0.39","0.39","0.39","0.39","21,054"
09/18/1995,"0.42","0.42","0.42","0.42","2,105,375"
09/19/1995,"0.44","0.44","0.44","0.44","5,979,264"
09/22/1995,"0.44","0.48","0.44","0.44","1,600,085"
09/25/1995,"0.44","0.44","0.44","0.44","1,221,117"
09/26/1995,"0.44","0.44","0.44","0.44","3,494,922"
09/27/1995,"0.42","0.44","0.42","0.42","3,747,567"
09/28/1995,"0.42","0.42","0.42","0.42","168,430"
09/29/1995,"0.42","0.42","0.42","0.42","610,559"
10/02/1995,"0.42","0.42","0.42","0.42","484,236"
10/03/1995,"0.42","0.42","0.42","0.42","21,054"
10/04/1995,"0.39","0.39","0.39","0.39","21,054"
10/05/1995,"0.42","0.42","0.42","0.42","421,075"
10/06/1995,"0.42","0.42","0.42","0.42","400,021"
10/09/1995,"0.42","0.42","0.42","0.42","673,720"
10/10/1995,"0.42","0.42","0.42","0.42","3,410,707"
10/11/1995,"0.42","0.42","0.42","0.42","1,600,085"
10/13/1995,"0.44","0.44","0.42","0.44","4,168,642"
10/17/1995,"0.42","0.42","0.42","0.42","2,063,267"
10/18/1995,"0.42","0.44","0.42","0.42","1,136,902"
10/19/1995,"0.42","0.42","0.42","0.42","210,537"
10/24/1995,"0.44","0.44","0.42","0.44","694,774"
10/25/1995,"0.42","0.42","0.42","0.42","378,967"
10/26/1995,"0.42","0.42","0.42","0.42","1,010,580"
11/02/1995,"0.39","0.39","0.39","0.39","42,107"
11/06/1995,"0.39","0.39","0.39","0.39","315,806"
11/07/1995,"0.42","0.42","0.39","0.42","315,806"
11/08/1995,"0.39","0.39","0.39","0.39","421,075"
11/09/1995,"0.39","0.39","0.39","0.39","147,376"
11/10/1995,"0.39","0.39","0.39","0.39","168,430"
11/16/1995,"0.37","0.37","0.37","0.37","84,215"
11/17/1995,"0.37","0.37","0.37","0.37","421,075"
11/20/1995,"0.37","0.37","0.37","0.37","610,559"
11/21/1995,"0.37","0.37","0.37","0.37","21,054"
11/22/1995,"0.35","0.35","0.35","0.35","231,591"
11/23/1995,"0.37","0.37","0.37","0.37","526,344"
