Date,Open,High,Low,Close,Volume
01/03/1995,"205.97","208.55","205.97","205.97","23,477"
01/04/1995,"200.82","203.40","200.82","200.82","11,287"
01/05/1995,"198.25","200.82","195.67","198.25","27,616"
01/06/1995,"195.67","200.82","187.95","195.67","224,574"
01/09/1995,"198.25","198.25","198.25","198.25","16,818"
01/10/1995,"195.67","195.67","195.67","195.67","188"
01/11/1995,"190.53","190.53","187.95","190.53","55,306"
01/13/1995,"172.50","182.80","172.50","172.50","60,799"
01/16/1995,"172.50","175.08","164.78","172.50","208,697"
01/17/1995,"182.80","182.80","172.50","182.80","65,126"
01/18/1995,"185.38","185.38","177.65","185.38","83,016"
01/19/1995,"187.95","187.95","182.80","187.95","221,639"
01/23/1995,"177.65","177.65","175.08","177.65","89,920"
01/24/1995,"172.50","175.08","172.50","172.50","226,493"
01/25/1995,"175.08","175.08","172.50","175.08","116,181"
01/26/1995,"175.08","175.08","175.08","175.08","145,001"
01/27/1995,"172.50","175.08","172.50","172.50","6,377"
01/30/1995,"172.50","175.08","172.50","172.50","33,880"
02/01/1995,"172.50","175.08","172.50","172.50","9,782"
02/02/1995,"175.08","175.08","172.50","175.08","83,712"
02/03/1995,"175.08","175.08","175.08","175.08","90,503"
02/06/1995,"175.08","180.23","175.08","175.08","46,841"
02/07/1995,"175.08","177.65","175.08","175.08","36,852"
02/08/1995,"177.65","177.65","175.08","177.65","126,415"
02/09/1995,"175.08","177.65","175.08","175.08","258,303"
02/10/1995,"180.23","180.23","177.65","180.23","93,118"
02/14/1995,"182.80","182.80","182.80","182.80","564"
02/15/1995,"182.80","182.80","182.80","182.80","16,893"
02/16/1995,"182.80","195.67","180.23","182.80","100,342"
02/17/1995,"185.38","185.38","182.80","185.38","18,642"
02/21/1995,"182.80","185.38","180.23","182.80","155,573"
02/22/1995,"185.38","187.95","180.23","185.38","11,005"
02/23/1995,"187.95","187.95","185.38","187.95","61,684"
02/24/1995,"195.67","195.67","190.53","195.67","18,774"
02/27/1995,"182.80","190.53","180.23","182.80","84,483"
02/28/1995,"177.65","185.38","175.08","177.65","42,195"
