Date,Open,High,Low,Close,Volume
01/03/1995,"3.53","3.59","3.53","3.53","3,121,560"
01/04/1995,"3.40","4.10","3.40","3.40","5,553,600"
01/05/1995,"3.40","3.46","3.40","3.40","2,176,200"
01/06/1995,"3.40","3.46","3.40","3.40","4,583,280"
01/09/1995,"3.27","3.33","3.27","3.27","3,981,120"
01/10/1995,"3.40","3.40","3.27","3.40","12,430,080"
01/11/1995,"3.27","3.27","3.21","3.27","4,595,760"
01/13/1995,"3.14","3.14","3.04","3.14","21,253,440"
01/16/1995,"3.21","3.21","3.17","3.21","10,803,000"
01/17/1995,"3.21","3.27","3.21","3.21","4,923,360"
01/18/1995,"3.27","3.33","3.27","3.27","6,725,160"
01/19/1995,"3.33","3.33","3.27","3.33","5,196,360"
01/23/1995,"3.11","3.14","3.11","3.11","6,559,800"
01/24/1995,"3.08","3.11","3.04","3.08","5,948,280"
01/25/1995,"3.14","3.14","3.11","3.14","5,002,920"
01/26/1995,"3.14","3.14","3.11","3.14","6,247,800"
01/27/1995,"3.04","3.04","3.01","3.04","5,358,600"
01/30/1995,"2.98","3.01","2.98","2.98","2,163,720"
02/02/1995,"3.01","3.04","3.01","3.01","2,098,200"
02/03/1995,"3.08","3.11","3.08","3.08","5,157,360"
02/06/1995,"3.11","3.14","3.11","3.11","5,115,240"
02/07/1995,"3.27","3.33","3.27","3.27","16,601,520"
02/08/1995,"3.21","3.21","3.17","3.21","6,040,320"
02/10/1995,"3.27","3.33","3.27","3.27","6,711,120"
02/14/1995,"3.53","3.59","3.53","3.53","16,387,800"
02/15/1995,"3.40","3.46","3.40","3.40","6,186,960"
02/16/1995,"3.33","3.40","3.33","3.33","4,162,080"
02/20/1995,"3.27","3.27","3.21","3.27","1,519,440"
02/22/1995,"3.27","3.27","3.21","3.27","1,925,040"
02/23/1995,"3.21","3.27","3.21","3.21","5,935,800"
02/24/1995,"3.21","3.27","3.21","3.21","4,634,760"
02/27/1995,"3.04","3.04","3.01","3.04","5,313,360"
02/28/1995,"3.21","3.21","3.17","3.21","2,597,400"
03/01/1995,"3.08","3.08","3.04","3.08","1,645,800"
03/02/1995,"3.08","3.08","3.04","3.08","990,600"
03/06/1995,"2.99","2.99","2.95","2.99","3,840,720"
03/07/1995,"2.98","2.98","2.95","2.98","4,623,840"
03/08/1995,"2.92","2.95","2.92","2.92","1,385,280"
03/09/1995,"2.85","2.88","2.85","2.85","2,609,880"
03/10/1995,"2.72","2.72","2.69","2.72","3,734,640"
03/14/1995,"2.31","2.31","2.28","2.31","7,633,080"
03/15/1995,"2.50","2.53","2.50","2.50","9,877,920"
03/16/1995,"2.79","2.79","2.76","2.79","11,242,920"
03/20/1995,"2.88","2.88","2.85","2.88","9,467,640"
03/22/1995,"2.76","2.79","2.76","2.76","6,489,600"
03/23/1995,"2.82","2.82","2.79","2.82","3,366,480"
03/24/1995,"2.79","2.79","2.76","2.79","1,499,160"
03/28/1995,"2.82","2.82","2.79","2.82","2,143,440"
03/29/1995,"2.82","2.85","2.82","2.82","3,113,760"
03/30/1995,"3.01","3.01","2.98","3.01","8,665,800"
03/31/1995,"3.04","3.04","3.01","3.04","3,729,960"
04/03/1995,"2.98","3.01","2.98","2.98","3,105,960"
04/04/1995,"2.92","2.92","2.88","2.92","6,631,560"
04/05/1995,"2.92","2.92","2.88","2.92","6,552,000"
04/07/1995,"2.98","2.98","2.95","2.98","8,341,320"
04/10/1995,"2.95","2.98","2.95","2.95","2,079,480"
04/11/1995,"2.99","3.01","2.95","2.99","2,385,240"
04/12/1995,"3.01","3.04","3.01","3.01","3,901,560"
04/18/1995,"3.04","3.04","3.01","3.04","2,257,320"
04/19/1995,"2.95","2.95","2.92","2.95","3,597,360"
04/21/1995,"2.98","2.98","2.95","2.98","6,787,560"
04/24/1995,"2.95","2.95","2.92","2.95","8,333,520"
04/25/1995,"2.95","2.95","2.92","2.95","1,297,920"
04/26/1995,"2.95","2.98","2.95","2.95","1,943,760"
04/27/1995,"3.11","3.14","3.11","3.11","14,703,000"
04/28/1995,"3.08","3.11","3.08","3.08","15,815,280"
05/02/1995,"3.11","3.14","3.11","3.11","10,770,240"
05/03/1995,"3.11","3.14","3.11","3.11","6,793,800"
05/04/1995,"3.33","3.33","3.27","3.33","15,754,440"
05/05/1995,"3.46","3.53","3.46","3.46","18,167,760"
05/16/1995,"3.72","3.72","3.65","3.72","14,319,240"
05/17/1995,"3.92","4.00","3.92","3.92","17,391,400"
05/18/1995,"3.85","3.92","3.85","3.85","9,579,700"
05/19/1995,"3.81","3.85","3.81","3.81","15,574,000"
05/22/1995,"3.77","3.81","3.77","3.77","4,505,800"
05/26/1995,"4.23","4.23","4.15","4.23","28,332,199"
05/29/1995,"4.08","4.08","4.00","4.08","9,759,100"
05/30/1995,"4.15","4.15","4.08","4.15","6,913,400"
05/31/1995,"4.15","4.15","4.08","4.15","971,230"
06/05/1995,"4.15","4.23","4.15","4.15","8,889,400"
06/06/1995,"4.08","4.15","4.08","4.08","3,365,700"
06/13/1995,"3.92","4.00","3.92","3.92","3,324,100"
06/14/1995,"4.00","4.08","4.00","4.00","5,877,300"
06/19/1995,"4.00","4.08","4.00","4.00","2,579,200"
06/20/1995,"4.08","4.15","4.08","4.08","2,395,900"
06/26/1995,"3.92","4.00","3.92","3.92","275,600"
06/27/1995,"3.92","4.00","3.92","3.92","3,404,700"
06/28/1995,"4.00","4.00","3.92","4.00","3,186,300"
06/29/1995,"4.00","4.08","4.00","4.00","6,243,900"
07/03/1995,"4.08","4.08","4.00","4.08","989,300"
07/04/1995,"4.00","4.08","4.00","4.00","1,495,000"
07/05/1995,"4.08","4.08","4.00","4.08","3,035,500"
07/07/1995,"4.15","4.23","4.15","4.15","8,171,800"
09/12/1995,"3.65","4.23","3.65","3.65","2,909,400"
09/13/1995,"3.69","4.23","3.69","3.69","3,729,700"
09/14/1995,"3.85","4.23","3.85","3.85","4,334,200"
09/15/1995,"3.92","4.23","3.92","3.92","2,992,600"
09/19/1995,"3.85","4.23","3.85","3.85","8,950,500"
09/22/1995,"3.81","4.23","3.81","3.81","867,100"
09/25/1995,"3.73","3.77","3.73","3.73","201,500"
09/26/1995,"3.73","3.77","3.73","3.73","1,619,800"
09/27/1995,"3.69","3.77","3.69","3.69","1,723,800"
09/28/1995,"3.73","3.77","3.73","3.73","2,551,900"
09/29/1995,"3.77","3.77","3.73","3.77","1,280,500"
10/02/1995,"3.77","3.77","3.73","3.77","419,900"
10/03/1995,"3.77","3.77","3.73","3.77","774,800"
10/04/1995,"3.77","3.77","3.73","3.77","3,259,100"
10/05/1995,"3.77","3.77","3.73","3.77","2,645,500"
10/06/1995,"3.77","3.77","3.73","3.77","3,998,800"
10/09/1995,"3.77","3.77","3.73","3.77","6,071,000"
10/10/1995,"3.73","3.77","3.73","3.73","2,295,800"
10/11/1995,"3.73","3.77","3.73","3.73","6,480,500"
10/12/1995,"3.73","3.77","3.73","3.73","1,374,100"
10/13/1995,"3.85","3.85","3.73","3.85","4,526,600"
10/16/1995,"4.00","4.00","3.73","4.00","1,402,700"
10/17/1995,"4.00","4.00","3.73","4.00","3,640,000"
10/18/1995,"3.85","3.85","3.73","3.85","548,600"
10/19/1995,"3.85","3.85","3.73","3.85","3,599,700"
10/20/1995,"3.85","3.85","3.73","3.85","2,581,800"
10/24/1995,"3.85","3.85","3.73","3.85","4,001,400"
10/25/1995,"3.85","3.85","3.73","3.85","3,196,700"
10/26/1995,"3.85","3.85","3.73","3.85","5,263,700"
10/27/1995,"3.85","3.85","3.73","3.85","2,388,100"
10/30/1995,"3.81","3.81","3.73","3.81","1,196,000"
