Date,Open,High,Low,Close,Volume
01/03/1995,"9.38","9.63","9.38","9.38","2,528,820"
01/04/1995,"9.14","9.38","9.01","9.14","6,406,695"
01/05/1995,"8.89","9.14","8.77","8.89","6,325,695"
01/09/1995,"8.89","8.89","8.52","8.89","6,040,980"
01/10/1995,"8.64","8.89","8.40","8.64","5,152,410"
01/11/1995,"8.27","8.52","8.15","8.27","4,237,110"
01/13/1995,"7.53","8.27","7.28","7.53","15,491,250"
01/16/1995,"7.78","7.90","7.41","7.78","8,962,245"
01/17/1995,"8.02","8.02","7.78","8.02","4,396,680"
01/18/1995,"8.02","8.15","7.90","8.02","7,702,290"
01/23/1995,"7.78","7.78","7.41","7.78","4,919,940"
01/24/1995,"7.65","7.65","7.65","7.65","349,920"
01/25/1995,"7.78","7.90","7.65","7.78","4,951,530"
01/26/1995,"7.78","8.02","7.78","7.78","11,013,165"
01/27/1995,"7.78","7.90","7.78","7.78","7,835,940"
01/30/1995,"7.78","7.78","7.65","7.78","983,340"
02/01/1995,"7.78","7.78","7.65","7.78","927,450"
02/02/1995,"7.65","7.78","7.65","7.65","2,006,370"
02/03/1995,"7.65","7.78","7.53","7.65","1,245,375"
02/07/1995,"7.90","7.90","7.78","7.90","27,499,500"
02/08/1995,"8.02","8.02","7.78","8.02","3,262,680"
02/10/1995,"8.40","8.52","7.90","8.40","6,116,715"
02/14/1995,"8.40","8.40","8.15","8.40","5,001,750"
02/15/1995,"8.15","8.40","8.15","8.15","4,267,890"
02/16/1995,"8.27","8.27","8.15","8.27","3,964,140"
02/17/1995,"8.27","8.27","8.02","8.27","5,211,135"
02/20/1995,"8.02","8.15","8.02","8.02","3,844,260"
02/21/1995,"8.15","8.15","8.02","8.15","4,747,815"
02/24/1995,"8.15","8.27","8.02","8.15","2,879,955"
02/27/1995,"7.90","8.02","7.78","7.90","6,688,575"
02/28/1995,"7.78","7.90","7.65","7.78","11,259,000"
03/01/1995,"7.78","7.78","7.65","7.78","3,386,610"
03/02/1995,"7.65","7.78","7.65","7.65","2,945,160"
03/06/1995,"7.90","7.90","7.78","7.90","1,041,255"
03/07/1995,"7.78","7.78","7.65","7.78","3,454,245"
