Date,Open,High,Low,Close,Volume
04/10/1996,"4.50","4.65","4.50","4.50","958,643"
04/11/1996,"4.58","4.58","4.50","4.58","886,645"
04/12/1996,"4.65","4.65","4.58","4.65","2,157,279"
04/15/1996,"4.73","4.80","4.58","4.73","3,993,234"
04/16/1996,"4.80","4.80","4.80","4.80","3,201,253"
04/17/1996,"4.73","4.80","4.73","4.73","857,312"
04/18/1996,"4.65","4.73","4.58","4.65","1,139,972"
04/19/1996,"4.65","4.65","4.58","4.65","1,134,638"
04/22/1996,"4.58","4.58","4.50","4.58","761,314"
04/23/1996,"4.80","5.03","4.58","4.80","6,159,846"
04/24/1996,"5.03","5.18","4.95","5.03","5,599,860"
04/25/1996,"5.18","5.25","4.95","5.18","6,945,160"
04/26/1996,"5.18","5.33","5.10","5.18","2,179,946"
04/29/1996,"4.95","5.18","4.88","4.95","3,338,583"
04/30/1996,"5.03","5.03","4.88","5.03","4,199,895"
05/02/1996,"4.88","4.95","4.88","4.88","554,653"
05/03/1996,"4.88","4.88","4.80","4.88","967,976"
05/07/1996,"4.80","4.80","4.80","4.80","551,986"
05/08/1996,"4.80","4.88","4.80","4.80","1,070,640"
05/09/1996,"4.95","4.95","4.80","4.95","991,975"
05/10/1996,"4.95","5.03","4.95","4.95","1,373,299"
05/13/1996,"4.88","4.95","4.88","4.88","254,660"
05/14/1996,"4.88","4.88","4.88","4.88","109,331"
05/15/1996,"4.80","4.95","4.80","4.80","1,385,299"
05/16/1996,"4.80","4.80","4.73","4.80","435,989"
05/17/1996,"4.80","4.80","4.80","4.80","202,662"
05/20/1996,"4.88","4.88","4.80","4.88","607,985"
05/21/1996,"5.03","5.10","4.88","5.03","2,861,262"
05/22/1996,"4.95","4.95","4.88","4.95","991,975"
05/23/1996,"4.95","4.95","4.88","4.95","1,201,303"
05/24/1996,"4.95","4.95","4.95","4.95","1,697,291"
05/27/1996,"5.03","5.03","4.95","5.03","1,333,300"
05/28/1996,"5.33","5.40","5.18","5.33","5,409,198"
05/29/1996,"5.48","5.48","5.18","5.48","6,046,516"
05/30/1996,"5.63","5.70","5.55","5.63","8,254,461"
05/31/1996,"5.33","5.48","5.25","5.33","1,034,641"
06/03/1996,"5.33","5.33","5.33","5.33","965,309"
06/04/1996,"5.18","5.25","5.10","5.18","1,230,636"
06/05/1996,"5.18","5.25","5.18","5.18","994,642"
06/06/1996,"5.03","5.18","5.03","5.03","1,059,974"
06/07/1996,"5.25","5.25","5.10","5.25","1,362,633"
06/10/1996,"5.25","5.25","5.18","5.25","1,290,634"
06/11/1996,"5.10","5.25","5.10","5.10","490,654"
06/13/1996,"5.03","5.10","5.03","5.03","385,324"
06/14/1996,"4.88","5.03","4.88","4.88","378,657"
06/17/1996,"4.80","4.88","4.80","4.80","54,665"
06/18/1996,"4.88","4.88","4.88","4.88","286,660"
06/19/1996,"4.95","4.95","4.88","4.95","454,655"
06/20/1996,"4.95","4.95","4.88","4.95","293,326"
06/21/1996,"4.80","4.80","4.73","4.80","1,814,621"
06/24/1996,"4.88","4.88","4.80","4.88","694,649"
06/25/1996,"4.88","4.88","4.88","4.88","26,666"
06/26/1996,"4.95","5.03","4.88","4.95","897,311"
06/27/1996,"5.10","5.10","4.95","5.10","794,647"
06/28/1996,"5.18","5.25","5.10","5.18","2,498,604"
07/01/1996,"5.25","5.25","5.18","5.25","2,362,608"
07/02/1996,"5.33","5.40","5.25","5.33","810,646"
07/03/1996,"5.40","5.40","5.33","5.40","3,477,247"
07/05/1996,"5.33","5.40","5.25","5.33","977,309"
07/08/1996,"5.25","5.25","5.18","5.25","121,330"
07/09/1996,"5.03","5.18","5.03","5.03","159,996"
07/10/1996,"5.18","5.18","5.10","5.18","970,642"
07/11/1996,"5.18","5.48","5.18","5.18","902,644"
07/12/1996,"5.10","5.10","5.10","5.10","47,999"
07/15/1996,"5.18","5.25","5.18","5.18","143,996"
07/16/1996,"4.95","5.10","4.95","4.95","374,657"
07/17/1996,"5.03","5.10","5.03","5.03","313,326"
07/18/1996,"5.03","5.10","5.03","5.03","102,664"
07/19/1996,"5.18","5.18","5.10","5.18","197,328"
07/22/1996,"5.10","5.18","5.10","5.10","214,661"
07/23/1996,"4.95","5.03","4.95","4.95","993,309"
07/24/1996,"4.88","4.88","4.80","4.88","929,310"
07/25/1996,"4.95","4.95","4.95","4.95","289,326"
07/26/1996,"4.88","5.03","4.88","4.88","2,473,272"
07/29/1996,"4.80","4.88","4.80","4.80","237,327"
07/30/1996,"4.80","4.80","4.80","4.80","399,990"
07/31/1996,"4.95","4.95","4.88","4.95","9,754,423"
08/01/1996,"4.95","4.95","4.95","4.95","2,001,283"
08/02/1996,"5.03","5.03","5.03","5.03","1,171,971"
08/05/1996,"5.03","5.03","4.95","5.03","3,419,915"
08/06/1996,"4.88","4.95","4.88","4.88","289,326"
08/07/1996,"4.95","4.95","4.88","4.95","553,320"
08/08/1996,"4.88","4.95","4.80","4.88","1,166,638"
08/09/1996,"4.88","4.88","4.80","4.88","402,657"
08/12/1996,"4.95","4.95","4.95","4.95","10,247,744"
08/13/1996,"4.88","4.95","4.88","4.88","12,471,689"
08/14/1996,"5.00","5.00","4.95","5.00","543,000"
08/15/1996,"5.00","5.00","4.95","5.00","154,000"
08/16/1996,"5.00","5.00","5.00","5.00","7,000"
08/19/1996,"5.00","5.00","5.00","5.00","241,000"
08/20/1996,"5.00","5.00","5.00","5.00","51,000"
08/21/1996,"5.00","5.00","5.00","5.00","50,000"
08/22/1996,"5.10","5.10","5.00","5.10","617,000"
08/23/1996,"5.00","5.30","5.00","5.00","1,463,000"
08/26/1996,"5.20","5.20","5.20","5.20","2,200,000"
08/27/1996,"5.00","5.20","5.00","5.00","59,000"
08/28/1996,"5.00","5.00","5.00","5.00","102,000"
08/30/1996,"4.90","4.90","4.90","4.90","75,000"
09/02/1996,"4.90","5.00","4.90","4.90","49,000"
09/03/1996,"4.90","4.90","4.80","4.90","125,000"
09/04/1996,"4.90","4.90","4.90","4.90","106,000"
09/05/1996,"4.90","4.90","4.80","4.90","252,000"
09/06/1996,"4.90","4.90","4.80","4.90","2,760,000"
09/09/1996,"4.90","4.90","4.90","4.90","2,000,000"
09/12/1996,"4.80","4.80","4.80","4.80","310,000"
