Date,Open,High,Low,Close,Volume
05/17/2013,"67.67","70.07","67.67","69.33","29,983,951"
05/20/2013,"70.33","70.33","67.87","68.00","6,067,245"
05/21/2013,"68.13","68.87","68.00","68.53","2,924,115"
05/22/2013,"68.53","68.67","67.67","67.93","1,884,180"
05/23/2013,"67.87","67.87","64.80","64.80","7,276,980"
05/24/2013,"65.03","66.00","65.03","65.80","751,290"
05/27/2013,"65.73","65.87","64.67","65.00","912,630"
05/28/2013,"65.00","65.20","64.67","65.17","430,275"
05/29/2013,"65.33","65.93","64.73","65.03","1,028,325"
05/30/2013,"65.07","65.07","62.67","62.87","2,632,695"
05/31/2013,"63.00","63.00","61.87","61.90","1,580,295"
06/03/2013,"61.90","62.00","61.00","61.03","1,858,080"
06/04/2013,"61.03","61.80","60.77","60.77","908,535"
06/05/2013,"60.77","61.00","60.17","60.17","1,444,185"
06/06/2013,"60.13","62.67","60.00","60.03","1,546,995"
06/07/2013,"60.17","60.67","60.17","60.53","520,710"
06/10/2013,"60.60","61.33","60.53","60.80","1,737,930"
06/11/2013,"60.73","60.80","58.80","59.67","1,009,965"
06/13/2013,"59.00","59.00","57.60","57.67","2,650,530"
06/14/2013,"58.33","59.20","58.33","59.13","1,079,700"
06/17/2013,"59.33","59.67","59.00","59.67","323,400"
06/18/2013,"59.67","60.67","59.67","59.93","249,105"
06/19/2013,"60.33","60.33","58.67","59.33","360,390"
06/20/2013,"58.00","58.67","57.33","58.00","337,680"
06/21/2013,"56.67","56.67","53.67","54.20","750,135"
06/24/2013,"53.73","55.00","52.67","52.67","646,980"
06/25/2013,"52.00","52.33","45.33","50.00","695,175"
06/26/2013,"50.00","54.33","50.00","53.07","483,210"
06/27/2013,"54.00","55.33","53.33","53.67","252,645"
06/28/2013,"54.67","54.67","53.00","53.33","288,690"
07/01/2013,"53.33","54.00","52.67","53.30","181,710"
07/02/2013,"53.30","56.00","53.30","53.30","1,285,770"
07/03/2013,"53.30","53.40","53.23","53.30","282,840"
07/04/2013,"53.27","53.27","53.10","53.10","142,530"
07/05/2013,"52.67","53.17","52.67","52.67","133,065"
07/08/2013,"52.73","52.73","50.67","51.33","264,165"
07/09/2013,"51.67","51.67","50.97","51.33","100,680"
07/10/2013,"51.33","52.67","51.00","51.33","543,660"
07/11/2013,"52.67","52.67","51.03","51.47","95,445"
07/12/2013,"51.53","53.33","51.47","53.33","229,275"
07/15/2013,"53.33","54.00","53.33","54.00","230,310"
07/16/2013,"53.97","53.97","53.00","53.33","165,165"
07/17/2013,"53.33","53.33","52.07","53.20","55,230"
07/18/2013,"52.00","52.27","52.00","52.00","371,670"
07/19/2013,"52.00","52.13","51.67","52.13","810,915"
07/22/2013,"52.00","52.00","51.67","51.83","257,235"
07/23/2013,"52.00","52.60","51.97","52.00","684,255"
07/24/2013,"52.00","52.80","52.00","52.80","818,925"
07/25/2013,"52.83","53.50","52.83","53.00","601,110"
07/26/2013,"53.00","53.47","52.67","53.00","550,755"
07/29/2013,"53.00","53.00","52.53","52.93","448,320"
07/30/2013,"52.40","52.67","52.30","52.67","281,190"
07/31/2013,"52.07","52.67","51.50","51.73","256,980"
08/01/2013,"51.67","51.67","51.33","51.67","298,785"
08/02/2013,"51.67","51.67","50.27","51.30","595,680"
08/05/2013,"50.33","51.27","50.33","51.23","96,705"
08/06/2013,"50.40","50.40","49.50","50.33","360,510"
08/07/2013,"50.33","50.97","50.27","50.57","85,980"
08/08/2013,"50.50","51.17","50.27","51.17","90,855"
08/12/2013,"51.17","51.23","50.37","50.67","130,095"
08/13/2013,"50.73","50.93","49.67","49.70","417,120"
08/14/2013,"49.70","49.70","48.90","48.90","328,920"
08/15/2013,"48.90","48.93","48.50","48.90","171,330"
08/16/2013,"48.67","49.13","48.67","48.80","78,315"
08/22/2013,"48.50","48.50","46.20","46.67","531,330"
08/23/2013,"46.67","46.67","45.50","46.00","343,455"
08/27/2013,"46.00","46.00","41.67","42.00","1,022,520"
08/28/2013,"40.67","40.67","37.33","37.53","1,807,515"
08/29/2013,"40.67","40.67","38.00","38.87","2,143,485"
08/30/2013,"41.53","41.87","39.33","40.30","2,654,700"
09/02/2013,"40.20","40.90","40.00","40.27","144,780"
09/03/2013,"40.93","40.93","40.53","40.87","514,035"
09/04/2013,"41.27","41.27","40.10","40.13","346,560"
09/05/2013,"41.20","41.33","40.00","41.33","1,299,270"
09/06/2013,"40.83","42.67","40.63","42.67","862,740"
09/09/2013,"42.33","42.63","41.73","42.00","491,925"
09/10/2013,"42.00","42.07","41.77","41.87","845,565"
09/11/2013,"42.00","43.30","42.00","42.73","1,376,970"
09/12/2013,"42.63","43.33","42.63","43.03","197,295"
09/13/2013,"42.20","42.60","41.53","42.13","523,575"
09/16/2013,"42.47","43.73","42.13","43.73","296,895"
09/17/2013,"43.70","44.53","43.70","44.53","373,065"
09/18/2013,"44.00","45.13","43.87","45.13","262,695"
09/19/2013,"45.30","46.67","45.30","46.60","497,565"
09/20/2013,"46.60","47.33","46.30","47.33","559,410"
09/23/2013,"47.13","47.33","45.57","47.33","541,560"
09/24/2013,"46.93","47.97","46.93","47.97","133,920"
09/25/2013,"48.67","48.67","47.70","48.33","137,850"
09/26/2013,"48.53","48.60","47.73","48.53","190,740"
09/27/2013,"48.63","49.00","48.53","48.87","89,070"
09/30/2013,"49.00","49.00","48.13","48.20","157,095"
