Date,Open,High,Low,Close,Volume
05/22/2002,"14.73","14.91","14.55","14.91","4,627,174"
05/23/2002,"14.73","14.91","14.73","14.91","821,613"
05/24/2002,"14.91","14.91","14.73","14.91","899,291"
05/27/2002,"14.73","14.73","14.73","14.73","2,061,131"
05/28/2002,"14.73","14.91","14.73","14.91","1,775,056"
05/29/2002,"14.73","14.91","14.73","14.91","1,061,052"
05/30/2002,"14.73","14.91","14.73","14.91","1,617,332"
05/31/2002,"14.73","14.91","14.73","14.91","2,440,198"
06/03/2002,"14.73","14.91","14.73","14.91","552,243"
06/04/2002,"14.73","14.91","14.73","14.73","2,682,422"
06/05/2002,"14.73","14.91","14.73","14.73","2,839,450"
06/06/2002,"14.73","14.73","14.73","14.73","2,625,485"
06/07/2002,"14.73","14.73","14.55","14.55","1,314,274"
06/10/2002,"14.55","14.55","14.19","14.55","1,624,154"
06/11/2002,"14.37","14.37","14.37","14.37","2,288,042"
06/13/2002,"14.37","14.37","14.37","14.37","2,603,629"
06/14/2002,"14.37","14.37","14.37","14.37","1,106,713"
06/17/2002,"14.37","14.37","14.37","14.37","1,396,268"
06/18/2002,"14.37","14.37","14.37","14.37","551,408"
06/19/2002,"14.37","14.37","14.37","14.37","1,476,313"
06/20/2002,"14.37","14.37","14.19","14.37","801,845"
06/21/2002,"14.19","14.19","14.01","14.19","763,562"
06/24/2002,"14.19","14.19","13.47","13.83","722,496"
06/25/2002,"13.65","13.65","13.29","13.29","378,649"
06/26/2002,"13.29","13.29","12.57","12.57","685,466"
06/27/2002,"12.75","12.93","12.21","12.93","369,879"
06/28/2002,"12.75","13.65","12.75","13.47","756,741"
07/01/2002,"13.29","13.29","12.93","13.11","66,403"
07/02/2002,"12.93","13.11","12.93","13.11","46,078"
07/03/2002,"12.93","13.11","12.93","13.11","132,110"
07/04/2002,"12.93","12.93","12.93","12.93","147,283"
07/05/2002,"12.93","12.93","12.75","12.93","304,172"
07/08/2002,"12.93","12.93","12.93","12.93","24,640"
07/09/2002,"12.75","12.75","12.75","12.75","13,225"
07/10/2002,"12.75","12.75","12.57","12.75","40,788"
07/11/2002,"12.57","12.57","12.39","12.57","71,971"
07/12/2002,"12.39","12.39","12.03","12.21","334,102"
07/16/2002,"12.39","12.57","12.21","12.39","76,426"
07/17/2002,"12.39","12.57","12.39","12.39","36,612"
07/18/2002,"12.39","12.39","12.21","12.21","136,843"
07/19/2002,"12.21","12.21","12.21","12.21","83,386"
07/22/2002,"12.21","12.57","12.03","12.39","39,396"
07/23/2002,"12.39","12.39","12.39","12.39","1,531"
07/24/2002,"12.21","12.21","12.21","12.21","44,408"
07/25/2002,"12.21","12.21","12.03","12.03","20,046"
07/26/2002,"12.03","12.03","11.67","11.67","185,844"
07/29/2002,"11.67","12.03","11.49","12.03","345,239"
07/30/2002,"12.03","12.03","12.03","12.03","27,146"
07/31/2002,"11.85","12.03","11.85","12.03","220,090"
08/01/2002,"11.85","12.03","11.85","11.85","91,600"
08/02/2002,"11.85","11.85","11.67","11.67","341,619"
08/05/2002,"11.67","11.67","11.67","11.67","95,080"
08/06/2002,"11.67","11.67","11.31","11.31","95,219"
08/07/2002,"11.49","11.49","10.95","10.95","263,662"
08/08/2002,"11.13","11.49","11.13","11.31","348,997"
08/09/2002,"11.13","11.49","11.13","11.49","81,159"
08/12/2002,"11.31","11.49","11.31","11.49","33,549"
08/13/2002,"11.49","11.49","11.13","11.13","512,707"
08/14/2002,"11.31","11.49","10.95","10.95","2,404,143"
08/15/2002,"11.13","11.31","11.13","11.31","199,626"
08/16/2002,"11.31","11.49","11.31","11.49","435,168"
08/19/2002,"11.49","11.67","11.49","11.67","113,873"
08/20/2002,"11.67","12.21","11.67","12.21","487,650"
08/21/2002,"12.21","12.21","12.03","12.21","299,300"
08/22/2002,"12.03","12.21","12.03","12.21","383,243"
08/23/2002,"12.03","12.75","12.03","12.75","425,980"
08/26/2002,"12.75","12.75","12.57","12.75","76,565"
08/27/2002,"12.57","12.93","12.57","12.75","1,033,767"
08/28/2002,"12.75","13.65","12.57","13.65","1,992,501"
08/29/2002,"13.47","13.47","13.29","13.47","784,583"
08/30/2002,"13.47","13.65","13.11","13.65","494,332"
09/02/2002,"13.47","13.47","13.47","13.47","27,842"
09/03/2002,"13.11","13.11","12.93","13.11","256,006"
09/04/2002,"12.93","13.11","12.93","13.11","193,362"
09/05/2002,"12.93","13.11","12.75","13.11","249,045"
09/06/2002,"12.93","13.11","12.93","13.11","59,442"
09/09/2002,"12.93","13.29","12.93","13.29","144,360"
09/10/2002,"13.29","13.29","12.93","13.11","77,122"
09/11/2002,"12.93","12.93","12.93","12.93","56,519"
09/12/2002,"12.93","12.93","12.93","12.93","7,239"
09/13/2002,"12.75","13.29","12.75","13.29","25,253,798"
09/16/2002,"12.93","13.47","12.93","13.47","106,356"
09/17/2002,"13.29","13.65","13.29","13.65","577,718"
09/18/2002,"13.29","13.65","13.29","13.65","541,663"
09/19/2002,"13.65","13.83","13.47","13.83","1,045,600"
09/20/2002,"13.65","14.01","13.65","14.01","445,469"
09/23/2002,"14.01","14.19","13.83","14.19","310,019"
09/24/2002,"14.01","14.01","13.83","14.01","95,637"
