Date,Open,High,Low,Close,Volume
01/13/1995,"19.77","19.97","19.77","19.77","47,917"
01/16/1995,"19.64","19.97","19.64","19.64","32,671"
01/17/1995,"19.63","19.97","19.63","19.63","5,082"
01/18/1995,"19.70","19.97","19.70","19.70","1,460,012"
01/19/1995,"19.83","19.83","19.70","19.83","1,452"
01/23/1995,"19.70","19.97","19.70","19.70","2,904"
01/24/1995,"19.63","20.25","19.63","19.63","46,465"
01/25/1995,"19.97","20.45","19.70","19.97","20,328"
01/30/1995,"20.66","20.66","19.70","20.66","127,052"
02/01/1995,"20.66","20.66","19.83","20.66","13,068"
02/02/1995,"20.94","20.94","20.80","20.94","7,260"
02/03/1995,"20.94","21.07","20.66","20.94","2,178"
02/06/1995,"20.94","21.07","20.52","20.94","89,300"
02/07/1995,"20.11","21.01","20.11","20.11","79,135"
02/09/1995,"20.94","21.01","20.94","20.94","3,630"
02/14/1995,"20.94","22.04","20.66","20.94","3,630"
02/15/1995,"20.66","20.94","20.66","20.66","12,342"
02/16/1995,"20.94","21.07","20.66","20.94","14,520"
02/17/1995,"20.94","21.21","20.94","20.94","7,986"
02/21/1995,"19.97","21.07","19.97","19.97","34,849"
02/22/1995,"20.66","21.21","20.66","20.66","145,203"
02/27/1995,"21.07","21.21","20.94","21.07","161,175"
03/01/1995,"20.80","21.01","20.66","20.80","52,273"
03/02/1995,"21.07","21.07","20.94","21.07","1,452"
03/06/1995,"20.80","20.80","20.66","20.80","20,328"
03/07/1995,"20.66","20.80","20.66","20.66","21,054"
03/10/1995,"20.66","20.73","19.97","20.66","7,986"
03/20/1995,"20.80","20.80","20.66","20.80","79,861"
03/22/1995,"20.66","20.94","20.66","20.66","750,697"
03/23/1995,"20.66","20.80","20.66","20.66","2,178"
03/24/1995,"20.66","20.94","20.66","20.66","14,520"
03/28/1995,"20.80","20.94","20.66","20.80","50,821"
03/31/1995,"20.66","20.80","20.66","20.66","5,808"
04/03/1995,"20.66","21.07","20.66","20.66","71,875"
04/04/1995,"20.66","21.07","20.66","20.66","2,178"
04/05/1995,"20.66","20.80","20.39","20.66","1,177,593"
04/07/1995,"20.66","20.80","20.66","20.66","13,068"
04/10/1995,"20.66","20.80","20.66","20.66","56,629"
04/11/1995,"20.66","20.80","20.66","20.66","2,904"
04/19/1995,"20.66","20.80","20.66","20.66","145,929"
04/24/1995,"22.04","22.04","20.59","22.04","81,313"
04/25/1995,"20.66","20.80","20.66","20.66","8,712"
04/28/1995,"20.66","20.80","20.66","20.66","1,452"
05/02/1995,"20.66","20.80","20.66","20.66","44,287"
05/03/1995,"20.66","20.73","20.66","20.66","74,053"
05/15/1995,"20.66","20.94","20.66","20.66","13,068"
05/16/1995,"20.66","20.80","20.66","20.66","5,808"
05/17/1995,"20.80","20.80","20.66","20.80","30,493"
05/18/1995,"20.66","20.80","20.66","20.66","39,931"
05/19/1995,"20.80","20.80","20.66","20.80","726"
05/22/1995,"20.66","20.80","20.66","20.66","61,711"
05/23/1995,"20.66","20.80","20.66","20.66","79,861"
05/26/1995,"20.80","21.07","20.80","20.80","65,341"
05/29/1995,"20.66","20.94","20.66","20.66","17,424"
05/30/1995,"20.66","20.80","20.66","20.66","6,534"
06/06/1995,"20.66","20.94","20.66","20.66","45,013"
06/13/1995,"20.66","20.94","20.66","20.66","45,013"
06/14/1995,"20.80","20.94","20.80","20.80","216,352"
06/19/1995,"20.66","20.94","20.66","20.66","39,931"
06/20/1995,"20.66","21.01","20.66","20.66","27,588"
06/26/1995,"20.66","20.80","20.66","20.66","43,561"
06/27/1995,"20.80","20.80","20.66","20.80","72,601"
06/30/1995,"20.80","20.80","20.66","20.80","1,452"
07/03/1995,"20.73","20.73","20.66","20.73","63,889"
07/04/1995,"20.73","20.80","20.66","20.73","4,356"
09/12/1995,"29.27","32.37","29.27","29.27","198,201"
09/14/1995,"29.61","29.61","29.27","29.61","3,630"
09/18/1995,"29.61","29.61","29.27","29.61","1,452"
