Date,Open,High,Low,Close,Volume
10/26/2010,"120.79","122.16","117.13","121.70","28,321,613"
10/27/2010,"120.79","121.06","118.50","119.87","7,579,721"
10/28/2010,"119.87","119.87","114.38","114.47","4,718,012"
10/29/2010,"114.75","114.75","113.56","113.92","5,253,593"
11/02/2010,"113.92","113.92","113.01","113.47","4,053,520"
11/03/2010,"113.56","113.56","106.15","109.62","7,648,974"
11/04/2010,"109.62","112.55","109.62","112.00","2,244,525"
11/05/2010,"112.55","112.55","111.36","111.45","2,661,314"
11/08/2010,"111.45","111.45","106.97","107.06","3,481,034"
11/09/2010,"107.06","113.92","107.06","113.92","2,801,482"
11/10/2010,"112.00","114.84","112.00","114.47","3,473,679"
11/11/2010,"113.92","116.39","113.92","115.30","2,509,463"
11/12/2010,"115.30","115.75","113.83","114.93","1,517,140"
11/15/2010,"114.66","114.93","113.01","113.47","3,561,391"
11/17/2010,"113.28","113.28","108.89","109.90","2,261,137"
11/18/2010,"110.08","115.30","110.08","114.84","1,858,271"
11/19/2010,"115.20","118.41","115.20","118.04","2,545,789"
11/22/2010,"118.04","118.04","115.94","116.49","2,569,176"
11/23/2010,"116.49","116.76","115.75","116.49","1,649,724"
11/24/2010,"115.75","115.84","114.84","114.84","2,018,853"
11/25/2010,"114.84","115.30","114.38","114.38","2,311,495"
11/26/2010,"114.38","114.84","114.38","114.38","1,411,932"
11/30/2010,"114.38","114.84","114.38","114.84","1,080,429"
12/01/2010,"114.38","114.84","114.38","114.84","327,033"
12/02/2010,"115.30","115.75","115.11","115.39","346,038"
12/03/2010,"115.30","116.21","115.20","116.21","447,399"
12/06/2010,"116.21","116.21","115.30","115.30","1,099,630"
12/07/2010,"114.84","114.93","114.38","114.38","778,848"
12/08/2010,"114.38","114.47","114.01","114.11","2,413,184"
12/09/2010,"114.29","114.29","107.98","109.35","1,156,633"
12/10/2010,"109.81","109.81","107.52","107.52","2,877,577"
12/13/2010,"108.43","108.43","106.79","106.79","749,909"
12/14/2010,"106.69","106.69","106.33","106.60","1,000,782"
12/15/2010,"106.15","106.15","103.58","103.77","2,324,751"
12/16/2010,"104.32","104.32","100.20","100.65","2,423,894"
12/17/2010,"100.56","100.65","75.03","96.99","3,429,364"
12/20/2010,"96.99","98.64","96.08","97.18","3,541,020"
12/21/2010,"96.99","97.27","96.90","97.27","1,212,674"
12/22/2010,"97.27","97.91","97.27","97.54","904,667"
12/23/2010,"97.91","102.48","97.18","102.48","928,010"
12/28/2010,"100.56","101.57","99.74","101.57","958,456"
12/29/2010,"101.57","101.57","100.65","101.11","819,064"
12/30/2010,"101.11","103.77","100.75","103.77","793,109"
01/03/2011,"104.32","104.32","103.40","104.32","906,306"
01/04/2011,"104.13","104.13","100.65","101.57","964,970"
01/05/2011,"101.48","101.48","97.82","97.82","1,583,661"
01/06/2011,"98.82","98.82","96.54","96.63","1,263,939"
01/07/2011,"96.99","97.73","95.90","95.99","599,632"
01/10/2011,"96.08","96.08","91.32","93.33","1,853,266"
01/11/2011,"95.16","95.16","91.78","91.78","956,096"
01/12/2011,"91.69","93.24","91.69","92.88","1,969,183"
01/13/2011,"93.33","93.33","91.96","92.24","2,596,104"
01/14/2011,"92.24","92.42","90.86","91.18","1,203,701"
01/17/2011,"91.05","91.05","90.31","90.54","2,113,329"
01/18/2011,"89.67","89.67","84.92","85.10","1,545,117"
01/19/2011,"85.10","85.10","78.69","82.54","3,561,631"
01/20/2011,"82.54","84.09","82.08","83.82","2,566,466"
01/21/2011,"84.18","86.70","83.82","86.56","2,196,145"
01/24/2011,"86.65","86.65","82.81","85.01","1,451,405"
01/25/2011,"86.01","86.20","85.01","85.10","3,498,738"
01/26/2011,"85.65","86.75","85.56","86.65","1,326,275"
01/27/2011,"86.75","91.05","86.75","90.77","2,347,045"
01/28/2011,"90.77","91.50","90.31","90.77","1,507,621"
01/31/2011,"90.18","90.18","88.76","89.67","652,930"
02/01/2011,"89.67","90.54","88.30","88.76","605,840"
02/02/2011,"88.76","88.94","87.84","88.76","818,419"
02/03/2011,"89.67","89.67","88.76","88.90","665,137"
02/04/2011,"90.59","90.59","89.22","89.67","1,595,289"
02/07/2011,"89.67","89.77","89.67","89.67","1,531,729"
02/08/2011,"89.77","89.77","89.67","89.67","312,761"
02/09/2011,"91.46","91.46","89.45","89.67","2,121,843"
02/10/2011,"89.67","89.67","86.06","86.06","1,571,399"
02/11/2011,"86.06","86.06","84.23","84.46","156,135"
02/14/2011,"84.46","84.46","81.90","82.13","1,077,139"
02/15/2011,"82.35","83.27","82.13","82.35","1,894,149"
02/16/2011,"82.35","82.35","81.67","81.76","1,810,896"
02/17/2011,"81.80","81.80","81.62","81.67","2,950,502"
02/18/2011,"82.35","82.81","82.13","82.17","752,608"
02/21/2011,"82.22","82.26","82.03","82.08","2,699,804"
02/22/2011,"82.08","82.08","80.16","80.20","1,048,780"
02/23/2011,"78.79","78.79","75.03","75.86","1,541,346"
02/24/2011,"75.67","75.67","72.38","72.38","1,269,786"
02/25/2011,"72.20","72.20","68.17","70.73","2,520,195"
02/28/2011,"70.46","75.49","70.46","74.94","1,797,607"
03/01/2011,"75.95","83.27","75.95","82.54","1,122,285"
03/02/2011,"81.26","81.26","77.78","80.52","2,102,248"
03/03/2011,"80.52","81.16","80.52","80.98","1,235,306"
03/04/2011,"80.94","82.31","80.94","81.35","245,682"
03/07/2011,"81.26","82.35","77.78","78.79","2,655,314"
03/08/2011,"78.69","78.79","78.69","78.69","3,354,155"
03/09/2011,"78.69","79.15","78.33","79.06","196,417"
03/10/2011,"79.06","79.43","77.78","78.69","2,165,261"
03/11/2011,"78.24","78.42","77.78","78.19","232,153"
03/14/2011,"78.19","78.19","77.32","77.73","836,091"
03/15/2011,"77.05","79.01","77.05","77.96","1,766,647"
03/16/2011,"78.01","79.61","77.96","78.69","1,760,625"
03/17/2011,"78.69","78.69","77.69","77.69","1,961,708"
03/18/2011,"80.43","80.43","78.05","78.24","1,917,273"
03/21/2011,"78.69","82.35","78.69","78.79","1,284,331"
03/22/2011,"80.52","80.52","78.79","78.79","514,281"
03/23/2011,"78.79","78.97","78.69","78.97","59,309"
03/24/2011,"79.15","79.61","78.79","78.83","75,209"
03/25/2011,"79.11","79.11","76.77","76.77","3,143,247"
03/28/2011,"76.77","76.77","72.75","72.88","2,188,113"
03/29/2011,"72.93","72.93","70.92","70.92","1,466,552"
03/30/2011,"72.29","73.02","71.19","72.29","3,976,769"
03/31/2011,"72.65","72.93","72.01","72.75","5,461,342"
04/01/2011,"73.02","75.58","72.93","74.44","3,133,291"
04/04/2011,"75.13","76.41","75.13","76.13","1,229,558"
04/05/2011,"76.13","76.27","75.03","75.31","1,346,121"
04/06/2011,"75.31","75.49","74.94","75.31","975,242"
04/07/2011,"75.49","76.36","75.49","76.13","1,185,156"
04/08/2011,"76.22","76.77","76.09","76.77","651,116"
04/11/2011,"75.49","75.49","72.75","72.75","1,738,331"
04/12/2011,"72.70","72.70","70.92","71.37","1,277,206"
04/13/2011,"71.56","71.83","71.05","71.37","2,660,494"
04/14/2011,"73.16","73.16","71.56","72.29","1,703,502"
04/15/2011,"73.11","73.16","72.33","72.56","767,974"
04/18/2011,"72.65","72.65","70.37","70.37","2,552,609"
04/19/2011,"70.46","71.37","70.37","71.10","459,650"
04/20/2011,"72.15","73.16","72.15","73.16","3,110,024"
04/25/2011,"73.25","73.25","71.37","71.74","541,526"
04/26/2011,"71.37","71.37","70.23","70.87","3,519,578"
04/27/2011,"70.46","72.29","70.46","71.42","299,614"
04/28/2011,"72.24","72.84","71.65","71.83","267,954"
04/29/2011,"71.83","76.86","71.83","76.86","1,268,944"
05/02/2011,"77.00","82.81","77.00","82.08","2,530,380"
05/03/2011,"81.90","85.56","80.43","84.64","4,280,941"
05/04/2011,"84.64","85.56","81.53","83.27","1,304,571"
05/05/2011,"83.27","84.18","81.53","81.90","216,973"
05/06/2011,"82.49","86.47","82.49","85.10","4,242,451"
05/09/2011,"85.10","86.47","85.10","85.56","2,602,246"
05/10/2011,"85.56","85.60","82.35","84.64","605,282"
05/11/2011,"84.64","84.64","82.72","84.09","695,343"
05/12/2011,"84.37","84.87","83.73","84.87","1,208,368"
05/13/2011,"84.78","89.81","84.78","88.07","1,625,277"
05/16/2011,"88.03","88.07","87.02","87.84","981,504"
05/17/2011,"86.93","87.84","86.29","86.93","971,418"
05/18/2011,"86.93","87.66","86.93","87.39","648,876"
05/19/2011,"87.39","88.07","87.39","87.84","1,863,473"
05/20/2011,"87.84","88.39","87.39","88.35","903,169"
05/23/2011,"88.35","88.35","85.37","85.37","1,225,569"
05/24/2011,"85.37","85.37","82.81","83.27","2,154,355"
05/25/2011,"83.36","83.36","81.21","81.21","136,070"
05/26/2011,"81.21","81.21","78.37","78.42","604,299"
05/27/2011,"78.42","78.51","78.05","78.19","1,057,785"
05/30/2011,"78.69","78.69","77.78","77.82","333,743"
05/31/2011,"78.05","81.90","78.01","81.16","2,254,612"
06/01/2011,"81.90","82.35","81.44","81.85","586,955"
06/02/2011,"81.44","81.44","79.15","79.61","724,413"
06/03/2011,"79.61","79.61","78.60","78.60","618,221"
06/06/2011,"78.69","78.69","77.05","77.05","619,413"
06/07/2011,"77.05","78.24","77.05","77.78","357,054"
