Date,Open,High,Low,Close,Volume
08/08/2017,"11.040","11.220","10.560","10.560","136,394,000"
08/09/2017,"10.560","10.620","9.500","10.040","58,050,398"
08/10/2017,"10.100","10.380","9.950","9.990","10,687,700"
08/11/2017,"9.970","9.970","9.350","9.580","10,538,800"
08/14/2017,"9.530","9.800","9.450","9.500","6,202,800"
08/15/2017,"9.510","10.140","9.500","10.120","9,648,200"
08/16/2017,"10.200","10.460","10.140","10.300","8,789,300"
08/17/2017,"10.360","10.540","10.200","10.420","6,395,200"
08/18/2017,"10.380","10.480","10.200","10.260","3,049,200"
08/22/2017,"10.240","10.240","9.980","10.000","3,121,000"
08/23/2017,"10.040","10.340","10.000","10.220","3,056,900"
08/24/2017,"10.240","10.500","10.080","10.500","6,928,500"
08/25/2017,"10.500","10.760","10.380","10.720","10,080,500"
08/29/2017,"10.720","10.760","10.420","10.420","5,127,200"
08/30/2017,"10.460","10.540","10.180","10.180","3,162,900"
08/31/2017,"10.180","10.320","10.080","10.240","2,659,300"
09/04/2017,"10.360","10.400","10.260","10.300","1,026,400"
09/05/2017,"10.320","10.680","10.320","10.500","5,866,500"
09/06/2017,"10.520","10.680","10.460","10.460","2,923,800"
09/07/2017,"10.460","10.600","10.460","10.500","2,262,600"
09/08/2017,"10.500","10.640","10.500","10.560","1,612,600"
09/11/2017,"10.560","10.840","10.560","10.780","20,883,500"
09/13/2017,"10.880","10.900","10.480","10.480","9,443,400"
09/14/2017,"10.480","10.640","10.340","10.540","3,283,700"
09/15/2017,"10.600","10.620","10.280","10.340","3,426,700"
09/18/2017,"10.480","10.540","10.280","10.360","2,340,600"
09/19/2017,"10.480","10.700","10.400","10.540","4,917,700"
09/20/2017,"10.640","10.640","10.380","10.400","2,579,500"
09/21/2017,"10.400","10.500","10.380","10.440","2,094,700"
09/22/2017,"10.500","10.500","10.220","10.220","4,510,500"
09/25/2017,"10.240","10.360","10.040","10.040","3,952,600"
09/26/2017,"10.040","10.040","9.860","9.970","4,755,400"
09/27/2017,"9.980","10.100","9.940","9.940","1,831,300"
09/28/2017,"9.970","10.080","9.900","9.900","1,816,700"
09/29/2017,"9.900","10.200","9.900","10.200","1,846,000"
10/02/2017,"10.280","10.280","9.980","10.000","1,212,600"
10/03/2017,"9.980","10.180","9.960","10.000","754,700"
10/04/2017,"9.960","10.000","9.950","9.950","1,010,400"
10/05/2017,"9.940","9.990","9.920","9.920","760,100"
10/06/2017,"9.950","9.980","9.920","9.940","915,700"
10/09/2017,"9.940","9.970","9.920","9.920","630,500"
10/10/2017,"9.930","10.000","9.590","9.700","4,636,500"
10/11/2017,"9.700","9.730","9.560","9.560","2,586,200"
10/12/2017,"9.560","9.650","9.550","9.590","1,195,700"
10/13/2017,"9.600","9.670","9.500","9.560","1,960,800"
10/17/2017,"9.600","9.630","9.390","9.400","3,390,000"
10/18/2017,"9.400","9.440","9.010","9.150","5,404,000"
10/19/2017,"9.150","9.580","9.150","9.430","3,341,400"
10/20/2017,"9.490","10.080","9.300","10.000","8,504,500"
10/23/2017,"10.120","10.360","9.700","9.700","7,785,700"
10/24/2017,"9.700","9.940","9.700","9.820","2,137,400"
10/25/2017,"9.800","9.900","9.540","9.560","1,251,600"
10/26/2017,"9.550","9.700","9.500","9.520","926,900"
10/27/2017,"9.520","9.520","9.400","9.400","1,912,600"
10/30/2017,"9.400","9.520","9.390","9.490","435,000"
11/02/2017,"9.490","9.490","9.310","9.400","1,266,100"
11/03/2017,"9.420","9.770","9.410","9.770","1,331,400"
11/06/2017,"9.780","9.800","9.380","9.380","2,500,300"
11/07/2017,"9.370","9.450","9.310","9.380","1,477,700"
11/08/2017,"9.460","9.460","9.320","9.360","1,025,300"
11/09/2017,"9.380","9.940","9.360","9.570","3,720,800"
11/10/2017,"9.660","9.660","9.320","9.350","1,618,400"
11/13/2017,"9.380","9.490","9.170","9.240","3,714,100"
11/14/2017,"9.180","9.310","9.170","9.250","650,500"
11/15/2017,"9.300","9.300","9.220","9.270","484,400"
11/16/2017,"9.300","9.470","9.130","9.200","4,942,600"
11/17/2017,"9.250","9.370","9.250","9.270","477,300"
11/20/2017,"9.300","9.300","9.130","9.150","1,067,000"
11/21/2017,"9.150","9.180","9.110","9.150","799,500"
11/22/2017,"9.150","9.160","9.040","9.110","3,037,800"
11/23/2017,"9.110","9.130","9.010","9.100","1,488,900"
11/24/2017,"9.120","9.120","9.000","9.020","966,900"
11/27/2017,"9.020","9.050","8.640","9.050","5,572,500"
11/28/2017,"9.050","9.050","8.800","8.800","762,700"
11/29/2017,"8.810","8.920","8.600","8.900","2,582,600"
12/01/2017,"8.810","8.810","8.680","8.740","1,300,200"
12/04/2017,"8.730","8.730","8.500","8.550","1,610,700"
12/05/2017,"8.550","8.630","8.310","8.340","3,694,100"
12/06/2017,"8.330","8.530","8.290","8.500","1,379,800"
12/07/2017,"8.510","8.730","8.510","8.600","957,700"
12/08/2017,"8.600","8.770","8.580","8.680","831,000"
12/11/2017,"8.700","8.700","8.510","8.570","433,700"
12/12/2017,"8.620","8.790","8.520","8.700","1,080,900"
12/13/2017,"8.810","9.310","8.800","9.000","4,113,700"
12/14/2017,"9.060","9.180","8.980","8.980","1,715,300"
12/15/2017,"8.970","9.080","8.750","8.990","2,274,200"
12/18/2017,"9.020","9.020","8.890","8.900","272,300"
12/19/2017,"8.900","8.920","8.780","8.900","1,199,200"
12/20/2017,"8.900","9.020","8.790","8.960","1,061,400"
12/21/2017,"9.000","9.110","8.910","8.910","1,900,300"
12/22/2017,"9.000","9.070","8.990","9.010","770,700"
12/27/2017,"9.010","9.010","8.800","8.800","1,237,900"
12/28/2017,"8.880","8.950","8.780","8.800","1,268,100"
12/29/2017,"8.810","8.900","8.770","8.780","1,222,600"
01/03/2018,"8.780","8.800","8.650","8.680","987,100"
01/04/2018,"8.680","8.780","8.530","8.550","1,891,600"
01/05/2018,"8.550","8.800","8.500","8.650","594,200"
01/08/2018,"8.700","8.780","8.560","8.610","422,000"
01/09/2018,"8.680","8.680","8.520","8.520","1,036,500"
01/10/2018,"8.550","8.630","8.420","8.430","2,090,900"
01/11/2018,"8.420","8.580","8.400","8.420","1,789,000"
01/12/2018,"8.480","8.530","8.350","8.360","1,072,900"
01/15/2018,"8.420","8.460","8.370","8.400","1,002,800"
01/16/2018,"8.400","8.420","8.360","8.380","404,800"
01/17/2018,"8.360","8.680","8.350","8.490","1,112,600"
01/18/2018,"8.530","8.660","8.500","8.510","514,000"
01/19/2018,"8.510","8.600","8.420","8.420","811,800"
01/22/2018,"8.410","8.410","8.300","8.310","1,539,400"
01/23/2018,"8.330","8.500","8.320","8.500","1,539,600"
01/24/2018,"8.500","8.790","8.460","8.750","2,223,800"
01/25/2018,"8.790","9.010","8.760","9.000","3,456,100"
01/26/2018,"9.030","9.320","9.030","9.230","4,327,400"
01/29/2018,"9.240","9.790","9.240","9.430","6,603,000"
01/30/2018,"9.650","9.790","9.270","9.340","4,483,700"
01/31/2018,"9.260","9.400","9.060","9.300","2,993,700"
02/01/2018,"9.320","9.530","9.100","9.100","2,776,300"
02/02/2018,"9.290","9.310","9.110","9.160","818,000"
02/05/2018,"9.110","9.160","8.980","9.020","1,299,300"
