Date,Open,High,Low,Close,Volume
06/14/2013,"23.98","24.81","23.89","24.35","746,392"
06/17/2013,"24.35","24.39","23.93","23.98","3,115,675"
06/18/2013,"23.98","24.16","23.70","23.80","188,550"
06/19/2013,"23.80","23.80","23.06","23.06","983,732"
06/20/2013,"23.06","23.06","21.21","21.95","1,466,653"
06/21/2013,"21.21","22.87","20.57","21.21","2,096,705"
06/24/2013,"21.21","22.09","21.12","21.21","179,767"
06/25/2013,"21.21","22.00","18.45","21.21","1,542,767"
06/26/2013,"20.48","21.86","20.48","21.21","486,933"
06/27/2013,"21.58","21.63","21.49","21.54","29,708"
06/28/2013,"21.54","22.83","21.54","22.14","1,103,974"
07/01/2013,"22.14","23.06","22.04","23.06","103,653"
07/02/2013,"23.06","23.61","23.06","23.38","3,272,240"
07/03/2013,"23.15","24.12","23.15","23.98","1,834,536"
07/04/2013,"23.98","24.44","23.80","23.98","755,391"
07/05/2013,"24.44","24.49","24.39","24.44","228,341"
07/08/2013,"23.98","24.21","23.98","24.07","167,624"
07/09/2013,"24.07","24.07","23.98","23.98","1,571,174"
07/10/2013,"23.98","24.26","23.98","23.98","1,479,881"
07/11/2013,"24.35","24.90","24.35","24.90","595,682"
07/12/2013,"24.90","24.90","24.44","24.44","1,072,640"
07/15/2013,"24.53","24.53","24.26","24.44","98,232"
07/16/2013,"24.90","24.90","24.44","24.44","772,522"
07/17/2013,"23.98","24.44","23.98","24.44","164,263"
07/18/2013,"24.63","24.63","24.44","24.44","1,026,343"
07/19/2013,"24.90","24.95","24.72","24.72","187,140"
07/22/2013,"24.90","24.90","24.72","24.72","187,899"
07/23/2013,"24.72","24.90","23.98","24.90","746,608"
07/24/2013,"24.86","24.95","24.86","24.95","34,479"
07/25/2013,"24.90","26.75","24.90","26.01","730,670"
07/26/2013,"26.01","27.58","26.01","26.75","819,253"
07/29/2013,"27.39","27.90","26.33","26.65","720,478"
07/30/2013,"26.29","26.61","25.64","26.61","57,140"
07/31/2013,"26.29","26.29","25.36","25.36","551,337"
08/01/2013,"25.82","26.75","25.82","26.29","361,161"
08/02/2013,"26.01","26.29","25.82","25.82","56,597"
08/05/2013,"26.56","26.56","26.24","26.24","3,144"
08/06/2013,"25.46","27.62","25.36","27.62","122,736"
08/07/2013,"27.21","27.21","26.29","26.65","116,339"
08/08/2013,"26.56","26.75","26.56","26.65","196,248"
08/12/2013,"25.82","26.75","25.82","26.42","152,011"
08/13/2013,"26.89","27.21","26.42","26.75","2,306,723"
08/14/2013,"27.02","27.67","27.02","27.48","869,887"
08/15/2013,"27.44","27.44","27.12","27.21","698,468"
08/16/2013,"26.93","26.93","25.82","26.93","349,126"
08/22/2013,"25.82","26.38","25.36","26.29","208,391"
08/23/2013,"25.82","26.29","25.82","26.15","926,159"
08/27/2013,"25.36","25.82","24.44","24.44","651"
08/28/2013,"24.63","24.63","23.06","24.44","2,302,820"
08/29/2013,"24.44","26.75","24.44","25.36","267,916"
08/30/2013,"25.36","25.36","24.90","24.90","937,326"
09/02/2013,"25.36","25.36","25.36","25.36","3,253"
09/03/2013,"25.36","25.36","25.36","25.36","63,537"
09/04/2013,"25.36","25.78","25.36","25.78","4,662"
09/05/2013,"25.82","25.82","24.44","24.90","52,044"
09/06/2013,"24.90","24.90","24.86","24.90","55,079"
09/10/2013,"24.90","24.90","24.90","24.90","1,518"
09/11/2013,"24.44","24.90","23.98","24.44","412,445"
09/12/2013,"24.44","24.44","23.80","23.80","437,383"
09/13/2013,"23.98","23.98","23.98","23.98","127,398"
09/16/2013,"23.98","23.98","23.75","23.75","1,437,487"
09/17/2013,"23.98","24.21","23.98","23.98","856,984"
09/18/2013,"24.44","24.44","24.44","24.44","2,927"
09/19/2013,"25.82","25.92","25.36","25.82","305,322"
09/20/2013,"25.82","25.92","25.82","25.82","143,337"
09/23/2013,"25.46","25.82","25.46","25.82","102,786"
09/24/2013,"25.82","25.82","24.44","24.44","167,624"
09/25/2013,"24.90","24.90","24.72","24.90","10,517"
09/26/2013,"24.90","25.36","24.44","24.90","70,693"
09/27/2013,"24.90","25.64","23.98","25.64","8,566"
09/30/2013,"24.16","24.16","23.98","23.98","32,527"
10/01/2013,"24.44","25.04","24.12","24.12","3,470"
10/02/2013,"24.86","24.99","24.07","24.99","14,204"
10/03/2013,"24.86","25.36","24.86","24.99","193,537"
10/07/2013,"24.99","24.99","24.90","24.90","28,841"
10/08/2013,"24.90","24.90","24.90","24.90","2,596,107"
10/09/2013,"24.90","24.90","24.90","24.90","65,597"
10/11/2013,"27.72","36.43","27.62","27.67","3,750,390"
10/14/2013,"29.33","31.27","27.95","30.85","1,938,840"
10/16/2013,"30.90","30.90","29.70","30.30","609,452"
10/17/2013,"30.30","30.44","29.74","29.97","255,230"
10/18/2013,"30.39","30.80","29.97","30.30","1,833,452"
10/21/2013,"30.44","30.44","30.11","30.11","206,765"
10/22/2013,"30.11","30.25","28.59","29.05","91,076"
10/23/2013,"29.05","29.51","29.05","29.42","106,798"
10/24/2013,"29.56","29.56","28.55","28.59","148,975"
10/25/2013,"29.05","29.05","28.04","28.04","59,091"
10/29/2013,"27.85","28.04","27.21","27.21","105,714"
10/30/2013,"27.21","27.39","26.75","27.12","326,031"
10/31/2013,"27.12","27.12","26.38","26.47","110,050"
11/04/2013,"26.47","26.56","25.87","26.19","155,697"
11/05/2013,"26.19","26.75","25.64","25.82","224,763"
11/06/2013,"25.82","25.82","24.95","25.23","563,589"
