Date,Open,High,Low,Close,Volume
09/12/1995,"1.141","1.141","1.141","1.141","30,488"
09/13/1995,"1.102","1.102","1.102","1.102","114,328"
09/14/1995,"1.063","1.063","1.063","1.063","104,166"
09/15/1995,"1.102","1.102","1.102","1.102","58,434"
09/18/1995,"1.063","1.063","1.063","1.063","132,113"
09/19/1995,"1.063","1.063","1.063","1.063","50,813"
09/22/1995,"1.023","1.023","1.023","1.023","127,031"
10/02/1995,"1.023","1.023","1.023","1.023","137,194"
10/04/1995,"1.023","1.023","1.023","1.023","63,516"
10/06/1995,"0.866","0.866","0.866","0.866","12,703"
10/09/1995,"0.866","0.866","0.866","0.866","10,163"
10/10/1995,"0.866","0.866","0.866","0.866","30,488"
10/11/1995,"0.787","0.787","0.787","0.787","12,703"
10/12/1995,"0.984","0.984","0.984","0.984","1,021,333"
10/13/1995,"0.945","0.945","0.945","0.945","398,879"
10/16/1995,"0.905","0.905","0.905","0.905","73,678"
10/17/1995,"0.905","0.905","0.905","0.905","200,710"
10/18/1995,"1.063","1.063","1.063","1.063","1,283,017"
10/19/1995,"1.063","1.063","1.063","1.063","675,807"
10/20/1995,"1.063","1.063","1.063","1.063","25,406"
10/24/1995,"1.063","1.063","1.063","1.063","444,610"
10/27/1995,"1.063","1.063","1.063","1.063","25,406"
10/30/1995,"0.787","0.787","0.787","0.787","30,488"
11/06/1995,"0.708","0.787","0.708","0.708","2,769"
11/08/1995,"0.827","0.827","0.708","0.827","55,894"
11/21/1995,"0.827","0.827","0.708","0.827","50,813"
11/22/1995,"0.708","0.866","0.708","0.708","48,272"
11/23/1995,"0.787","0.866","0.708","0.787","12,703"
12/12/1995,"0.827","0.827","0.748","0.827","27,947"
01/02/1996,"0.669","0.669","0.669","0.669","22,866"
01/03/1996,"0.669","0.669","0.669","0.669","7,637"
01/05/1996,"0.748","0.748","0.708","0.748","53,353"
01/17/1996,"0.827","0.827","0.827","0.827","88,922"
01/18/1996,"0.827","0.827","0.787","0.827","50,813"
01/24/1996,"0.708","0.708","0.708","0.708","50,813"
01/25/1996,"0.827","0.827","0.708","0.827","66,056"
01/26/1996,"0.866","0.905","0.748","0.866","114,328"
01/29/1996,"0.905","0.945","0.905","0.905","500,504"
01/30/1996,"0.787","0.787","0.787","0.787","106,706"
01/31/1996,"0.827","0.827","0.827","0.827","55,894"
02/02/1996,"0.827","0.827","0.827","0.827","25,406"
02/05/1996,"0.787","0.787","0.787","0.787","2,541"
02/09/1996,"0.787","0.787","0.748","0.787","27,947"
02/15/1996,"0.748","0.748","0.748","0.748","25,406"
02/16/1996,"0.787","0.787","0.748","0.787","27,947"
02/22/1996,"0.708","0.708","0.708","0.708","76,219"
02/26/1996,"0.708","0.708","0.669","0.708","55,894"
03/05/1996,"0.708","0.708","0.708","0.708","195,628"
03/07/1996,"0.669","0.669","0.669","0.669","2,541"
03/12/1996,"0.630","0.630","0.630","0.630","60,975"
03/19/1996,"0.630","0.630","0.630","0.630","99,085"
03/25/1996,"0.669","0.669","0.669","0.669","25,406"
03/26/1996,"0.630","0.630","0.630","0.630","50,813"
03/29/1996,"0.630","0.630","0.630","0.630","25,406"
04/01/1996,"0.630","0.630","0.630","0.630","2,541"
04/02/1996,"0.551","0.551","0.551","0.551","25,406"
06/14/1996,"0.354","0.354","0.354","0.354","2,541"
07/02/1996,"0.512","0.512","0.512","0.512","101,625"
07/03/1996,"0.748","0.748","0.590","0.748","152,438"
07/05/1996,"0.827","0.827","0.827","0.827","63,516"
07/08/1996,"0.827","0.827","0.787","0.827","78,759"
07/09/1996,"0.905","0.945","0.866","0.905","304,875"
07/10/1996,"0.866","0.866","0.827","0.866","12,703"
07/15/1996,"0.787","0.866","0.787","0.787","53,353"
07/17/1996,"0.866","0.945","0.787","0.866","439,529"
07/18/1996,"0.945","0.984","0.905","0.945","152,438"
07/19/1996,"0.905","0.905","0.905","0.905","40,142"
07/22/1996,"0.866","0.866","0.866","0.866","45,731"
07/25/1996,"0.827","0.827","0.827","0.827","160,060"
07/26/1996,"0.866","0.905","0.827","0.866","40,650"
08/05/1996,"0.787","0.866","0.787","0.787","30,488"
08/23/1996,"0.827","0.827","0.827","0.827","604,670"
08/26/1996,"0.748","0.748","0.748","0.748","30,488"
08/29/1996,"0.748","0.748","0.748","0.748","25,406"
09/03/1996,"0.748","0.748","0.748","0.748","76,219"
09/30/1996,"0.630","0.630","0.630","0.630","17,784"
10/04/1996,"0.630","0.630","0.630","0.630","50,813"
10/07/1996,"0.630","0.787","0.630","0.630","2,541"
10/08/1996,"0.669","0.669","0.669","0.669","50,813"
10/09/1996,"0.669","0.669","0.669","0.669","50,813"
10/17/1996,"0.590","0.630","0.590","0.590","76,219"
10/21/1996,"0.590","0.590","0.590","0.590","25,406"
10/25/1996,"0.708","0.708","0.669","0.708","50,813"
10/31/1996,"0.669","0.669","0.669","0.669","50,813"
11/04/1996,"0.669","0.669","0.669","0.669","25,406"
11/12/1996,"0.748","0.748","0.748","0.748","48,272"
11/13/1996,"0.748","0.787","0.748","0.748","388,716"
11/15/1996,"0.827","0.827","0.748","0.827","76,219"
11/18/1996,"0.787","0.787","0.787","0.787","50,813"
11/19/1996,"0.787","0.787","0.787","0.787","127,031"
11/21/1996,"0.945","0.945","0.905","0.945","543,695"
11/22/1996,"1.063","1.063","0.905","1.063","678,348"
11/25/1996,"0.984","0.984","0.984","0.984","76,219"
11/26/1996,"0.984","0.984","0.984","0.984","25,406"
11/28/1996,"1.102","1.102","0.984","1.102","269,307"
11/29/1996,"1.141","1.181","1.063","1.141","467,476"
12/02/1996,"1.102","1.102","1.063","1.102","27,947"
12/03/1996,"1.063","1.063","1.063","1.063","30,488"
12/04/1996,"1.023","1.023","1.023","1.023","20,325"
12/05/1996,"1.023","1.023","1.023","1.023","25,406"
12/11/1996,"1.141","1.260","1.141","1.141","309,957"
12/12/1996,"1.220","1.260","1.181","1.220","152,438"
12/16/1996,"1.220","1.260","1.220","1.220","215,953"
01/07/1997,"0.984","0.984","0.984","0.984","2,541"
01/09/1997,"1.260","1.299","1.220","1.260","177,844"
01/10/1997,"1.220","1.260","1.220","1.220","279,469"
01/13/1997,"1.181","1.220","1.181","1.181","76,219"
01/14/1997,"1.338","1.417","1.220","1.338","1,054,361"
01/15/1997,"1.692","1.692","1.378","1.692","1,331,289"
01/16/1997,"2.460","2.460","1.968","2.460","846,029"
01/17/1997,"3.641","3.641","3.149","3.641","101,625"
01/20/1997,"4.330","5.314","3.936","4.330","1,191,555"
01/21/1997,"6.494","6.494","4.526","6.494","1,277,428"
01/22/1997,"9.643","9.643","9.446","9.643","2,430,873"
01/23/1997,"4.723","9.053","4.723","4.723","1,539,367"
01/24/1997,"4.920","5.117","3.739","4.920","2,457,550"
01/27/1997,"7.282","7.282","5.117","7.282","1,003,294"
01/28/1997,"6.691","9.643","6.298","6.691","2,170,967"
01/29/1997,"6.494","7.085","4.920","6.494","1,451,207"
01/30/1997,"6.101","6.691","5.707","6.101","1,010,916"
01/31/1997,"5.707","5.904","5.510","5.707","520,321"
02/03/1997,"6.494","6.494","5.707","6.494","802,839"
02/04/1997,"6.494","6.888","6.298","6.494","1,368,637"
02/05/1997,"6.691","7.085","6.691","6.691","1,407,508"
02/06/1997,"6.691","6.888","6.494","6.691","562,241"
02/07/1997,"6.101","6.691","6.101","6.101","627,789"
02/10/1997,"6.101","6.298","5.904","6.101","448,167"
02/11/1997,"6.101","6.298","5.904","6.101","164,125"
02/12/1997,"6.298","6.298","5.904","6.298","921,232"
02/13/1997,"7.085","7.282","6.888","7.085","2,338,140"
02/14/1997,"7.282","7.872","7.085","7.282","2,004,556"
02/17/1997,"7.478","7.478","7.282","7.478","767,778"
02/18/1997,"9.053","9.643","7.675","9.053","526,672"
02/19/1997,"12.989","12.989","9.643","12.989","1,929,607"
02/20/1997,"15.351","18.499","13.776","15.351","544,203"
02/21/1997,"12.202","16.531","11.414","12.202","1,465,943"
02/24/1997,"12.989","14.563","12.202","12.989","2,140,480"
02/25/1997,"16.138","16.925","12.989","16.138","2,468,221"
02/26/1997,"17.712","19.680","16.925","17.712","21,889,039"
02/27/1997,"16.925","17.712","15.744","16.925","1,142,775"
02/28/1997,"16.925","17.712","15.744","16.925","2,040,633"
03/03/1997,"16.925","17.712","16.138","16.925","2,082,807"
03/04/1997,"15.351","16.531","15.351","15.351","1,854,151"
03/05/1997,"16.138","16.531","13.383","16.138","294,205"
03/06/1997,"16.138","17.319","15.744","16.138","256,349"
03/07/1997,"14.563","16.138","14.563","14.563","1,284,796"
03/10/1997,"14.957","15.351","14.170","14.957","209,348"
03/11/1997,"15.351","16.138","14.957","15.351","2,418,932"
03/12/1997,"15.744","16.138","14.957","15.744","1,203,242"
03/13/1997,"15.351","16.138","14.957","15.351","2,319,086"
03/14/1997,"14.957","15.351","14.563","14.957","1,700,697"
03/17/1997,"14.170","14.957","13.383","14.170","2,182,400"
03/18/1997,"13.776","13.776","12.595","13.776","175,811"
03/19/1997,"12.595","13.776","12.595","12.595","1,096,281"
03/20/1997,"12.989","13.776","12.595","12.989","577,739"
03/21/1997,"12.595","12.989","12.202","12.595","1,001,262"
03/24/1997,"11.808","12.595","11.414","11.808","1,501,511"
03/25/1997,"12.595","12.595","11.414","12.595","1,029,463"
03/26/1997,"12.989","12.989","12.202","12.989","1,105,173"
03/31/1997,"11.808","12.595","11.808","11.808","827,229"
04/01/1997,"12.202","12.202","11.021","12.202","1,324,938"
04/02/1997,"11.414","11.808","11.414","11.414","559,700"
04/03/1997,"11.021","11.808","10.627","11.021","1,326,462"
04/04/1997,"8.462","10.627","8.069","8.462","43,445"
04/07/1997,"6.494","9.053","5.904","6.494","1,618,380"
04/10/1997,"7.478","7.675","5.510","7.478","2,298,507"
04/11/1997,"8.266","8.659","7.282","8.266","1,517,772"
04/14/1997,"7.675","8.069","7.282","7.675","317,325"
04/15/1997,"7.675","8.069","7.675","7.675","1,464,926"
04/16/1997,"7.675","8.069","7.675","7.675","1,268,536"
04/17/1997,"7.282","7.675","7.282","7.282","1,558,676"
04/18/1997,"7.085","7.085","6.888","7.085","1,911,569"
04/22/1997,"6.101","6.888","6.101","6.101","617,373"
04/23/1997,"6.691","6.691","6.298","6.691","1,080,275"
04/24/1997,"7.282","7.675","6.691","7.282","1,919,699"
04/25/1997,"6.888","7.282","6.888","6.888","345,271"
04/28/1997,"6.691","7.085","6.691","6.691","893,285"
04/29/1997,"6.494","6.691","6.298","6.494","711,884"
04/30/1997,"6.298","6.888","6.298","6.298","611,275"
05/02/1997,"6.101","6.298","5.904","6.101","776,162"
05/05/1997,"6.494","6.494","6.101","6.494","533,532"
05/06/1997,"6.298","6.888","6.101","6.298","1,513,198"
05/07/1997,"6.101","6.298","6.101","6.101","192,834"
05/08/1997,"5.707","5.904","5.707","5.707","587,647"
05/09/1997,"5.904","6.101","5.510","5.904","515,239"
05/13/1997,"5.707","5.904","5.510","5.707","602,129"
05/14/1997,"5.314","5.707","5.314","5.314","640,747"
05/15/1997,"4.526","5.314","4.133","4.526","1,412,589"
05/16/1997,"3.346","3.936","3.346","3.346","1,542,924"
05/19/1997,"3.149","3.247","2.952","3.149","581,804"
05/20/1997,"2.460","3.050","2.460","2.460","1,097,552"
05/21/1997,"2.755","2.854","2.558","2.755","1,709,843"
05/22/1997,"3.444","3.444","2.854","3.444","2,220,509"
05/23/1997,"4.920","5.117","3.739","4.920","1,249,989"
05/27/1997,"6.298","6.494","5.510","6.298","1,257,103"
05/28/1997,"5.510","6.494","5.314","5.510","2,235,245"
05/29/1997,"5.510","5.904","5.117","5.510","1,144,807"
05/30/1997,"4.526","5.314","4.330","4.526","2,442,814"
