Date,Open,High,Low,Close,Volume
01/02/1996,"0.93","0.93","0.92","0.93","21,770,000"
01/03/1996,"0.93","0.93","0.92","0.93","22,350,000"
01/04/1996,"0.93","0.93","0.92","0.93","69,759,999"
01/05/1996,"0.93","0.93","0.92","0.93","37,599,999"
01/08/1996,"0.93","0.93","0.92","0.93","10,090,000"
01/09/1996,"0.93","0.93","0.92","0.93","15,260,000"
01/10/1996,"0.92","0.92","0.91","0.92","6,380,000"
01/11/1996,"0.92","0.92","0.90","0.92","8,300,000"
01/12/1996,"0.92","0.92","0.91","0.92","11,370,000"
01/15/1996,"0.92","0.92","0.91","0.92","40,339,999"
01/16/1996,"0.93","0.93","0.91","0.93","120,919,998"
01/17/1996,"0.96","0.96","0.93","0.96","292,209,996"
01/18/1996,"0.99","0.99","0.95","0.99","440,229,993"
01/19/1996,"1.03","1.03","1.00","1.03","123,469,998"
01/22/1996,"1.13","1.15","1.08","1.13","440,798,003"
01/23/1996,"1.20","1.20","1.15","1.20","238,160,996"
01/24/1996,"1.20","1.23","1.18","1.20","108,065,998"
01/25/1996,"1.23","1.28","1.23","1.23","125,020,998"
01/26/1996,"1.25","1.30","1.23","1.25","130,898,998"
01/29/1996,"1.25","1.28","1.25","1.25","68,701,999"
01/30/1996,"1.18","1.28","1.15","1.18","94,680,999"
01/31/1996,"1.23","1.23","1.20","1.23","40,872,999"
02/01/1996,"1.28","1.30","1.28","1.28","59,254,999"
02/02/1996,"1.30","1.35","1.28","1.30","64,646,999"
02/05/1996,"1.30","1.35","1.28","1.30","930,000"
02/06/1996,"1.35","1.38","1.30","1.35","79,845,999"
02/07/1996,"1.40","1.43","1.38","1.40","171,619,997"
02/08/1996,"1.38","1.40","1.33","1.38","49,830,999"
02/09/1996,"1.45","1.45","1.38","1.45","92,549,999"
02/12/1996,"1.48","1.50","1.45","1.48","90,320,999"
02/13/1996,"1.48","1.48","1.45","1.48","42,708,999"
02/14/1996,"1.48","1.50","1.48","1.48","64,833,999"
02/15/1996,"1.48","1.48","1.43","1.48","30,468,000"
02/16/1996,"1.48","1.50","1.45","1.48","17,093,000"
02/19/1996,"1.48","1.50","1.45","1.48","65,105,999"
02/20/1996,"1.48","1.50","1.48","1.48","22,695,000"
02/21/1996,"1.55","1.60","1.48","1.55","70,883,999"
02/22/1996,"1.60","1.60","1.55","1.60","75,143,999"
02/23/1996,"1.63","1.65","1.63","1.63","60,309,999"
02/26/1996,"1.65","1.68","1.63","1.65","48,140,999"
02/27/1996,"1.60","1.68","1.60","1.60","123,230,998"
02/28/1996,"1.60","1.63","1.58","1.60","79,936,999"
02/29/1996,"1.63","1.63","1.58","1.63","48,847,999"
03/01/1996,"1.65","1.65","1.63","1.65","18,938,000"
03/04/1996,"1.60","1.63","1.60","1.60","16,544,000"
03/05/1996,"1.53","1.58","1.53","1.53","28,079,000"
03/06/1996,"1.60","1.60","1.53","1.60","24,337,000"
03/07/1996,"1.55","1.58","1.53","1.55","24,941,000"
03/08/1996,"1.55","1.55","1.50","1.55","8,755,000"
03/11/1996,"1.45","1.50","1.45","1.45","32,185,000"
