Date,Open,High,Low,Close,Volume
12/23/2011,"4.08","4.08","4.07","4.08","11,000"
12/26/2011,"4.07","4.07","4.07","4.07","16,000"
12/27/2011,"4.06","4.33","4.05","4.33","17,000"
12/28/2011,"4.06","4.10","4.00","4.00","193,000"
12/29/2011,"4.30","4.30","4.10","4.10","5,000"
01/02/2012,"3.92","4.00","3.90","4.00","125,000"
01/04/2012,"4.00","4.08","3.91","4.00","142,000"
01/05/2012,"3.91","4.20","3.90","4.20","246,000"
01/06/2012,"4.01","4.01","4.01","4.01","2,000"
01/10/2012,"3.95","4.20","3.95","4.20","9,000"
01/11/2012,"4.18","4.18","3.95","4.00","171,000"
01/12/2012,"4.00","4.10","3.96","4.10","5,000"
01/13/2012,"3.96","4.00","3.96","4.00","102,000"
01/16/2012,"4.10","4.19","4.10","4.19","481,000"
01/18/2012,"3.95","3.97","3.94","3.94","11,000"
01/19/2012,"3.96","3.96","3.96","3.96","15,000"
01/20/2012,"3.94","4.00","3.94","3.95","48,000"
01/25/2012,"3.95","3.95","3.90","3.90","6,000"
01/26/2012,"3.80","3.80","3.70","3.70","49,000"
01/30/2012,"4.00","4.00","3.79","3.89","98,000"
01/31/2012,"3.98","3.99","3.98","3.99","3,000"
02/01/2012,"3.78","3.97","3.78","3.97","20,000"
02/02/2012,"3.97","3.97","3.97","3.97","1,000"
02/03/2012,"3.77","3.77","3.77","3.77","1,000"
02/06/2012,"3.78","3.78","3.78","3.78","60,000"
02/07/2012,"3.78","3.78","3.75","3.75","33,000"
02/08/2012,"3.75","3.78","3.72","3.75","203,000"
02/09/2012,"3.80","3.80","3.70","3.70","83,000"
02/10/2012,"3.93","3.93","3.70","3.93","27,000"
02/14/2012,"3.71","3.71","3.71","3.71","200,000"
02/16/2012,"3.71","3.71","3.71","3.71","2,000"
02/20/2012,"3.71","3.71","3.70","3.70","70,000"
02/21/2012,"3.70","3.71","3.60","3.70","396,000"
02/22/2012,"3.70","3.70","3.70","3.70","178,000"
02/23/2012,"3.71","3.71","3.70","3.70","105,000"
02/28/2012,"3.52","3.53","3.52","3.53","309,000"
02/29/2012,"3.55","3.55","3.50","3.50","17,000"
03/01/2012,"3.52","3.52","3.52","3.52","300,000"
03/05/2012,"3.55","3.93","3.55","3.92","407,000"
03/09/2012,"3.30","3.89","3.30","3.89","5,000"
03/19/2012,"3.85","3.89","3.85","3.89","11,000"
03/22/2012,"3.70","3.71","3.70","3.70","67,000"
03/23/2012,"3.66","3.66","3.65","3.65","5,000"
03/26/2012,"3.60","3.60","3.60","3.60","5,000"
03/27/2012,"3.60","3.60","3.58","3.58","20,000"
03/29/2012,"3.58","3.58","3.58","3.58","4,000"
03/30/2012,"3.58","3.58","3.58","3.58","1,000"
04/02/2012,"3.58","3.58","3.58","3.58","1,000"
04/04/2012,"3.56","3.56","3.56","3.56","1,000"
04/12/2012,"3.50","3.50","3.50","3.50","142,000"
04/13/2012,"3.56","3.86","3.53","3.86","718,000"
04/17/2012,"3.53","3.53","3.52","3.52","51,000"
04/18/2012,"3.52","3.52","3.52","3.52","31,000"
04/19/2012,"3.78","3.78","3.60","3.60","20,000"
04/20/2012,"3.51","3.51","3.50","3.50","50,000"
04/23/2012,"3.50","3.50","3.50","3.50","177,000"
04/24/2012,"3.75","3.75","3.53","3.53","11,000"
04/25/2012,"3.53","3.53","3.53","3.53","5,000"
04/26/2012,"3.52","3.52","3.50","3.50","12,000"
04/27/2012,"3.50","3.50","3.50","3.50","2,000"
04/30/2012,"3.50","3.79","3.50","3.79","40,000"
05/07/2012,"3.53","3.53","3.53","3.53","1,000"
05/08/2012,"3.53","3.53","3.53","3.53","17,000"
05/09/2012,"3.53","3.60","3.53","3.55","3,000"
05/11/2012,"3.53","3.53","3.53","3.53","6,000"
05/14/2012,"3.53","3.53","3.52","3.52","448,000"
05/15/2012,"3.53","3.53","3.52","3.52","53,000"
05/16/2012,"3.53","3.53","3.52","3.52","14,000"
05/18/2012,"3.52","3.52","3.52","3.52","106,000"
05/21/2012,"3.52","3.52","3.52","3.52","11,000"
05/22/2012,"3.52","3.52","3.52","3.52","5,000"
05/23/2012,"3.52","3.52","3.52","3.52","6,000"
05/24/2012,"3.52","3.52","3.52","3.52","4,000"
05/28/2012,"3.53","3.53","3.52","3.52","50,000"
05/29/2012,"3.53","3.53","3.53","3.53","2,000"
05/30/2012,"3.55","3.55","3.55","3.55","1,000"
06/01/2012,"3.53","3.53","3.53","3.53","10,000"
06/04/2012,"3.55","3.55","3.55","3.55","6,000"
06/05/2012,"3.55","3.55","3.55","3.55","4,000"
06/11/2012,"3.75","3.80","3.60","3.60","32,000"
06/13/2012,"3.85","3.85","3.85","3.85","5,000"
06/14/2012,"3.80","3.80","3.80","3.80","100,000"
06/15/2012,"3.80","3.80","3.80","3.80","10,000"
06/18/2012,"3.80","3.80","3.80","3.80","1,000"
06/19/2012,"3.56","3.57","3.54","3.54","27,000"
06/21/2012,"3.60","3.60","3.60","3.60","10,000"
06/22/2012,"3.57","3.57","3.57","3.57","2,000"
06/28/2012,"3.57","3.57","3.57","3.57","15,000"
06/29/2012,"3.60","3.77","3.60","3.77","6,000"
07/02/2012,"3.70","3.70","3.70","3.70","30,000"
07/06/2012,"3.69","3.69","3.69","3.69","10,000"
07/13/2012,"3.69","3.69","3.69","3.69","1,000"
07/19/2012,"3.70","3.70","3.70","3.70","13,000"
07/24/2012,"3.60","3.60","3.60","3.60","1,000"
07/25/2012,"3.58","3.58","3.54","3.54","60,000"
07/26/2012,"3.55","3.55","3.53","3.53","100,000"
08/02/2012,"3.54","3.54","3.54","3.54","10,000"
08/03/2012,"3.54","3.54","3.54","3.54","2,000"
08/06/2012,"3.53","3.53","3.53","3.53","4,000"
08/09/2012,"3.53","3.54","3.53","3.54","4,000"
08/15/2012,"3.55","3.55","3.55","3.55","1,000"
08/23/2012,"3.54","3.54","3.54","3.54","5,000"
08/24/2012,"3.54","3.54","3.54","3.54","3,000"
08/31/2012,"3.54","3.54","3.54","3.54","10,000"
09/11/2012,"3.53","3.53","3.53","3.53","9,000"
09/13/2012,"3.53","3.53","3.53","3.53","1,000"
09/14/2012,"3.70","3.70","3.53","3.53","119,000"
09/17/2012,"3.68","3.70","3.68","3.70","55,000"
09/18/2012,"3.81","4.00","3.81","4.00","199,000"
09/19/2012,"4.10","4.20","4.10","4.10","117,000"
09/25/2012,"3.84","3.84","3.83","3.83","5,000"
09/27/2012,"3.88","3.88","3.87","3.87","5,000"
09/28/2012,"3.85","4.00","3.84","4.00","204,000"
10/01/2012,"3.83","3.83","3.83","3.83","10,000"
10/02/2012,"4.00","4.05","3.83","4.05","115,000"
10/03/2012,"3.84","3.84","3.84","3.84","20,000"
10/05/2012,"4.20","4.20","4.20","4.20","1,000"
10/09/2012,"3.89","3.89","3.89","3.89","9,000"
10/10/2012,"3.91","3.94","3.91","3.94","3,000"
10/11/2012,"3.94","3.94","3.94","3.94","2,000"
10/15/2012,"3.93","3.93","3.93","3.93","1,000"
10/16/2012,"4.00","4.00","4.00","4.00","30,000"
10/17/2012,"4.00","4.00","4.00","4.00","55,000"
10/18/2012,"4.00","4.00","4.00","4.00","13,000"
10/22/2012,"3.95","3.95","3.95","3.95","1,000"
10/24/2012,"3.95","3.95","3.86","3.86","455,000"
10/29/2012,"3.94","3.94","3.93","3.93","10,000"
10/31/2012,"4.00","4.00","4.00","4.00","21,000"
11/05/2012,"4.15","4.25","4.15","4.25","149,000"
11/12/2012,"4.00","4.15","4.00","4.15","10,000"
11/15/2012,"4.06","4.06","4.06","4.06","1,000"
