Date,Open,High,Low,Close,Volume
11/15/1996,"5.93","5.93","5.93","5.93","5,900"
02/21/1997,"5.76","5.93","5.08","5.76","2,360"
06/20/1997,"4.75","5.93","4.75","4.75","66,080"
09/12/1997,"5.93","5.93","5.93","5.93","23,600"
12/29/1997,"5.93","5.93","5.93","5.93","1,180"
01/02/1998,"5.93","5.93","5.93","5.93","1,180"
01/05/1998,"5.93","5.93","5.93","5.93","1,180"
01/19/1998,"5.51","5.51","5.51","5.51","3,257,980"
05/08/1998,"5.44","5.93","3.31","5.44","3,257,980"
05/12/1998,"5.51","5.51","5.51","5.51","3,257,980"
12/29/1998,"5.93","5.93","5.93","5.93","1,180"
02/02/1999,"5.08","5.08","5.08","5.08","1,180"
02/11/1999,"5.08","5.08","5.08","5.08","1,180"
03/05/1999,"5.25","5.25","5.08","5.25","274,940"
04/29/1999,"5.30","5.30","5.25","5.30","23,600"
04/30/1999,"5.21","5.30","5.21","5.21","186,440"
05/03/1999,"5.21","5.25","5.17","5.21","132,160"
05/04/1999,"5.38","5.38","5.17","5.38","120,360"
05/05/1999,"5.42","5.42","4.70","5.42","63,720"
05/06/1999,"5.25","5.30","5.25","5.25","41,300"
05/07/1999,"5.17","5.25","5.17","5.17","43,660"
05/11/1999,"5.17","5.17","5.17","5.17","23,600"
05/12/1999,"5.08","5.08","5.08","5.08","41,300"
05/13/1999,"5.08","5.13","5.08","5.08","108,560"
05/14/1999,"5.13","5.34","5.08","5.34","129,800"
05/18/1999,"4.92","4.92","4.92","4.92","1,180"
05/19/1999,"5.08","5.08","5.08","5.08","35,400"
05/21/1999,"5.08","5.08","5.08","5.08","12,980"
05/25/1999,"5.08","5.08","5.08","5.08","11,800"
05/27/1999,"5.08","5.08","5.08","5.08","11,800"
06/03/1999,"5.08","5.08","5.08","5.08","16,520"
06/04/1999,"5.08","5.08","5.08","5.08","23,600"
06/08/1999,"4.66","5.13","4.66","5.13","23,600"
06/16/1999,"4.70","5.17","4.70","5.17","29,500"
06/17/1999,"4.83","4.83","4.83","4.83","11,800"
06/18/1999,"4.83","4.83","4.83","4.83","14,160"
06/21/1999,"4.83","4.83","4.83","4.83","17,700"
06/24/1999,"4.83","5.21","4.83","5.21","12,980"
07/02/1999,"4.83","4.83","4.83","4.83","35,400"
07/07/1999,"4.83","4.83","4.83","4.83","14,160"
07/08/1999,"5.21","5.21","5.21","5.21","1,180"
07/12/1999,"4.83","4.83","4.83","4.83","11,800"
07/13/1999,"5.21","5.21","5.21","5.21","1,180"
08/05/1999,"5.21","5.21","5.21","5.21","9,440"
08/09/1999,"4.24","4.24","4.24","4.24","5,900"
08/11/1999,"5.21","5.21","4.66","5.21","8,260"
08/13/1999,"4.83","5.21","4.83","5.21","15,340"
08/23/1999,"5.08","5.08","5.08","5.08","2,360"
08/24/1999,"5.08","5.08","5.08","5.08","11,800"
08/25/1999,"5.08","5.08","5.08","5.08","11,800"
08/27/1999,"5.08","5.08","4.92","5.08","36,580"
09/06/1999,"4.92","4.92","4.92","4.92","23,600"
10/11/1999,"4.83","4.83","4.83","4.83","23,600"
10/20/1999,"4.75","4.75","4.75","4.75","23,600"
11/04/1999,"4.66","4.66","4.66","4.66","22,420"
11/10/1999,"5.17","5.21","5.17","5.21","36,580"
11/11/1999,"4.75","4.75","4.75","4.75","14,160"
11/15/1999,"4.75","4.75","4.66","4.66","5,900"
11/22/1999,"4.41","4.41","4.41","4.41","5,900"
11/23/1999,"4.32","4.32","4.32","4.32","11,800"
11/29/1999,"4.41","4.41","4.41","4.41","11,800"
12/01/1999,"4.41","4.41","4.41","4.41","5,900"
12/20/1999,"5.08","5.76","5.08","5.76","174,640"
12/22/1999,"5.68","5.68","5.68","5.68","7,080"
12/23/1999,"5.42","5.59","5.42","5.59","8,260"
01/06/2000,"5.51","5.51","5.51","5.51","9,440"
01/07/2000,"5.17","5.17","5.17","5.17","12,980"
01/19/2000,"4.92","4.92","4.92","4.92","14,160"
01/20/2000,"4.92","4.92","4.92","4.92","17,700"
01/21/2000,"4.92","4.92","4.92","4.92","10,620"
02/16/2000,"5.17","5.17","5.17","5.17","5,900"
02/17/2000,"5.17","5.17","5.17","5.17","2,360"
02/21/2000,"5.17","5.17","5.17","5.17","5,900"
03/10/2000,"5.17","5.17","5.17","5.17","11,800"
03/21/2000,"5.34","5.34","5.34","5.34","5,900"
03/24/2000,"6.19","6.19","6.19","6.19","247,800"
04/27/2000,"5.34","5.34","5.34","5.34","5,900"
05/11/2000,"5.34","5.51","5.34","5.51","15,340"
05/18/2000,"5.42","5.42","5.42","5.42","119,180"
06/22/2000,"5.51","5.51","5.42","5.42","23,600"
07/03/2000,"5.42","5.42","5.42","5.42","9,440"
09/04/2000,"5.42","5.42","5.42","5.42","8,260"
09/29/2000,"5.42","5.42","5.42","5.42","4,720"
10/23/2000,"5.51","5.51","5.51","5.51","11,800"
11/06/2000,"5.51","5.51","5.51","5.51","4,720"
11/15/2000,"3.81","5.51","3.81","5.51","23,600"
12/05/2000,"5.51","5.51","5.51","5.51","5,900"
12/18/2000,"5.55","5.55","5.55","5.55","11,800"
12/19/2000,"5.51","5.51","5.51","5.51","8,260"
12/20/2000,"5.55","5.55","5.55","5.55","3,540"
12/21/2000,"5.93","5.93","5.93","5.93","5,900"
12/27/2000,"5.51","5.93","5.51","5.93","125,080"
12/28/2000,"5.93","6.78","5.93","6.78","14,160"
12/29/2000,"6.78","7.63","6.78","7.63","40,120"
01/04/2001,"6.78","6.78","6.78","6.78","23,600"
01/08/2001,"7.58","8.47","7.58","8.47","23,600"
01/09/2001,"8.05","8.05","8.05","8.05","11,800"
01/11/2001,"8.05","8.05","8.05","8.05","11,800"
01/15/2001,"8.47","8.47","8.47","8.47","23,600"
01/16/2001,"8.47","8.47","8.47","8.47","23,600"
01/17/2001,"8.47","8.47","8.47","8.47","23,600"
01/18/2001,"8.47","8.47","8.47","8.47","31,860"
02/22/2001,"8.47","8.47","8.47","8.47","11,800"
02/28/2001,"5.59","8.05","5.59","8.05","49,560"
03/05/2001,"8.05","8.05","8.05","8.05","23,600"
04/03/2001,"8.90","8.90","8.90","8.90","11,800"
04/04/2001,"8.05","8.05","8.05","8.05","2,360"
04/05/2001,"8.05","8.05","8.05","8.05","3,540"
04/20/2001,"8.05","8.05","8.05","8.05","35,400"
05/11/2001,"8.05","8.05","8.05","8.05","2,360"
05/15/2001,"10.17","10.17","10.17","10.17","5,900"
05/22/2001,"10.17","10.17","10.17","10.17","11,800"
05/30/2001,"8.47","8.47","8.47","8.47","236"
06/06/2001,"9.32","9.32","9.32","9.32","41,300"
06/11/2001,"10.17","10.17","10.17","10.17","16,048"
07/17/2001,"10.17","10.51","10.17","10.51","34,100,111"
08/15/2001,"10.51","10.51","7.63","7.63","723,930"
08/27/2001,"6.36","6.36","6.36","6.36","3,540"
09/05/2001,"6.36","6.36","6.36","6.36","2,360"
09/10/2001,"6.61","6.61","6.61","6.61","3,540"
09/17/2001,"6.61","6.61","6.61","6.61","3,540"
09/27/2001,"6.44","6.44","6.44","6.44","3,540"
10/09/2001,"7.63","7.63","7.63","7.63","1,180"
10/10/2001,"9.66","10.51","9.66","10.51","20,060"
10/19/2001,"6.61","6.61","6.61","6.61","2,360"
10/23/2001,"6.61","6.61","6.53","6.53","2,360"
11/19/2001,"6.44","6.44","6.44","6.44","3,540"
11/26/2001,"6.48","6.48","6.48","6.48","3,540"
12/19/2001,"6.53","6.53","6.53","6.53","2,360"
01/10/2002,"6.53","6.53","6.53","6.53","4,720"
11/08/2002,"5.93","5.93","5.93","5.93","9,440"
03/13/2003,"5.93","5.93","5.93","5.93","1,180"
03/26/2004,"3.56","3.56","3.56","3.56","15,340"
03/31/2004,"3.81","3.81","3.81","3.81","1,180"
04/13/2004,"4.66","4.66","4.66","4.66","1,180"
06/03/2004,"4.66","4.66","4.66","4.66","1,180"
06/07/2004,"5.00","5.00","5.00","5.00","1,180"
09/17/2004,"5.93","5.93","5.93","5.93","1,180"
10/06/2004,"5.08","5.08","5.08","5.08","1,180"
01/24/2005,"4.66","4.66","4.66","4.66","1,180"
06/29/2005,"6.95","6.95","4.75","4.75","2,360"
07/18/2005,"4.75","4.75","4.75","4.75","1,180"
07/20/2005,"4.75","4.75","4.75","4.75","1,180"
09/29/2005,"4.66","4.75","4.66","4.75","2,360"
10/04/2005,"4.75","4.75","4.66","4.75","3,540"
10/06/2005,"4.75","4.75","4.75","4.75","1,180"
11/16/2005,"4.66","4.75","4.66","4.75","3,540"
