Date,Open,High,Low,Close,Volume
02/10/2006,"20.03","20.24","19.60","19.60","9,799,081"
02/13/2006,"19.81","20.03","19.81","19.81","5,050,348"
02/14/2006,"19.81","19.81","19.38","19.81","7,827,563"
02/15/2006,"19.60","19.81","19.60","19.81","4,093,960"
02/16/2006,"19.81","19.81","19.60","19.60","1,513,874"
02/17/2006,"19.38","19.38","19.38","19.38","1,302,581"
02/20/2006,"19.38","19.60","19.38","19.38","1,370,149"
02/21/2006,"19.38","19.60","19.38","19.38","2,329,322"
02/22/2006,"19.38","19.60","19.38","19.60","816,842"
02/23/2006,"19.60","19.60","19.38","19.38","235,208"
02/24/2006,"19.38","19.38","19.17","19.17","5,490,114"
02/27/2006,"19.17","19.38","19.17","19.17","2,407,570"
02/28/2006,"19.38","19.38","19.17","19.38","9,657,910"
03/01/2006,"19.38","19.38","19.17","19.17","192,020"
03/02/2006,"19.38","19.38","19.17","19.38","630,858"
03/03/2006,"19.38","19.38","19.17","19.17","730,467"
03/06/2006,"19.38","19.38","19.17","19.38","65,013"
03/07/2006,"19.38","19.38","19.17","19.38","1,577,494"
03/08/2006,"19.17","19.38","19.17","19.38","2,168,183"
03/09/2006,"19.38","19.38","19.17","19.38","41,097"
03/10/2006,"19.38","19.38","19.17","19.17","5,220,774"
03/13/2006,"18.95","18.95","18.52","18.52","14,396"
03/14/2006,"18.52","19.17","18.52","19.17","190,163"
03/15/2006,"18.52","18.52","18.09","18.09","57,119"
03/16/2006,"18.09","18.09","17.66","18.09","34,527,697"
03/17/2006,"17.87","18.09","17.87","18.09","51,082"
03/20/2006,"17.66","18.09","17.66","18.09","141,635"
03/21/2006,"18.09","18.30","18.09","18.09","172,284"
03/22/2006,"17.66","18.09","17.66","17.66","1,970,125"
03/23/2006,"17.87","18.30","17.87","18.09","4,397,432"
03/24/2006,"18.09","18.30","18.09","18.30","1,849,619"
03/27/2006,"17.87","18.30","17.87","18.30","570,953"
03/28/2006,"18.09","19.17","18.09","18.95","1,371,077"
03/29/2006,"18.95","19.17","18.95","19.17","782,478"
03/30/2006,"19.17","19.38","18.95","19.38","1,585,852"
03/31/2006,"19.17","19.38","19.17","19.38","335,513"
04/03/2006,"18.95","19.38","18.95","18.95","113,773"
04/04/2006,"18.52","19.17","18.52","19.17","176,696"
04/05/2006,"18.95","18.95","18.95","18.95","1,828,490"
04/06/2006,"18.73","18.95","18.73","18.95","820,789"
04/07/2006,"18.95","18.95","18.52","18.95","349,677"
04/10/2006,"18.52","19.17","18.52","19.17","186,912"
04/11/2006,"19.17","19.17","18.95","19.17","173,678"
04/12/2006,"18.95","19.17","18.95","19.17","666,383"
04/17/2006,"18.95","19.38","18.95","19.38","275,841"
04/18/2006,"19.17","19.17","19.17","19.17","1,026,509"
04/19/2006,"19.17","19.38","19.17","19.38","349,909"
04/20/2006,"19.17","19.38","19.17","19.38","2,311,211"
04/21/2006,"19.17","19.38","19.17","19.38","134,670"
04/24/2006,"19.38","19.38","19.17","19.38","1,618,823"
04/25/2006,"19.17","19.38","19.17","19.38","563,755"
04/26/2006,"19.17","19.17","19.17","19.17","400,062"
04/27/2006,"19.17","19.38","19.17","19.38","147,208"
04/28/2006,"18.95","19.60","18.95","19.60","270,500"
05/02/2006,"19.38","19.38","19.38","19.38","76,855"
05/03/2006,"19.17","19.38","19.17","19.38","136,992"
05/04/2006,"19.17","19.17","19.17","19.17","792,926"
05/05/2006,"19.38","19.38","19.38","19.38","2,795,790"
05/08/2006,"19.38","19.60","19.38","19.38","9,936,073"
05/09/2006,"19.60","20.24","19.60","20.03","9,002,208"
05/10/2006,"21.10","20.89","20.03","20.89","7,431,448"
05/11/2006,"21.10","21.96","21.10","21.96","3,323,556"
05/12/2006,"21.96","21.96","21.32","21.96","1,472,312"
05/15/2006,"21.53","21.53","21.10","21.32","5,270,231"
05/16/2006,"21.10","21.32","21.10","21.32","719,554"
05/17/2006,"21.10","21.10","20.24","20.24","1,916,722"
05/18/2006,"20.24","20.24","19.81","20.24","1,349,252"
05/19/2006,"20.03","20.46","20.03","20.24","886,498"
05/22/2006,"20.24","20.67","20.24","20.67","256,569"
05/23/2006,"20.03","20.24","20.03","20.24","1,480,671"
05/24/2006,"20.03","20.03","20.03","20.03","626,446"
05/25/2006,"20.03","20.24","19.81","20.24","90,089"
05/26/2006,"20.24","21.10","20.24","20.67","255,640"
05/29/2006,"20.67","20.89","20.67","20.67","1,133,083"
05/30/2006,"20.24","20.24","20.03","20.24","2,399,211"
05/31/2006,"20.03","20.03","19.81","20.03","5,590,420"
06/01/2006,"20.03","20.24","19.81","19.81","281,646"
06/02/2006,"20.24","20.24","20.03","20.24","14,628"
06/05/2006,"20.03","20.24","19.81","20.24","168,337"
06/06/2006,"20.03","20.03","19.81","19.81","181,340"
06/07/2006,"19.60","19.60","19.17","19.38","422,584"
06/08/2006,"18.52","19.17","18.09","19.17","163,693"
06/14/2006,"18.52","19.17","18.52","19.17","645,950"
06/15/2006,"18.95","18.95","18.95","18.95","2,322"
06/16/2006,"18.52","18.52","18.30","18.30","289,076"
06/19/2006,"18.30","18.30","18.09","18.09","900,894"
06/20/2006,"17.87","18.09","17.66","18.09","381,022"
06/21/2006,"17.87","18.30","17.87","18.30","321,118"
06/22/2006,"18.09","18.52","18.09","18.52","190,395"
06/23/2006,"18.09","18.30","18.09","18.30","123,060"
06/26/2006,"18.52","18.52","18.09","18.09","26,702"
06/27/2006,"18.09","18.09","17.87","17.87","489,223"
06/28/2006,"17.66","17.87","17.66","17.87","243,799"
06/29/2006,"17.66","18.52","17.66","18.52","686,816"
06/30/2006,"18.52","18.52","18.09","18.52","1,138,888"
07/03/2006,"18.52","18.52","18.52","18.52","8,127"
07/04/2006,"18.52","18.52","18.30","18.30","1,078,751"
07/05/2006,"18.30","18.52","18.30","18.52","98,448"
07/06/2006,"18.30","18.52","18.30","18.52","25,773"
07/07/2006,"18.52","18.73","18.52","18.73","1,327,426"
07/10/2006,"18.73","18.73","18.52","18.73","1,524,554"
07/11/2006,"18.95","19.38","18.95","19.38","1,428,196"
07/12/2006,"19.17","19.38","19.17","19.38","25,541"
07/13/2006,"19.17","19.60","19.17","19.60","596,958"
