Date,Open,High,Low,Close,Volume
03/08/1995,"4.704","4.704","4.661","4.704","5,072,804"
03/09/1995,"4.618","4.618","4.574","4.618","1,668,381"
03/10/1995,"4.488","4.531","4.488","4.488","3,424,814"
03/14/1995,"4.316","4.316","4.229","4.316","2,585,990"
03/15/1995,"4.272","4.272","4.229","4.272","3,147,678"
03/16/1995,"4.445","4.445","4.402","4.445","4,707,150"
03/20/1995,"4.488","4.488","4.445","4.488","5,078,828"
03/22/1995,"4.359","4.359","4.316","4.359","4,125,534"
03/23/1995,"4.229","4.316","4.229","4.229","2,363,539"
03/24/1995,"4.272","4.316","4.272","4.272","1,652,160"
03/28/1995,"4.445","4.445","4.359","4.445","3,085,577"
03/29/1995,"4.488","4.488","4.445","4.488","1,287,897"
03/30/1995,"4.488","4.488","4.445","4.488","5,405,089"
03/31/1995,"4.531","4.531","4.488","4.531","4,369,303"
04/03/1995,"4.359","4.402","4.359","4.359","335,066"
04/04/1995,"4.488","4.488","4.423","4.488","1,654,941"
04/05/1995,"4.574","4.574","4.531","4.574","5,801,330"
04/07/1995,"4.488","4.531","4.445","4.488","1,869,976"
04/10/1995,"4.704","4.747","4.704","4.704","2,863,126"
04/11/1995,"4.790","4.790","4.747","4.790","3,503,136"
04/12/1995,"4.833","4.877","4.790","4.833","2,332,952"
04/19/1995,"4.963","4.963","4.920","4.963","5,407,870"
04/21/1995,"5.006","5.049","5.006","5.006","4,986,604"
04/24/1995,"4.920","4.920","4.877","4.920","2,853,394"
04/25/1995,"4.920","4.920","4.877","4.920","1,364,828"
04/26/1995,"4.833","4.877","4.833","4.833","796,188"
04/27/1995,"4.877","4.877","4.833","4.877","570,030"
04/28/1995,"4.790","4.833","4.790","4.790","557,054"
05/02/1995,"4.790","4.833","4.790","4.790","237,744"
05/03/1995,"4.790","4.790","4.747","4.790","752,625"
05/04/1995,"4.877","4.877","4.833","4.877","1,849,585"
05/05/1995,"5.049","5.049","5.006","5.049","2,790,830"
05/17/1995,"5.610","5.610","5.502","5.610","3,584,701"
05/18/1995,"5.610","5.610","5.502","5.610","8,945,300"
05/19/1995,"5.394","5.394","5.351","5.394","5,189,127"
05/22/1995,"5.351","5.351","5.265","5.351","2,744,486"
05/26/1995,"5.718","5.826","5.718","5.718","29,657,317"
05/29/1995,"5.826","5.826","5.718","5.826","4,270,127"
05/30/1995,"5.718","5.718","5.610","5.718","5,291,547"
05/31/1995,"5.610","5.718","5.610","5.610","4,644,123"
06/05/1995,"5.610","5.718","5.610","5.610","2,918,276"
06/06/1995,"5.718","5.718","5.610","5.718","4,796,594"
06/13/1995,"5.934","5.934","5.826","5.934","9,235,876"
06/19/1995,"5.718","5.718","5.610","5.718","3,057,307"
06/20/1995,"5.718","5.718","5.610","5.718","4,728,468"
06/26/1995,"5.502","5.502","5.394","5.502","2,029,863"
06/27/1995,"5.502","5.502","5.394","5.502","1,893,148"
06/28/1995,"5.502","5.502","5.351","5.502","3,428,985"
06/29/1995,"5.610","5.610","5.502","5.610","19,678,548"
07/03/1995,"5.610","5.610","5.502","5.610","8,633,869"
07/04/1995,"5.610","5.718","5.610","5.610","2,974,815"
07/05/1995,"5.826","5.826","5.718","5.826","4,872,135"
07/07/1995,"6.042","6.042","5.934","6.042","7,152,718"
09/12/1995,"6.689","6.797","6.689","6.689","645,571"
09/13/1995,"6.797","6.797","6.689","6.797","287,796"
09/14/1995,"7.336","7.336","6.689","7.336","13,876,291"
09/15/1995,"7.552","7.552","6.689","7.552","13,001,319"
09/18/1995,"7.552","7.552","7.444","7.552","3,380,324"
09/19/1995,"7.984","7.984","7.444","7.984","14,922,273"
09/22/1995,"7.660","7.660","7.444","7.660","1,617,866"
09/25/1995,"7.336","7.444","7.336","7.336","2,346,392"
09/26/1995,"7.336","7.444","7.336","7.336","4,589,437"
09/27/1995,"7.229","7.444","7.229","7.229","5,982,534"
10/02/1995,"7.229","7.444","7.229","7.229","256,745"
10/03/1995,"7.229","7.444","7.229","7.229","1,684,137"
10/04/1995,"7.229","7.444","7.229","7.229","2,986,401"
10/05/1995,"7.229","7.444","7.229","7.229","1,823,633"
10/06/1995,"7.121","7.444","7.121","7.121","3,692,219"
10/09/1995,"7.121","7.444","7.121","7.121","3,625,020"
10/10/1995,"7.013","7.444","7.013","7.013","4,228,881"
10/11/1995,"7.121","7.444","7.121","7.121","1,624,817"
10/12/1995,"7.229","7.444","7.229","7.229","1,287,897"
10/13/1995,"7.229","7.444","7.229","7.229","794,334"
10/16/1995,"7.121","7.444","7.121","7.121","1,771,264"
10/17/1995,"7.121","7.444","7.121","7.121","1,889,441"
10/18/1995,"7.336","7.444","7.336","7.336","3,160,191"
10/20/1995,"7.336","7.444","7.336","7.336","1,082,130"
10/24/1995,"7.336","7.444","7.336","7.336","6,968,733"
10/25/1995,"7.336","7.444","7.336","7.336","3,688,975"
10/26/1995,"7.336","7.444","7.336","7.336","1,963,128"
10/27/1995,"7.336","7.444","7.336","7.336","1,801,388"
10/30/1995,"7.552","7.552","7.336","7.552","9,241,438"
10/31/1995,"7.336","7.336","7.229","7.336","2,166,577"
11/02/1995,"7.336","7.336","7.229","7.336","2,716,680"
11/06/1995,"7.229","7.229","7.013","7.229","4,899,477"
11/08/1995,"7.229","7.229","7.013","7.229","1,427,856"
11/09/1995,"7.121","7.121","7.013","7.121","1,342,119"
11/13/1995,"6.905","6.905","6.797","6.905","2,982,694"
11/14/1995,"6.689","6.689","6.581","6.689","3,909,572"
11/15/1995,"6.689","6.689","6.473","6.689","1,996,495"
11/16/1995,"6.581","6.581","6.473","6.581","2,997,060"
11/17/1995,"6.581","6.581","6.473","6.581","2,797,318"
11/20/1995,"6.581","6.581","6.473","6.581","2,218,019"
11/21/1995,"6.581","6.689","6.581","6.581","2,986,401"
11/22/1995,"6.689","6.689","6.581","6.689","2,211,068"
11/23/1995,"6.797","6.797","6.689","6.797","891,657"
11/24/1995,"6.689","6.797","6.689","6.689","1,140,987"
11/27/1995,"6.689","6.797","6.689","6.689","514,881"
11/28/1995,"6.581","6.581","6.473","6.581","865,241"
11/29/1995,"6.689","6.689","6.581","6.689","3,004,012"
12/01/1995,"6.905","7.013","6.905","6.905","1,548,350"
12/05/1995,"7.336","7.444","7.336","7.336","6,540,052"
12/06/1995,"7.552","7.552","7.444","7.552","7,376,559"
12/07/1995,"7.336","7.444","7.336","7.336","8,773,364"
12/08/1995,"7.121","7.229","7.121","7.121","3,652,826"
12/11/1995,"7.121","7.121","7.013","7.121","5,053,803"
12/12/1995,"7.121","7.121","7.013","7.121","3,605,092"
12/13/1995,"7.013","7.013","6.905","7.013","2,477,082"
12/14/1995,"7.121","7.121","7.013","7.121","1,653,087"
12/15/1995,"7.121","7.121","7.013","7.121","1,864,879"
12/18/1995,"7.121","7.121","7.013","7.121","5,439,384"
12/19/1995,"7.121","7.121","7.013","7.121","1,539,081"
12/20/1995,"7.121","7.121","7.013","7.121","2,175,846"
12/21/1995,"7.121","7.121","7.013","7.121","4,608,901"
12/22/1995,"7.013","7.121","7.013","7.013","1,011,224"
12/26/1995,"7.229","7.229","7.121","7.229","593,665"
12/29/1995,"7.336","7.336","7.250","7.336","2,023,838"
01/03/1996,"7.660","7.660","7.552","7.660","4,732,176"
01/04/1996,"7.768","7.876","7.768","7.768","5,097,366"
01/05/1996,"7.768","7.768","7.552","7.768","3,573,578"
01/08/1996,"7.552","7.660","7.552","7.552","917,146"
01/09/1996,"7.876","7.876","7.768","7.876","4,091,703"
01/10/1996,"7.984","7.984","7.876","7.984","14,713,726"
01/11/1996,"7.768","7.876","7.768","7.768","17,579,633"
01/12/1996,"8.200","8.307","8.200","8.200","23,610,365"
01/15/1996,"7.876","7.876","7.768","7.876","29,968,285"
01/16/1996,"8.092","8.092","7.984","8.092","15,957,133"
01/17/1996,"7.876","7.876","7.768","7.876","23,224,320"
01/18/1996,"7.768","7.768","7.660","7.768","1,853,756"
01/19/1996,"7.984","7.984","7.876","7.984","3,568,017"
01/22/1996,"7.984","7.984","7.876","7.984","1,947,834"
01/23/1996,"8.092","8.200","8.092","8.092","9,796,638"
01/24/1996,"8.092","8.200","8.092","8.092","6,789,845"
01/25/1996,"8.092","8.092","7.984","8.092","6,538,661"
01/29/1996,"7.876","7.876","7.768","7.876","1,812,510"
01/30/1996,"7.768","7.768","7.660","7.768","2,851,540"
01/31/1996,"7.768","7.768","7.660","7.768","1,350,461"
02/01/1996,"7.876","7.876","7.768","7.876","4,033,773"
02/02/1996,"7.768","7.768","7.660","7.768","1,790,265"
02/05/1996,"7.984","7.984","7.876","7.984","2,612,869"
02/07/1996,"7.984","7.984","7.876","7.984","755,406"
02/08/1996,"7.984","7.984","7.876","7.984","556,127"
02/09/1996,"7.984","7.984","7.876","7.984","1,159,061"
02/12/1996,"7.876","7.984","7.876","7.876","410,144"
02/13/1996,"7.876","7.984","7.876","7.876","2,588,770"
02/14/1996,"8.092","8.092","7.984","8.092","5,642,834"
02/15/1996,"7.984","7.984","7.876","7.984","2,357,514"
02/16/1996,"8.092","8.092","8.092","8.092","5,981,608"
02/22/1996,"8.307","8.307","8.200","8.307","1,330,533"
02/23/1996,"8.415","8.523","8.415","8.415","3,264,001"
02/27/1996,"8.523","8.631","8.523","8.523","9,942,158"
02/28/1996,"8.307","8.307","8.200","8.307","3,604,165"
02/29/1996,"8.307","8.415","8.200","8.307","2,930,788"
03/01/1996,"8.415","8.415","8.307","8.415","2,440,006"
03/04/1996,"8.200","8.523","8.200","8.200","2,243,045"
03/05/1996,"8.307","8.307","8.200","8.307","1,331,924"
03/06/1996,"8.200","8.415","8.092","8.200","1,474,663"
