Date,Open,High,Low,Close,Volume
01/03/1995,"38.00","38.00","37.81","38.00","97,330"
01/04/1995,"37.62","37.81","37.62","37.62","17,107"
01/05/1995,"37.04","37.62","36.65","37.04","37,895"
01/06/1995,"37.23","37.23","36.65","37.23","194,400"
01/09/1995,"36.65","36.84","36.65","36.65","57,672"
01/10/1995,"35.11","36.27","34.53","35.11","245,177"
01/11/1995,"34.53","35.11","34.34","34.53","334,109"
01/13/1995,"29.17","30.32","27.31","29.17","1,325,959"
01/16/1995,"31.48","31.71","29.17","31.48","156,319"
01/17/1995,"32.87","33.10","31.48","32.87","252,418"
01/18/1995,"34.03","34.72","32.87","34.03","344,326"
01/24/1995,"31.71","31.94","31.71","31.71","115,128"
01/25/1995,"31.02","31.94","31.02","31.02","288,079"
01/26/1995,"28.94","31.25","28.94","28.94","410,400"
01/27/1995,"27.78","29.17","27.55","27.78","578,880"
01/30/1995,"26.62","27.31","26.39","26.62","87,890"
02/01/1995,"28.47","28.70","27.78","28.47","145,584"
02/02/1995,"29.17","30.09","29.17","29.17","206,712"
02/03/1995,"31.25","31.25","29.17","31.25","356,832"
02/06/1995,"32.64","32.64","31.02","32.64","436,320"
02/07/1995,"33.10","33.33","32.18","33.10","1,006,560"
02/08/1995,"33.10","33.33","32.41","33.10","259,416"
02/09/1995,"34.26","34.26","32.64","34.26","133,272"
02/10/1995,"35.42","35.42","34.03","35.42","500,256"
02/14/1995,"37.50","37.50","35.42","37.50","343,440"
02/15/1995,"34.26","37.50","27.78","34.26","405,864"
02/16/1995,"34.95","34.95","34.72","34.95","382,968"
02/17/1995,"34.03","34.72","33.80","34.03","195,480"
02/20/1995,"31.94","33.33","31.94","31.94","293,328"
02/21/1995,"31.71","32.87","31.71","31.71","870,696"
02/22/1995,"31.94","31.94","31.71","31.94","346,032"
02/23/1995,"31.94","32.18","31.71","31.94","251,640"
02/24/1995,"32.41","32.87","32.18","32.41","140,184"
02/27/1995,"30.32","30.32","29.17","30.32","115,128"
02/28/1995,"31.48","31.71","31.02","31.48","183,168"
03/01/1995,"30.32","31.94","30.32","30.32","145,368"
03/02/1995,"30.56","30.56","30.32","30.56","23,760"
03/06/1995,"29.17","30.09","29.17","29.17","25,488"
03/07/1995,"29.40","29.40","29.17","29.40","27,864"
03/08/1995,"27.78","29.17","27.78","27.78","267,840"
03/09/1995,"26.62","28.24","26.39","26.62","211,248"
03/10/1995,"25.46","26.62","25.00","25.46","353,376"
03/14/1995,"25.00","26.62","25.00","25.00","168,696"
03/16/1995,"25.69","25.69","25.00","25.69","497,880"
03/20/1995,"27.08","27.08","26.16","27.08","652,536"
03/22/1995,"25.93","27.08","25.93","25.93","323,136"
03/23/1995,"26.39","26.39","25.93","26.39","279,504"
03/24/1995,"26.85","26.85","26.16","26.85","234,360"
03/28/1995,"26.85","26.85","26.62","26.85","246,240"
03/29/1995,"27.08","27.31","27.08","27.08","55,296"
03/30/1995,"28.70","28.70","27.31","28.70","465,480"
03/31/1995,"29.86","30.32","28.70","29.86","563,760"
04/03/1995,"29.63","30.56","29.40","29.63","1,092,528"
04/04/1995,"29.86","30.09","29.17","29.86","322,272"
04/05/1995,"29.86","30.56","29.86","29.86","387,288"
04/07/1995,"30.79","31.25","30.79","30.79","292,032"
04/10/1995,"30.79","30.79","30.32","30.79","222,480"
04/11/1995,"31.71","31.71","30.79","31.71","78,840"
04/12/1995,"31.71","31.94","31.48","31.71","726,840"
04/18/1995,"27.78","29.17","27.31","27.78","624,456"
04/19/1995,"29.40","29.40","27.78","29.40","167,400"
04/21/1995,"29.40","30.56","29.40","29.40","1,251,288"
04/24/1995,"29.17","29.86","28.94","29.17","615,816"
04/25/1995,"28.70","29.17","28.70","28.70","250,992"
04/26/1995,"29.17","29.17","28.47","29.17","333,936"
04/27/1995,"29.86","30.56","29.40","29.86","730,944"
04/28/1995,"30.09","30.32","29.86","30.09","1,731,672"
05/02/1995,"30.09","30.09","30.09","30.09","235,872"
05/03/1995,"30.09","30.09","30.09","30.09","1,555,200"
05/04/1995,"30.56","30.56","30.32","30.56","250,992"
05/05/1995,"30.79","30.79","30.56","30.79","218,160"
05/15/1995,"35.42","35.65","34.72","35.42","969,624"
05/16/1995,"36.11","36.34","35.19","36.11","604,152"
05/17/1995,"35.88","36.57","35.65","35.88","1,157,544"
05/18/1995,"34.95","35.65","34.72","34.95","749,088"
05/19/1995,"35.19","35.19","34.49","35.19","525,744"
05/22/1995,"34.72","35.19","34.72","34.72","227,016"
05/26/1995,"33.33","33.56","33.33","33.33","264,384"
05/29/1995,"32.87","33.33","32.41","32.87","241,920"
05/31/1995,"34.26","34.26","33.33","34.26","425,736"
06/05/1995,"36.11","36.11","35.19","36.11","499,608"
06/06/1995,"36.11","36.81","36.11","36.11","376,920"
06/13/1995,"34.72","34.72","34.26","34.72","219,240"
06/14/1995,"34.26","34.72","34.03","34.26","61,560"
06/19/1995,"33.56","33.56","33.56","33.56","17,280"
06/20/1995,"33.56","33.80","33.56","33.56","90,072"
06/26/1995,"31.48","32.41","31.48","31.48","75,816"
06/27/1995,"31.02","31.25","31.02","31.02","56,808"
06/28/1995,"32.87","32.87","31.02","32.87","67,176"
06/29/1995,"32.41","33.33","32.41","32.41","66,528"
07/03/1995,"31.94","32.18","31.71","31.94","302,184"
07/04/1995,"31.94","32.18","31.94","31.94","323,352"
07/05/1995,"32.18","32.18","31.94","32.18","24,408"
07/07/1995,"34.03","34.03","33.10","34.03","74,736"
07/17/1995,"33.56","33.56","33.33","33.56","123,768"
09/12/1995,"29.63","29.63","29.40","29.63","433,080"
09/13/1995,"29.86","30.09","29.63","29.86","202,824"
09/14/1995,"30.09","30.09","29.63","30.09","636,120"
09/18/1995,"29.63","29.86","29.63","29.63","147,960"
09/19/1995,"29.86","29.86","29.63","29.86","284,256"
09/22/1995,"30.09","30.09","30.09","30.09","86,184"
09/25/1995,"29.86","30.09","29.86","29.86","6,696"
09/26/1995,"29.63","29.86","29.63","29.63","407,160"
09/27/1995,"29.63","30.09","29.40","29.63","344,088"
09/28/1995,"29.63","29.63","29.40","29.63","204,768"
09/29/1995,"29.17","29.40","29.17","29.17","9,072"
10/02/1995,"28.47","28.94","28.24","28.47","40,824"
10/03/1995,"28.24","28.47","28.24","28.24","22,680"
10/04/1995,"28.01","28.01","28.01","28.01","12,096"
10/05/1995,"28.24","28.24","28.01","28.24","145,584"
10/06/1995,"28.01","28.24","27.55","28.01","674,784"
10/09/1995,"28.01","28.24","28.01","28.01","19,224"
10/10/1995,"28.24","28.24","27.78","28.24","94,392"
10/11/1995,"27.78","27.78","27.55","27.78","239,328"
10/13/1995,"27.55","27.78","27.55","27.55","282,960"
10/16/1995,"27.55","27.55","27.55","27.55","10,152"
10/17/1995,"26.62","27.55","26.62","26.62","691,200"
10/18/1995,"26.39","26.62","26.39","26.39","1,275,696"
