Date,Open,High,Low,Close,Volume
01/03/1995,"737.85","747.43","737.85","737.85","4,534"
01/04/1995,"747.43","747.43","737.85","747.43","2,742"
01/05/1995,"728.26","728.26","718.68","728.26","1,740"
01/06/1995,"728.26","737.85","728.26","728.26","697"
01/09/1995,"709.10","709.10","699.52","709.10","532"
01/10/1995,"689.93","689.93","680.35","689.93","1,655"
01/11/1995,"680.35","680.35","674.60","680.35","428"
01/13/1995,"632.44","642.02","632.44","632.44","5,883"
01/16/1995,"584.53","594.11","584.53","584.53","6,786"
01/17/1995,"603.69","613.28","603.69","603.69","5,922"
01/18/1995,"603.69","603.69","594.11","603.69","4,250"
01/19/1995,"613.28","613.28","603.69","613.28","1,615"
01/20/1995,"584.53","584.53","574.95","584.53","2,888"
01/23/1995,"565.36","565.36","555.78","565.36","2,374"
01/24/1995,"555.78","565.36","555.78","555.78","1,902"
01/25/1995,"555.78","555.78","546.20","555.78","2,113"
01/26/1995,"574.95","584.53","565.36","574.95","1,500"
01/27/1995,"574.95","574.95","555.78","574.95","3,561"
01/30/1995,"574.95","574.95","565.36","574.95","665"
02/01/1995,"642.02","651.61","642.02","642.02","6,601"
02/02/1995,"603.69","603.69","594.11","603.69","1,717"
02/03/1995,"632.44","642.02","632.44","632.44","1,818"
02/06/1995,"632.44","642.02","632.44","632.44","4,453"
02/07/1995,"632.44","632.44","622.86","632.44","1,542"
02/08/1995,"622.86","623.24","613.28","622.86","712"
02/09/1995,"613.28","622.86","613.28","613.28","404"
02/10/1995,"622.86","622.86","613.28","622.86","1,542"
02/14/1995,"613.28","613.28","603.69","613.28","1,041"
02/15/1995,"603.69","613.28","603.69","603.69","754"
02/16/1995,"594.11","603.69","594.11","594.11","2,859"
02/17/1995,"584.53","584.53","574.95","584.53","1,473"
02/20/1995,"584.53","584.53","574.95","584.53","386"
02/21/1995,"574.95","622.86","574.95","574.95","410"
02/22/1995,"584.53","584.53","574.95","584.53","2,082"
02/23/1995,"574.95","622.86","574.95","574.95","1,654"
02/24/1995,"574.95","574.95","565.36","574.95","5,174"
02/27/1995,"546.20","555.78","546.20","546.20","2,875"
02/28/1995,"584.53","584.53","565.36","584.53","1,265"
03/01/1995,"584.53","584.53","565.36","584.53","1,041"
03/02/1995,"574.95","574.95","565.36","574.95","811"
03/06/1995,"555.78","555.78","546.20","555.78","1,070"
03/07/1995,"555.78","555.78","546.20","555.78","1,748"
03/08/1995,"546.20","546.20","536.62","546.20","1,153"
03/09/1995,"517.45","527.03","517.45","517.45","1,558"
03/10/1995,"517.45","517.45","488.70","517.45","2,231"
03/14/1995,"479.12","488.70","479.12","479.12","1,263"
03/15/1995,"498.29","498.29","479.12","498.29","3,616"
03/16/1995,"507.87","527.03","507.87","507.87","809"
03/20/1995,"517.45","517.45","507.87","517.45","1,359"
03/22/1995,"517.45","517.45","507.87","517.45","381"
03/23/1995,"498.29","498.29","479.12","498.29","1,083"
03/24/1995,"469.54","488.70","469.54","469.54","3,733"
03/28/1995,"479.12","479.12","450.37","479.12","582"
03/29/1995,"469.54","469.54","459.96","469.54","1,114"
03/30/1995,"469.54","479.12","469.54","469.54","1,239"
03/31/1995,"469.54","469.54","459.96","469.54","1,169"
04/03/1995,"459.96","469.54","459.96","459.96","360"
04/04/1995,"479.12","479.12","459.96","479.12","4,910"
04/05/1995,"479.12","488.70","479.12","479.12","6,499"
04/07/1995,"469.54","479.12","469.54","469.54","3,629"
04/10/1995,"479.12","488.70","479.12","479.12","436"
04/11/1995,"517.45","517.45","507.87","517.45","6,139"
04/18/1995,"498.29","498.29","488.70","498.29","1,584"
04/19/1995,"498.29","498.29","488.70","498.29","537"
04/21/1995,"498.29","498.29","488.70","498.29","1,490"
04/24/1995,"498.29","507.87","498.29","498.29","2,499"
04/25/1995,"498.29","498.29","488.70","498.29","785"
04/26/1995,"498.29","507.87","498.29","498.29","5,351"
04/28/1995,"498.29","498.29","488.70","498.29","26"
05/02/1995,"498.29","498.29","488.70","498.29","3,227"
05/03/1995,"498.29","498.29","479.12","498.29","15,654"
05/04/1995,"498.29","507.87","498.29","498.29","2,249"
