Date,Open,High,Low,Close,Volume
04/24/1995,"33.50","33.50","33.00","33.50","711,200"
04/25/1995,"33.50","33.50","33.00","33.50","981,600"
04/26/1995,"33.50","33.50","32.50","33.50","403,500"
04/27/1995,"33.50","33.50","32.50","33.50","78,100"
04/28/1995,"33.00","33.50","32.50","33.00","62,000"
05/02/1995,"32.50","32.50","32.00","32.50","480,200"
05/03/1995,"33.00","33.50","33.00","33.00","502,700"
05/04/1995,"33.50","34.00","33.50","33.50","422,500"
05/05/1995,"34.00","34.00","33.50","34.00","178,800"
05/16/1995,"33.50","33.50","33.00","33.50","28,900"
05/17/1995,"33.50","34.00","33.50","33.50","243,700"
05/18/1995,"33.50","33.50","33.00","33.50","112,000"
05/19/1995,"33.50","33.50","33.00","33.50","350,000"
05/22/1995,"33.50","33.50","33.00","33.50","157,800"
05/26/1995,"33.50","34.00","33.50","33.50","51,500"
05/29/1995,"33.50","34.00","33.50","33.50","387,200"
05/30/1995,"33.50","34.00","33.50","33.50","454,900"
05/31/1995,"34.00","34.00","33.50","34.00","225,100"
06/05/1995,"34.00","34.50","34.00","34.00","372,000"
06/06/1995,"33.50","34.00","33.50","33.50","573,400"
06/13/1995,"33.00","33.00","30.00","33.00","70,000"
06/14/1995,"32.00","32.00","31.50","32.00","25,400"
06/19/1995,"31.00","31.50","31.00","31.00","6,700"
06/27/1995,"30.50","31.00","30.50","30.50","24,000"
06/29/1995,"30.00","31.50","30.00","30.00","19,800"
06/30/1995,"30.50","31.00","30.50","30.50","31,500"
07/03/1995,"30.50","30.50","30.50","30.50","500"
07/04/1995,"30.50","30.50","30.50","30.50","1,200"
07/05/1995,"30.50","30.50","30.00","30.50","19,300"
07/07/1995,"30.00","30.50","30.00","30.00","125,200"
09/12/1995,"30.00","30.00","30.00","30.00","1,000"
09/13/1995,"30.00","30.00","30.00","30.00","123,000"
09/14/1995,"30.00","30.50","30.00","30.00","83,100"
09/18/1995,"30.00","30.00","30.00","30.00","1,600"
09/19/1995,"30.00","30.00","30.00","30.00","12,400"
09/22/1995,"30.00","30.00","30.00","30.00","15,900"
09/26/1995,"30.00","30.00","30.00","30.00","56,900"
09/27/1995,"30.00","30.00","30.00","30.00","2,500"
09/28/1995,"30.00","30.00","30.00","30.00","37,200"
09/29/1995,"30.00","30.00","30.00","30.00","45,900"
10/02/1995,"30.00","30.00","30.00","30.00","75,400"
10/03/1995,"30.00","30.00","30.00","30.00","39,000"
10/04/1995,"30.00","30.00","30.00","30.00","12,300"
10/05/1995,"30.00","30.00","30.00","30.00","315,500"
10/06/1995,"30.00","30.00","30.00","30.00","1,100"
10/10/1995,"30.00","30.50","30.00","30.00","1,600"
10/11/1995,"30.00","30.00","30.00","30.00","1,700"
10/12/1995,"30.00","30.00","30.00","30.00","33,900"
10/13/1995,"30.50","30.50","30.00","30.50","22,400"
10/16/1995,"30.50","30.50","30.00","30.50","3,000"
10/17/1995,"30.00","30.00","30.00","30.00","4,500"
10/18/1995,"30.00","30.00","30.00","30.00","2,100"
10/19/1995,"30.00","30.00","30.00","30.00","6,200"
10/24/1995,"30.00","30.00","30.00","30.00","296,200"
10/25/1995,"30.00","30.50","30.00","30.00","126,700"
10/26/1995,"30.50","30.50","30.00","30.50","6,500"
10/27/1995,"30.00","30.00","30.00","30.00","118,800"
10/30/1995,"30.00","30.00","25.00","30.00","128,300"
11/09/1995,"29.00","29.00","29.00","29.00","14,900"
11/14/1995,"28.50","28.50","28.50","28.50","1,000"
11/17/1995,"28.50","28.50","28.50","28.50","800"
11/21/1995,"28.00","28.00","28.00","28.00","1,100"
11/22/1995,"23.00","23.00","23.00","23.00","1,000"
11/23/1995,"25.00","25.00","24.00","25.00","25,500"
11/24/1995,"25.00","25.00","25.00","25.00","200"
11/27/1995,"25.00","25.00","25.00","25.00","1,900"
11/29/1995,"25.00","25.00","25.00","25.00","475,300"
12/04/1995,"25.00","26.00","25.00","25.00","505,000"
12/05/1995,"25.00","25.50","25.00","25.00","684,700"
12/06/1995,"25.00","25.50","25.00","25.00","56,300"
12/08/1995,"25.00","25.50","25.00","25.00","9,400"
12/12/1995,"25.00","25.50","25.00","25.00","123,500"
12/13/1995,"25.00","25.00","25.00","25.00","300"
12/14/1995,"25.00","25.00","25.00","25.00","2,300"
12/15/1995,"25.00","25.00","25.00","25.00","299,300"
12/19/1995,"25.00","25.00","25.00","25.00","1,700"
12/20/1995,"25.00","25.00","25.00","25.00","5,000"
12/21/1995,"25.00","25.00","25.00","25.00","157,800"
12/22/1995,"25.50","25.50","25.50","25.50","100,700"
12/27/1995,"25.00","25.00","25.00","25.00","222,000"
12/28/1995,"28.00","28.00","25.00","28.00","3,200"
12/29/1995,"29.00","29.50","28.00","29.00","312,000"
01/02/1996,"29.00","29.00","28.00","29.00","33,400"
01/03/1996,"26.00","26.00","26.00","26.00","700"
01/04/1996,"27.00","27.00","26.50","27.00","5,100"
01/05/1996,"26.00","26.00","26.00","26.00","11,100"
01/08/1996,"25.50","26.00","25.50","25.50","28,200"
01/09/1996,"25.50","25.50","25.50","25.50","42,500"
01/10/1996,"26.00","26.00","26.00","26.00","1,500"
01/11/1996,"25.50","26.00","25.50","25.50","109,000"
01/12/1996,"29.00","29.00","28.00","29.00","20,000"
01/15/1996,"25.50","26.00","25.50","25.50","200,000"
01/16/1996,"26.00","26.00","25.50","26.00","104,300"
01/17/1996,"26.00","26.00","26.00","26.00","224,900"
01/18/1996,"26.00","26.00","26.00","26.00","300"
01/22/1996,"27.50","28.00","27.50","27.50","184,700"
01/23/1996,"26.50","27.50","26.50","26.50","31,100"
01/24/1996,"26.50","26.50","26.50","26.50","200"
01/25/1996,"26.50","26.50","26.50","26.50","800"
01/26/1996,"28.00","28.00","27.50","28.00","57,000"
01/30/1996,"27.00","27.00","27.00","27.00","700"
01/31/1996,"27.50","27.50","27.00","27.50","30,500"
02/01/1996,"28.00","28.00","28.00","28.00","153,800"
02/02/1996,"28.50","29.00","28.00","28.50","230,000"
02/05/1996,"29.50","29.50","29.50","29.50","97,800"
02/06/1996,"29.50","29.50","29.50","29.50","21,300"
02/07/1996,"29.50","29.50","29.50","29.50","161,700"
02/08/1996,"29.50","30.00","29.50","29.50","57,800"
02/09/1996,"29.50","29.50","29.50","29.50","155,600"
02/12/1996,"30.00","30.00","30.00","30.00","88,500"
02/13/1996,"31.00","31.00","30.50","31.00","165,600"
02/14/1996,"30.50","31.00","30.50","30.50","61,100"
02/15/1996,"29.50","30.00","29.50","29.50","306,400"
02/16/1996,"30.00","31.50","30.00","30.00","62,400"
02/19/1996,"30.00","30.00","30.00","30.00","1,700"
02/20/1996,"30.00","30.50","30.00","30.00","37,000"
02/21/1996,"30.50","31.00","30.00","30.50","41,800"
02/22/1996,"30.50","31.00","30.50","30.50","12,400"
02/23/1996,"30.50","30.50","30.50","30.50","3,300"
02/26/1996,"31.00","31.00","30.50","31.00","41,000"
02/27/1996,"30.50","30.50","30.50","30.50","2,300"
02/28/1996,"30.50","31.00","30.50","30.50","70,400"
02/29/1996,"30.00","30.00","30.00","30.00","5,000"
03/01/1996,"31.00","31.00","30.50","31.00","278,600"
03/04/1996,"30.00","30.00","30.00","30.00","200"
03/05/1996,"30.50","30.50","30.00","30.50","2,300"
03/06/1996,"31.50","32.00","31.00","31.50","112,000"
03/07/1996,"30.50","32.00","30.50","30.50","6,700"
03/08/1996,"31.50","31.50","31.00","31.50","153,000"
03/11/1996,"31.00","31.00","31.00","31.00","6,600"
03/12/1996,"31.50","31.50","31.50","31.50","16,100"
03/13/1996,"31.00","31.50","31.00","31.00","6,200"
03/14/1996,"31.00","31.00","31.00","31.00","14,100"
03/15/1996,"31.50","31.50","31.00","31.50","23,500"
03/18/1996,"31.50","31.50","31.50","31.50","1,500"
03/19/1996,"31.50","32.00","31.50","31.50","156,200"
03/20/1996,"31.50","31.50","31.00","31.50","16,900"
03/21/1996,"31.50","31.50","31.50","31.50","14,700"
03/22/1996,"32.00","32.00","31.50","32.00","36,700"
03/26/1996,"31.00","31.50","31.00","31.00","154,500"
03/27/1996,"31.00","31.50","31.00","31.00","1,200"
03/28/1996,"31.00","31.50","31.00","31.00","210,900"
03/29/1996,"31.50","31.50","31.00","31.50","16,000"
04/01/1996,"32.00","32.00","32.00","32.00","200"
04/02/1996,"31.00","31.50","30.50","31.00","203,800"
04/03/1996,"31.00","31.00","31.00","31.00","129,800"
04/10/1996,"31.00","31.00","31.00","31.00","600"
04/11/1996,"32.00","32.00","31.00","32.00","18,800"
04/12/1996,"33.00","33.00","32.00","33.00","302,600"
04/15/1996,"34.50","35.00","33.00","34.50","487,500"
04/16/1996,"34.50","35.00","34.50","34.50","541,700"
04/17/1996,"34.50","34.50","34.50","34.50","764,000"
04/18/1996,"37.00","37.00","34.50","37.00","2,041,900"
04/19/1996,"38.50","39.00","38.00","38.50","1,468,700"
04/22/1996,"40.50","41.00","39.50","40.50","1,227,500"
04/23/1996,"45.00","45.00","41.00","45.00","2,635,500"
04/24/1996,"45.00","47.00","45.00","45.00","2,263,600"
04/25/1996,"46.50","46.50","44.00","46.50","1,439,500"
04/26/1996,"47.00","47.50","46.50","47.00","469,200"
04/29/1996,"47.00","47.50","47.00","47.00","853,200"
04/30/1996,"47.00","47.00","46.50","47.00","583,400"
05/02/1996,"46.50","46.50","46.50","46.50","301,100"
05/03/1996,"49.50","50.00","46.50","49.50","1,146,300"
05/07/1996,"49.00","49.00","48.00","49.00","196,600"
05/08/1996,"48.50","49.00","48.50","48.50","126,500"
05/09/1996,"49.00","49.50","48.50","49.00","683,400"
05/10/1996,"53.00","53.00","49.50","53.00","1,115,100"
05/13/1996,"54.50","55.00","52.00","54.50","1,113,400"
05/14/1996,"54.00","55.00","54.00","54.00","2,253,000"
05/15/1996,"53.50","54.00","53.50","53.50","91,400"
05/16/1996,"54.00","54.00","53.50","54.00","282,400"
05/17/1996,"53.50","53.50","53.00","53.50","391,500"
05/20/1996,"53.00","53.50","52.50","53.00","206,700"
05/21/1996,"53.50","54.50","53.00","53.50","1,260,600"
05/22/1996,"54.50","54.50","53.50","54.50","498,300"
05/23/1996,"53.50","54.00","53.50","53.50","167,900"
05/24/1996,"53.50","53.50","53.00","53.50","156,100"
05/27/1996,"53.50","54.00","53.50","53.50","72,520"
