Date,Open,High,Low,Close,Volume
06/29/2016,"11.00","15.74","10.82","15.74","36,029,801"
06/30/2016,"20.00","23.10","17.50","20.30","27,314,000"
07/01/2016,"19.50","21.85","18.10","19.20","10,578,100"
07/04/2016,"19.10","19.12","17.22","17.72","4,030,600"
07/05/2016,"17.50","18.90","16.20","18.62","5,385,700"
07/07/2016,"19.04","19.50","17.90","17.90","2,602,700"
07/08/2016,"18.30","18.38","17.80","18.00","559,000"
07/11/2016,"18.00","18.10","17.40","17.48","933,200"
07/12/2016,"17.70","18.20","16.80","17.98","1,279,500"
07/13/2016,"18.00","18.30","17.52","17.70","678,600"
07/14/2016,"17.90","18.00","17.58","17.88","470,100"
07/15/2016,"17.90","17.90","17.04","17.04","559,600"
07/18/2016,"17.00","17.30","16.60","17.02","704,900"
07/19/2016,"17.14","17.20","16.80","16.90","381,500"
07/20/2016,"16.80","17.26","16.44","17.18","381,900"
07/21/2016,"17.00","17.10","16.52","17.00","265,500"
07/22/2016,"17.10","17.20","16.80","16.96","205,300"
07/25/2016,"16.96","16.96","16.68","16.70","349,500"
07/26/2016,"16.70","16.92","16.64","16.70","327,000"
07/27/2016,"16.96","17.24","16.60","16.60","637,900"
07/28/2016,"16.70","16.70","16.06","16.48","583,400"
07/29/2016,"16.12","16.26","16.12","16.18","159,000"
08/01/2016,"16.18","16.18","15.60","16.12","600,200"
08/02/2016,"16.16","16.16","15.64","15.66","302,600"
08/03/2016,"15.66","15.66","15.20","15.62","493,200"
08/04/2016,"15.52","16.20","15.40","16.08","269,000"
08/05/2016,"16.20","16.20","15.78","15.78","99,800"
08/08/2016,"16.00","16.00","15.50","15.70","79,000"
08/09/2016,"15.70","15.90","15.20","15.22","177,200"
08/10/2016,"15.22","15.46","15.22","15.36","62,900"
08/11/2016,"15.36","15.88","15.22","15.42","316,900"
08/12/2016,"15.42","15.86","15.30","15.86","161,100"
08/15/2016,"15.86","16.38","15.60","15.90","348,900"
08/16/2016,"15.92","16.14","15.46","15.94","209,600"
08/17/2016,"16.00","16.90","15.82","16.70","1,198,700"
08/18/2016,"16.78","17.00","16.70","16.70","519,300"
08/19/2016,"16.50","16.66","15.80","15.80","451,600"
08/22/2016,"15.54","16.00","15.46","15.80","273,700"
08/23/2016,"15.80","15.80","15.52","15.60","109,300"
08/24/2016,"15.54","15.84","15.40","15.50","216,700"
08/25/2016,"15.36","15.78","15.30","15.70","74,900"
08/26/2016,"15.30","15.70","15.30","15.70","45,200"
08/30/2016,"15.40","15.60","15.34","15.60","92,300"
08/31/2016,"15.34","15.60","14.80","15.60","391,200"
09/01/2016,"15.06","15.46","15.06","15.14","158,200"
09/02/2016,"15.14","15.20","14.90","15.14","140,100"
09/05/2016,"15.14","15.14","14.74","15.00","241,100"
09/06/2016,"14.96","14.96","14.52","14.94","178,000"
09/07/2016,"14.92","14.92","14.38","14.38","232,000"
09/08/2016,"14.38","14.38","13.60","14.36","138,800"
09/09/2016,"14.30","14.30","14.00","14.00","37,200"
09/13/2016,"14.10","14.50","13.70","13.70","72,800"
09/14/2016,"13.60","14.00","13.40","14.00","99,800"
09/15/2016,"14.00","14.00","13.56","13.72","136,700"
09/16/2016,"13.72","13.74","13.50","13.68","106,800"
09/19/2016,"13.72","13.88","13.70","13.82","74,900"
09/20/2016,"13.84","14.14","13.84","14.12","92,000"
09/21/2016,"14.10","14.20","14.08","14.20","61,800"
09/22/2016,"14.18","14.18","14.02","14.16","42,200"
09/23/2016,"14.16","14.16","13.70","13.70","68,900"
09/26/2016,"13.72","14.00","13.58","13.98","48,300"
09/27/2016,"13.96","13.96","13.34","13.88","53,400"
09/28/2016,"13.50","13.88","13.50","13.88","14,800"
09/29/2016,"13.88","13.88","13.54","13.84","32,300"
09/30/2016,"13.86","13.98","13.62","13.98","73,900"
10/03/2016,"14.00","14.54","14.00","14.32","389,200"
10/04/2016,"14.40","14.70","14.40","14.70","129,500"
10/05/2016,"14.74","15.02","14.56","14.94","199,100"
10/06/2016,"14.94","14.94","14.08","14.50","133,300"
10/07/2016,"14.08","14.42","14.08","14.42","69,900"
10/10/2016,"14.00","14.10","13.76","14.10","50,500"
10/11/2016,"13.80","14.00","13.40","13.92","53,600"
10/12/2016,"13.96","14.00","13.62","13.92","12,300"
10/13/2016,"13.60","14.00","13.30","14.00","237,500"
10/14/2016,"13.98","13.98","13.72","13.96","40,700"
10/17/2016,"13.80","13.98","13.68","13.96","70,500"
10/18/2016,"13.52","13.94","13.52","13.78","100,600"
10/19/2016,"13.52","13.98","13.52","13.82","104,100"
10/20/2016,"13.84","13.84","13.56","13.56","70,700"
