Date,Open,High,Low,Close,Volume
01/03/1995,"4.92","4.92","4.86","4.92","1,530,562"
01/04/1995,"4.92","4.92","4.86","4.92","2,152,406"
01/05/1995,"4.68","4.74","4.68","4.68","422,719"
01/06/1995,"4.68","4.74","4.68","4.68","356,906"
01/09/1995,"4.68","4.68","4.62","4.68","2,798,297"
01/10/1995,"4.62","4.74","4.56","4.62","8,852,624"
01/11/1995,"4.56","4.56","4.50","4.56","3,271,218"
01/13/1995,"4.40","4.44","4.39","4.40","256,922"
01/16/1995,"4.17","4.21","4.15","4.17","983,391"
01/17/1995,"4.44","4.50","4.44","4.44","4,298,906"
01/18/1995,"4.56","4.56","4.50","4.56","1,221,750"
01/19/1995,"4.56","4.62","4.56","4.56","4,079,109"
01/20/1995,"4.39","4.44","4.33","4.39","2,720,672"
01/23/1995,"4.39","4.44","4.39","4.39","255,656"
01/24/1995,"4.33","4.39","4.33","4.33","3,091,500"
01/25/1995,"4.27","4.33","4.27","4.27","679,641"
01/26/1995,"4.21","4.27","4.21","4.21","1,862,578"
01/27/1995,"4.27","4.27","4.21","4.27","831,094"
01/30/1995,"4.27","4.27","4.21","4.27","155,672"
02/01/1995,"4.27","4.33","4.27","4.27","1,773,562"
02/02/1995,"4.27","4.27","4.21","4.27","1,374,469"
02/03/1995,"4.44","4.44","4.39","4.44","2,973,375"
02/06/1995,"4.39","4.44","4.39","4.39","1,207,406"
02/07/1995,"4.39","4.39","4.33","4.39","1,630,969"
02/08/1995,"4.21","4.27","4.15","4.21","751,781"
02/09/1995,"4.21","4.27","4.15","4.21","1,434,375"
02/10/1995,"4.21","4.21","4.15","4.21","437,906"
02/14/1995,"4.27","4.27","4.21","4.27","3,638,250"
02/15/1995,"4.21","4.27","4.21","4.21","373,359"
02/16/1995,"4.39","4.39","4.21","4.39","551,391"
02/17/1995,"4.39","4.39","4.27","4.39","1,420,875"
02/20/1995,"4.56","4.62","4.33","4.56","2,701,687"
02/21/1995,"4.44","4.56","4.44","4.44","2,556,984"
02/22/1995,"4.44","4.44","4.39","4.44","1,103,203"
02/23/1995,"4.50","4.50","4.39","4.50","2,019,094"
02/27/1995,"4.15","4.39","4.15","4.15","2,162,953"
02/28/1995,"4.27","4.33","4.15","4.27","617,625"
03/01/1995,"4.27","4.33","4.27","4.27","804,937"
03/02/1995,"4.33","4.33","4.27","4.33","1,420,453"
03/07/1995,"4.27","4.27","4.21","4.27","1,360,125"
03/08/1995,"4.21","4.21","4.15","4.21","856,406"
03/09/1995,"4.09","4.15","4.09","4.09","1,881,562"
03/10/1995,"4.03","4.15","3.97","4.03","1,438,172"
03/14/1995,"3.97","4.03","3.91","3.97","542,109"
03/15/1995,"3.91","3.98","3.91","3.91","411,328"
03/16/1995,"4.03","4.09","3.91","4.03","499,500"
03/20/1995,"3.97","4.09","3.97","3.97","640,406"
03/22/1995,"4.09","4.09","4.09","4.09","1,122,187"
03/23/1995,"4.15","4.15","4.15","4.15","146,812"
03/24/1995,"4.15","4.15","4.09","4.15","305,859"
03/28/1995,"4.39","4.39","4.15","4.39","1,321,734"
03/29/1995,"4.39","4.44","4.33","4.39","943,734"
03/30/1995,"4.39","4.39","4.27","4.39","3,777,890"
03/31/1995,"4.33","4.39","4.33","4.33","1,193,484"
04/03/1995,"4.27","4.33","4.21","4.27","470,812"
04/04/1995,"4.27","4.27","4.27","4.27","908,297"
04/05/1995,"4.33","4.33","4.33","4.33","853,875"
04/07/1995,"4.21","4.33","4.21","4.21","2,543,906"
04/10/1995,"4.21","4.27","4.21","4.21","128,672"
04/11/1995,"4.21","4.27","4.21","4.21","2,689,453"
04/12/1995,"4.27","4.27","4.27","4.27","777,094"
04/18/1995,"4.33","4.50","4.33","4.33","1,390,922"
04/19/1995,"4.27","4.27","4.21","4.27","949,641"
04/21/1995,"4.27","4.39","4.27","4.27","4,938,468"
04/24/1995,"4.39","4.39","4.33","4.39","7,383,655"
04/25/1995,"4.44","4.52","4.44","4.44","2,442,825"
04/26/1995,"4.37","4.37","4.37","4.37","8,444,249"
