Date,Open,High,Low,Close,Volume
01/04/1995,"8.64","8.83","8.48","8.64","355,469"
01/05/1995,"8.48","8.48","8.32","8.48","112,344"
01/06/1995,"8.48","8.64","8.48","8.48","19,844"
01/09/1995,"8.48","8.48","8.32","8.48","122,656"
01/10/1995,"8.48","8.48","8.32","8.48","193,594"
01/11/1995,"8.16","8.32","8.16","8.16","1,270,312"
01/13/1995,"8.00","8.00","7.68","8.00","461,094"
01/16/1995,"7.68","7.84","7.68","7.68","433,281"
01/17/1995,"7.84","7.84","7.68","7.84","669,344"
01/18/1995,"7.84","7.84","7.68","7.84","368,906"
01/19/1995,"7.84","8.00","7.84","7.84","193,594"
01/23/1995,"7.20","7.36","7.20","7.20","262,500"
01/24/1995,"7.20","7.20","7.04","7.20","245,625"
01/25/1995,"7.20","7.36","7.20","7.20","246,406"
01/26/1995,"7.52","7.52","7.36","7.52","160,469"
01/27/1995,"7.36","7.68","7.36","7.36","151,562"
01/30/1995,"7.20","7.36","7.20","7.20","102,187"
02/01/1995,"7.68","7.68","7.52","7.68","3,079,687"
02/02/1995,"7.36","7.52","7.36","7.36","996,719"
02/03/1995,"7.68","7.84","7.68","7.68","267,031"
02/06/1995,"8.00","8.00","7.84","8.00","1,947,031"
02/07/1995,"7.84","7.84","7.68","7.84","132,812"
02/08/1995,"7.68","7.84","7.68","7.68","209,531"
02/09/1995,"7.84","7.84","7.68","7.84","186,406"
02/10/1995,"7.84","7.84","7.68","7.84","143,437"
02/14/1995,"7.84","8.00","7.84","7.84","365,000"
02/15/1995,"7.68","7.84","7.68","7.68","125,781"
02/16/1995,"7.68","7.84","7.68","7.68","20,156"
02/17/1995,"7.68","7.68","7.52","7.68","289,531"
02/20/1995,"7.36","7.52","7.36","7.36","40,625"
02/21/1995,"7.52","7.68","7.52","7.52","316,562"
02/22/1995,"7.52","7.52","7.36","7.52","582,031"
02/23/1995,"7.52","7.52","7.36","7.52","888,281"
02/24/1995,"7.52","7.52","7.42","7.52","392,187"
02/27/1995,"7.20","7.20","7.04","7.20","752,969"
02/28/1995,"7.20","7.36","7.20","7.20","160,156"
03/01/1995,"7.20","7.20","7.04","7.20","833,437"
03/02/1995,"7.20","7.20","7.04","7.20","134,062"
03/06/1995,"7.04","7.04","6.88","7.04","228,437"
03/07/1995,"7.04","7.04","6.88","7.04","36,875"
03/08/1995,"6.88","6.88","6.72","6.88","336,562"
03/10/1995,"6.56","6.56","6.40","6.56","995,000"
03/14/1995,"6.56","6.72","6.56","6.56","327,031"
03/15/1995,"6.56","6.56","6.40","6.56","82,031"
03/16/1995,"6.72","6.88","6.72","6.72","597,500"
03/20/1995,"6.56","6.78","6.56","6.56","445,625"
03/22/1995,"6.56","6.72","6.56","6.56","200,781"
03/23/1995,"6.40","6.56","6.40","6.40","446,406"
03/24/1995,"6.56","6.56","6.40","6.56","353,281"
03/28/1995,"6.56","6.72","6.56","6.56","516,875"
03/29/1995,"6.72","6.88","6.72","6.72","2,938,750"
03/30/1995,"6.88","6.88","6.72","6.88","491,875"
03/31/1995,"6.88","6.88","6.72","6.88","476,875"
04/03/1995,"6.72","6.72","6.56","6.72","243,594"
04/04/1995,"6.72","6.89","6.72","6.72","197,031"
04/05/1995,"6.88","6.88","6.72","6.88","48,125"
04/07/1995,"6.88","7.04","6.88","6.88","507,656"
04/10/1995,"7.04","7.04","6.88","7.04","501,250"
04/11/1995,"7.20","7.20","7.04","7.20","584,062"
04/12/1995,"7.52","7.68","7.52","7.52","2,020,781"
04/18/1995,"7.36","7.36","7.20","7.36","70,625"
04/19/1995,"7.20","7.20","6.88","7.20","398,437"
04/21/1995,"7.20","7.36","7.20","7.20","493,594"
04/24/1995,"7.36","7.36","7.20","7.36","175,312"
04/25/1995,"7.04","7.20","7.04","7.04","154,375"
04/26/1995,"7.04","7.20","7.04","7.04","73,437"
04/27/1995,"7.55","7.55","6.88","7.55","91,719"
04/28/1995,"7.04","7.04","6.88","7.04","16,719"
05/02/1995,"6.88","7.04","6.88","6.88","312,812"
05/03/1995,"7.20","7.20","7.04","7.20","195,312"
05/04/1995,"7.20","7.20","7.04","7.20","162,969"
05/05/1995,"7.36","7.52","7.36","7.36","1,359,375"
05/15/1995,"7.36","7.36","7.20","7.36","258,281"
05/16/1995,"7.52","7.52","7.36","7.52","571,875"
05/17/1995,"7.52","7.68","7.52","7.52","787,344"
05/18/1995,"7.68","7.68","7.52","7.68","500,469"
05/19/1995,"7.52","7.52","7.36","7.52","479,687"
05/22/1995,"7.36","7.52","7.36","7.36","232,031"
05/26/1995,"8.48","8.64","8.48","8.48","908,750"
05/29/1995,"8.64","8.80","8.64","8.64","1,158,750"
05/30/1995,"8.96","9.12","8.96","8.96","3,137,031"
05/31/1995,"8.96","9.12","8.96","8.96","1,810,781"
06/05/1995,"8.96","9.60","8.96","8.96","3,649,375"
06/06/1995,"9.44","9.60","9.44","9.44","2,492,656"
06/13/1995,"9.20","9.40","9.20","9.20","411,000"
06/14/1995,"9.20","9.20","9.00","9.20","600,875"
06/19/1995,"9.20","9.40","9.20","9.20","89,625"
06/20/1995,"9.20","9.40","9.20","9.20","326,250"
06/26/1995,"9.20","9.20","9.00","9.20","169,875"
06/27/1995,"9.20","9.20","9.00","9.20","80,875"
06/28/1995,"9.20","9.20","9.20","9.20","74,375"
06/29/1995,"9.40","9.40","9.00","9.40","1,623,500"
06/30/1995,"9.20","9.20","9.20","9.20","494,750"
07/03/1995,"9.00","9.20","9.00","9.00","412,500"
07/04/1995,"9.00","9.20","9.00","9.00","532,125"
07/05/1995,"9.20","9.20","9.00","9.20","188,375"
07/07/1995,"9.60","9.60","9.20","9.60","1,971,375"
07/17/1995,"10.60","11.00","10.60","10.60","1,391,000"
09/12/1995,"13.40","13.40","13.20","13.40","973,375"
09/14/1995,"14.40","14.40","13.60","14.40","4,993,500"
09/15/1995,"14.40","14.80","14.40","14.40","2,882,875"
09/18/1995,"14.20","14.40","14.20","14.20","451,375"
09/19/1995,"14.20","14.40","14.20","14.20","626,000"
09/22/1995,"14.00","14.00","13.80","14.00","2,691,500"
09/25/1995,"13.80","14.00","13.80","13.80","493,500"
09/26/1995,"13.60","13.80","13.60","13.60","623,625"
09/27/1995,"13.60","13.60","13.40","13.60","168,750"
09/29/1995,"13.40","13.60","13.40","13.40","852,125"
10/02/1995,"13.60","13.60","13.40","13.60","256,125"
10/03/1995,"13.60","13.60","13.40","13.60","372,750"
10/04/1995,"13.40","13.60","13.40","13.40","764,625"
10/05/1995,"13.60","13.60","13.40","13.60","505,375"
10/06/1995,"14.00","14.00","13.60","14.00","1,470,375"
10/09/1995,"14.00","14.00","14.00","14.00","432,750"
10/10/1995,"13.60","13.60","13.40","13.60","324,500"
10/11/1995,"13.80","13.80","13.60","13.80","138,000"
10/12/1995,"13.80","14.00","13.80","13.80","431,875"
10/13/1995,"13.80","14.00","13.80","13.80","57,625"
10/16/1995,"14.00","14.00","14.00","14.00","477,250"
10/17/1995,"14.00","14.00","13.80","14.00","337,250"
10/18/1995,"14.20","14.20","14.00","14.20","543,500"
10/19/1995,"13.80","14.00","13.80","13.80","98,875"
10/20/1995,"13.80","14.00","13.80","13.80","50,750"
10/24/1995,"13.60","13.80","13.60","13.60","74,500"
10/25/1995,"13.80","13.80","13.60","13.80","128,375"
10/26/1995,"14.40","14.40","13.80","14.40","1,540,875"
10/27/1995,"14.00","14.40","14.00","14.00","535,500"
10/30/1995,"13.80","14.00","13.80","13.80","210,125"
10/31/1995,"13.80","14.00","13.80","13.80","117,875"
11/02/1995,"13.80","13.80","13.80","13.80","63,500"
11/06/1995,"13.80","13.80","13.60","13.80","100,125"
11/07/1995,"13.80","13.80","13.60","13.80","138,875"
11/08/1995,"13.80","14.00","13.60","13.80","1,362,250"
11/09/1995,"13.80","14.00","13.80","13.80","174,250"
11/10/1995,"13.60","13.80","13.60","13.60","231,750"
11/13/1995,"13.40","13.60","13.40","13.40","465,625"
11/14/1995,"13.20","13.40","13.20","13.20","679,625"
11/15/1995,"13.40","13.40","13.20","13.40","725,375"
11/16/1995,"13.40","13.40","13.20","13.40","393,750"
11/17/1995,"13.20","13.40","13.20","13.20","695,875"
11/20/1995,"12.60","13.20","12.60","12.60","868,500"
11/21/1995,"13.00","13.00","12.00","13.00","1,707,375"
11/22/1995,"12.60","13.00","12.60","12.60","600,875"
11/23/1995,"12.80","13.00","12.80","12.80","404,000"
11/24/1995,"12.80","12.80","12.80","12.80","339,625"
11/27/1995,"13.20","13.20","12.80","13.20","497,250"
11/28/1995,"13.20","13.20","13.00","13.20","213,625"
11/29/1995,"13.40","13.40","13.20","13.40","577,875"
12/01/1995,"13.60","13.60","13.20","13.60","184,250"
12/04/1995,"14.00","14.00","13.60","14.00","707,125"
12/05/1995,"13.60","14.00","13.60","13.60","528,625"
12/06/1995,"14.20","14.20","13.60","14.20","483,375"
12/07/1995,"13.80","14.00","13.60","13.80","205,625"
12/08/1995,"13.80","13.80","13.60","13.80","121,250"
12/11/1995,"13.80","14.00","13.80","13.80","734,750"
12/12/1995,"13.80","13.80","13.60","13.80","447,750"
12/13/1995,"13.80","13.80","13.80","13.80","326,625"
12/14/1995,"14.00","14.00","13.80","14.00","713,625"
12/15/1995,"14.00","14.00","14.00","14.00","156,750"
12/18/1995,"14.60","14.60","14.00","14.60","1,848,625"
12/19/1995,"14.20","14.40","14.20","14.20","569,750"
12/20/1995,"14.40","14.60","14.40","14.40","3,461,625"
12/21/1995,"14.40","14.40","14.20","14.40","523,875"
12/22/1995,"14.00","14.20","14.00","14.00","438,375"
12/26/1995,"14.20","14.40","14.00","14.20","432,000"
12/27/1995,"14.20","14.20","14.20","14.20","228,375"
12/28/1995,"14.20","14.20","14.20","14.20","354,875"
12/29/1995,"14.20","14.40","14.20","14.20","2,341,250"
01/02/1996,"14.20","14.20","14.00","14.20","249,250"
01/03/1996,"14.20","14.20","14.00","14.20","645,000"
01/04/1996,"14.40","14.60","14.40","14.40","1,093,250"
01/05/1996,"14.40","14.40","14.20","14.40","691,750"
01/08/1996,"14.80","14.80","14.20","14.80","1,625,250"
01/09/1996,"14.40","14.60","14.40","14.40","560,000"
01/10/1996,"14.40","14.40","14.20","14.40","460,625"
01/11/1996,"14.40","14.60","14.00","14.40","849,000"
01/12/1996,"15.40","15.80","14.40","15.40","2,754,125"
01/15/1996,"15.00","15.40","15.00","15.00","224,125"
01/16/1996,"15.20","15.20","15.00","15.20","403,625"
01/17/1996,"15.00","15.20","15.00","15.00","374,875"
01/18/1996,"14.80","15.00","14.80","14.80","385,625"
01/19/1996,"15.20","15.40","15.00","15.20","916,625"
01/22/1996,"15.40","15.60","15.20","15.40","568,250"
01/23/1996,"16.20","16.20","15.40","16.20","2,494,375"
01/24/1996,"16.00","16.20","15.80","16.00","609,875"
01/25/1996,"16.20","16.40","16.00","16.20","1,043,000"
01/26/1996,"16.20","16.40","16.00","16.20","701,750"
01/29/1996,"16.00","16.20","16.00","16.00","207,625"
01/30/1996,"16.20","16.20","16.00","16.20","464,750"
01/31/1996,"16.80","16.80","16.20","16.80","1,234,875"
02/01/1996,"17.40","17.40","17.00","17.40","336,375"
02/02/1996,"17.00","17.40","17.00","17.00","511,125"
02/05/1996,"16.80","16.80","16.60","16.80","728,250"
02/06/1996,"16.80","17.00","16.80","16.80","252,875"
02/07/1996,"17.20","17.20","17.00","17.20","779,625"
02/08/1996,"18.00","18.00","17.00","18.00","940,125"
02/09/1996,"17.80","17.80","17.60","17.80","173,375"
02/12/1996,"19.00","19.00","17.80","19.00","932,500"
02/13/1996,"19.60","19.60","19.20","19.60","1,114,750"
02/14/1996,"20.00","20.00","19.60","20.00","1,597,000"
02/15/1996,"20.40","20.80","19.60","20.40","1,741,750"
02/16/1996,"20.40","20.80","20.40","20.40","453,625"
02/19/1996,"20.40","20.40","20.00","20.40","471,250"
02/20/1996,"20.00","20.40","20.00","20.00","318,750"
02/21/1996,"20.00","20.00","19.80","20.00","212,250"
02/22/1996,"20.00","20.00","19.80","20.00","260,500"
02/23/1996,"20.00","20.40","20.00","20.00","395,875"
02/26/1996,"20.40","21.20","20.00","20.40","1,244,500"
02/27/1996,"20.40","20.40","20.00","20.40","516,000"
02/28/1996,"20.40","20.80","20.40","20.40","854,250"
02/29/1996,"20.80","20.80","20.40","20.80","906,250"
03/01/1996,"21.60","21.60","21.20","21.60","253,125"
03/04/1996,"21.60","22.00","21.20","21.60","798,500"
03/05/1996,"21.20","21.60","21.20","21.20","123,500"
03/06/1996,"21.20","21.60","21.20","21.20","200,000"
03/07/1996,"21.20","21.20","20.80","21.20","125,125"
03/08/1996,"20.80","20.80","20.40","20.80","405,875"
03/11/1996,"20.00","20.40","19.80","20.00","401,875"
03/12/1996,"19.60","20.40","19.60","19.60","1,185,750"
03/13/1996,"19.60","19.80","19.20","19.60","627,875"
03/14/1996,"19.80","19.80","19.60","19.80","467,500"
03/15/1996,"20.80","20.80","20.00","20.80","1,780,375"
03/18/1996,"20.40","20.80","20.40","20.40","124,125"
03/19/1996,"20.40","20.80","20.40","20.40","365,000"
03/20/1996,"20.40","20.80","20.40","20.40","74,125"
03/21/1996,"20.00","20.40","20.00","20.00","60,625"
03/22/1996,"20.40","20.40","20.00","20.40","227,500"
03/25/1996,"20.40","20.80","20.40","20.40","60,875"
03/26/1996,"20.40","20.40","20.40","20.40","447,000"
03/27/1996,"20.40","20.80","20.40","20.40","269,500"
03/28/1996,"20.80","21.20","20.40","20.80","487,625"
03/29/1996,"21.20","21.20","20.80","21.20","635,125"
04/01/1996,"21.20","21.20","21.20","21.20","171,750"
04/02/1996,"22.00","22.00","21.20","22.00","636,625"
04/03/1996,"24.00","24.00","22.00","24.00","800,750"
04/10/1996,"23.60","23.60","23.20","23.60","380,000"
04/11/1996,"23.20","23.60","23.20","23.20","254,375"
04/12/1996,"23.20","23.20","22.80","23.20","81,375"
04/15/1996,"23.20","23.60","22.80","23.20","384,125"
04/16/1996,"22.80","23.60","22.40","22.80","468,250"
04/17/1996,"22.40","22.40","22.00","22.40","355,500"
04/18/1996,"22.80","22.80","22.00","22.80","93,125"
04/19/1996,"23.20","23.20","22.40","23.20","80,125"
04/22/1996,"22.80","23.20","22.80","22.80","162,625"
04/23/1996,"22.80","23.60","22.80","22.80","437,125"
04/24/1996,"22.40","22.80","22.40","22.40","87,500"
04/25/1996,"22.40","22.40","22.00","22.40","434,625"
04/26/1996,"22.40","22.40","22.40","22.40","89,500"
04/29/1996,"22.00","22.40","22.00","22.00","120,375"
04/30/1996,"22.00","22.40","22.00","22.00","383,125"
05/02/1996,"22.40","22.80","22.00","22.40","286,500"
05/03/1996,"22.40","22.40","22.00","22.40","62,750"
05/07/1996,"22.40","22.40","22.00","22.40","103,625"
05/08/1996,"22.40","22.80","22.40","22.40","265,000"
05/09/1996,"22.80","22.80","22.40","22.80","189,125"
05/10/1996,"22.40","22.80","22.40","22.40","129,375"
05/13/1996,"24.00","24.00","22.40","24.00","892,125"
05/14/1996,"24.00","25.20","23.60","24.00","935,375"
05/15/1996,"24.00","24.40","23.60","24.00","437,750"
05/16/1996,"25.20","25.20","24.00","25.20","729,000"
05/17/1996,"26.00","26.40","25.20","26.00","357,250"
05/20/1996,"25.20","26.40","25.20","25.20","529,125"
05/21/1996,"25.20","25.20","24.80","25.20","519,250"
05/22/1996,"25.20","25.60","24.80","25.20","282,375"
05/23/1996,"25.60","25.60","25.20","25.60","230,500"
05/24/1996,"25.60","25.60","25.60","25.60","325,250"
