Date,Open,High,Low,Close,Volume
01/03/1995,"7.33","7.33","7.25","7.33","3,550,983"
01/04/1995,"6.79","6.79","6.72","6.79","5,347,957"
01/05/1995,"6.64","6.64","6.57","6.64","44,176,904"
01/09/1995,"5.80","5.80","5.73","5.80","6,636,282"
01/10/1995,"5.95","6.03","5.57","5.95","7,127,771"
01/11/1995,"5.88","6.03","5.88","5.88","2,050,055"
01/13/1995,"5.42","5.88","5.34","5.42","3,015,480"
01/16/1995,"5.50","5.65","5.42","5.50","2,835,101"
01/17/1995,"5.73","5.73","5.65","5.73","3,009,585"
01/18/1995,"5.73","5.73","5.65","5.73","1,410,149"
01/19/1995,"5.80","5.88","5.73","5.80","2,222,704"
01/23/1995,"5.34","5.57","4.58","5.34","2,486,133"
01/24/1995,"5.42","5.57","5.34","5.42","3,759,656"
01/25/1995,"5.50","5.57","5.42","5.50","1,136,765"
01/26/1995,"5.50","5.65","5.50","5.50","2,933,739"
01/27/1995,"5.50","5.50","5.42","5.50","1,053,715"
01/30/1995,"5.65","5.65","5.34","5.65","820,808"
02/01/1995,"5.57","5.57","5.50","5.57","1,048,868"
02/02/1995,"5.57","5.73","5.57","5.57","1,000,269"
02/03/1995,"5.73","5.73","5.57","5.73","1,070,613"
02/06/1995,"5.88","5.95","5.65","5.88","5,549,688"
02/07/1995,"5.95","6.03","5.88","5.95","6,534,238"
02/08/1995,"5.88","5.95","5.73","5.88","4,185,910"
02/09/1995,"5.80","5.88","5.80","5.80","4,792,412"
02/10/1995,"5.73","5.80","5.65","5.73","2,666,250"
02/14/1995,"5.73","5.73","5.73","5.73","1,938,055"
02/16/1995,"6.03","6.11","5.80","6.03","9,893,969"
02/17/1995,"5.88","5.95","5.80","5.88","2,753,492"
02/20/1995,"5.80","5.80","5.73","5.80","341,239"
02/21/1995,"5.80","5.95","5.80","5.80","1,940,020"
02/22/1995,"5.88","5.88","5.80","5.88","1,105,589"
02/23/1995,"5.88","5.88","5.80","5.88","2,094,068"
02/24/1995,"5.65","5.80","5.65","5.65","1,963,075"
02/27/1995,"5.50","5.50","5.19","5.50","1,757,021"
02/28/1995,"5.50","5.57","5.42","5.50","1,634,804"
03/01/1995,"5.34","5.50","5.27","5.34","1,184,185"
03/02/1995,"5.50","5.50","5.42","5.50","1,021,490"
03/06/1995,"5.42","5.57","5.42","5.42","306,002"
03/07/1995,"5.34","5.42","5.27","5.34","469,744"
03/08/1995,"5.34","5.34","5.11","5.34","1,518,612"
03/09/1995,"5.27","5.34","5.19","5.27","2,118,171"
03/10/1995,"4.73","5.11","4.73","4.73","1,270,510"
