Date,Open,High,Low,Close,Volume
12/20/2000,"0.75","0.86","0.75","0.84","330,000"
12/21/2000,"0.85","0.85","0.85","0.85","160,000"
12/22/2000,"0.84","0.84","0.80","0.80","20,000"
12/27/2000,"0.85","0.85","0.77","0.77","68,000"
12/28/2000,"0.79","0.79","0.78","0.78","52,000"
12/29/2000,"0.84","0.84","0.84","0.84","4,000"
01/02/2001,"0.79","0.79","0.78","0.78","92,000"
01/03/2001,"0.79","0.79","0.78","0.78","128,000"
01/05/2001,"0.80","0.80","0.80","0.80","100,000"
01/09/2001,"0.82","0.82","0.82","0.82","2,000"
01/10/2001,"0.78","0.81","0.78","0.81","102,000"
01/12/2001,"0.78","0.81","0.78","0.81","22,000"
01/15/2001,"0.81","0.81","0.81","0.81","4,000"
01/16/2001,"0.82","0.82","0.82","0.82","4,000"
01/18/2001,"0.78","0.78","0.78","0.78","42,000"
01/22/2001,"0.80","0.80","0.79","0.80","332,000"
01/23/2001,"0.79","0.79","0.79","0.79","100,000"
01/25/2001,"0.80","0.80","0.80","0.80","4,000"
01/26/2001,"0.79","0.80","0.79","0.80","104,000"
01/29/2001,"0.80","0.80","0.80","0.80","22,000"
01/30/2001,"0.79","0.81","0.79","0.79","230,000"
01/31/2001,"0.79","0.81","0.78","0.81","200,000"
02/01/2001,"0.80","0.80","0.79","0.79","124,000"
02/06/2001,"0.79","0.85","0.79","0.85","40,000"
02/07/2001,"0.85","0.85","0.85","0.85","4,000"
02/08/2001,"0.84","0.85","0.84","0.85","8,000"
02/09/2001,"0.85","0.85","0.85","0.85","4,000"
02/14/2001,"0.79","0.79","0.79","0.79","100,000"
02/15/2001,"0.80","0.80","0.80","0.80","10,000"
02/16/2001,"0.79","0.79","0.79","0.79","100,000"
02/21/2001,"0.79","0.79","0.79","0.79","22,000"
02/22/2001,"0.79","0.79","0.79","0.79","100,000"
02/23/2001,"0.79","0.80","0.79","0.80","62,000"
03/05/2001,"0.79","0.79","0.79","0.79","100,000"
03/09/2001,"0.79","0.79","0.79","0.79","26,000"
03/13/2001,"0.79","0.79","0.79","0.79","60,000"
03/15/2001,"0.79","0.79","0.79","0.79","20,000"
03/19/2001,"0.79","0.79","0.79","0.79","60,000"
03/20/2001,"0.78","0.79","0.78","0.79","210,000"
