Date,Open,High,Low,Close,Volume
09/22/1997,"0.06","0.06","0.06","0.06","21,794,641"
04/27/1998,"0.09","0.09","0.09","0.09","400,000"
04/29/1998,"0.14","0.14","0.14","0.14","3,300,000"
05/07/1998,"0.20","0.20","0.20","0.20","12,880,000"
05/22/1998,"0.30","0.30","0.30","0.30","18,080,000"
07/24/1998,"0.45","0.45","0.45","0.45","130,000"
09/16/1998,"0.60","0.60","0.60","0.60","30,000"
12/23/1998,"0.80","0.80","0.80","0.80","12,600,000"
12/29/1998,"1.00","1.00","1.00","1.00","40,000"
01/06/1999,"1.00","1.00","1.00","1.00","20,000"
02/16/1999,"1.00","1.00","1.00","1.00","1,680,000"
05/27/1999,"1.00","1.00","1.00","1.00","10,000"
07/07/1999,"1.00","1.00","1.00","1.00","10,000"
07/29/1999,"1.00","1.00","1.00","1.00","60,000"
07/29/2004,"1.00","1.00","1.00","1.00","30,000"
11/22/2004,"1.20","1.20","1.20","1.20","10,000"
12/23/2004,"1.30","1.30","1.30","1.30","10,000"
01/17/2005,"1.30","1.30","1.30","1.30","184,000"
05/24/2007,"1.00","1.00","1.00","1.00","527,000"
09/11/2008,"1.00","1.00","1.00","1.00","550,000"
01/26/2010,"1.00","1.00","1.00","1.00","570,000"
09/26/2011,"1.05","1.50","1.05","1.50","43,000"
09/28/2011,"1.11","1.11","1.11","1.11","1,000"
11/29/2011,"1.24","1.27","1.24","1.27","12,010,000"
12/01/2011,"1.52","1.90","1.52","1.90","7,000"
12/02/2011,"2.85","2.85","2.85","2.85","25,000"
12/05/2011,"4.27","4.27","4.27","4.27","8,000"
12/06/2011,"5.90","5.90","3.03","3.48","39,000"
12/07/2011,"3.48","3.50","3.48","3.50","4,000"
12/15/2011,"2.80","2.80","2.80","2.80","2,000"
12/21/2011,"3.04","3.04","3.04","3.04","8,000"
02/16/2012,"2.75","2.75","2.75","2.75","1,000"
03/07/2012,"2.52","2.52","2.50","2.50","8,000"
03/28/2012,"2.50","2.50","2.50","2.50","3,000"
04/17/2012,"2.72","2.72","2.72","2.72","1,000"
06/05/2012,"3.10","3.10","3.10","3.10","1,000"
07/17/2012,"3.30","3.30","3.30","3.30","1,000"
08/08/2012,"3.30","3.30","3.30","3.30","3,000"
10/03/2012,"3.30","3.30","3.30","3.30","3,000"
11/25/2014,"3.35","3.35","3.35","3.35","20,000"
04/10/2015,"5.00","5.00","3.10","3.10","10,000"
04/14/2015,"3.12","3.12","3.12","3.12","1,000"
04/24/2015,"4.60","4.60","4.00","4.00","2,000"
04/28/2015,"4.50","6.00","4.50","6.00","40,000"
04/29/2015,"7.20","9.00","7.20","9.00","28,900"
04/30/2015,"13.50","13.50","13.48","13.50","9,600"
05/04/2015,"20.25","20.25","20.25","20.25","8,400"
05/05/2015,"30.35","30.35","30.35","30.35","5,700"
05/06/2015,"45.50","45.50","45.50","45.50","23,000"
05/07/2015,"68.25","68.25","68.00","68.25","16,600"
05/08/2015,"95.50","95.50","35.00","46.85","49,530"
05/11/2015,"46.80","46.80","25.00","25.00","29,500"
05/12/2015,"25.00","37.50","25.00","37.50","33,500"
05/13/2015,"45.00","55.00","45.00","55.00","50,600"
05/14/2015,"58.00","80.00","58.00","80.00","66,580"
05/15/2015,"82.00","82.00","62.25","64.00","26,390"
05/18/2015,"63.95","74.50","45.00","64.00","14,000"
05/19/2015,"64.00","65.00","55.00","58.00","7,170"
05/20/2015,"63.90","63.90","54.90","60.75","6,010"
05/21/2015,"56.00","61.80","56.00","58.40","4,370"
05/22/2015,"58.40","60.00","54.00","56.00","6,450"
05/25/2015,"56.00","62.90","56.00","57.15","7,020"
05/26/2015,"56.00","59.00","54.10","54.20","3,220"
05/27/2015,"54.10","54.10","50.00","51.95","2,590"
05/28/2015,"51.95","51.95","47.00","51.90","240"
05/29/2015,"45.00","51.70","45.00","51.00","2,380"
06/01/2015,"50.00","51.90","46.00","46.00","2,250"
06/02/2015,"46.00","59.95","45.00","55.00","6,300"
06/03/2015,"57.00","57.00","50.00","50.00","2,880"
06/04/2015,"55.95","56.00","50.00","50.00","6,800"
06/05/2015,"54.00","54.00","46.00","48.00","1,870"
06/08/2015,"53.30","53.30","51.50","51.50","200"
06/09/2015,"52.90","53.00","47.75","52.00","1,630"
06/10/2015,"52.00","52.95","45.00","50.00","2,550"
06/11/2015,"50.00","50.00","50.00","50.00","160"
06/15/2015,"49.35","51.00","46.00","48.00","1,140"
06/16/2015,"48.00","50.00","46.50","50.00","1,100"
06/17/2015,"50.00","52.00","47.00","50.50","3,240"
06/18/2015,"48.00","51.00","47.00","50.00","2,100"
06/19/2015,"47.60","50.50","46.00","49.80","4,180"
06/22/2015,"46.50","49.75","46.00","49.75","2,000"
06/24/2015,"46.00","49.00","46.00","49.00","1,100"
06/25/2015,"45.00","48.95","45.00","48.90","1,400"
06/30/2015,"48.45","48.45","40.00","48.00","2,000"
07/01/2015,"47.90","47.90","46.00","47.50","700"
07/02/2015,"47.00","47.00","47.00","47.00","100"
07/06/2015,"47.00","47.00","42.00","46.00","400"
07/07/2015,"40.00","45.00","37.00","45.00","1,000"
07/08/2015,"39.00","44.00","37.00","40.00","1,000"
07/09/2015,"39.00","39.00","39.00","39.00","300"
07/10/2015,"39.00","39.00","35.00","35.00","1,400"
07/13/2015,"34.50","40.00","34.50","40.00","500"
07/14/2015,"40.00","48.00","40.00","47.50","3,900"
07/15/2015,"47.50","47.50","47.50","47.50","100"
07/16/2015,"41.00","46.85","37.10","41.00","3,700"
07/20/2015,"39.20","44.80","37.50","43.40","2,400"
07/21/2015,"43.50","44.00","39.00","44.00","2,100"
07/27/2015,"44.00","44.00","44.00","44.00","1,000"
07/28/2015,"39.00","43.00","39.00","43.00","2,200"
07/30/2015,"42.95","42.95","42.95","42.95","800"
08/03/2015,"36.00","40.00","36.00","40.00","1,500"
08/04/2015,"42.95","42.95","41.50","41.50","2,000"
08/05/2015,"38.00","40.00","36.00","40.00","900"
08/10/2015,"39.95","39.95","39.95","39.95","100"
08/13/2015,"39.00","39.50","39.00","39.50","400"
08/14/2015,"39.00","39.50","39.00","39.50","500"
08/24/2015,"35.00","35.00","35.00","35.00","100"
08/27/2015,"35.00","35.00","35.00","35.00","400"
08/28/2015,"35.00","35.00","35.00","35.00","1,000"
09/01/2015,"35.00","37.00","35.00","37.00","300"
09/02/2015,"36.50","36.50","36.50","36.50","100"
09/07/2015,"36.50","36.50","36.50","36.50","100"
09/15/2015,"35.00","35.00","35.00","35.00","200"
09/16/2015,"38.00","38.00","38.00","38.00","100"
09/21/2015,"38.00","38.00","38.00","38.00","600"
09/29/2015,"37.00","37.00","37.00","37.00","500"
10/13/2015,"19.00","25.50","19.00","25.50","800"
10/14/2015,"25.50","30.80","25.50","30.80","900"
10/15/2015,"35.00","35.00","35.00","35.00","700"
10/16/2015,"29.00","34.00","29.00","34.00","500"
10/20/2015,"33.00","33.00","32.80","32.80","200"
10/23/2015,"29.00","33.00","29.00","31.50","4,600"
10/26/2015,"32.50","32.50","32.00","32.00","300"
10/28/2015,"32.00","32.00","32.00","32.00","100"
11/05/2015,"26.00","30.00","26.00","30.00","4,700"
11/09/2015,"30.00","30.00","29.95","29.95","900"
11/11/2015,"29.90","29.90","29.90","29.90","100"
11/12/2015,"23.20","29.50","23.20","29.50","400"
