Date,Open,High,Low,Close,Volume
01/04/1995,"29.25","29.46","29.25","29.25","917,213"
01/05/1995,"29.88","30.09","29.88","29.88","1,818,633"
01/06/1995,"30.30","30.51","30.30","30.30","800,677"
01/09/1995,"29.46","29.67","29.46","29.46","363,248"
01/10/1995,"29.46","30.09","29.46","29.46","558,990"
01/11/1995,"29.67","29.88","29.67","29.67","422,114"
01/13/1995,"29.04","29.04","28.63","29.04","3,774,142"
01/16/1995,"29.04","29.04","28.83","29.04","1,306,544"
01/17/1995,"29.04","29.04","28.83","29.04","1,061,507"
01/18/1995,"28.63","28.83","28.63","28.63","650,640"
01/19/1995,"28.21","28.42","28.21","28.21","1,639,163"
01/20/1995,"27.16","27.16","26.95","27.16","2,904,309"
01/23/1995,"26.33","26.33","26.12","26.33","1,199,819"
01/24/1995,"25.70","25.91","25.70","25.70","630,300"
01/25/1995,"27.16","27.16","26.75","27.16","1,220,398"
01/26/1995,"27.16","27.16","26.75","27.16","2,543,933"
01/27/1995,"25.91","25.91","25.49","25.91","2,251,516"
01/30/1995,"26.33","26.33","26.12","26.33","948,321"
02/01/1995,"26.95","26.95","26.75","26.95","228,526"
02/02/1995,"26.75","26.75","26.33","26.75","193,589"
02/03/1995,"26.95","27.16","26.95","26.95","1,020,349"
02/06/1995,"26.95","26.95","26.75","26.95","1,600,636"
02/07/1995,"27.16","27.16","26.95","27.16","1,496,304"
02/08/1995,"27.37","27.58","27.16","27.37","973,208"
02/09/1995,"27.79","28.00","27.79","27.79","3,838,034"
02/10/1995,"28.63","28.63","28.42","28.63","1,264,668"
02/14/1995,"28.83","28.83","28.63","28.83","1,004,077"
02/15/1995,"28.42","28.42","28.21","28.42","663,322"
02/16/1995,"28.42","28.42","28.21","28.42","1,380,007"
02/17/1995,"28.63","28.63","28.42","28.63","613,310"
02/20/1995,"28.21","28.42","28.21","28.21","187,128"
02/21/1995,"28.25","28.42","28.21","28.25","801,874"
02/22/1995,"28.21","28.21","27.79","28.21","602,781"
02/23/1995,"28.42","28.42","27.58","28.42","732,957"
02/24/1995,"28.00","28.21","28.00","28.00","581,245"
02/27/1995,"27.16","27.16","26.33","27.16","519,268"
02/28/1995,"27.58","27.58","27.37","27.58","294,571"
03/01/1995,"27.16","27.16","26.95","27.16","1,078,258"
03/02/1995,"27.37","27.58","27.37","27.37","874,380"
03/06/1995,"28.00","28.00","27.58","28.00","578,852"
03/07/1995,"27.16","27.16","26.75","27.16","1,161,293"
03/08/1995,"27.16","27.58","27.16","27.16","2,132,826"
03/09/1995,"27.42","27.42","27.16","27.42","1,044,278"
03/10/1995,"27.16","27.16","26.64","27.16","777,992"
03/14/1995,"26.12","26.12","25.33","26.12","739,705"
03/15/1995,"25.60","25.60","25.33","25.60","362,387"
03/16/1995,"24.55","24.81","24.03","24.55","1,260,408"
03/20/1995,"24.81","24.81","24.29","24.81","109,118"
03/22/1995,"23.90","24.03","23.90","23.90","1,295,441"
03/23/1995,"24.16","24.16","24.03","24.16","1,039,875"
03/24/1995,"24.81","24.81","24.55","24.81","904,722"
03/28/1995,"24.81","24.81","24.68","24.81","573,922"
03/29/1995,"24.81","24.81","24.68","24.81","1,027,815"
03/30/1995,"25.07","25.49","24.94","25.07","60,111"
03/31/1995,"25.07","25.20","25.07","25.07","414,265"
04/03/1995,"25.07","25.49","24.94","25.07","279,495"
04/04/1995,"25.07","25.49","24.94","25.07","575,837"
04/05/1995,"25.07","25.07","24.94","25.07","71,788"
04/07/1995,"25.20","25.20","25.07","25.20","178,035"
04/10/1995,"25.20","25.33","25.07","25.20","121,561"
04/11/1995,"25.07","25.33","25.07","25.07","598,235"
04/12/1995,"25.07","25.33","25.07","25.07","298,639"
04/18/1995,"25.20","25.20","25.07","25.20","793,115"
04/19/1995,"25.20","25.20","25.07","25.20","1,760,054"
04/21/1995,"25.20","25.20","25.07","25.20","1,307,310"
04/24/1995,"25.20","25.20","25.07","25.20","606,658"
04/25/1995,"24.81","24.94","24.81","24.81","563,202"
04/26/1995,"25.07","25.07","24.81","25.07","542,527"
04/28/1995,"24.68","24.68","24.55","24.68","266,286"
05/02/1995,"24.16","24.42","24.16","24.16","112,181"
05/03/1995,"23.90","23.90","23.77","23.90","163,677"
05/05/1995,"25.60","25.60","25.20","25.60","589,237"
05/15/1995,"28.47","28.47","28.21","28.47","2,231,367"
05/16/1995,"29.25","29.25","28.99","29.25","3,366,960"
05/17/1995,"28.47","28.47","28.21","28.47","6,180,098"
05/18/1995,"28.47","28.47","28.21","28.47","2,528,091"
05/19/1995,"28.73","28.73","28.47","28.73","2,554,318"
05/22/1995,"28.47","28.47","28.21","28.47","451,212"
05/26/1995,"29.78","29.78","29.51","29.78","913,528"
05/29/1995,"29.51","29.51","29.25","29.51","722,476"
05/30/1995,"29.51","29.51","29.25","29.51","528,935"
05/31/1995,"29.51","29.51","29.25","29.51","10,720"
06/05/1995,"29.25","29.25","28.99","29.25","982,636"
06/06/1995,"29.51","29.51","28.99","29.51","1,042,172"
06/13/1995,"29.25","29.25","28.99","29.25","1,620,115"
06/14/1995,"29.25","29.25","28.99","29.25","635,756"
06/20/1995,"29.25","29.25","28.99","29.25","370,235"
06/23/1995,"28.99","28.99","28.73","28.99","268,009"
06/26/1995,"28.73","28.73","28.21","28.73","396,271"
06/27/1995,"29.25","29.25","28.99","29.25","170,377"
06/29/1995,"28.99","28.99","28.47","28.99","429,772"
06/30/1995,"28.99","28.99","28.73","28.99","432,643"
07/03/1995,"29.25","29.25","28.99","29.25","1,062,465"
07/04/1995,"30.30","30.30","30.04","30.30","1,380,821"
07/05/1995,"30.04","30.04","29.78","30.04","677,106"
07/06/1995,"29.78","29.78","29.51","29.78","993,739"
07/07/1995,"30.04","30.04","29.78","30.04","5,719,122"
09/12/1995,"29.14","29.59","28.83","29.14","289,150"
09/13/1995,"28.99","29.14","28.83","28.99","481,917"
09/14/1995,"29.14","29.14","28.83","29.14","624,078"
09/15/1995,"29.44","29.44","28.99","29.44","1,325,230"
09/18/1995,"29.29","29.44","29.29","29.29","186,774"
09/19/1995,"29.44","29.89","29.14","29.44","389,362"
09/22/1995,"29.29","29.74","28.83","29.29","138,499"
09/25/1995,"29.29","29.29","28.99","29.29","282,491"
09/26/1995,"29.29","30.04","29.14","29.29","146,323"
09/27/1995,"29.29","29.29","29.14","29.29","527,695"
09/28/1995,"29.14","29.14","28.99","29.14","127,679"
09/29/1995,"29.14","29.29","28.99","29.14","1,686,959"
10/02/1995,"29.14","29.14","28.99","29.14","149,153"
10/03/1995,"28.99","28.99","28.83","28.99","245,370"
10/04/1995,"28.83","28.83","28.53","28.83","605,434"
10/05/1995,"28.83","29.14","28.68","28.83","461,941"
10/06/1995,"28.83","28.83","28.53","28.83","778,891"
10/09/1995,"28.83","28.83","28.53","28.83","534,686"
10/10/1995,"28.53","28.68","28.23","28.53","103,874"
10/11/1995,"28.53","28.68","28.23","28.53","98,214"
10/12/1995,"28.68","28.68","28.38","28.68","383,869"
10/13/1995,"28.83","28.83","28.53","28.83","383,702"
10/16/1995,"29.44","29.44","28.83","29.44","1,234,506"
10/17/1995,"30.04","31.24","29.44","30.04","876,273"
10/18/1995,"29.59","30.34","29.59","29.59","575,137"
10/19/1995,"30.34","30.34","29.74","30.34","1,587,912"
10/20/1995,"30.04","30.04","29.89","30.04","498,563"
10/24/1995,"29.89","29.89","29.74","29.89","319,114"
10/25/1995,"29.74","29.89","29.59","29.74","416,995"
10/26/1995,"29.74","29.74","29.59","29.74","241,541"
10/27/1995,"29.44","29.89","29.44","29.44","71,414"
10/30/1995,"28.83","29.44","28.68","28.83","24,637"
10/31/1995,"28.83","29.14","28.68","28.83","28,133"
11/02/1995,"29.14","29.14","28.99","29.14","1,065,877"
11/06/1995,"28.53","29.14","28.53","28.53","761,079"
11/07/1995,"28.38","28.53","28.23","28.38","288,151"
11/08/1995,"28.38","28.38","28.08","28.38","1,115,483"
11/09/1995,"28.38","28.38","28.23","28.38","227,891"
11/10/1995,"28.23","28.23","27.78","28.23","439,968"
11/13/1995,"28.23","28.23","27.63","28.23","108,036"
11/14/1995,"27.93","28.23","27.78","27.93","333,763"
11/15/1995,"27.78","27.93","27.63","27.78","1,071,870"
11/16/1995,"27.33","27.63","27.18","27.33","104,041"
11/17/1995,"26.58","27.03","26.43","26.58","540,346"
11/20/1995,"25.53","26.58","25.53","25.53","360,730"
11/21/1995,"26.73","30.04","24.03","26.73","4,163,295"
11/22/1995,"26.58","28.83","26.28","26.58","965,831"
11/23/1995,"26.73","27.33","26.58","26.73","309,459"
11/24/1995,"26.73","26.73","26.28","26.73","1,380,163"
11/27/1995,"26.58","26.88","26.43","26.58","275,999"
11/28/1995,"26.58","26.73","26.43","26.58","175,454"
11/29/1995,"26.88","27.03","26.58","26.88","1,113,652"
12/01/1995,"26.58","26.58","26.43","26.58","1,276,289"
12/04/1995,"27.18","27.18","26.58","27.18","3,316,820"
12/05/1995,"27.63","30.04","27.03","27.63","3,954,714"
12/06/1995,"27.93","28.38","27.48","27.93","396,520"
12/07/1995,"28.08","28.38","27.63","28.08","966,996"
12/08/1995,"28.08","28.23","27.63","28.08","1,070,538"
12/11/1995,"27.93","28.08","27.78","27.93","371,883"
12/12/1995,"27.93","28.08","27.78","27.93","4,200,916"
12/13/1995,"29.44","29.89","27.93","29.44","2,465,350"
12/14/1995,"30.34","30.94","29.44","30.34","6,903,646"
12/15/1995,"30.34","30.64","30.04","30.34","4,533,014"
12/18/1995,"30.04","30.64","30.04","30.04","1,131,963"
12/19/1995,"30.04","30.04","29.44","30.04","773,397"
12/20/1995,"30.04","30.34","29.74","30.04","1,901,033"
12/21/1995,"30.04","30.34","30.04","30.04","3,699,690"
12/22/1995,"30.04","30.34","30.04","30.04","550,334"
12/26/1995,"30.34","30.34","30.04","30.34","399,517"
12/27/1995,"30.34","30.34","30.04","30.34","400,016"
12/28/1995,"30.34","30.34","30.04","30.34","1,748,551"
12/29/1995,"30.64","30.64","30.04","30.64","1,985,264"
01/02/1996,"30.04","30.34","30.04","30.04","285,987"
01/03/1996,"31.24","31.24","30.34","31.24","3,484,117"
01/04/1996,"31.84","32.74","31.54","31.84","5,613,207"
01/05/1996,"31.84","32.74","31.84","31.84","434,764,688"
01/08/1996,"32.14","32.44","31.54","32.14","2,212,989"
01/09/1996,"32.14","32.14","31.54","32.14","5,049,889"
01/10/1996,"31.84","32.14","31.54","31.84","2,290,894"
01/11/1996,"31.84","31.84","31.24","31.84","8,109,853"
01/12/1996,"31.84","32.44","31.54","31.84","8,844,297"
01/15/1996,"32.44","32.44","31.54","32.44","12,878,582"
01/16/1996,"32.14","32.44","31.84","32.14","4,158,468"
01/17/1996,"32.14","32.44","31.54","32.14","2,188,019"
01/18/1996,"31.84","31.84","31.54","31.84","1,901,366"
01/19/1996,"31.84","31.84","31.54","31.84","1,578,423"
01/22/1996,"32.44","32.44","31.84","32.44","16,350,547"
01/23/1996,"32.44","32.74","32.14","32.44","7,377,739"
01/24/1996,"34.24","34.24","32.44","34.24","7,817,207"
