Date,Open,High,Low,Close,Volume
01/03/1995,"0.759","0.759","0.759","0.759","109,069"
01/04/1995,"0.759","0.759","0.759","0.759","327,207"
01/09/1995,"0.770","0.770","0.770","0.770","63,624"
01/10/1995,"0.770","0.770","0.770","0.770","36,356"
01/11/1995,"0.770","0.770","0.770","0.770","127,247"
01/17/1995,"0.781","0.781","0.781","0.781","127,247"
01/18/1995,"0.781","0.781","0.781","0.781","427,187"
01/19/1995,"0.803","0.803","0.803","0.803","181,782"
01/20/1995,"0.781","0.781","0.781","0.781","336,296"
01/23/1995,"0.781","0.781","0.781","0.781","27,267"
01/26/1995,"0.726","0.726","0.726","0.726","18,178"
01/27/1995,"0.737","0.737","0.407","0.737","18,178"
02/02/1995,"0.770","0.770","0.770","0.770","18,178"
02/03/1995,"0.792","0.792","0.770","0.792","154,514"
02/06/1995,"0.770","0.770","0.770","0.770","54,534"
02/07/1995,"0.770","0.770","0.770","0.770","618,057"
02/08/1995,"0.781","0.781","0.770","0.781","81,802"
02/09/1995,"0.792","0.792","0.792","0.792","272,672"
02/10/1995,"0.825","0.825","0.792","0.825","345,385"
02/14/1995,"0.825","0.825","0.825","0.825","272,672"
02/15/1995,"0.803","0.803","0.803","0.803","399,919"
02/17/1995,"0.792","0.792","0.792","0.792","990,710"
02/21/1995,"0.770","0.770","0.770","0.770","181,782"
02/24/1995,"0.825","0.825","0.825","0.825","90,891"
02/28/1995,"0.814","0.814","0.814","0.814","163,603"
03/02/1995,"0.770","0.770","0.770","0.770","18,178"
03/08/1995,"0.770","0.770","0.770","0.770","536,256"
03/10/1995,"0.770","0.770","0.770","0.770","272,672"
03/15/1995,"0.748","0.748","0.748","0.748","18,178"
03/16/1995,"0.748","0.748","0.748","0.748","372,652"
03/28/1995,"0.737","0.748","0.737","0.737","454,454"
03/29/1995,"0.770","0.770","0.748","0.770","181,782"
03/31/1995,"0.737","0.737","0.737","0.737","18,178"
04/05/1995,"0.715","0.726","0.715","0.715","90,891"
04/18/1995,"0.726","0.726","0.726","0.726","45,445"
04/19/1995,"0.715","0.715","0.715","0.715","54,534"
04/28/1995,"0.715","0.715","0.715","0.715","54,534"
05/04/1995,"0.726","0.726","0.726","0.726","9,089"
05/15/1995,"0.759","0.759","0.759","0.759","9,089"
05/17/1995,"0.759","0.770","0.759","0.759","218,138"
05/22/1995,"0.770","0.770","0.770","0.770","1,272,471"
05/29/1995,"0.770","0.770","0.770","0.770","18,178"
05/30/1995,"0.726","0.726","0.660","0.726","9,089"
06/05/1995,"0.748","0.759","0.748","0.748","90,891"
06/13/1995,"0.748","0.748","0.748","0.748","27,267"
06/14/1995,"0.748","0.748","0.748","0.748","36,356"
06/23/1995,"0.748","0.781","0.748","0.748","1,881,439"
06/30/1995,"0.748","0.748","0.748","0.748","9,089"
07/04/1995,"0.792","0.792","0.792","0.792","18,178"
07/06/1995,"0.770","0.770","0.770","0.770","18,178"
09/12/1995,"0.979","0.990","0.979","0.979","399,919"
09/13/1995,"0.979","0.990","0.979","0.979","145,425"
09/14/1995,"0.990","1.012","0.979","0.990","418,098"
09/15/1995,"0.990","0.990","0.935","0.990","209,049"
09/18/1995,"0.990","1.001","0.990","0.990","227,227"
09/19/1995,"1.012","1.012","1.001","1.012","1,208,847"
09/22/1995,"0.990","0.990","0.990","0.990","90,891"
09/25/1995,"1.001","1.001","0.990","1.001","318,118"
09/26/1995,"1.001","1.023","1.001","1.001","1,363,362"
09/27/1995,"1.012","1.023","1.001","1.012","1,227,026"
09/28/1995,"1.067","1.078","1.012","1.067","1,390,629"
09/29/1995,"1.023","1.056","1.023","1.023","990,710"
10/02/1995,"1.023","1.023","1.023","1.023","436,276"
10/03/1995,"1.023","1.023","1.023","1.023","699,859"
10/04/1995,"1.023","1.034","1.012","1.023","554,434"
10/05/1995,"1.034","1.034","1.023","1.034","245,405"
10/06/1995,"1.034","1.034","1.034","1.034","590,790"
10/09/1995,"1.034","1.034","0.990","1.034","190,871"
10/10/1995,"1.001","1.001","1.001","1.001","18,178"
10/11/1995,"0.990","0.990","0.990","0.990","563,523"
10/12/1995,"1.012","1.012","1.001","1.012","481,721"
10/13/1995,"1.023","1.045","1.012","1.023","836,195"
10/16/1995,"1.034","1.045","1.023","1.034","1,108,868"
10/17/1995,"1.045","1.045","1.034","1.045","2,644,922"
10/18/1995,"1.089","1.089","1.045","1.089","5,435,269"
10/19/1995,"1.100","1.100","1.089","1.100","3,290,246"
10/20/1995,"1.089","1.100","1.089","1.089","554,434"
10/24/1995,"1.100","1.100","1.078","1.100","91,163,460"
10/25/1995,"1.100","1.100","1.078","1.100","1,508,787"
10/26/1995,"1.100","1.100","1.078","1.100","1,436,074"
10/27/1995,"1.100","1.100","1.078","1.100","1,299,738"
10/30/1995,"1.067","1.078","1.067","1.067","109,069"
10/31/1995,"1.100","1.100","1.078","1.100","2,563,120"
11/02/1995,"1.089","1.100","1.078","1.089","390,830"
11/06/1995,"0.990","1.078","0.990","0.990","45,445"
11/07/1995,"1.089","1.089","1.045","1.089","590,790"
11/08/1995,"1.067","1.067","1.056","1.067","236,316"
11/09/1995,"1.078","1.078","1.067","1.078","290,851"
11/10/1995,"1.045","1.045","1.034","1.045","363,563"
11/13/1995,"1.067","1.067","1.056","1.067","290,851"
11/14/1995,"1.056","1.056","1.045","1.056","136,336"
11/15/1995,"1.056","1.056","1.045","1.056","118,158"
11/16/1995,"1.045","1.045","1.023","1.045","463,543"
11/17/1995,"1.045","1.045","1.034","1.045","1,463,342"
11/20/1995,"1.034","1.034","0.990","1.034","81,802"
11/21/1995,"1.034","1.034","1.023","1.034","118,158"
11/22/1995,"1.056","1.056","1.045","1.056","627,146"
11/23/1995,"1.045","1.045","1.034","1.045","145,425"
11/24/1995,"1.056","1.056","1.023","1.056","1,163,402"
11/27/1995,"1.067","1.067","1.034","1.067","3,035,752"
