Date,Open,High,Low,Close,Volume
01/03/1995,"2.341","2.367","2.314","2.341","314,951,586"
01/04/1995,"2.314","2.314","2.288","2.314","22,318,858"
01/05/1995,"2.288","2.314","2.288","2.288","318,546,547"
01/06/1995,"2.314","2.341","2.314","2.314","24,072,618"
01/09/1995,"2.314","2.314","2.288","2.314","13,877,995"
01/10/1995,"2.314","2.314","2.288","2.314","24,686,672"
01/11/1995,"2.288","2.314","2.288","2.288","19,392,122"
01/13/1995,"2.288","2.288","2.262","2.288","58,002,415"
01/16/1995,"2.288","2.288","2.262","2.288","74,312,862"
01/17/1995,"2.288","2.288","2.262","2.288","20,056,555"
01/18/1995,"2.288","2.288","2.262","2.288","77,016,219"
01/23/1995,"1.867","1.867","1.841","1.867","147,864,335"
01/24/1995,"1.578","1.631","1.578","1.578","103,289,356"
01/25/1995,"1.788","1.788","1.762","1.788","57,735,312"
01/26/1995,"1.920","1.920","1.894","1.920","63,423,389"
01/27/1995,"1.841","1.841","1.815","1.841","25,840,637"
01/30/1995,"1.788","1.788","1.762","1.788","6,416,196"
02/01/1995,"1.920","1.920","1.894","1.920","21,030,866"
02/02/1995,"1.946","1.946","1.920","1.946","23,911,025"
02/03/1995,"1.946","1.973","1.946","1.946","25,667,637"
02/07/1995,"2.209","2.236","2.209","2.209","40,207,214"
02/08/1995,"2.157","2.183","2.157","2.157","15,519,591"
02/10/1995,"2.183","2.184","2.157","2.183","15,518,640"
02/14/1995,"2.130","2.157","2.130","2.130","29,848,146"
02/15/1995,"2.078","2.078","2.051","2.078","25,660,983"
02/16/1995,"2.078","2.078","2.051","2.078","10,168,958"
02/17/1995,"2.051","2.051","2.025","2.051","13,704,996"
02/20/1995,"1.973","1.999","1.973","1.973","29,502,146"
02/21/1995,"2.025","2.025","2.020","2.025","39,517,116"
02/22/1995,"1.999","1.999","1.973","1.999","18,882,628"
02/24/1995,"1.920","1.920","1.894","1.920","17,463,461"
02/27/1995,"1.788","1.815","1.788","1.788","40,151,131"
02/28/1995,"1.815","1.841","1.815","1.815","25,493,687"
03/01/1995,"1.762","1.762","1.736","1.762","60,191,527"
03/02/1995,"1.762","1.762","1.736","1.762","8,506,451"
03/06/1995,"1.683","1.683","1.657","1.683","29,608,608"
03/07/1995,"1.710","1.736","1.710","1.710","12,237,350"
03/08/1995,"1.657","1.683","1.657","1.657","28,276,890"
03/09/1995,"1.657","1.657","1.604","1.657","18,926,354"
03/10/1995,"1.499","1.525","1.499","1.499","40,308,922"
03/14/1995,"1.499","1.499","1.473","1.499","23,634,416"
03/15/1995,"1.499","1.525","1.499","1.499","19,949,143"
03/16/1995,"1.552","1.552","1.525","1.552","16,936,857"
03/20/1995,"1.578","1.604","1.578","1.578","38,245,283"
03/22/1995,"1.683","1.683","1.578","1.683","14,061,451"
03/23/1995,"1.447","1.473","1.447","1.447","37,833,696"
03/24/1995,"1.420","1.420","1.394","1.420","45,037,897"
03/28/1995,"1.556","1.574","1.556","1.556","58,201,474"
03/29/1995,"1.592","1.610","1.592","1.592","35,936,293"
03/30/1995,"1.610","1.627","1.610","1.610","13,704,661"
03/31/1995,"1.574","1.592","1.574","1.574","11,188,505"
04/03/1995,"1.534","1.538","1.520","1.534","9,801,824"
04/05/1995,"1.574","1.574","1.556","1.574","7,414,272"
04/07/1995,"1.574","1.592","1.574","1.574","3,399,606"
04/10/1995,"1.574","1.592","1.574","1.574","3,293,368"
04/11/1995,"1.699","1.717","1.699","1.699","40,101,928"
04/12/1995,"1.735","1.753","1.735","1.735","25,910,811"
04/18/1995,"1.878","1.923","1.833","1.878","2,605,619"
04/19/1995,"1.833","1.833","1.788","1.833","6,145,011"
04/21/1995,"1.771","1.771","1.753","1.771","10,210,000"
04/24/1995,"1.753","1.753","1.735","1.753","6,491,681"
04/25/1995,"1.717","1.717","1.699","1.717","10,942,481"
04/26/1995,"1.663","1.681","1.663","1.663","15,499,518"
04/28/1995,"1.645","1.663","1.645","1.645","6,161,785"
05/02/1995,"1.627","1.645","1.627","1.627","1,627,114"
05/03/1995,"1.645","1.663","1.645","1.645","4,875,750"
05/04/1995,"1.735","1.753","1.717","1.735","16,802,328"
