Date,Open,High,Low,Close,Volume
01/03/1995,"97.37","98.10","96.64","97.37","76,360"
01/04/1995,"96.64","97.37","95.90","96.64","93,660"
01/05/1995,"96.64","96.64","95.90","96.64","1,081,592"
01/06/1995,"95.90","95.90","95.17","95.90","133,781"
01/09/1995,"94.44","95.90","94.44","94.44","43,969"
01/10/1995,"90.78","92.97","90.78","90.78","370,458"
01/11/1995,"90.78","91.51","90.05","90.78","764,105"
01/13/1995,"81.99","90.05","81.26","81.99","1,405,069"
01/16/1995,"82.73","84.19","81.26","82.73","1,166,151"
01/17/1995,"85.65","85.65","82.73","85.65","899,157"
01/18/1995,"83.46","85.65","82.73","83.46","1,251,044"
01/19/1995,"86.39","86.39","83.46","86.39","755,940"
01/20/1995,"82.73","86.39","82.73","82.73","346,733"
01/23/1995,"84.92","84.92","81.26","84.92","207,766"
01/24/1995,"81.26","83.46","81.26","81.26","503,335"
01/25/1995,"80.53","82.73","77.60","80.53","1,337,543"
01/26/1995,"79.07","82.73","79.07","79.07","754,602"
01/27/1995,"75.40","79.80","73.94","75.40","1,463,360"
01/30/1995,"77.60","77.60","74.67","77.60","446,718"
02/01/1995,"81.26","81.26","78.33","81.26","872,756"
02/02/1995,"79.80","81.26","79.80","79.80","575,948"
02/03/1995,"82.73","82.73","79.80","82.73","750,887"
02/06/1995,"85.65","86.39","83.46","85.65","854,619"
02/07/1995,"88.58","88.58","86.39","88.58","1,026,045"
02/08/1995,"86.39","88.58","84.19","86.39","483,191"
02/09/1995,"87.12","87.12","85.65","87.12","422,692"
02/10/1995,"87.85","89.46","87.12","87.85","460,102"
02/14/1995,"89.31","89.31","87.12","89.31","445,446"
02/15/1995,"87.85","90.05","87.12","87.85","269,603"
02/16/1995,"87.85","88.58","87.12","87.85","113,603"
02/17/1995,"88.58","89.31","86.39","88.58","730,408"
02/20/1995,"88.58","89.31","87.12","88.58","303,233"
02/21/1995,"89.31","89.31","88.58","89.31","902,704"
02/22/1995,"90.78","91.51","88.58","90.78","515,382"
02/23/1995,"90.05","91.51","90.05","90.05","395,220"
02/24/1995,"87.85","92.97","87.85","87.85","751,456"
02/27/1995,"84.92","86.39","82.73","84.92","1,003,860"
02/28/1995,"85.65","85.65","84.19","85.65","836,751"
03/01/1995,"84.92","87.12","84.92","84.92","582,941"
03/02/1995,"85.65","85.65","84.92","85.65","373,536"
03/06/1995,"84.19","85.65","84.19","84.19","237,279"
03/07/1995,"84.92","84.92","83.46","84.92","588,931"
03/08/1995,"82.73","84.19","81.99","82.73","658,131"
03/09/1995,"76.14","81.99","75.40","76.14","1,587,939"
03/10/1995,"76.14","77.60","74.67","76.14","911,103"
03/14/1995,"73.94","76.14","72.92","73.94","800,378"
03/15/1995,"73.21","74.67","72.92","73.21","816,439"
03/16/1995,"74.67","76.14","72.62","74.67","1,211,157"
03/20/1995,"80.53","81.26","78.33","80.53","1,000,715"
03/22/1995,"78.33","79.07","78.33","78.33","528,700"
03/23/1995,"77.60","78.33","77.60","77.60","296,406"
03/24/1995,"77.60","77.60","75.40","77.60","374,741"
03/28/1995,"76.87","76.87","75.40","76.87","219,210"
03/29/1995,"77.60","79.07","77.60","77.60","581,737"
03/30/1995,"78.33","79.07","77.60","78.33","1,170,233"
03/31/1995,"77.60","78.33","76.87","77.60","515,850"
04/03/1995,"76.87","78.33","76.87","76.87","207,297"
04/04/1995,"78.33","78.33","76.87","78.33","237,915"
04/05/1995,"77.60","78.33","77.60","77.60","764,473"
04/07/1995,"79.07","79.07","78.33","79.07","1,601,960"
04/10/1995,"81.99","81.99","79.07","81.99","594,352"
04/11/1995,"83.46","83.46","81.26","83.46","421,454"
04/12/1995,"79.80","83.46","79.80","79.80","439,624"
04/18/1995,"80.53","80.53","79.80","80.53","79,907"
04/19/1995,"81.26","81.26","79.80","81.26","153,557"
04/21/1995,"82.73","83.46","81.99","82.73","843,644"
04/24/1995,"82.73","83.46","81.99","82.73","409,039"
04/25/1995,"81.99","82.73","81.26","81.99","565,642"
04/26/1995,"81.99","81.99","81.26","81.99","572,602"
04/28/1995,"79.07","81.26","79.07","79.07","708,792"
05/02/1995,"77.60","79.07","76.87","77.60","501,026"
05/03/1995,"76.87","77.60","76.14","76.87","556,941"
05/04/1995,"75.40","76.87","74.67","75.40","3,925,895"
05/05/1995,"78.33","79.07","75.40","78.33","829,523"
05/15/1995,"96.20","98.39","94.88","96.20","761,573"
05/16/1995,"97.51","98.83","95.76","97.51","1,440,472"
05/17/1995,"100.59","102.78","97.95","100.59","1,684,901"
05/18/1995,"97.51","100.59","97.51","97.51","434,515"
05/19/1995,"95.76","97.51","94.44","95.76","285,832"
05/22/1995,"95.76","97.07","94.88","95.76","844,960"
05/26/1995,"98.39","98.39","97.51","98.39","248,154"
05/29/1995,"96.20","97.07","96.20","96.20","116,693"
05/30/1995,"97.95","97.95","96.20","97.95","303,500"
05/31/1995,"98.39","98.83","97.51","98.39","423,495"
06/05/1995,"99.27","101.03","98.83","99.27","46,735"
06/06/1995,"99.27","100.59","99.27","99.27","976,042"
06/13/1995,"97.07","97.51","96.64","97.07","278,761"
06/14/1995,"96.64","97.07","96.20","96.64","236,063"
06/19/1995,"95.76","96.20","95.76","95.76","230,754"
06/20/1995,"96.20","96.64","95.76","96.20","419,993"
06/23/1995,"87.85","92.24","87.85","87.85","1,502,065"
06/26/1995,"88.73","89.61","86.97","88.73","801,616"
06/27/1995,"88.73","89.17","87.85","88.73","159,815"
06/29/1995,"90.05","91.80","89.61","90.05","817,454"
06/30/1995,"90.05","91.36","90.05","90.05","784,171"
07/03/1995,"89.61","91.80","89.17","89.61","705,714"
07/04/1995,"91.36","91.36","90.05","91.36","1,161,354"
07/05/1995,"90.93","91.80","90.49","90.93","563,344"
07/06/1995,"93.12","93.12","90.93","93.12","1,374,485"
