Date,Open,High,Low,Close,Volume
06/01/2021,"13.48","13.56","13.46","13.48","238,439,906"
06/02/2021,"13.48","13.50","13.46","13.48","68,682,492"
06/03/2021,"13.50","13.50","12.68","13.10","148,213,203"
06/04/2021,"13.10","13.42","13.10","13.40","22,601,301"
06/07/2021,"13.40","13.48","13.38","13.46","8,020,600"
06/08/2021,"13.46","13.48","13.38","13.46","9,874,000"
06/09/2021,"13.46","13.76","13.42","13.70","29,222,801"
06/10/2021,"13.78","14.16","13.74","13.92","23,897,500"
06/11/2021,"13.92","14.10","13.80","14.04","6,237,200"
06/14/2021,"14.10","14.70","14.06","14.68","11,431,800"
06/15/2021,"14.66","14.76","14.42","14.66","13,586,500"
06/16/2021,"14.70","14.76","14.50","14.74","9,832,500"
06/17/2021,"14.76","14.78","14.42","14.60","8,647,800"
06/18/2021,"14.60","14.66","14.30","14.30","3,183,800"
06/21/2021,"14.30","14.54","14.30","14.50","3,689,000"
06/22/2021,"14.48","14.58","14.32","14.58","10,730,600"
06/23/2021,"14.58","14.76","14.52","14.74","10,198,600"
06/24/2021,"14.76","15.60","14.76","15.34","30,903,699"
06/25/2021,"15.60","15.98","15.24","15.34","21,668,301"
06/28/2021,"15.50","15.80","15.50","15.60","4,113,100"
06/29/2021,"15.62","16.08","15.62","16.04","23,143,600"
06/30/2021,"16.12","16.80","16.12","16.52","29,927,900"
07/01/2021,"16.68","17.00","16.52","17.00","38,308,898"
07/02/2021,"16.86","17.16","16.84","17.00","11,106,800"
07/05/2021,"17.00","17.12","16.74","16.88","13,795,300"
07/06/2021,"16.90","17.00","16.30","16.44","13,180,400"
07/07/2021,"16.50","16.58","16.18","16.20","8,270,200"
07/08/2021,"16.20","16.70","16.20","16.70","10,136,300"
07/09/2021,"16.70","17.06","16.40","17.00","16,747,000"
07/12/2021,"16.90","17.02","16.80","16.92","5,044,300"
07/13/2021,"16.92","16.94","16.42","16.64","10,100,900"
07/14/2021,"16.64","16.64","16.24","16.34","7,214,400"
07/15/2021,"16.36","16.60","16.22","16.40","6,353,200"
07/16/2021,"16.48","16.56","15.56","15.68","18,880,199"
07/19/2021,"15.68","15.68","14.42","15.18","36,547,301"
07/21/2021,"15.10","15.10","14.66","15.02","14,341,800"
07/22/2021,"15.02","15.52","15.02","15.26","7,100,900"
07/23/2021,"15.38","15.40","14.88","15.00","7,938,900"
07/26/2021,"15.06","15.06","14.74","14.90","4,691,400"
07/27/2021,"14.90","15.18","14.88","15.08","5,082,500"
07/28/2021,"14.90","15.00","14.76","14.88","4,131,900"
07/29/2021,"14.88","15.46","14.86","15.26","16,289,900"
07/30/2021,"15.26","15.46","14.66","14.78","13,607,300"
08/02/2021,"14.80","15.06","14.68","14.78","6,395,700"
08/03/2021,"14.84","15.18","14.78","15.00","8,105,800"
08/04/2021,"15.12","15.60","15.12","15.58","7,020,100"
08/05/2021,"15.58","15.58","15.10","15.30","4,852,700"
08/06/2021,"15.34","15.98","15.34","15.70","21,234,500"
08/09/2021,"15.72","16.96","15.72","16.78","21,145,801"
08/10/2021,"16.78","16.96","16.52","16.92","32,059,000"
08/11/2021,"16.96","17.40","16.72","17.00","27,392,301"
08/12/2021,"16.88","16.90","16.28","16.52","11,926,900"
08/13/2021,"15.92","16.10","15.40","15.54","29,126,400"
08/16/2021,"15.40","16.00","15.20","15.90","14,681,300"
08/17/2021,"15.92","16.20","15.88","15.98","5,225,600"
08/18/2021,"16.08","16.36","15.90","16.04","7,220,900"
08/19/2021,"16.04","16.46","16.04","16.40","6,602,300"
08/20/2021,"16.46","16.86","16.22","16.80","14,747,500"
08/23/2021,"16.80","16.88","16.54","16.76","5,795,100"
08/24/2021,"16.76","16.76","16.66","16.76","6,265,800"
08/25/2021,"16.76","16.76","16.58","16.62","5,216,000"
08/26/2021,"16.62","16.68","16.22","16.30","12,798,800"
08/27/2021,"16.34","16.88","16.34","16.74","7,161,300"
08/31/2021,"16.74","16.96","16.70","16.84","11,067,100"
09/01/2021,"16.84","16.96","16.44","16.60","10,757,400"
09/02/2021,"16.60","16.60","16.38","16.50","15,930,900"
09/03/2021,"16.76","16.76","16.50","16.70","7,266,400"
09/06/2021,"16.70","16.96","16.68","16.72","6,367,400"
09/07/2021,"16.74","17.70","16.74","17.68","37,789,102"
09/08/2021,"17.50","17.50","17.12","17.20","22,209,000"
09/09/2021,"17.22","17.46","17.22","17.36","15,786,600"
09/10/2021,"17.38","17.68","17.36","17.48","11,987,400"
09/13/2021,"17.46","17.86","17.40","17.58","12,453,100"
09/14/2021,"17.66","18.26","17.58","18.26","29,259,900"
09/15/2021,"18.30","19.00","18.26","19.00","29,010,699"
09/16/2021,"18.98","19.50","18.84","18.96","35,040,500"
09/17/2021,"19.00","19.84","18.88","19.50","47,457,500"
09/20/2021,"19.30","19.70","18.60","19.30","23,077,801"
09/21/2021,"18.92","19.16","18.76","18.94","23,113,301"
09/22/2021,"19.10","19.52","19.04","19.42","8,998,300"
09/23/2021,"19.70","20.00","19.46","19.60","27,402,100"
09/24/2021,"19.68","20.10","19.68","19.92","33,340,301"
09/27/2021,"20.00","20.70","19.98","20.25","22,916,699"
09/28/2021,"19.30","19.34","18.62","18.62","115,444,492"
09/29/2021,"18.62","18.78","17.54","17.82","98,874,094"
09/30/2021,"18.10","18.86","18.10","18.80","43,793,801"
10/01/2021,"18.74","19.10","18.62","18.80","34,203,199"
10/04/2021,"19.00","19.14","18.76","19.06","14,026,600"
10/05/2021,"19.00","19.06","18.76","18.80","37,192,898"
10/06/2021,"18.80","19.14","18.76","19.00","11,441,700"
10/07/2021,"19.14","19.88","18.30","18.50","41,460,699"
10/08/2021,"18.62","18.84","18.04","18.44","34,130,199"
10/11/2021,"18.26","19.02","18.26","18.98","12,893,600"
10/12/2021,"18.96","18.96","17.62","17.70","49,869,000"
10/13/2021,"18.00","18.20","16.50","17.00","54,519,102"
10/14/2021,"17.02","17.34","16.40","16.54","43,906,898"
10/15/2021,"16.70","16.96","16.12","16.38","61,058,602"
10/18/2021,"16.36","16.38","15.08","15.20","88,249,695"
10/19/2021,"15.28","15.98","15.08","15.14","73,359,508"
10/20/2021,"15.78","15.78","15.32","15.52","51,144,801"
10/21/2021,"15.76","16.64","15.60","16.58","31,870,600"
10/22/2021,"16.62","16.72","16.14","16.20","14,093,800"
10/25/2021,"16.18","16.66","16.00","16.24","9,785,900"
10/26/2021,"16.38","16.48","16.22","16.34","10,540,200"
10/27/2021,"16.44","16.64","16.32","16.34","15,128,500"
10/28/2021,"16.42","16.62","16.36","16.40","10,549,200"
10/29/2021,"16.40","16.48","16.02","16.10","9,373,100"
11/02/2021,"16.24","16.52","16.04","16.24","11,726,500"
11/03/2021,"16.24","16.56","16.18","16.18","13,630,300"
11/04/2021,"16.20","16.34","16.16","16.26","8,648,200"
11/05/2021,"16.30","16.48","16.30","16.44","13,142,300"
11/08/2021,"16.36","16.48","16.36","16.42","12,181,300"
11/09/2021,"16.42","16.96","16.40","16.88","38,757,801"
11/10/2021,"17.00","17.28","16.82","16.88","24,522,100"
11/11/2021,"17.10","17.18","16.50","16.60","24,443,900"
11/12/2021,"17.60","17.80","16.64","16.96","119,376,602"
11/15/2021,"17.20","17.60","17.12","17.38","56,462,602"
11/16/2021,"17.48","17.76","17.40","17.64","48,287,500"
11/17/2021,"17.74","18.18","17.70","18.12","55,010,102"
11/18/2021,"18.20","18.20","17.36","17.84","46,521,602"
11/19/2021,"17.96","18.12","17.60","18.08","33,751,699"
11/22/2021,"18.20","18.68","18.14","18.62","70,329,398"
11/23/2021,"18.70","19.10","18.62","18.98","66,412,000"
11/24/2021,"19.00","19.02","17.92","18.02","100,485,906"
11/25/2021,"17.90","18.08","17.42","17.88","77,049,297"
11/26/2021,"18.06","18.34","17.60","17.60","73,281,398"
11/29/2021,"17.00","17.78","16.72","17.02","329,857,875"
12/01/2021,"17.64","17.64","16.90","17.00","59,525,000"
12/02/2021,"16.88","16.94","16.56","16.76","38,840,301"
12/03/2021,"16.94","16.96","16.62","16.72","36,413,699"
12/06/2021,"16.78","16.94","16.50","16.50","13,654,200"
12/07/2021,"16.54","16.60","15.74","15.80","46,155,199"
12/09/2021,"15.86","16.18","15.84","15.96","20,429,301"
12/10/2021,"16.10","16.10","15.90","16.00","20,271,199"
12/13/2021,"16.14","16.32","16.00","16.12","56,205,898"
12/14/2021,"16.28","16.34","16.08","16.10","53,353,301"
12/15/2021,"16.10","16.28","15.60","15.60","60,245,102"
12/16/2021,"15.64","16.04","15.64","16.00","23,169,699"
12/17/2021,"15.94","16.00","15.32","15.32","287,555,812"
12/20/2021,"15.54","15.94","15.34","15.90","14,802,300"
12/21/2021,"15.88","15.90","15.62","15.84","5,770,300"
12/22/2021,"15.84","16.02","15.70","15.90","12,133,200"
12/23/2021,"15.98","16.18","15.94","15.98","13,380,300"
12/24/2021,"16.00","16.10","15.86","15.86","3,645,300"
12/27/2021,"15.84","16.00","15.74","15.82","3,533,100"
12/28/2021,"15.84","15.86","15.40","15.60","11,281,900"
12/29/2021,"15.60","15.68","15.46","15.60","4,735,300"
12/31/2021,"15.58","16.20","15.46","16.20","13,375,400"
01/03/2022,"15.82","15.96","15.64","15.70","3,268,200"
01/05/2022,"15.98","16.00","15.76","16.00","13,240,300"
01/06/2022,"15.96","16.26","15.88","16.22","11,198,000"
01/07/2022,"16.22","16.26","15.82","16.00","17,097,801"
01/10/2022,"16.00","16.14","15.92","15.92","9,503,000"
01/11/2022,"15.94","16.02","15.64","15.68","15,707,200"
01/12/2022,"15.78","16.04","15.70","15.90","5,300,900"
01/13/2022,"16.00","16.72","15.98","16.58","27,016,000"
01/14/2022,"16.70","17.18","16.58","17.18","15,871,900"
01/17/2022,"17.02","17.42","16.98","17.24","16,413,500"
01/18/2022,"17.14","17.22","16.70","16.70","12,020,900"
01/19/2022,"16.70","16.70","16.42","16.58","14,146,700"
01/20/2022,"16.24","16.80","16.22","16.24","13,120,200"
01/21/2022,"16.30","16.66","16.30","16.50","13,188,400"
01/24/2022,"16.78","16.80","16.42","16.64","17,395,400"
01/25/2022,"16.66","16.80","16.60","16.80","15,133,200"
01/26/2022,"16.82","16.96","16.72","16.74","6,946,200"
01/27/2022,"16.80","16.90","16.66","16.68","8,313,300"
01/28/2022,"16.70","16.86","16.26","16.26","13,459,700"
01/31/2022,"16.26","16.48","16.26","16.38","20,138,801"
02/02/2022,"16.50","16.80","16.44","16.56","14,048,800"
02/03/2022,"16.54","16.54","16.00","16.00","18,174,100"
02/04/2022,"16.00","16.08","15.64","16.06","18,802,900"
02/07/2022,"16.38","16.40","15.54","15.60","46,473,000"
02/08/2022,"15.82","15.92","15.60","15.74","24,060,301"
02/09/2022,"15.80","16.46","15.78","16.26","31,753,600"
02/10/2022,"16.24","16.26","15.72","16.20","41,869,102"
02/11/2022,"16.22","18.16","16.00","18.16","283,141,688"
02/14/2022,"16.36","17.00","16.34","17.00","72,260,492"
02/15/2022,"16.90","16.90","16.14","16.50","15,645,000"
02/16/2022,"16.70","16.98","16.42","16.92","18,613,699"
02/17/2022,"16.92","16.92","16.50","16.50","6,877,000"
02/18/2022,"16.50","16.50","16.06","16.06","7,429,100"
02/21/2022,"16.10","16.24","15.52","15.52","18,641,100"
02/22/2022,"15.52","15.80","15.44","15.48","11,502,500"
02/23/2022,"15.50","15.80","15.20","15.80","13,539,100"
02/24/2022,"15.80","15.84","14.80","14.80","19,719,801"
02/28/2022,"14.90","16.52","14.90","16.52","28,305,199"
03/01/2022,"15.74","15.88","15.60","15.70","15,667,300"
03/02/2022,"15.68","15.68","15.14","15.14","9,306,400"
03/03/2022,"15.40","15.50","14.84","14.84","15,189,600"
03/04/2022,"14.92","15.00","14.70","14.76","17,246,301"
03/07/2022,"14.74","14.74","14.36","14.48","10,473,100"
03/08/2022,"14.40","14.40","13.80","13.80","13,021,000"
03/09/2022,"13.80","14.18","13.50","13.50","9,164,600"
03/10/2022,"14.16","14.66","13.76","14.30","9,884,000"
03/11/2022,"14.30","14.70","14.24","14.70","4,360,800"
03/14/2022,"14.68","14.68","13.90","14.40","6,256,300"
03/15/2022,"14.30","15.50","13.80","15.50","12,965,800"
03/16/2022,"15.44","15.44","14.70","15.40","8,255,600"
03/17/2022,"15.10","15.48","15.04","15.08","8,333,900"
03/18/2022,"15.20","15.34","14.22","14.34","69,261,000"
03/21/2022,"14.30","14.34","13.68","13.70","20,233,801"
03/22/2022,"13.90","13.98","13.42","13.48","23,296,400"
03/23/2022,"13.60","13.70","13.42","13.42","7,459,800"
03/24/2022,"13.50","13.68","13.42","13.50","7,843,300"
03/25/2022,"13.42","13.72","13.40","13.50","6,945,300"
03/28/2022,"13.50","13.68","13.42","13.50","3,903,800"
03/29/2022,"13.50","13.74","13.44","13.74","6,871,700"
03/30/2022,"13.82","14.02","13.78","13.88","11,120,800"
03/31/2022,"13.90","13.94","13.60","13.70","12,829,800"
04/01/2022,"13.70","13.72","13.52","13.60","7,146,200"
04/04/2022,"13.60","13.68","13.36","13.38","6,305,700"
04/05/2022,"13.36","13.38","13.22","13.28","4,645,900"
04/06/2022,"13.30","13.30","12.88","13.06","8,449,300"
04/07/2022,"13.18","13.20","12.92","12.92","4,848,000"
04/08/2022,"12.94","13.12","12.94","13.12","2,208,100"
