Date,Open,High,Low,Close,Volume
12/04/1995,"2.89","2.89","2.89","2.89","900"
12/05/1995,"2.67","2.67","2.67","2.67","15,750"
12/06/1995,"2.89","2.89","2.89","2.89","7,200"
12/07/1995,"2.89","2.89","2.89","2.89","9,000"
12/15/1995,"3.11","3.11","2.89","3.11","67,950"
12/18/1995,"3.33","3.33","3.33","3.33","9,000"
12/19/1995,"3.33","3.33","3.33","3.33","23,400"
12/20/1995,"3.56","3.56","3.33","3.56","35,550"
12/21/1995,"5.33","5.33","3.56","5.33","305,550"
12/22/1995,"4.00","4.67","3.78","4.00","427,950"
12/26/1995,"4.00","4.00","3.78","4.00","15,750"
12/27/1995,"4.00","4.00","4.00","4.00","13,500"
12/28/1995,"3.78","3.78","3.78","3.78","2,250"
12/29/1995,"4.00","4.00","4.00","4.00","9,000"
01/02/1996,"4.00","4.00","3.78","4.00","99,450"
01/03/1996,"4.44","4.44","4.00","4.44","66,150"
01/04/1996,"4.67","4.67","4.67","4.67","220,500"
01/05/1996,"4.44","4.44","4.44","4.44","31,500"
01/08/1996,"4.67","4.67","4.44","4.67","75,600"
01/10/1996,"4.67","4.67","4.67","4.67","166,500"
01/11/1996,"5.33","5.33","4.89","5.33","188,100"
01/12/1996,"5.33","5.33","4.89","5.33","16,650"
01/15/1996,"6.00","6.00","5.56","6.00","22,950"
01/16/1996,"5.33","5.56","5.11","5.33","53,550"
01/17/1996,"5.33","5.56","5.33","5.33","41,850"
01/18/1996,"5.33","5.33","5.33","5.33","9,000"
01/19/1996,"5.33","5.56","5.33","5.33","14,400"
01/22/1996,"5.33","5.56","5.33","5.33","40,500"
01/23/1996,"5.33","5.33","5.33","5.33","27,000"
01/25/1996,"5.78","5.78","5.33","5.78","79,650"
01/26/1996,"6.00","6.00","5.78","6.00","69,750"
01/29/1996,"5.56","5.78","5.56","5.56","53,100"
01/30/1996,"5.56","5.78","5.56","5.56","80,550"
01/31/1996,"5.33","5.78","5.33","5.33","103,050"
02/02/1996,"4.89","5.33","4.89","4.89","13,500"
02/05/1996,"4.67","4.67","4.67","4.67","18,000"
02/06/1996,"4.89","4.89","4.67","4.89","36,900"
02/07/1996,"4.67","4.67","4.67","4.67","900"
02/09/1996,"4.89","4.89","4.44","4.89","57,600"
02/12/1996,"4.89","4.89","4.89","4.89","22,500"
02/14/1996,"4.89","4.89","4.89","4.89","20,250"
02/16/1996,"4.89","4.89","4.89","4.89","4,500"
02/19/1996,"4.67","4.67","4.44","4.67","7,200"
02/21/1996,"4.67","4.67","4.67","4.67","2,700"
02/23/1996,"4.67","4.67","4.67","4.67","4,500"
02/27/1996,"4.67","4.67","4.67","4.67","2,700"
02/28/1996,"4.44","4.67","4.44","4.44","10,800"
03/01/1996,"4.89","4.89","4.67","4.89","135,900"
03/04/1996,"4.89","4.89","4.89","4.89","22,500"
03/12/1996,"4.67","4.67","4.67","4.67","9,000"
03/14/1996,"4.89","5.11","4.67","4.89","81,000"
03/15/1996,"4.67","4.67","4.67","4.67","31,500"
03/21/1996,"4.67","4.67","4.67","4.67","7,650"
03/22/1996,"4.89","4.89","4.89","4.89","42,300"
04/02/1996,"4.89","4.89","4.89","4.89","4,500"
04/12/1996,"4.67","4.67","4.67","4.67","18,000"
04/15/1996,"5.11","5.11","5.11","5.11","450"
04/16/1996,"5.11","5.11","4.89","5.11","60,750"
04/17/1996,"4.89","4.89","4.89","4.89","1,350"
04/19/1996,"5.11","5.11","5.11","5.11","6,750"
04/22/1996,"4.89","4.89","4.89","4.89","1,800"
04/23/1996,"4.89","4.89","4.89","4.89","4,950"
04/25/1996,"4.89","4.89","4.89","4.89","7,200"
04/26/1996,"4.89","4.89","4.89","4.89","6,750"
05/02/1996,"4.89","4.89","4.89","4.89","4,500"
05/09/1996,"4.89","4.89","4.89","4.89","18,000"
05/16/1996,"5.11","5.56","5.11","5.11","31,050"
05/17/1996,"5.11","5.11","5.11","5.11","22,500"
05/20/1996,"5.11","5.11","5.11","5.11","12,150"
